dc.contributor.advisor,dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.description.abstract,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri,dc.description,dc.identifier.citation,dc.contributor,dc.relation.isversionof,dc.description.degree,dc.relation.isreplacedby,dc.relation.uri,dc.relation.replaces,dc.relation,dc.date.updated,dc.identifier,dc.relation.isreferencedby,dc.contributor.department,dc.type,dspace.orderedauthors,dc.date.submitted,dc.contributor.editor,dc.coverage.spatial,dc.coverage.temporal,eprint.grantNumber,dc.relation.requires,dc.language.rfc3066,dc.publisher,dc.relation.haspart,dc.identifier.oclc,year,research_paper_id,text,predicted_topic
,"Gajos, Krzysztof; Shrobe, Howard",2004-10-08T20:39:03Z,2004-10-08T20:39:03Z,2003-06-01,http://hdl.handle.net/1721.1/6721,AIM-2003-016,"Delegation, Arbitration and High-Level Service Discovery as Key Elements of a Software Infrastructure for Pervasive Computing","The dream of pervasive computing is slowly becoming  a reality. A number of projects around the world are constantly contributing ideas and solutions  that are bound to change the way we interact with our environments and with one another. An  essential component of the future is a software infrastructure that is capable of supporting interactions  on scales ranging from a single physical space to intercontinental collaborations. Such  infrastructure must help applications adapt to very diverse environments and must protect people's  privacy and respect their personal preferences. In this paper we indicate a number of limitations present  in the software infrastructures proposed so far (including our previous work). We then describe the  framework for building an infrastructure that satisfies the abovementioned criteria. This  framework hinges on the concepts of delegation, arbitration and high-level service discovery.  Components of our own implementation of such an infrastructure are presented.",AIM-2003-016,17 p.; 1039823 bytes; 325691 bytes,application/postscript; application/pdf,en_US,AI; pervasive computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,234,"delegation, arbitration and high-level service discovery as key elements of a software infrastructure for pervasive computing the dream of pervasive computing is slowly becoming  a reality. a number of projects around the world are constantly contributing ideas and solutions  that are bound to change the way we interact with our environments and with one another. an  essential component of the future is a software infrastructure that is capable of supporting interactions  on scales ranging from a single physical space to intercontinental collaborations. such  infrastructure must help applications adapt to very diverse environments and must protect people's  privacy and respect their personal preferences. in this paper we indicate a number of limitations present  in the software infrastructures proposed so far (including our previous work). we then describe the  framework for building an infrastructure that satisfies the abovementioned criteria. this  framework hinges on the concepts of delegation, arbitration and high-level service discovery.  components of our own implementation of such an infrastructure are presented.",privacy/ethics
,"Louie, Jennifer",2004-10-01T14:00:10Z,2004-10-01T14:00:10Z,2003-06-01,http://hdl.handle.net/1721.1/5571,AITR-2003-009; CBCL-227,A Biological Model of Object Recognition with Feature Learning,"Previous biological models of object recognition in  cortex have been evaluated using idealized scenes  and have hard-coded features, such as the HMAX  model by Riesenhuber and Poggio [10]. Because  HMAX uses the same set of features for all object  classes, it does not perform well in the task of detecting  a target object in clutter. This thesis presents a new  model that integrates learning of object-specific  features with the HMAX. The new model performs  better than the standard HMAX and comparably to a  computer vision system on face detection. Results from  experimenting with unsupervised learning of features  and the use of a biologically-plausible classifier are  presented.",AITR-2003-009; CBCL-227,4307593 bytes; 5073756 bytes,application/postscript; application/pdf,en_US,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,235,"a biological model of object recognition with feature learning previous biological models of object recognition in  cortex have been evaluated using idealized scenes  and have hard-coded features, such as the hmax  model by riesenhuber and poggio [10]. because  hmax uses the same set of features for all object  classes, it does not perform well in the task of detecting  a target object in clutter. this thesis presents a new  model that integrates learning of object-specific  features with the hmax. the new model performs  better than the standard hmax and comparably to a  computer vision system on face detection. results from  experimenting with unsupervised learning of features  and the use of a biologically-plausible classifier are  presented.",object recognition/detection
,"Rosen, Ezra",2004-10-01T14:00:11Z,2004-10-01T14:00:11Z,2003-06-05,http://hdl.handle.net/1721.1/5572,AITR-2003-010; CBCL-228,Face Representation in Cortex: Studies Using a Simple and Not So Special Model,"The face inversion effect has been widely documented  as an effect of the uniqueness of face processing. Using a computational  model, we show that the face inversion effect is a byproduct of expertise  with respect to the face object class. In simulations using HMAX, a  hierarchical, shape based model, we show that the magnitude of the  inversion effect is a function of the specificity of the representation. Using  many, sharply tuned units, an ``expert'' has a large inversion effect. On the other hand, if fewer, broadly  tuned units are used, the expertise is lost, and this ``novice'' has a small inversion effect. As the size of the inversion effect  is a product of the representation, not the object class, given the right  training we can create experts and novices in any object class. Using the same representations as with  faces, we create experts and novices for cars. We also measure the  feasibility of a view-based model for recognition of rotated objects  using HMAX. Using faces, we show that transfer of learning to novel views is possible.  Given only one training view, the view-based model  can recognize a face at a new orientation via interpolation from the views to  which it had been tuned. Although the model can generalize well to upright faces, inverted  faces yield poor performance because the features change differently  under rotation.",AITR-2003-010; CBCL-228,66 p.; 13121869 bytes; 3182779 bytes,application/postscript; application/pdf,en_US,AI; Face Recognition; Representation; Invariance; HMAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,236,"face representation in cortex: studies using a simple and not so special model the face inversion effect has been widely documented  as an effect of the uniqueness of face processing. using a computational  model, we show that the face inversion effect is a byproduct of expertise  with respect to the face object class. in simulations using hmax, a  hierarchical, shape based model, we show that the magnitude of the  inversion effect is a function of the specificity of the representation. using  many, sharply tuned units, an ``expert'' has a large inversion effect. on the other hand, if fewer, broadly  tuned units are used, the expertise is lost, and this ``novice'' has a small inversion effect. as the size of the inversion effect  is a product of the representation, not the object class, given the right  training we can create experts and novices in any object class. using the same representations as with  faces, we create experts and novices for cars. we also measure the  feasibility of a view-based model for recognition of rotated objects  using hmax. using faces, we show that transfer of learning to novel views is possible.  given only one training view, the view-based model  can recognize a face at a new orientation via interpolation from the views to  which it had been tuned. although the model can generalize well to upright faces, inverted  faces yield poor performance because the features change differently  under rotation.",face detection
,"Koile, Kimberle; Tollmar, Konrad; Demirdjian, David; Shrobe, Howard; Darrell, Trevor",2004-10-08T20:39:02Z,2004-10-08T20:39:02Z,2003-06-10,http://hdl.handle.net/1721.1/6720,AIM-2003-015,Activity Zones for Context-Aware Computing,"Location is a primary cue in many context-aware  computing systems, and is often represented as  a global coordinate, room number, or Euclidean  distance various landmarks. A user?s concept of  location, however, is often defined in terms of regions in  which common activities occur. We show  how to partition a space into such regions based on  patterns of observed user location and  motion. These regions, which we call activity zones,  represent regions of similar user activity, and  can be used to trigger application actions, retrieve  information based on previous context, and  present information to users. We suggest that context-aware applications can benefit from a  location representation learned from observing users.  We describe an implementation of our  system and present two example applications whose  behavior is controlled by users? entry, exit,  and presence in the zones.",AIM-2003-015,12 p.; 17075202 bytes; 8771896 bytes,application/postscript; application/pdf,en_US,AI; context-aware; activity; intelligent environment; ubiquitous; 3d tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,237,"activity zones for context-aware computing location is a primary cue in many context-aware  computing systems, and is often represented as  a global coordinate, room number, or euclidean  distance various landmarks. a user?s concept of  location, however, is often defined in terms of regions in  which common activities occur. we show  how to partition a space into such regions based on  patterns of observed user location and  motion. these regions, which we call activity zones,  represent regions of similar user activity, and  can be used to trigger application actions, retrieve  information based on previous context, and  present information to users. we suggest that context-aware applications can benefit from a  location representation learned from observing users.  we describe an implementation of our  system and present two example applications whose  behavior is controlled by users? entry, exit,  and presence in the zones.",language models
,"Monteleoni, Claire",2004-10-20T20:32:01Z,2004-10-20T20:32:01Z,2003-06-12,http://hdl.handle.net/1721.1/7107,AITR-2003-011,Online Learning of Non-stationary Sequences,"We consider an online learning scenario in which the learner can make predictions on the basis of a fixed set of experts. The performance of each expert may change over time in a manner unknown to the learner. We formulate a class of universal learning algorithms for this problem by expressing them as simple Bayesian algorithms operating on models analogous to Hidden Markov Models (HMMs). We derive a new performance bound for such algorithms which is considerably simpler than existing bounds. The bound provides the basis for learning the rate at which the identity of the optimal expert switches over time. We find an analytic expression for the a priori resolution at which we need to learn the rate parameter. We extend our scalar switching-rate result to models of the switching-rate that are governed by a matrix of parameters, i.e. arbitrary homogeneous HMMs. We apply and examine our algorithm in the context of the problem of energy management in wireless networks. We analyze the new results in the framework of Information Theory.",AITR-2003-011,48 p.; 1815576 bytes; 911860 bytes,application/postscript; application/pdf,en_US,AI; online learning; relative loss bounds; switching dynamics; wireless; 802.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,238,"online learning of non-stationary sequences we consider an online learning scenario in which the learner can make predictions on the basis of a fixed set of experts. the performance of each expert may change over time in a manner unknown to the learner. we formulate a class of universal learning algorithms for this problem by expressing them as simple bayesian algorithms operating on models analogous to hidden markov models (hmms). we derive a new performance bound for such algorithms which is considerably simpler than existing bounds. the bound provides the basis for learning the rate at which the identity of the optimal expert switches over time. we find an analytic expression for the a priori resolution at which we need to learn the rate parameter. we extend our scalar switching-rate result to models of the switching-rate that are governed by a matrix of parameters, i.e. arbitrary homogeneous hmms. we apply and examine our algorithm in the context of the problem of energy management in wireless networks. we analyze the new results in the framework of information theory.",high performance computing
,"Marjanovic, Matthew J.",2004-10-20T20:32:04Z,2004-10-20T20:32:04Z,2003-06-20,http://hdl.handle.net/1721.1/7108,AITR-2003-013,Teaching an Old Robot New Tricks: Learning Novel Tasks via Interaction with People and Things,"As AI has begun to reach out beyond its symbolic, objectivist roots into the embodied, experientialist realm, many projects are exploring different aspects of creating machines which interact with and respond to the world as humans do. Techniques for visual processing, object recognition, emotional response, gesture production and recognition, etc., are necessary components of a complete humanoid robot. However, most projects invariably concentrate on developing a few of these individual components, neglecting the issue of how all of these pieces would eventually fit together.  The focus of the work in this dissertation is on creating a framework into which such specific competencies can be embedded, in a way that they can interact with each other and build layers of new functionality. To be of any practical value, such a framework must satisfy the real-world constraints of functioning in real-time with noisy sensors and actuators. The humanoid robot Cog provides an unapologetically adequate platform from which to take on such a challenge.  This work makes three contributions to embodied AI. First, it offers a general-purpose architecture for developing behavior-based systems distributed over networks of PC's. Second, it provides a motor-control system that simulates several biological features which impact the development of motor behavior. Third, it develops a framework for a system which enables a robot to learn new behaviors via interacting with itself and the outside world. A few basic functional modules are built into this framework, enough to demonstrate the robot learning some very simple behaviors taught by a human trainer.  A primary motivation for this project is the notion that it is practically impossible to build an ""intelligent"" machine unless it is designed partly to build itself. This work is a proof-of-concept of such an approach to integrating multiple perceptual and motor systems into a complete learning agent.",AITR-2003-013,181 p.; 13057317 bytes; 13082678 bytes,application/postscript; application/pdf,en_US,AI; cog humanoid robot embodied learning phd thesis metaphor pancake reaching vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,239,"teaching an old robot new tricks: learning novel tasks via interaction with people and things as ai has begun to reach out beyond its symbolic, objectivist roots into the embodied, experientialist realm, many projects are exploring different aspects of creating machines which interact with and respond to the world as humans do. techniques for visual processing, object recognition, emotional response, gesture production and recognition, etc., are necessary components of a complete humanoid robot. however, most projects invariably concentrate on developing a few of these individual components, neglecting the issue of how all of these pieces would eventually fit together.  the focus of the work in this dissertation is on creating a framework into which such specific competencies can be embedded, in a way that they can interact with each other and build layers of new functionality. to be of any practical value, such a framework must satisfy the real-world constraints of functioning in real-time with noisy sensors and actuators. the humanoid robot cog provides an unapologetically adequate platform from which to take on such a challenge.  this work makes three contributions to embodied ai. first, it offers a general-purpose architecture for developing behavior-based systems distributed over networks of pc's. second, it provides a motor-control system that simulates several biological features which impact the development of motor behavior. third, it develops a framework for a system which enables a robot to learn new behaviors via interacting with itself and the outside world. a few basic functional modules are built into this framework, enough to demonstrate the robot learning some very simple behaviors taught by a human trainer.  a primary motivation for this project is the notion that it is practically impossible to build an ""intelligent"" machine unless it is designed partly to build itself. this work is a proof-of-concept of such an approach to integrating multiple perceptual and motor systems into a complete learning agent.",robotics
,"Lee, Lily",2004-10-20T20:32:06Z,2004-10-20T20:32:06Z,2003-06-26,http://hdl.handle.net/1721.1/7109,AITR-2003-014,Gait Analysis for Classification,"This thesis describes a representation of gait appearance for the purpose of person identification and classification. This gait representation is based on simple localized image features such as moments extracted from orthogonal view video silhouettes of human walking motion. A suite of time-integration methods, spanning a range of coarseness of time aggregation and modeling of feature distributions, are applied to these image features to create a suite of gait sequence representations. Despite their simplicity, the resulting feature vectors contain enough information to perform well on human identification and gender classification tasks. We demonstrate the accuracy of recognition on gait video sequences collected over different days and times and under varying lighting environments. Each of the integration methods are investigated for their advantages and disadvantages. An improved gait representation is built based on our experiences with the initial set of gait representations. In addition, we show gender classification results using our gait appearance features, the effect of our heuristic feature selection method, and the significance of individual features.",AITR-2003-014,110 p.; 4040471 bytes; 994319 bytes,application/postscript; application/pdf,en_US,AI; gait recognition; gender classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,240,"gait analysis for classification this thesis describes a representation of gait appearance for the purpose of person identification and classification. this gait representation is based on simple localized image features such as moments extracted from orthogonal view video silhouettes of human walking motion. a suite of time-integration methods, spanning a range of coarseness of time aggregation and modeling of feature distributions, are applied to these image features to create a suite of gait sequence representations. despite their simplicity, the resulting feature vectors contain enough information to perform well on human identification and gender classification tasks. we demonstrate the accuracy of recognition on gait video sequences collected over different days and times and under varying lighting environments. each of the integration methods are investigated for their advantages and disadvantages. an improved gait representation is built based on our experiences with the initial set of gait representations. in addition, we show gender classification results using our gait appearance features, the effect of our heuristic feature selection method, and the significance of individual features.",image classification
,"Timoner, Samson",2004-10-20T20:32:09Z,2004-10-20T20:32:09Z,2003-07-04,http://hdl.handle.net/1721.1/7110,AITR-2003-015,Compact Representations for Fast Nonrigid Registration of Medical Images,"We develop efficient techniques for the non-rigid registration of medical images by using representations that adapt to the anatomy found in such images.   Images of anatomical structures typically have uniform intensity interiors and smooth boundaries. We create methods to represent such regions compactly using tetrahedra. Unlike voxel-based representations, tetrahedra can accurately describe the expected smooth surfaces of medical objects. Furthermore, the interior of such objects can be represented using a small number of tetrahedra. Rather than describing a medical object using tens of thousands of voxels, our representations generally contain only a few thousand elements.  Tetrahedra facilitate the creation of efficient non-rigid registration algorithms based on finite element methods (FEM). We create a fast, FEM-based method to non-rigidly register segmented anatomical structures from two subjects. Using our compact tetrahedral representations, this method generally requires less than one minute of processing time on a desktop PC.  We also create a novel method for the non-rigid registration of gray scale images. To facilitate a fast method, we create a tetrahedral representation of a displacement field that automatically adapts to both the anatomy in an image and to the displacement field. The resulting algorithm has a computational cost that is dominated by the number of nodes in the mesh (about 10,000), rather than the number of voxels in an image (nearly 10,000,000). For many non-rigid registration problems, we can find a transformation from one image to another in five minutes. This speed is important as it allows use of the algorithm during surgery.  We apply our algorithms to find correlations between the shape of anatomical structures and the presence of schizophrenia. We show that a study based on our representations outperforms studies based on other representations. We also use the results of our non-rigid registration algorithm as the basis of a segmentation algorithm. That algorithm also outperforms other methods in our tests, producing smoother segmentations and more accurately reproducing manual segmentations.",AITR-2003-015,183 p.; 19734335 bytes; 5610171 bytes,application/postscript; application/pdf,en_US,AI; non-rigid registration; medical image processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,241,"compact representations for fast nonrigid registration of medical images we develop efficient techniques for the non-rigid registration of medical images by using representations that adapt to the anatomy found in such images.   images of anatomical structures typically have uniform intensity interiors and smooth boundaries. we create methods to represent such regions compactly using tetrahedra. unlike voxel-based representations, tetrahedra can accurately describe the expected smooth surfaces of medical objects. furthermore, the interior of such objects can be represented using a small number of tetrahedra. rather than describing a medical object using tens of thousands of voxels, our representations generally contain only a few thousand elements.  tetrahedra facilitate the creation of efficient non-rigid registration algorithms based on finite element methods (fem). we create a fast, fem-based method to non-rigidly register segmented anatomical structures from two subjects. using our compact tetrahedral representations, this method generally requires less than one minute of processing time on a desktop pc.  we also create a novel method for the non-rigid registration of gray scale images. to facilitate a fast method, we create a tetrahedral representation of a displacement field that automatically adapts to both the anatomy in an image and to the displacement field. the resulting algorithm has a computational cost that is dominated by the number of nodes in the mesh (about 10,000), rather than the number of voxels in an image (nearly 10,000,000). for many non-rigid registration problems, we can find a transformation from one image to another in five minutes. this speed is important as it allows use of the algorithm during surgery.  we apply our algorithms to find correlations between the shape of anatomical structures and the presence of schizophrenia. we show that a study based on our representations outperforms studies based on other representations. we also use the results of our non-rigid registration algorithm as the basis of a segmentation algorithm. that algorithm also outperforms other methods in our tests, producing smoother segmentations and more accurately reproducing manual segmentations.",high performance computing
,"Timoner, Samson",2005-12-12T23:24:20Z,2005-12-12T23:24:20Z,2003-07-04,http://hdl.handle.net/1721.1/29830,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Compact Representations for Fast Nonrigid Registration of Medical Images,"We develop efficient techniques for the non-rigid registration of medical
images by using representations that adapt to the anatomy found in such
images.

 Images of anatomical structures typically have uniform intensity interiors
and smooth boundaries. We create methods to represent such regions
compactly using tetrahedra.  Unlike voxel-based representations, tetrahedra
can accurately describe the expected smooth surfaces of medical
objects. Furthermore, the interior of such objects can be represented using
a small number of tetrahedra. Rather than describing a medical object using
tens of thousands of voxels, our representations generally contain only a few
thousand elements.

Tetrahedra facilitate the creation of efficient non-rigid registration
algorithms based on finite element methods (FEM).  We create a fast,
FEM-based method to non-rigidly register segmented anatomical structures
from two subjects. Using our compact tetrahedral representations, this
method generally requires less than one minute of processing time on a desktop
PC.

We also create a novel method for the non-rigid registration of gray scale
images. To facilitate a fast method, we create a tetrahedral representation
of a displacement field that automatically adapts to both the anatomy in an
image and to the displacement field.  The resulting algorithm has a
computational cost that is dominated by the number of nodes in the mesh
(about 10,000), rather than the number of voxels in an image (nearly
10,000,000). For many non-rigid registration problems, we can find a
transformation from one image to another in five minutes. This speed is
important as it allows use of the algorithm during surgery.

We apply our algorithms to find correlations between the shape of
anatomical structures and the presence of schizophrenia. We show that a
study based on our representations outperforms studies based on other
representations. We also use the results of our non-rigid registration
algorithm as the basis of a segmentation algorithm. That algorithm also
outperforms other methods in our tests, producing smoother segmentations
and more accurately reproducing manual segmentations.",MIT-CSAIL-TR-2003-001; AITR-2003-015,183 p.; 160218641 bytes; 8166856 bytes,application/postscript; application/pdf,en_US,AI; non-rigid registration; medical image processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,242,"compact representations for fast nonrigid registration of medical images we develop efficient techniques for the non-rigid registration of medical
images by using representations that adapt to the anatomy found in such
images.

 images of anatomical structures typically have uniform intensity interiors
and smooth boundaries. we create methods to represent such regions
compactly using tetrahedra.  unlike voxel-based representations, tetrahedra
can accurately describe the expected smooth surfaces of medical
objects. furthermore, the interior of such objects can be represented using
a small number of tetrahedra. rather than describing a medical object using
tens of thousands of voxels, our representations generally contain only a few
thousand elements.

tetrahedra facilitate the creation of efficient non-rigid registration
algorithms based on finite element methods (fem).  we create a fast,
fem-based method to non-rigidly register segmented anatomical structures
from two subjects. using our compact tetrahedral representations, this
method generally requires less than one minute of processing time on a desktop
pc.

we also create a novel method for the non-rigid registration of gray scale
images. to facilitate a fast method, we create a tetrahedral representation
of a displacement field that automatically adapts to both the anatomy in an
image and to the displacement field.  the resulting algorithm has a
computational cost that is dominated by the number of nodes in the mesh
(about 10,000), rather than the number of voxels in an image (nearly
10,000,000). for many non-rigid registration problems, we can find a
transformation from one image to another in five minutes. this speed is
important as it allows use of the algorithm during surgery.

we apply our algorithms to find correlations between the shape of
anatomical structures and the presence of schizophrenia. we show that a
study based on our representations outperforms studies based on other
representations. we also use the results of our non-rigid registration
algorithm as the basis of a segmentation algorithm. that algorithm also
outperforms other methods in our tests, producing smoother segmentations
and more accurately reproducing manual segmentations.",high performance computing
,"Felzenszwalb, Pedro F.",2004-10-20T20:32:11Z,2004-10-20T20:32:11Z,2003-08-08,http://hdl.handle.net/1721.1/7111,AITR-2003-016,Representation and Detection of Shapes in Images,"We present a set of techniques that can be used to represent and detect shapes in images. Our methods revolve around a particular shape representation based on the description of objects using triangulated polygons. This representation is similar to the medial axis transform and has important properties from a computational perspective. The first problem we consider is the detection of non-rigid objects in images using deformable models. We present an efficient algorithm to solve this problem in a wide range of situations, and show examples in both natural and medical images. We also consider the problem of learning an accurate non-rigid shape model for a class of objects from examples. We show how to learn good models while constraining them to the form required by the detection algorithm. Finally, we consider the problem of low-level image segmentation and grouping. We describe a stochastic grammar that generates arbitrary triangulated polygons while capturing Gestalt principles of shape regularity. This grammar is used as a prior model over random shapes in a low level algorithm that detects objects in images.",AITR-2003-016,80 p.; 6877524 bytes; 3132998 bytes,application/postscript; application/pdf,en_US,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,249,"representation and detection of shapes in images we present a set of techniques that can be used to represent and detect shapes in images. our methods revolve around a particular shape representation based on the description of objects using triangulated polygons. this representation is similar to the medial axis transform and has important properties from a computational perspective. the first problem we consider is the detection of non-rigid objects in images using deformable models. we present an efficient algorithm to solve this problem in a wide range of situations, and show examples in both natural and medical images. we also consider the problem of learning an accurate non-rigid shape model for a class of objects from examples. we show how to learn good models while constraining them to the form required by the detection algorithm. finally, we consider the problem of low-level image segmentation and grouping. we describe a stochastic grammar that generates arbitrary triangulated polygons while capturing gestalt principles of shape regularity. this grammar is used as a prior model over random shapes in a low level algorithm that detects objects in images.",object recognition/detection
,"Felzenszwalb, Pedro F.",2005-12-19T22:44:55Z,2005-12-19T22:44:55Z,2003-08-08,http://hdl.handle.net/1721.1/30400,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Representation and Detection of Shapes in Images,"We present a set of techniques that can be used to represent anddetect shapes in images.  Our methods revolve around a particularshape representation based on the description of objects usingtriangulated polygons.  This representation is similar to the medialaxis transform and has important properties from a computationalperspective.  The first problem we consider is the detection ofnon-rigid objects in images using deformable models.  We present anefficient algorithm to solve this problem in a wide range ofsituations, and show examples in both natural and medical images.  Wealso consider the problem of learning an accurate non-rigid shapemodel for a class of objects from examples.  We show how to learn goodmodels while constraining them to the form required by the detectionalgorithm.  Finally, we consider the problem of low-level imagesegmentation and grouping.  We describe a stochastic grammar thatgenerates arbitrary triangulated polygons while capturing Gestaltprinciples of shape regularity.  This grammar is used as a prior modelover random shapes in a low level algorithm that detects objects inimages.",MIT-CSAIL-TR-2003-008; AITR-2003-016,80 p.; 38103057 bytes; 1889641 bytes,application/postscript; application/pdf,en_US,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,250,"representation and detection of shapes in images we present a set of techniques that can be used to represent anddetect shapes in images.  our methods revolve around a particularshape representation based on the description of objects usingtriangulated polygons.  this representation is similar to the medialaxis transform and has important properties from a computationalperspective.  the first problem we consider is the detection ofnon-rigid objects in images using deformable models.  we present anefficient algorithm to solve this problem in a wide range ofsituations, and show examples in both natural and medical images.  wealso consider the problem of learning an accurate non-rigid shapemodel for a class of objects from examples.  we show how to learn goodmodels while constraining them to the form required by the detectionalgorithm.  finally, we consider the problem of low-level imagesegmentation and grouping.  we describe a stochastic grammar thatgenerates arbitrary triangulated polygons while capturing gestaltprinciples of shape regularity.  this grammar is used as a prior modelover random shapes in a low level algorithm that detects objects inimages.",object recognition/detection
,"Beal, Jacob",2005-12-19T22:49:01Z,2005-12-19T22:49:01Z,2003-08-11,http://hdl.handle.net/1721.1/30404,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Near-Optimal Distributed Failure Circumscription,"Small failures should only disrupt a small part of a network.  One wayto do this is by marking the surrounding area as untrustworthy ---circumscribing the failure. This can be done with a distributedalgorithm using hierarchical clustering and neighbor relations, andthe resulting circumscription is near-optimal for convex failures.",MIT-CSAIL-TR-2003-009; AIM-2003-017,9 p.; 13236751 bytes; 840133 bytes,application/postscript; application/pdf,en_US,AI; amorphous distributed ad-hoc computing self-organizing stopping failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,252,"near-optimal distributed failure circumscription small failures should only disrupt a small part of a network.  one wayto do this is by marking the surrounding area as untrustworthy ---circumscribing the failure. this can be done with a distributedalgorithm using hierarchical clustering and neighbor relations, andthe resulting circumscription is near-optimal for convex failures.",privacy/ethics
,"Beal, Jacob",2004-10-08T20:39:04Z,2004-10-08T20:39:04Z,2003-08-11,http://hdl.handle.net/1721.1/6722,AIM-2003-017,Near-Optimal Distributed Failure Circumscription,"Small failures should only disrupt a small part of a network. One way to do this is by marking the surrounding area as untrustworthy --- circumscribing the failure. This can be done with a distributed algorithm using hierarchical clustering and neighbor relations, and the resulting circumscription is near-optimal for convex failures.",AIM-2003-017,9 p.; 2144454 bytes; 705176 bytes,application/postscript; application/pdf,en_US,AI; amorphous distributed ad-hoc computing self-organizing stopping failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,253,"near-optimal distributed failure circumscription small failures should only disrupt a small part of a network. one way to do this is by marking the surrounding area as untrustworthy --- circumscribing the failure. this can be done with a distributed algorithm using hierarchical clustering and neighbor relations, and the resulting circumscription is near-optimal for convex failures.",privacy/ethics
,"Balas, Benjamin J.; Sinha, Pawan",2004-10-20T21:05:11Z,2004-10-20T21:05:11Z,2003-08-13,http://hdl.handle.net/1721.1/7276,AIM-2003-018; CBCL-229,Dissociated Dipoles: Image representation via non-local comparisons,"A fundamental question in visual neuroscience is how to represent image structure. The most common representational schemes rely on differential operators that compare adjacent image regions. While well-suited to encoding local relationships, such operators have significant drawbacks. Specifically, each filter's span is confounded with the size of its sub-fields, making it difficult to compare small regions across large distances. We find that such long-distance comparisons are more tolerant to common image transformations than purely local ones, suggesting they may provide a useful vocabulary for image encoding. . We introduce the ""Dissociated Dipole,"" or ""Sticks"" operator, for encoding non-local image relationships. This operator de-couples filter span from sub-field size, enabling parametric movement between edge and region-based representation modes. We report on the perceptual plausibility of the operator, and the computational advantages of non-local encoding. Our results suggest that non-local encoding may be an effective scheme for representing image structure.",AIM-2003-018; CBCL-229,15 p.; 691165 bytes; 974071 bytes,application/postscript; application/pdf,en_US,AI; image representation; recognition; non-local filtering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,254,"dissociated dipoles: image representation via non-local comparisons a fundamental question in visual neuroscience is how to represent image structure. the most common representational schemes rely on differential operators that compare adjacent image regions. while well-suited to encoding local relationships, such operators have significant drawbacks. specifically, each filter's span is confounded with the size of its sub-fields, making it difficult to compare small regions across large distances. we find that such long-distance comparisons are more tolerant to common image transformations than purely local ones, suggesting they may provide a useful vocabulary for image encoding. . we introduce the ""dissociated dipole,"" or ""sticks"" operator, for encoding non-local image relationships. this operator de-couples filter span from sub-field size, enabling parametric movement between edge and region-based representation modes. we report on the perceptual plausibility of the operator, and the computational advantages of non-local encoding. our results suggest that non-local encoding may be an effective scheme for representing image structure.",privacy/ethics
