dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.rights,dc.rights.uri,dc.title,dc.description.sponsorship,dc.subject,dc.date.updated,dc.description,dc.identifier.citation,dc.language.rfc3066,dc.contributor
Nancy Lynch,"Cadambe, Viveck R.; Lynch, Nancy; Medard, Muriel; Musial, Peter",Theory of Computation,2013-07-17T18:45:04Z,2013-07-17T18:45:04Z,2013-07-17,http://hdl.handle.net/1721.1/79606,"This paper considers the communication and storage costs of emulating atomic (linearizable) read/write shared memory in distributed message-passing systems. We analyze the costs of previously-proposed algorithms by Attiya, Bar-Noy, and Dolev (the ABD algorithm) and by Fan and Lynch (the LDR algorithm), and develop new coding-based algorithms that significantly reduce these costs. The paper contains three main contributions: (1) We present a new shared-memory algorithm that we call CAS, for Coded Atomic Storage. This algorithm uses erasure coding methods. (2) In a storage system with N servers that is resilient to f server failures, we show that the communication costs for the ABD and LDR algorithms, measured in terms of number of object values, are both at least f + 1, whereas the communication cost for CAS is N/(N-2f). (3) We also explicitly quantify the storage costs of the ABD, LDR, and CAS algorithms. The storage cost of the ABD algorithm, measured in terms of number of object values, is N; whereas the storage costs of the LDR and CAS algorithms are both unbounded. We present a modification of the CAS algorithm based on the idea of garbage collection. The modified version of CAS has a storage cost of (d + 1) N/(N-2f), where d in an upper bound on the number of operations that are concurrent with a read operation. Thus, if d is sufficiently small, the storage cost of CAS is lower than those of both the ABD and LDR algorithms.",24 p.,MIT-CSAIL-TR-2013-016,,,Coded Emulation of Shared Atomic Memory for Message Passing Architectures,,,2013-07-17T18:45:05Z,,,,
Tomaso Poggio,"Poggio, Tomaso; Mutch, Jim; Anselmi, Fabio; Tacchetti, Andrea; Rosasco, Lorenzo; Leibo, Joel Z.",,2013-08-12T02:30:12Z,2013-08-12T02:30:12Z,2013-08-06,http://hdl.handle.net/1721.1/79828,"Tuning properties of simple cells in cortical V1 can be described in terms of a ""universal shape"" characterized by parameter values which hold across different species. This puzzling set of findings begs for a general explanation grounded on an evolutionarily important computational function of the visual cortex. We ask here whether these properties are predicted by the hypothesis that the goal of the ventral stream is to compute for each image a ""signature"" vector which is invariant to geometric transformations, with the the additional assumption that the mechanism for continuously learning and maintaining invariance consists of the memory storage of a sequence of neural images of a few objects undergoing transformations (such as translation, scale changes and rotation) via Hebbian synapses. For V1 simple cells the simplest version of this hypothesis is the online Oja rule which implies that the tuning of neurons converges to the eigenvectors of the covariance of their input. Starting with a set of dendritic fields spanning a range of sizes, simulations supported by a direct mathematical analysis show that the solution of the associated ""cortical equation"" provides a set of Gabor-like wavelets with parameter values that are in broad agreement with the physiology data. We show however that the simple version of the Hebbian assumption does not predict all the physiological properties. The same theoretical framework also provides predictions about the tuning of cells in V4 and in the face patch AL which are in qualitative agreement with physiology data.",10 p.,MIT-CSAIL-TR-2013-019; CBCL-313,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,Does invariant recognition predict tuning of neurons in sensory cortex?,,,2013-08-12T02:30:12Z,,,,
Martin Rinard,"Long, Fan; Sidiroglou-Douskos, Stelios; Kim, Deokhwan; Rinard, Martin",Computer Architecture,2013-08-12T02:30:08Z,2013-08-12T02:30:08Z,2013-08-06,http://hdl.handle.net/1721.1/79827,"We present a system, SIFT, for generating input filters that nullify integer overflow errors associated with critical program sites such as memory allocation or block copy sites. SIFT uses a static program analysis to generate filters that discard inputs that may trigger integer overflow errors in the computations of the sizes of allocated memory blocks or the number of copied bytes in block copy operations. The generated filters are sound   if an input passes the filter, it will not trigger an integer overflow error for any analyzed site. Our results show that SIFT successfully analyzes (and therefore generates sound input filters for) 52 out of 58 memory allocation and block memory copy sites in analyzed input processing modules from five applications (VLC, Dillo, Swfdec, Swftools, and GIMP). These nullified errors include six known integer overflow vulnerabilities. Our results also show that applying these filters to 62895 real-world inputs produces no false positives. The analysis and filter generation times are all less than a second.",20 p.,MIT-CSAIL-TR-2013-018,,,Sound Input Filter Generation for Integer Overflow Errors,,Static Analysis; Integer Overflow; Filter Generation,2013-08-12T02:30:08Z,,,,
,"Jackson, Daniel",Software Design,2013-08-12T02:30:04Z,2013-08-12T02:30:04Z,2013-08-08,http://hdl.handle.net/1721.1/79826,"A research agenda in software design is outlined, focusing on the role of concepts. The notions of concepts as ""abstract affordances"" and of conceptual integrity are discussed, and a series of small examples of conceptual models is given.",17 p.,MIT-CSAIL-TR-2013-020,Creative Commons Attribution-NoDerivs 3.0 Unported,http://creativecommons.org/licenses/by-nd/3.0/,Conceptual Design of Software: A Research Agenda,,Software design; Usability; Conceptual integrity; Conceptual models,2013-08-12T02:30:05Z,,,,
Leslie Kaelbling,"Jordan, Matthew; Perez, Alejandro",Learning and Intelligent Systems,2013-08-16T18:30:03Z,2013-08-16T18:30:03Z,2013-08-15,http://hdl.handle.net/1721.1/79884,"In this paper we present a simple, computationally-efficient, two-tree variant of the RRT* algorithm along with several heuristics.",12 p.,MIT-CSAIL-TR-2013-021,Creative Commons Attribution-NonCommercial 3.0 Unported,http://creativecommons.org/licenses/by-nc/3.0/,Optimal Bidirectional Rapidly-Exploring Random Trees,,,2013-08-16T18:30:03Z,,,,
Brian Williams,"Bush, Lawrence A. M.",Model-based Embedded and Robotic Systems,2018-01-30T23:45:58Z,2018-01-30T23:45:58Z,2013-08-22,http://hdl.handle.net/1721.1/113363,"Over the past several decades, technologies for remote sensing and exploration have be- come increasingly powerful but continue to face limitations in the areas of information gathering and analysis. These limitations affect technologies that use autonomous agents, which are devices that can make routine decisions independent of operator instructions. Bandwidth and other communications limitation require that autonomous differentiate between relevant and irrelevant information in a computationally efficient manner.This thesis presents a novel approach to this problem by framing it as an adaptive sensing problem. Adaptive sensing allows agents to modify their information collection strategies in response to the information gathered in real time. We developed and tested optimization algorithms that apply information guides to Monte Carlo planners. Information guides provide a mechanism by which the algorithms may blend online (realtime) and offline (previously simulated) planning in order to incorporate uncertainty into the decision- making process. This greatly reduces computational operations as well as decisional and communications overhead. We begin by introducing a 3-level hierarchy that visualizes adaptive sensing at synoptic (global), mesoscale (intermediate) and microscale (close-up) levels (a spatial hierarchy). We then introduce new algorithms for decision uncertainty minimization (DUM) and representational uncertainty minimization (RUM). Finally, we demonstrate the utility of this approach to real-world sensing problems, including bathymetric mapping and disaster relief. We also examine its potential in space exploration tasks by describing its use in a hypothetical aerial exploration of Mars. Our ultimate goal is to facilitate future large-scale missions to extraterrestrial objects for the purposes of scientific advancement and human exploration.",310 p.,MIT-CSAIL-TR-2018-003,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,http://creativecommons.org/licenses/by-nc-nd/4.0/,Decision Uncertainty Minimization and Autonomous Information Gathering,,,2018-01-30T23:45:58Z,PhD thesis,,,Brian Williams; Model-based Embedded and Robotic Systems
Daniel Sanchez,"Beckmann, Nathan; Sanchez, Daniel",Computation Structures,2013-07-31T18:30:05Z,2013-07-31T18:30:05Z,2013-09-01,http://hdl.handle.net/1721.1/79746,"Shared last-level caches, widely used in chip-multiprocessors (CMPs), face two fundamental limitations. First, the latency and energy of shared caches degrade as the system scales up. Second, when multiple workloads share the CMP, they suffer from interference in shared cache accesses. Unfortunately, prior research addressing one issue either ignores or worsens the other: NUCA techniques reduce access latency but are prone to hotspots and interference, and cache partitioning techniques only provide isolation but do not reduce access latency. We present Jigsaw, a technique that jointly addresses the scalability and interference problems of shared caches. Hardware lets software define shares, collections of cache bank partitions that act as virtual caches, and map data to shares. Shares give software full control over both data placement and capacity allocation. Jigsaw implements efficient hardware support for share management, monitoring, and adaptation. We propose novel resource-management algorithms and use them to develop a system-level runtime that leverages Jigsaw to both maximize cache utilization and place data close to where it is used. We evaluate Jigsaw using extensive simulations of 16- and 64-core tiled CMPs. Jigsaw improves performance by up to 2.2x (18% avg) over a conventional shared cache, and significantly outperforms state-of-the-art NUCA and partitioning techniques.",16 p.,MIT-CSAIL-TR-2013-017,Attribution-NonCommercial-ShareAlike 3.0 Unported,http://creativecommons.org/licenses/by-nc-sa/3.0/,Jigsaw: Scalable Software-Defined Caches (Extended Version),This work was supported in part by DARPA PERFECT contract HR0011-13-2-0005 and Quanta Computer.,"cache, memory, NUCA, partitioning, isolation, multicore, virtual memory",2013-07-31T18:30:05Z,,,,
Regina Barzilay,"Kushman, Nate; Adib, Fadel; Katabi, Dina; Barzilay, Regina",Natural Language Processing,2013-09-10T21:30:03Z,2013-09-10T21:30:03Z,2013-09-10,http://hdl.handle.net/1721.1/80380,"Consider the problem of migrating a company's CRM or ERP database from one application to another, or integrating two such databases as a result of a merger. This problem requires matching two large relational schemas with hundreds and sometimes thousands of fields. Further, the correct match is likely complex: rather than a simple one-to-one alignment, some fields in the source database may map to multiple fields in the target database, and others may have no equivalent fields in the target database. Despite major advances in schema matching, fully automated solutions to large relational schema matching problems are still elusive. This paper focuses on improving the accuracy of automated large relational schema matching. Our key insight is the observation that modern database applications have a rich user interface that typically exhibits more consistency across applications than the underlying schemas. We associate UI widgets in the application with the underlying database fields on which they operate and demonstrate that this association delivers new information useful for matching large and complex relational schemas. Additionally, we show how to formalize the schema matching problem as a quadratic program, and solve it efficiently using standard optimization and machine learning techniques. We evaluate our approach on real-world CRM applications with hundreds of fields and show that it improves the accuracy by a factor of 2-4x.",12 p.,MIT-CSAIL-TR-2013-022,,,Harvesting Application Information for Industry-Scale Relational Schema Matching,,,2013-09-10T21:30:03Z,,,,
Tomaso Poggio,"Ni, Yuzhao; Frogner, Charles A.; Poggio, Tomaso A.",Center for Biological and Computational Learning (CBCL),2013-09-19T22:30:06Z,2013-09-19T22:30:06Z,2013-09-19,http://hdl.handle.net/1721.1/80815,"In this thesis, we designed and implemented a crowdsourcing system to annotatemouse behaviors in videos; this involves the development of a novel clip-based video labeling tools, that is more efficient than traditional labeling tools in crowdsourcing platform, as well as the design of probabilistic inference algorithms that predict the true labels and the workers' expertise from multiple workers' responses. Our algorithms are shown to perform better than majority vote heuristic. We also carried out extensive experiments to determine the effectiveness of our labeling tool, inference algorithms and the overall system.",69 p.,MIT-CSAIL-TR-2013-023; CBCL-314,,,Mouse Behavior Recognition with The Wisdom of Crowd,,crowdsourcing; video labeling; human computation; mouse phenotyping; action recognition,2013-09-19T22:30:06Z,,,,
Gerald Sussman,"Panchekha, Pavel; Brodsky, Micah Z. (Micah Zev)",Mathematics and Computation,2013-10-09T17:30:04Z,2013-10-09T17:30:04Z,2013-10-08,http://hdl.handle.net/1721.1/81365,"Shared mutable state is challenging to maintain in a distributed environment. We develop a technique, based on the Operational Transform, that guides independent agents into producing consistent states through inconsistent but equivalent histories of operations. Our technique, history maintenance, extends and streamlines the Operational Transform for general distributed systems. We describe how to use history maintenance to create eventually-consistent, strongly-consistent, and hybrid systems whose correctness is easy to reason about.",21 p.,MIT-CSAIL-TR-2013-024,,,Distributed Shared State with History Maintenance,,eventual consistency; distributed systems; operational transform,2013-10-09T17:30:04Z,,,,
