dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.identifier.citation,dc.rights,dc.rights.uri,dc.contributor,dc.identifier,dc.relation.replaces,dc.relation.uri,dc.relation
Silvio Micali,"Chen, Jing; Micali, Silvio",Theory of Computation,2008-10-08T20:15:07Z,2008-10-08T20:15:07Z,2008-10-08,http://hdl.handle.net/1721.1/42893,"Following Micali and Valiant [MV07.a], a mechanism is resilient if it achieves its objective without any problem of (1) equilibrium selection and (2) player collusion. To advance resilient mechanism design,We put forward a new meaningful benchmark for the COMBINED social welfare-revenue performance of any mechanism in truly combinatorial auctions.We put forward a NEW notion of implementation, much more general than the ones used so far, which we believe to be of independent interest.We put forward a new RESILIENT mechanism that, by leveraging the knowledge that the players have about each other, guarantees at least one half of our benchmark under a very general collusion model.",32 p.,MIT-CSAIL-TR-2008-059,knowledge benchmarks; implementation in surviving strategies; equilibrium-less implementation; combinatorial auctions; resilient mechanisms; collusion; truly combinatorial auctions,New Resiliency in  Truly Combinatorial Auctions  (and Implementation in Surviving Strategies),,,,,,,,MIT-CSAIL-TR-2008-041
Daniel Jackson,"Edwards, Jonathan",Software Design,2008-10-10T21:15:05Z,2008-10-10T21:15:05Z,2008-10-10,http://hdl.handle.net/1721.1/42895,"Modularity and flexibility can conflict in multi-language systems. For example, the templates commonly used to generate web pages must be manually updated when the database schema changes. Modularity can be improved by generating web pages automatically from the database schema, but it is hard for such a generator to produce the same variety of outputs that are easily achieved by ad hoc edits to a template. Ideally, such ad hoc edits would be abstracted into transformations that compose with the generator, offering both modularity and flexibility. However common customizations cannot be abstracted using the standard techniques of textual identifiers and ordinal positions. These difficulties are distilled into a challenge problem to evaluate potential solutions. A solution is proposed based on field trees, a new data model for software artifacts that provides persistent identifiers and unshifting positions within sequences. But using field trees with conventional programming languages and development environments requires more effort than the ad hoc editing they seek to supplant. Field trees are therefore extended into differential trees, which integrate artifacts and their transformations into a unified representation.",13 p.,MIT-CSAIL-TR-2008-061,,Modular Generation and Customization,,Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,,,,
Tomaso Poggio,"Rosasco, Lorenzo; Pereverzyev, Sergei; De Vito, Ernesto",Center for Biological and Computational Learning (CBCL),2008-10-17T15:30:10Z,2008-10-17T15:30:10Z,2008-10-16,http://hdl.handle.net/1721.1/42896,"The regularization parameter choice is a fundamental problem in supervised learning since the performance of most algorithms crucially depends on the choice of one or more of such parameters. In particular a main theoretical issue regards the amount of prior knowledge on the problem needed to suitably choose the regularization parameter and obtain learning rates. In this paper we present a strategy, the balancing principle, to choose the regularization parameter without knowledge of the regularity of the target function. Such a choice adaptively achieves the best error rate. Our main result applies to regularization algorithms in reproducing kernel Hilbert space with the square loss, though we also study how a similar principle can be used in other situations. As a straightforward corollary we can immediately derive adaptive parameter choice for various kernel methods recently studied. Numerical experiments with the proposed parameter choice rules are also presented.",24 p.,MIT-CSAIL-TR-2008-062; CBCL-275,Adaptive Model Selection; Learning Theory; Inverse Problems; Regularization,Adaptive Kernel Methods Using the Balancing Principle,,,,,,,,
Dina Katabi,"Woo, Grace; Katabi, Dina; Chachulski, Szymon",Networks & Mobile Systems,2008-10-20T15:00:05Z,2008-10-20T15:00:05Z,2008-10-18,http://hdl.handle.net/1721.1/42897,"The fundamental problem of wireless video multicast is to scalably serve multiple receivers which may have very different channel characteristics. Ideally, one would like to broadcast a single stream that allows each receiver to benefit from all correctly received bits to improve its video quality. We introduce Digital Rain, a new approach to wireless video multicast that adapts to channel characteristics without any need for receiver feedback or variable codec rates. Users that capture more packets or have fewer bit errors naturally see higher video quality. Digital Rain departs from current approaches in two ways: 1) It allows a receiver to exploit video packets that may contain bit errors; 2) It builds on the theory of compressed sensing to develop robust video encoding and decoding algorithms that degrade smoothly with bit errors and packet loss. Implementation results from an indoor wireless testbed show that Digital Rain significantly improves the received video quality and the number of supported receivers.",12 p.,MIT-CSAIL-TR-2008-063,Wireless networks; Video streaming; Multicast,One Video Stream to Serve Diverse Receivers,,,,,,,,
Anant Agarwal,"Agarwal, Anant; Psota, James; Eastep, Jonathan; Konstantakopoulos, Theodoros",Computer Architecture,2008-11-14T05:00:09Z,2008-11-14T05:00:09Z,2008-11-11,http://hdl.handle.net/1721.1/43707,"On-chip interconnection networks (OCNs) such as point-to-point networks and buses form the communication backbone in systems-on-a-chip, multicore processors, and tiled processors. OCNs can consume significant portions of a chip's energy budget, so analyzing their energy consumption early in the design cycle becomes important for architectural design decisions. Although numerous studies have examined OCN implementation and performance, few have examined energy. This paper develops an analytical framework for energy estimation in OCNs and presents results based on both analytical models of communication patterns and real network traces from applications running on a tiled multicore processor. Our analytical framework supports arbitrary OCN topologies under arbitrary communication patterns while accounting for wire length, switch energy, and network contention. It is the first to incorporate the effects of communication locality and network contention, and use real traces extensively. This paper compares the energy of point-to-point networks against buses under varying degrees of communication locality. The results indicate that, for 16 or more processors, a one-dimensional and a two-dimensional point-to-point network provide 66% and 82% energy savings, respectively, over a bus assuming that processors communicate with equal likelihood. The energy savings increase for patterns which exhibit locality. For the two-dimensional point-to-point OCN of the Raw tiled microprocessor, contention contributes a maximum of just 23% of the OCN energy, using estimated values for channel, switch control logic, and switch queue buffer energy of 34.5pJ, 17pJ, and 12pJ, respectively. Our results show that the energy-delay product per message decreases with increasing processor message injection rate.",24 p.,MIT-CSAIL-TR-2008-066,on-chip networks; multicore; energy scalability,Energy Scalability of On-Chip Interconnection Networks in Multicore Architectures,,,,,,,,
John Leonard,"Benjamin, Michael R.","Robotics, Vision & Sensor Networks",2008-11-14T05:00:20Z,2008-11-14T05:00:20Z,2008-11-11,http://hdl.handle.net/1721.1/43708,This document describes seven common MOOS-IvP autonomy tools. The uHelmScope application provides a run-time scoping window into the state of an active IvP Helm executing its mission. The pMarineViewer application is a geo-based GUI tool for rendering marine vehicles and certain autonomy properties in their operational area. The uXMS application is a terminal based tool for live scoping on a MOOSDB process. The uTermCommand application is a terminal based tool for poking the MOOSDB with a set of MOOS file pre-defined variable-value pairs selectable with tab-completion of aliases from the command-line. The pEchoVar application provides a way of echoing an observed write to a variable with a new write with the same value to a different variable name. The uProcessWatch application is a way of monitoring the presence or absence of a set of MOOS processes and summarizing the collective status in a single MOOS variable. The uPokeDB application is a way of poking a MOOSDB from the command line with one or more variable-value pairs without any pre-existing configuration of a MOOS file.,46 p.,MIT-CSAIL-TR-2008-065,MOOS Poke; Marine Robotics; IvP Helm; MOOS; MOOS Scope; Helm Scope,MOOS-IvP Autonomy Tools Users Manual,,,,,,,,
Silvio Micali,"Micali, Silvio; Valiant, Paul",Theory of Computation,2008-11-14T05:00:26Z,2008-11-14T05:00:26Z,2008-11-13,http://hdl.handle.net/1721.1/43709,"Dominant-strategy truthfulness is traditionally considered the best possible solution concept in mechanism design, as it enables one to predict with confidence which strategies INDEPENDENT players will actually choose. Yet, as with any other form of equilibrium, it too can be extremely vulnerable to COLLUSION. The problem of collusion is particularly evident for UNRESTRICTED combinatorial auctions}, arguably the hardest type of auctions.We thus investigate how much revenue can be guaranteed, in unrestricted combinatorial auctions, by dominant-strategy-truthful mechanisms that are COLLUSION-RESILIENT in a very strong sense; and obtain almost matching upper- and lower-bounds.",18 p.,MIT-CSAIL-TR-2008-067,Resilient mechanism design,Resilient Mechanisms For Truly Combinatorial Auctions,,,,,,,,MIT-CSAIL-TR-2008-039; MIT-CSAIL-TR-2007-052
Nancy Lynch,"Lynch, Nancy; Pereira, Olivier; Kaynar, Dilsun; Cheung, Ling; Canetti, Ran",Theory of Computation,2008-11-24T06:00:04Z,2008-11-24T06:00:04Z,2008-11-22,http://hdl.handle.net/1721.1/43711,"For many cryptographic protocols, security relies on the assumption that adversarial entities have limited computational power. This type of security degrades progressively over the lifetime of a protocol. However, some cryptographic services, such as timestamping services or digital archives, are long-lived in nature; they are expected to be secure and operational for a very long time (i.e., super-polynomial). In such cases, security cannot be guaranteed in the traditional sense: a computationally secure protocol may become insecure if the attacker has a super-polynomial number of interactions with the protocol. This paper proposes a new paradigm for the analysis of long-lived security protocols. We allow entities to be active for a potentially unbounded amount of real time, provided they perform only a polynomial amount of work per unit of real time. Moreover, the space used by these entities is allocated dynamically and must be polynomially bounded. We propose a new notion of long-term implementation, which is an adaptation of computational indistinguishability to the long-lived setting. We show that long-term implementation is preserved under polynomial parallel composition and exponential sequential composition. We illustrate the use of this new paradigm by analyzing some security properties of the long-lived timestamping protocol of Haber and Kamat.",27 p.,MIT-CSAIL-TR-2008-068,,"Modeling Computational Security in Long-Lived Systems, Version 2",,,,,,,,
Joshua Tenenbaum,"Tenenbaum, Joshua B.; Jonas, Eric M.; Mansinghka, Vikash K.",Computational Cognitive Science,2008-11-24T16:30:26Z,2008-11-24T16:30:26Z,2008-11-24,http://hdl.handle.net/1721.1/43712,"We introduce combinational stochastic logic, an abstraction that generalizes deterministic digital circuit design (based on Boolean logic gates) to the probabilistic setting. We show how this logic can be combined with techniques from contemporary digital design to generate stateless and stateful circuits for exact and approximate sampling from a range of probability distributions. We focus on Markov chain Monte Carlo algorithms for Markov random fields, using massively parallel circuits. We implement these circuits on commodity reconfigurable logic and estimate the resulting performance in time, space and price. Using our approach, these simple and general algorithms could be affordably run for thousands of iterations on models with hundreds of thousands of variables in real time.",10 p.,MIT-CSAIL-TR-2008-069,cognitive science; robustness; Bayesian inference; artificial intelligence,Stochastic Digital Circuits for Probabilistic Inference,,,,,,,,
Tomaso Poggio,"Caponnetto, Andrea; Poggio, Tomaso; Bouvrie, Jake; Rosasco, Lorenzo; Smale, Steve",Center for Biological and Computational Learning (CBCL),2008-11-27T01:30:05Z,2008-11-27T01:30:05Z,2008-11-26,http://hdl.handle.net/1721.1/43713,"We propose a natural image representation, the neural response, motivated by the neuroscience of the visual cortex. The inner product defined by the neural response leads to a similarity measure between functions which we call the derived kernel. Based on a hierarchical architecture, we give a recursive definition of the neural response and associated derived kernel. The derived kernel can be used in a variety of application domains such as classification of images, strings of text and genomics data.",25 p.,MIT-CSAIL-TR-2008-070; CBCL-276,neuroscience; computer vision; kernels,Mathematics of the Neural Response,,,,,,,,
