dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.identifier.other,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri
"Lynch, Nancy A.; Segala, Roberto; Vaandrager, Frits",2023-03-30T15:32:47Z,2023-03-29T15:34:34Z; 2023-03-30T15:32:47Z,2002-02,https://hdl.handle.net/1721.1/149930.2,MIT-LCS-TR-827b,Hybrid I/O Automata*,,"Hybrid systems are systems that exhibit a combination of discrete and continuous behavior. Typical hybrid systems include computer components, which operate in discrete program steps, and real-world components, whose behavior over time intervals evolves according to physical constraints. Important examples of hybrid systems include automated transportation systems, robotics systems, process control systems, systems of embedded devices, and mobile computing systems. Such systems can be very complex, and very difficult to describe and analyze. This paper presents the Hybrid Input/Output Automaton (HIOA) modeling framework, a basic mathematical framework to support description and analysis of hybrid systems. An important feature of this model is its support for decomposing hybrid system descriptions. In particular, the framework includes a notion of external behavior for a hybrid I/O automaton, which captures its discrete and continuous interactions with its environment. The framework also defines what it means for one HIOA to implement another, based on an inclusion relationship between their external behavior sets, and defines a notion of simulation, which provides a sufficient condition for demonstrating implementation relationships. The framework also includes a composition operation for HIOAs, which respects external behavior, and a notion of receptiveness, which implies that an HIOA does not block the passage of time. The framework is intended to support analysis methods from both computer science and control theory. This work is a simplification of an earlier version of the HIOA model [49, 50]. The main simplification in the new model is a clearer separation between the mechanisms used to model discrete and continuous interaction between components. In particular, the new model removes the dual use of external variables for discrete and continuous interaction.",,,,,,,,
"Thies, William F.; Karczmarek, Michael; Gordon, Michael; Maze, David; Wong, Jeremy; Hoffmann, Henry; Brown, Matthew; Amarasinghe, Saman",2023-03-29T14:42:29Z,2023-03-29T14:42:29Z,2002-02,https://hdl.handle.net/1721.1/149311,MIT-LCS-TM-622,StreamIT: A Complier for Streaming Applications,,"Streaming programs represent an increasingly important and widespread class of applications that holds unprecedented opportunitie sfor high-impact compiler technology. Unlike sequential programs with obscured dependence information and complex communication patterns, a stream program is naturally written as a set of concurrent filters with regular steady-state communication. The StreamIt language aims to provide a natural, high-level syntax that improves programmer productivity in the streaming domain. At the same time, the language imposes a hierarchical structure on the stream graph that enables novel representations and optimizations within the StreamIt compiler. We define the ""stream dependence function,"" a fundamental relationship between the input channels of two filters in a stream graph. We also describe a suite of stream optimizations, a denotational semantics for validating these optimizations, and a novel phased scheduling algorithm for stream graphs. In addition, we have implemented a prototype of the StreamIt optimizing compiler that is showing promising results.",,,,,,,,
"DeCouto, Douglas S.J.; Aguayo, Daniel; Chambers, Benjamin A.; Morris, Robert",2023-03-29T15:35:12Z,2023-03-29T15:35:12Z,2002-03,https://hdl.handle.net/1721.1/149938,MIT-LCS-TR-836,Effects of Loss Rate on Ad Hoc Wireless Routing,,"This paper uses measurements from two deployed wireless ad hoc networks to illustrate the effects of link loss rates on routing protocol performance. Measurements of these networks show that the radio links between the majority of nodes have substantial loss rates. These loss rates are high enough to prevent existing ad hoc routing protocols from using the links. Link-level retransmission can mask high loss rates, at the cost of substantial decreases in throughput. Simulations, driven by the observed loss rates, show that the shortest paths chosen by existing routing protocols tend to find routes with much less capacity than is available along the best route. Based on these observations, we present a routing metric intended to allow routing protocols to find good routes in wireless ad hoc networks. The metric is the expected total number of transmissions required to deliver a packet along a route. This metric favors routes with high throughput and low total impact on spectrum. It is expected to perform better than existing techniques that eliminate links based on loss rate thresholds.",,,,,,,,
"Boyapati, Chandrasekhar; Lee, Robert; Rinard, Martin",2023-03-29T15:35:19Z,2023-03-29T15:35:19Z,2002-03,https://hdl.handle.net/1721.1/149941,MIT-LCS-TR-839,A Type System for Preventing Data Races and Deadlocks in Java Programs,,,,,,,,,,
"Gordon, Michael; Thies, William; Karczmarek, Michael; Wong, Jeremy; Hoffmann, Henry; Maze, David; Amarasinghe, Saman",2023-03-29T14:42:42Z,2023-03-29T14:42:42Z,2002-03,https://hdl.handle.net/1721.1/149316,MIT-LCS-TM-627,A Stream Compiler for Communication-Exposed Architectures,,"With the increasing miniturization of transistors, wire delays are becoming a dominant factor in microprocessor performance. To address this issue, a number of emerging architectures contain replicated processing units with software-exposed communication between one unit and another (e.g., Raw, iWarp, SmartMemories). However, for their use to be widespread, it will be necessary to develop compiler technology that enables a portable, high-level language to execute efficiently across a range of wire-exposed architectures. In this paper, we describe our compiler for StreamIt: a high-level, architecture-independent language for streaming applications. We focus on our backend for the Raw processor. Though StreamIt exposes the parallelism and communication patterns of stream programs, much analysis is needed to adapt a stream program to a parallel stream processor. We describe fission and fusion transformations that can be used to adjust the granularity of a stream graph, a layout algorithm for mapping a stream graph to a given network topology, and a scheduling algorithm for generating a fine-grained static communication pattern for each computational element. We have implemented a fully functional compiler that parallelizes StreamIt applications for Raw, including several load-balancing optimizations. Using the cycle-accurate Raw simulator, we demonstrate that these optimizations can improve performance by up to 145%. We consider this work to be a first step towards a portable programming model for communication-exposed architectures.",,,,,,,,
"Chen, Benjie; Morris, Robert T.",2023-03-29T15:35:15Z,2023-03-29T15:35:15Z,2002-03,https://hdl.handle.net/1721.1/149939,MIT-LCS-TR-837,L+: Scalable Landmark Routing and Address Lookup for Multi-hop Wireless Networks,,,,,,,,,,
"Demaine, Erik D.; Hajiaghayi, Mohammad Taghi; Thilikos, Dimitrios M.",2023-03-29T15:35:17Z,2023-03-29T15:35:17Z,2002-03,https://hdl.handle.net/1721.1/149940,MIT-LCS-TR-838,"Exponential Speedup of Fixed Parameter Algorithms K_{3,3}-minor-free or K_5-minor-free Graphs",,,,,,,,,,
"Poggio, Tomaso; Rifkin, Ryan; Mukherjee, Sayan; Rakhlin, Alex",2004-10-20T21:04:57Z,2004-10-20T21:04:57Z,2002-03-01,http://hdl.handle.net/1721.1/7268,AIM-2002-003; CBCL-214,Bagging Regularizes,AIM-2002-003; CBCL-214,"Intuitively, we expect that averaging --- or  bagging --- different regressors with low correlation should  smooth their behavior and be somewhat similar to regularization. In this  note we make this intuition precise. Using an almost classical  definition of stability, we prove that a certain form of averaging  provides generalization bounds with a rate of convergence of the  same order as Tikhonov regularization --- similar to fashionable RKHS-based learning algorithms.",7 p.; 906324 bytes; 285651 bytes,application/postscript; application/pdf,en_US,AI; Bagging; stability; regularization,,,,
"Sollins, Karen R.",2008-10-29T18:30:09Z,2008-10-29T18:30:09Z,2002-03-01,http://hdl.handle.net/1721.1/42898,MIT-CSAIL-TR-2008-064,Recursively invoking Linnaeus: A Taxonomy for Naming Systems,,"Naming is a central element of a distributed or network system design. Appropriate design choices are central. This paper explores a taxonomy of naming systems, and engineering tradeoffs as an aid to the namespace designer. The three orthogonal components of the taxonomy are the characteristics of the namespace itself, name assignment, and name resolution. Within each of these, we explore a number of distinct characteristics. The position of this paper is that engineering design of naming systems should be informed by the possibilities and tradeoffs that those possibilities represent. The paper includes a review of a sampling of naming system designs that reflect different choices within the taxonomy and discussion about why those choices were made.",11 p.,,,Identification; Namespace management; Namespace definition,Advanced Network Architecture,"This effort was sponsored by the Defense Advanced Research Projects Agency (DARPA) and Air Force Research Laboratory, Air Force Materiel Command, USAF, under agreement number F30602-00-2-0553.",Creative Commons Attribution-No Derivative Works 3.0 Unported,http://creativecommons.org/licenses/by-nd/3.0/
"Knoblich, Ulf; Riesenhuber, Maximilan",2004-10-20T21:04:59Z,2004-10-20T21:04:59Z,2002-03-15,http://hdl.handle.net/1721.1/7269,AIM-2002-004; CBCL-215,Stimulus Simplification and Object Representation: A Modeling Study,AIM-2002-004; CBCL-215,"Tsunoda et al. (2001) recently studied the  nature of object representation in monkey  inferotemporal cortex using a combination of  optical imaging and extracellular recordings.  In particular, they examined IT neuron  responses to complex natural objects and  ""simplified"" versions thereof. In that study, in  42% of the cases, optical imaging revealed a  decrease in the number of activation patches  in IT as stimuli were ""simplified"". However, in  58% of the cases, ""simplification"" of the  stimuli actually led to the appearance of  additional activation patches in IT. Based on  these results, the authors propose a scheme  in which an object is represented by  combinations of active and inactive columns  coding for individual features.  We examine the patterns of activation caused  by the same stimuli as used by Tsunoda et al.  in our model of object recognition in cortex  (Riesenhuber 99). We find that object-tuned  units can show a pattern of appearance and  disappearance of features identical to the  experiment. Thus, the data of Tsunoda et al.  appear to be in quantitative agreement with a  simple object-based representation in which  an object's identity is coded by its similarities  to reference objects. Moreover, the agreement  of simulations and experiment suggests that  the simplification procedure used by Tsunoda  (2001) is not necessarily an accurate method  to determine neuronal tuning.",7 p.; 1367647 bytes; 641994 bytes,application/postscript; application/pdf,en_US,AI; computational neuroscience object recognition representation simplification,,,,
