dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.date.updated,dc.relation.isreferencedby,dc.relation.uri,dc.relation,dc.rights,dc.rights.uri,dc.contributor,dc.identifier.citation
Julie A Shah,"Kim, Been; Glassman, Elena; Johnson, Brittney; Shah, Julie",Interactive Robotics Group,2015-04-01T17:30:03Z,2015-04-01T17:30:03Z,2015-04-01,http://hdl.handle.net/1721.1/96315,,"Clustering methods optimize the partitioning of data points with respect to an internal metric, such as likelihood, in order to approximate the goodness of clustering. However, this internal metric does not necessarily translate into effective clustering from the user's perspective. This work presents the interactive Bayesian Case Model (iBCM), a model that opens a communication channel between the clustering model and the user. Users can provide direct input to iBCM in order to achieve effective clustering results, and iBCM optimizes the clustering by creating a balance between what the data indicate and what makes the most sense to the user. This model provides feedback for users and does not assume any prior knowledge of machine learning on their part. We provide quantitative evidence that users are able to obtain more satisfactory clustering results through iBCM than without an interactive model. We also demonstrate the use of this method in a real-world setting where computer language class teachers utilize iBCM to cluster students' coding assignments for grading.",10 p.,MIT-CSAIL-TR-2015-010,interactive machine learning; machine learning; user interaction,iBCM: Interactive Bayesian Case Model Empowering Humans via Intuitive Interaction,2015-04-01T17:30:03Z,,,,,,,
Daniel Sanchez,"Beckmann, Nathan; Sanchez, Daniel",Computation Structures,2015-04-10T18:45:07Z,2015-04-10T18:45:07Z,2015-04-09,http://hdl.handle.net/1721.1/96525,,"Modern processors use high-performance cache replacement policies that outperform traditional alternatives like least-recently used (LRU). Unfortunately, current cache models use stack distances to predict LRU or its variants, and cannot capture these high-performance policies. Accurate predictions of cache performance enable many optimizations in multicore systems. For example, cache partitioning uses these predictions to divide capacity among applications in order to maximize performance, guarantee quality of service, or achieve other system objectives. Without an accurate model for high-performance replacement policies, these optimizations are unavailable to modern processors. We present a new probabilistic cache model designed for high-performance replacement policies. This model uses absolute reuse distances instead of stack distances, which makes it applicable to arbitrary age-based replacement policies. We thoroughly validate our model on several high-performance policies on synthetic and real benchmarks, where its median error is less than 1%. Finally, we present two case studies showing how to use the model to improve shared and single-stream cache performance.",15 p.,MIT-CSAIL-TR-2015-011,,A Cache Model for Modern Processors,2015-04-10T18:45:07Z,,,,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,
Martin Rinard,"Sidiroglou-Douskos, Stelios; Davis, Eli; Rinard, Martin",Program Analysis,2015-04-14T20:45:09Z,2015-04-14T20:45:09Z,2015-04-14,http://hdl.handle.net/1721.1/96585,,"We present a new horizontal code transfer technique, program fracture and recombination, for automatically replacing, deleting, and/or combining code from multiple applications. Benefits include automatic generation of new applications incorporating the best or most desirable functionality developed anywhere, the automatic elimination of security vulnerabilities, effective software rejuvenation, the automatic elimination of obsolete or undesirable functionality, and improved performance, simplicity, analyzability, and clarity.",12 p.,MIT-CSAIL-TR-2015-012,program fracture and recombination; horizontal code transfer,Horizontal Code Transfer via Program Fracture and Recombination,2015-04-14T20:45:10Z,,,,,,,
Martin Rinard,"Sidiroglou-Douskos, Stelios; Lahtinen, Eric; Long, Fan; Rinard, Martin",Program Analysis,2015-04-15T21:30:04Z,2015-04-15T21:30:04Z,2015-04-15,http://hdl.handle.net/1721.1/96625,,"We present Code Phage (CP), a system for automatically transferring correct code from donor applications into recipient applications that process the same inputs to successfully eliminate errors in the recipient. Experimental results using seven donor applications to eliminate ten errors in seven recipient applications highlight the ability of CP to transfer code across applications to eliminate out of bounds access, integer overflow, and divide by zero errors. Because CP works with binary donors with no need for source code or symbolic information, it supports a wide range of use cases. To the best of our knowledge, CP is the first system to automatically transfer code across multiple applications.",15 p.,MIT-CSAIL-TR-2015-013,,Automatic Error Elimination by Horizontal Code Transfer Across Multiple Applications,2015-04-15T21:30:04Z,,,,,,,
Nick Roy,"Richter, Charles; Vega-Brown, William; Roy, Nicholas","Robotics, Vision & Sensor Networks",2015-05-01T21:15:04Z,2015-05-01T21:15:04Z,2015-04-27,http://hdl.handle.net/1721.1/96879,,We document two environment-generating distributions used for sampling random 2D maps. The first generates random hallway environments based on a Markov chain and the second generates random forest environments based on the Poisson distribution.,2 p.,MIT-CSAIL-TR-2015-014,,Markov Chain Hallway and Poisson Forest Environment Generating Distributions,2015-05-01T21:15:04Z,,,,,,,
Martin Rinard,"Rubin, Julia; Gordon, Michael I.; Nguyen, Nguyen; Rinard, Martin",Program Analysis,2015-05-04T20:30:03Z,2015-05-04T20:30:03Z,2015-05-04,http://hdl.handle.net/1721.1/96909,,"This paper studies communication patterns in mobile applications. Our analysis shows that 65% of the HTTP, socket, and RPC communication in top-popular Android applications from Google Play have no effect on the user-observable application functionality. We present a static analysis that is able to detect non-essential communication with 84%-90% precision and 63%-64% recall, depending on whether advertisement content is interpreted as essential or not. We use our technique to analyze the 500 top-popular Android applications from Google Play and determine that more than 80% of the connection statements in these applications are non-essential.",11 p.,MIT-CSAIL-TR-2015-015,,Non-Essential Communication in Mobile Applications,2015-05-04T20:30:03Z,,,,,,,
Nancy Lynch,"Lynch, Nancy; Newport, Calvin",Theory of Computation,2015-05-18T20:00:06Z,2015-05-18T20:00:06Z,2015-05-18,http://hdl.handle.net/1721.1/97014,,"In this paper, we implement an efficient local broadcast service for the dual graph model, which describes communication in a radio network with both reliable and unreliable links. Our local broadcast service offers probabilistic latency guarantees for: (1) message delivery to all reliable neighbors (i.e., neighbors connected by reliable links), and (2) receiving some message when one or more reliable neighbors are broadcasting. This service significantly simplifies the design and analysis of algorithms for the otherwise challenging dual graph model. To this end, we also note that our solution can be interpreted as an implementation of the abstract MAC layer specification---therefore translating the growing corpus of algorithmic results studied on top of this layer to the dual graph model. At the core of our service is a seed agreement routine which enables nodes in the network to achieve ""good enough"" coordination to overcome the difficulties of unpredictable link behavior. Because this routine has potential application to other problems in this setting, we capture it with a formal specification---simplifying its reuse in other algorithms. Finally, we note that in a break from much work on distributed radio network algorithms, our problem definitions (including error bounds), implementation, and analysis do not depend on global network parameters such as the network size, a goal which required new analysis techniques. We argue that breaking the dependence of these algorithms on global parameters makes more sense and aligns better with the rise of ubiquitous computing, where devices will be increasingly working locally in an otherwise massive network. Our push for locality, in other words, is a contribution independent of the specific radio network model and problem studied here.",27 p.,MIT-CSAIL-TR-2015-016,,A (Truly) Local Broadcast Layer for Unreliable Radio Networks,2015-05-18T20:00:07Z,,,,,,,
Martin Rinard,"Qi, Zichao; Long, Fan; Achour, Sara; Rinard, Martin",Computer Architecture,2015-05-21T21:00:09Z,2015-05-21T21:00:09Z,2015-05-21,http://hdl.handle.net/1721.1/97051,,"We analyze reported patches for three prior generate-and-validate patch generation systems (GenProg, RSRepair, and AE). Because of errors in the patch evaluation infrastructure, the majority of the reported patches violate the basic principle behind the design of these systems   they do not produce correct outputs even for the inputs in the test suite used to validate the patches. We also show that the overwhelming majority of the accepted patches are not correct and are equivalent to a single modification that simply deletes functionality. We also present Kali, a generate-and-validate patch generation system that only deletes functionality. Working with a simpler and more effectively focused search space, Kali generates at least as many correct patches as prior GenProg, RSRepair, and AE systems. Kali also generates at least as many patches that produce correct outputs for the inputs in the validation test suite as the three prior systems. We also discuss the patches produced by ClearView, a generate-and-validate binary hot patching system that leverages learned invariants to produce patches that enable systems to survive otherwise fatal defects and security attacks. Our analysis indicates that ClearView successfully patches 9 of the 10 security vulnerabilities used to evaluate the system. At least 4 of these patches are correct.",13152246 bytes,,Automatic Repair; Patch Analysis; Function Elimination,An Analysis of Patch Plausibility and Correctness for Generate-And-Validate Patch Generation Systems (Supplementary Material),2015-05-21T21:00:09Z,,,,,,,
Martin Rinard,"Qi, Zichao; Long, Fan; Achour, Sara; Rinard, Martin",Program Analysis,2015-05-26T23:00:02Z,2015-05-26T23:00:02Z,2015-05-26,http://hdl.handle.net/1721.1/97089,,"We analyze reported patches for three existing generate-and-validate patch generation systems (GenProg, RSRepair, and AE). The basic principle behind generate-and-validate systems is to accept only plausible patches that produce correct outputs for all inputs in the test suite used to validate the patches. Because of errors in the patch evaluation infrastructure, the majority of the reported patches are not plausible --- they do not produce correct outputs even for the inputs in the validation test suite. The overwhelming majority of the reported patches are not correct and are equivalent to a single modification that simply deletes functionality. Observed negative effects include the introduction of security vulnerabilities and the elimination of desirable standard functionality. We also present Kali, a generate-and-validate patch generation system that only deletes functionality. Working with a simpler and more effectively focused search space, Kali generates at least as many correct patches as prior GenProg, RSRepair, and AE systems. Kali also generates at least as many patches that produce correct outputs for the inputs in the validation test suite as the three prior systems. We also discuss patches produced by ClearView, a generate-and-validate binary hot patching system that leverages learned invariants to produce patches that enable systems to survive otherwise fatal defects and security attacks. Our analysis indicates that ClearView successfully patches 9 of the 10 security vulnerabilities used to evaluate the system. At least 4 of these patches are correct.",24 p.,MIT-CSAIL-TR-2015-020,,An Analysis of Patch Plausibility and Correctness for Generate-And-Validate Patch Generation Systems,2015-05-26T23:00:02Z,,,,,,,
Martin Rinard,"Sidiroglou-Douskos, Stelios; Lahtinen, Eric; Rinard, Martin",Program Analysis,2015-05-26T21:30:02Z,2015-05-26T21:30:02Z,2015-05-26,http://hdl.handle.net/1721.1/97087,,"We present Targeted Automatic Patching (TAP), an automatic buffer and integer overflow discovery and patching system. Starting with an application and a seed input that the application processes correctly, TAP dynamically analyzes the execution of the application to locate target memory allocation sites and statements that access dynamically or statically allocated blocks of memory. It then uses targeted error-discovery techniques to automatically generate inputs that trigger integer and/or buffer overflows at the target sites. When it discovers a buffer or integer overflow error, TAP automatically matches and applies patch templates to generate patches that eliminate the error. Our experimental results show that TAP successfully discovers and patches two buffer and six integer overflow errors in six real-world applications.",10 p.,MIT-CSAIL-TR-2015-018,,Automatic Discovery and Patching of Buffer and Integer Overflow Errors,2015-05-26T21:30:03Z,,,,,,,
