dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.rights,dc.rights.uri,dc.subject,dc.title,dc.contributor,dc.description.sponsorship,dc.language.rfc3066,dc.format.mimetype,dc.description
Silvio Micali,"Chen, Jinc; Micali, Silvio",Theory of Computation,2011-04-22T18:45:10Z,2011-04-22T18:45:10Z,2011-04-22,http://hdl.handle.net/1721.1/62301,"Fifty years ago, Vickrey published his famous mechanism for auctioning a single good in limited supply. The main property of Vickrey's mechanism is efficiency in dominant strategies. In absence of collusion, this is a wonderful efficiency guarantee. We note, however, that collusion is far from rare in auctions, and if some colluders exist and have some wrong beliefs, then the Vickrey mechanism dramatically loses its efficiency. Accordingly, we put forward a new mechanism that, despite unconstrained collusion, guarantees efficiency by providing a richer set of strategies and ensuring that it is dominant for every player to reveal truthfully not only his own valuation, but also with whom he is colluding, if he is indeed colluding with someone else. Our approach meaningfully bypasses prior impossibility proofs.",10 p.,MIT-CSAIL-TR-2011-025,,,Collusion; Auctions; Efficiency,Collusive Dominant-Strategy Truthfulness,,,,,
,"Jayaraman, Karthick; Ganesh, Vijay; Tripunitara, Mahesh; Rinard, Martin C.; Chapin, Steve J.",Program Analysis,2011-04-28T20:30:11Z,2011-04-28T20:30:11Z,2011-04-27,http://hdl.handle.net/1721.1/62562,"Administrative role-based access control (ARBAC) is the first comprehensive administrative model proposed for role-based access control (RBAC). ARBAC has several features for designing highly expressive policies, but current work has not highlighted the utility of these expressive policies. In this report, we present a case study of designing an ARBAC policy for a bank comprising 18 branches. Using this case study we provide an assessment about the features of ARBAC that are likely to be used in realistic policies.",6 p.,MIT-CSAIL-TR-2011-026,Creative Commons Attribution-NoDerivs 3.0 Unported,http://creativecommons.org/licenses/by-nd/3.0/,ARBAC policy; computer security; access control,ARBAC Policy for a Large Multi-National Bank,,,en-US,,
Srini Devadas,"Shim, Keun Sup; Cho, Myong Hyon; Lis, Mieszko; Khan, Omer; Devadas, Srinivas",Computation Structures,2011-05-03T21:15:13Z,2011-05-03T21:15:13Z,2011-05-02,http://hdl.handle.net/1721.1/62580,"Directory-based cache coherence is a popular mechanism for chip multiprocessors and multicores. The directory protocol, however, requires multicast for invalidation messages and the collection of acknowledgement messages, which can be expensive in terms of latency and network traffic. Furthermore, the size of the directory increases with the number of cores. We present Library Cache Coherence (LCC), which requires neither broadcast/multicast for invalidations nor waiting for invalidation acknowledgements. A library is a set of timestamps that are used to auto-invalidate shared cache lines, and delay writes on the lines until all shared copies expire. The size of library is independent of the number of cores. By removing the complex invalidation process of directory-based cache coherence protocols, LCC generates fewer network messages. At the same time, LCC also allows reads on a cache block to take place while a write to the block is being delayed, without breaking sequential consistency. As a result, LCC has 1.85X less average memory latency than a MESI directory-based protocol on our set of benchmarks, even with a simple timestamp choosing algorithm; moreover, our experimental results on LCC with an ideal timestamp scheme (though not implementable) show the potential of further improvement for LCC with more sophisticated timestamp schemes.",6 p.,MIT-CSAIL-TR-2011-027,,,multicore; cache coherence,Library Cache Coherence,,,en-US,,
David Clark,"Heikkinen, Mikko V. J.; Berger, Arthur W.",Advanced Network Architecture,2011-05-03T21:15:05Z,2011-05-03T21:15:05Z,2011-05-03,http://hdl.handle.net/1721.1/62579,"We compare Web traffic characteristics of mobile- versus fixed-access end-hosts, where herein the term ""mobile"" refers to access via cell towers, using for example the 3G/UMTS standard, and the term ""fixed"" includes Wi-Fi access. It is well-known that connection speeds are in general slower over mobile-access networks, and also that often there is higher packet loss. We were curious whether this leads mobile-access users to have smaller connections. We examined the distribution of the number of bytes-per-connection, and packet loss from a sampling of logs from servers of Akamai Technologies. We obtained 149 million connections, across 57 countries. The mean bytes-per-connection was typically larger for fixed-access: for two-thirds of the countries, it was at least one-third larger. Regarding distributions, we found that the difference between the bytes-per-connection for mobile- versus fixed-access, as well as the packet loss, was statistically significant for each of the countries; however the visual difference in plots is typically small. For some countries, mobile-access had the larger connections. As expected, mobile-access often had higher loss than fixed-access, but the reverse pertained for some countries. Typically packet loss increased during the busy period of the day, when mobile-access had a larger increase. Comparing our results from 2010 to those from 2009 of the same time period, we found that connections have become a bit smaller.",20 p.,MIT-CSAIL-TR-2011-028,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,,Comparison of User Traffic Characteristics on Mobile-Access versus Fixed-Access Networks,,,en-US,,
Patrick Winston,"Finlayson, Mark Alan; Kulkarni, Nidhi",Genesis,2011-05-09T19:30:09Z,2011-05-09T19:30:09Z,2011-05-09,http://hdl.handle.net/1721.1/62792,"Contains the source code and data necessary to run all computations described in the following two papers: Finlayson, Mark A. and Kulkarni, Nidhi (2011) ""Detecting Multi-Word Expressions improves Word Sense Disambiguation"", in Proceedings of the 2011 Workshop on Multiword Expressions, held at ACL'2011 in Portland, OR; Kulkarni, Nidhi and Finlayson, Mark A. (2011) ""jMWE: A Java Toolkit for Detecting Multi-Word Expressions"" in Proceedings of the 2011 Workshop on Multiword Expressions, held at ACL'2011 in Portland, OR.",45241266 bytes,,,,Multi-word expressions; MWE; Java; Supplementary material,Source code and data for MWE'2011 papers,,,,application/zip,
David Clark,"García, Rubén",Advanced Network Architecture,2011-05-11T07:15:47Z,2011-05-11T07:15:47Z,2011-05-10,http://hdl.handle.net/1721.1/62812,"Supplemental materials for the master thesis ""Understanding the Performance of Broadband Networks Through the Statistical Analysis of Speed Tests"", by Rubén García, submitted in May 2011 for the S.M. in Technology and Policy. Supplemental materials include: Source_code: Folder containing the source code for the statistical analysis of NDT speed tests, written for the R statistical package; NDT_data: Folder containing the following datasets (1) ndt4.h5: Initial NDT data that we used for the analysis; (2) ndt3.h5: Reduced version of the ndt4 dataset (same tests but less variables), also contains the 'whois' file that we combine with the NDT data in order to add location information; (3) comcast-ndt.h5: dataset containing the speed tests of a controlled experiment that we ran using different test durations; Aggregated_datasets: Versions of the ndt4.h5 dataset aggregated by IP and by Autonomous System.",241484228 bytes,,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported,http://creativecommons.org/licenses/by-nc-sa/3.0/,Web100; NDT,Understanding the Performance of Broadband Networks through the Statistical Analysis of Speed Tests - Supplemental materials,,,,,
Tomaso Poggio,"Mroueh, Youssef; Poggio, Tomaso; Rosasco, Lorenzo",Center for Biological and Computational Learning (CBCL),2011-06-03T15:15:06Z,2011-06-03T15:15:06Z,2011-06-03,http://hdl.handle.net/1721.1/63175,In this work we discuss a regularization framework to solve multi-category when the classes are described by an underlying class taxonomy. In particular we discuss how to learn the class taxonomy while learning a multi-category classifier.,5 p.,MIT-CSAIL-TR-2011-029; CBCL-299,,,computational learning; classification,Regularization Predicts While Discovering Taxonomy,,"This research was sponsored by grants from DARPA (IPTO and DSO), National Science Foundation (NSF-0640097, NSF-0827427), AFSOR-THRL (FA8650-05-C-7262) Additional support was provided by: Adobe, Honda Research Institute USA, King Abdullah University Science and Technology grant to B. DeVore, NEC, Sony and especially by the Eugene McDermott Foundation",en-US,,
Karen Sollins,"Guo, Nina X.",Advanced Network Architecture,2011-06-07T21:15:04Z,2011-06-07T21:15:04Z,2011-06-07,http://hdl.handle.net/1721.1/63260,"This thesis analyzes scalable information-sharing network management. It looks into one of the large problems in network management today: finding information across different network domains. Information-sharing network management is a method to solving the problem, though it is important to make it scalable. The solution proposed uses the Publish-Subscribe Internet Routing Paradigm (PSIRP) inter-domain design as the base structure. The design borrows from Border Gateway Protocol ideas and uses the Chord protocol as one of the key methods of finding information. The conclusion after analyzing the scalability of PSIRP is that its use of Chord gives it an advantage that allows a O(log^2 N) tradeoff between performance and distribution.",56 p.,MIT-CSAIL-TR-2011-030,,,"network management, scalability, information-centric networking, inter-domain routing",Scalable Information-Sharing Network Management,,,en-US,,MEng thesis
Tomaso Poggio,"Isik, Leyla; Leibo, Joel Z.; Mutch, Jim; Lee, Sang Wan; Poggio, Tomaso",Center for Biological and Computational Learning (CBCL),2011-06-20T19:45:08Z,2011-06-20T19:45:08Z,2011-06-17,http://hdl.handle.net/1721.1/64621,"We present a peripheral vision model inspired by the cortical architecture discovered by Hubel and Wiesel. As with existing cortical models, this model contains alternating layers of simple cells, which employ tuning functions to increase specificity, and complex cells, which pool over simple cells to increase invariance. To extend the traditional cortical model, we introduce the option of eccentricity-dependent pooling and tuning parameters within a given model layer. This peripheral vision system can be used to model physiological data where receptive field sizes change as a function of eccentricity. This gives the user flexibility to test different theories about filtering and pooling ranges in the periphery. In a specific instantiation of the model, pooling and tuning parameters can increase linearly with eccentricity to model physiological data found in different layers of the visual cortex. Additionally, it can be used to introduce pre-cortical model layers such as retina and LGN. We have tested the model s response with different parameters on several natural images to demonstrate its effectiveness as a research tool. The peripheral vision model presents a useful tool to test theories about crowding, attention, visual search, and other phenomena of peripheral vision.",13 p.,MIT-CSAIL-TR-2011-031; CBCL-300,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,"peripheral vision, computational neuroscience, HMAX",A hierarchical model of peripheral vision,,"This work was supported by the following grants: NSF-0640097, NSF-0827427, NSF-0645960, DARPA-DSO, AFSOR FA8650-50-C-7262, AFSOR FA9550-09-1-0606.",en-US,,
Robert Morris,"Boyd-Wickizer, Silas; Kaashoek, M. Frans; Morris, Robert; Zeldovich, Nickolai",Parallel and Distributed Operating Systems,2011-06-28T21:45:22Z,2011-06-28T21:45:22Z,2011-06-28,http://hdl.handle.net/1721.1/64698,"Multicore chips will have large amounts of fast on-chip cache memory, along with relatively slow DRAM interfaces. The on-chip cache memory, however, will be fragmented and spread over the chip; this distributed arrangement is hard for certain kinds of applications to exploit efficiently, and can lead to needless slow DRAM accesses. First, data accessed from many cores may be duplicated in many caches, reducing the amount of distinct data cached. Second, data in a cache distant from the accessing core may be slow to fetch via the cache coherence protocol. Third, software on each core can only allocate space in the small fraction of total cache memory that is local to that core. A new approach called software cache unification (SCU) addresses these challenges for applications that would be better served by a large shared cache. SCU chooses the on-chip cache in which to cache each item of data. As an application thread reads data items, SCU moves the thread to the core whose on-chip cache contains each item. This allows the thread to read the data quickly if it is already on-chip; if it is not, moving the thread causes the data to be loaded into the chosen on-chip cache. A new file cache for Linux, called MFC, uses SCU to improve performance of file-intensive applications, such as Unix file utilities. An evaluation on a 16-core AMD Opteron machine shows that MFC improves the throughput of file utilities by a factor of 1.6. Experiments with a platform that emulates future machines with less DRAM throughput per core shows that MFC will provide benefit to a growing range of applications.",13 p.,MIT-CSAIL-TR-2011-032,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,A Software Approach to Unifying Multicore Caches,,"This material is based upon work supported by the National Science
Foundation under grant number 0915164.",en-US,,
