dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.subject
"Kaynor, Dilsun K.; Lynch, Nancy; Segala, Roberto; Vaandrager, Frits",Theory of Computation,2005-12-19T22:54:38Z,2005-12-19T22:54:38Z,2005-03-02,MIT-CSAIL-TR-2003-015; MIT-LCS-TR-917a,http://hdl.handle.net/1721.1/30407,"This monograph presents the Timed Input/Output Automaton (TIOA) modeling framework, a basic mathematical framework to support description and analysis of timed systems.",94 p.; 83828733 bytes; 3132366 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,The Theory of Timed I/O Automata,
"Taycher, Leonid; Fisher III, John W.; Darrell, Trevor",,2005-12-22T02:25:14Z,2005-12-22T02:25:14Z,2005-03-02,MIT-CSAIL-TR-2005-016; AIM-2005-008,http://hdl.handle.net/1721.1/30529,"Objects can exhibit different dynamics at different scales, a property that isoftenexploited by visual tracking algorithms. A local dynamicmodel is typically used to extract image features that are then used as inputsto a system for tracking the entire object using a global dynamic model.Approximate local dynamicsmay be brittle---point trackers drift due to image noise and adaptivebackground models adapt to foreground objects that becomestationary---but constraints from the global model can make them more robust.We propose a probabilistic framework for incorporating globaldynamics knowledge into the local feature extraction processes.A global tracking algorithm can beformulated as a generative model and used to predict feature values thatinfluence the observation process of thefeature extractor. We combine such models in a multichain graphicalmodel framework.We show the utility of our framework for improving feature tracking and thusshapeand motion estimates in a batch factorization algorithm.We also propose an approximate filtering algorithm appropriate for onlineapplications, and demonstrate its application to problems such as backgroundsubtraction, structure from motion and articulated body tracking.",0 p.; 44997544 bytes; 4278776 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Combining Object and Feature Dynamics in Probabilistic Tracking,AI; graphical models; feature extraction; tracking
"Grauman, Kristen; Darrell, Trevor",,2005-12-19T23:36:26Z,2005-12-19T23:36:26Z,2005-03-17,MIT-CSAIL-TR-2005-017; AIM-2005-007,http://hdl.handle.net/1721.1/30420,"Discriminative learning is challenging when examples are setsof local image features, and the sets vary in cardinality and lackany sort of meaningful ordering.  Kernel-based classificationmethods can learn complex decision boundaries, but a kernelsimilarity measure for unordered set inputs must somehow solve forcorrespondences -- generally a computationally expensive task thatbecomes impractical for large set sizes.  We present a new fastkernel function which maps unordered feature sets tomulti-resolution histograms and computes a weighted histogramintersection in this space.  This ``pyramid match"" computation islinear in the number of features, and it implicitly findscorrespondences based on the finest resolution histogram cell wherea matched pair first appears. Since the kernel does not penalize thepresence of extra features, it is robust to clutter.  We show thekernel function is positive-definite, making it valid for use inlearning algorithms whose optimal solutions are guaranteed only forMercer kernels.  We demonstrate our algorithm on object recognitiontasks and show it to be dramatically faster than currentapproaches.",12 p.; 68553886 bytes; 13808123 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Pyramid Match Kernels: Discriminative Classification with Sets of Image Features,AI; kernel; unordered sets; correspondence; object recognition
"Rademacher, Luis; Vempala, Santosh; Wang, Grant",Algorithms,2005-12-22T02:25:21Z,2005-12-22T02:25:21Z,2005-03-29,MIT-CSAIL-TR-2005-018; MIT-LCS-TR-983,http://hdl.handle.net/1721.1/30530,"We present two new results for the problem of approximating a given real m by n matrix A by a rank-k matrix D, where k < min{m, n}, so as to minimize ||A-D||_F^2.  It is known that bysampling O(k/eps) rows of the matrix, one can find a low-rank approximation with additive error eps||A||_F^2.  Our first result shows that with adaptive sampling in t rounds and O(k/eps) samples in each round, the additive error drops exponentially as eps^t; the computation time is nearly linear in the number of nonzero entries. This demonstrates that multiple passes can be highly beneficial for a natural (and widely studied) algorithmic problem. Our second result is that there exists a subset of O(k^2/eps) rows such that their span contains a rank-k approximation with multiplicative (1+eps) error (i.e., the sum of squares distance has a small \""core-set\"" whose span determines a good approximation). This existence theorem leads to a PTAS for the following projective clustering probl! em: Given a set of points P in R^d, and integers k,j, find a set of j subspaces F_1,...,F_j, each of dimension at most k, that minimize \\sum_{p \\in P} min_i d(p,F_i)^2.",19 p.; 17195378 bytes; 797052 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Matrix Approximation and Projective Clustering via Iterative Sampling,
"Wolf, Lior; Bileschi, Stanley",,2005-12-22T02:25:27Z,2005-12-22T02:25:27Z,2005-03-30,MIT-CSAIL-TR-2005-019; AIM-2005-009; CBCL-247,http://hdl.handle.net/1721.1/30531,"This paper bridges the gap between variable selection methods (e.g., Pearson coefficients, KS test) and dimensionality reductionalgorithms (e.g., PCA, LDA). Variable selection algorithms encounter difficulties dealing with highly correlated data,since many features are similar in quality. Dimensionality reduction algorithms tend to combine all variables and cannotselect a subset of significant variables.Our approach combines both methodologies by applying variable selection followed by dimensionality reduction. Thiscombination makes sense only when using the same utility function in both stages, which we do. The resulting algorithmbenefits from complex features as variable selection algorithms do, and at the same time enjoys the benefits of dimensionalityreduction.1",10 p.; 14957523 bytes; 722450 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Combining Variable Selection with Dimensionality Reduction,AI; Computer Vision; Statistical Learning; Variable Selection
"Pohl, Kilian M.; Fisher, John; Grimson, W. Eric L.; Wells, William M.",,2005-12-22T02:25:35Z,2005-12-22T02:25:35Z,2005-04-01,MIT-CSAIL-TR-2005-020; AIM-2005-010,http://hdl.handle.net/1721.1/30532,"This paper presents a statistical framework which combines the registration of an atlas with the segmentation of MR images. We use an Expectation Maximization-based algorithm to find a solution within the model, which simultaneously estimates image inhomogeneities, anatomical labelmap, and a mapping from the atlas to the image space. An example of the approach is given for a brain structure-dependent affine mapping approach. The algorithm produces high quality segmentations for brain tissues as well as their substructures. We demonstrate the approach on a set of 30 brain MR images. In addition, we show that the approach performs better than similar methods which separate the registration from the segmentation problem.",13 p.; 18741928 bytes; 826219 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"An Expectation Maximization Approach for Integrated Registration, Segmentation, and Intensity Correction",AI; Expectation Maximization; Segmentation; Registration; Medical Image Analysis
"Kuncak, Viktor; Jackson, Daniel",Computer Architecture,2005-12-22T02:25:50Z,2005-12-22T02:25:50Z,2005-04-05,MIT-CSAIL-TR-2005-022; MIT-LCS-TR-985,http://hdl.handle.net/1721.1/30534,"We present a technique that enables the use of finite modelfinding to check the satisfiability of certain formulaswhose intended models are infinite.  Such formulas arisewhen using the language of sets and relations to reasonabout structured values such as algebraic datatypes.  Thekey idea of our technique is to identify a natural syntacticclass of formulas in relational logic for which reasoningabout infinite structures can be reduced to reasoning aboutfinite structures.  As a result, when a formula belongs tothis class, we can use existing finite model findingtools to check whether the formula holds in the desiredinfinite model.",13 p.; 21208035 bytes; 893051 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,On Relational Analysis of Algebraic Datatypes,
"Abraham, Ittai; Chockler, Gregory; Keidar, Idit; Malkhi, Dahlia",Theory of Distributed Systems,2005-12-22T02:25:42Z,2005-12-22T02:25:42Z,2005-04-05,MIT-CSAIL-TR-2005-021; MIT-LCS-TR-984,http://hdl.handle.net/1721.1/30533,"We present a simple, efficient, and self-contained construction of a wait-free regular register from Byzantine storage components.  Our construction utilizes a novel building block, called 1-regular register, which can be implemented from Byzantine fault-prone components with the same round complexity as a safe register, and with only a slight increase in storage space.",13 p.; 15869015 bytes; 669233 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Wait-free Regular Storage from Byzantine Components,
"Lynch, Nancy; Mitra, Sayan; Nolte, Tina",Theory of Computation,2005-12-22T02:25:56Z,2005-12-22T02:25:56Z,2005-04-06,MIT-CSAIL-TR-2005-023; MIT-LCS-TR-986,http://hdl.handle.net/1721.1/30535,"We describe how a virtual node abstraction layer can be used to coordinate the motion of real mobile nodes in a region of 2-space. In particular, we consider how nodes in a mobile ad hoc network can arrange themselves along a predetermined curve in the plane, and can maintain themselves in such a configuration in the presence of changes in the underlying mobile ad hoc network, specifically, when nodes may join or leave the system or may fail. Our strategy is to allow the mobile nodes to implement a virtual layer consisting of mobile client nodes, stationary Virtual Nodes (VNs) for predetermined zones in the plane, and local broadcast communication.  The VNs coordinate among themselves to distribute the client nodesbetween zones based on the length of the curve through those zones, while each VN directs its zone's local client nodes to move themselves to equally spaced locations on the local portion of the target curve.",12 p.; 26698908 bytes; 1192908 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Motion Coordination Using Virtual Nodes,
"Werfel, Justin; Bar-Yam, Yaneer; Nagpal, Radhika",,2005-12-22T02:28:10Z,2005-12-22T02:28:10Z,2005-04-08,MIT-CSAIL-TR-2005-024; AIM-2005-011,http://hdl.handle.net/1721.1/30536,"We describe a system in which simple, identical, autonomous robots assemble two-dimensional structures out of identical building blocks.  We show that, in a system divided in this way into mobile units and structural units, giving the blocks limited communication abilities enables robots to have sufficient global structural knowledge to rapidly build elaborate pre-designed structures.  In this way we extend the principle of stigmergy (storing information in the environment) used by social insects, by increasing the capabilities of the blocks that represent that environmental information.  As a result, arbitrary solid structures can be built using a few fixed, local behaviors, without requiring construction to be planned out in detail.",19 p.; 16033902 bytes; 615762 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Construction by robot swarms using extended stigmergy,AI
