dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation,dc.subject,dc.title
Piotr Indyk,"Berinde, Radu; Indyk, Piotr",Theory of Computation,2008-01-15T14:15:14Z,2008-01-15T14:15:14Z,2008-01-10,MIT-CSAIL-TR-2008-001,http://hdl.handle.net/1721.1/40089,"We consider the approximate sparse recovery problem, where the goal is to (approximately) recover a high-dimensional vector x from its lower-dimensional sketch Ax. A popular way of performing this recovery is by finding x* such that Ax=Ax*, and ||x*||_1 is minimal. It is known that this approach ``works'' if A is a random *dense* matrix, chosen from a proper distribution.In this paper, we investigate this procedure for the case where A is binary and *very sparse*. We show that, both in theory and in practice, sparse matrices are essentially as ``good'' as the dense ones. At the same time, sparse binary matrices provide additional benefits, such as reduced encoding and decoding time.",13 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,Sparse recovery using sparse matrices
Michael Ernst,"Saff, David; Boshernitsan, Marat; Ernst, Michael D.",Program Analysis,2008-01-15T14:15:58Z,2008-01-15T14:15:58Z,2008-01-14,MIT-CSAIL-TR-2008-002,http://hdl.handle.net/1721.1/40090,"Automated testing during development helps ensure that software works according to the test suite. Traditional test suites verify a few well-picked scenarios or example inputs. However, such example-based testing does not uncover errors in legal inputs that the test writer overlooked. We propose theory-based testing as an adjunct to example-based testing. A theory generalizes a (possibly infinite) set of example-based tests. A theory is an assertion that should be true for any data, and it can be exercised by human-chosen data or by automatic data generation. A theory is expressed in an ordinary programming language, it is easy for developers to use (often even easier than example-based testing), and it serves as a lightweight form of specification. Six case studies demonstrate the utility of theories that generalize existing tests to prevent bugs, clarify intentions, and reveal design problems.",10 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"JUnit, testing, partial specification",Theories in Practice: Easy-to-Write Specifications that Catch Bugs
Jovan Popovic,"Silva, Marco da; Abe, Yeuhi; Popovic, Jovan",Computer Graphics,2008-01-16T13:45:10Z,2008-01-16T13:45:10Z,2008-01-15,,http://hdl.handle.net/1721.1/40091,"Many data-driven animation techniques are capable of producing high quality motions of human characters. Few techniques, however, are capable of generating motions that are consistent with physically simulated environments. Physically simulated characters, in contrast, are automatically consistent with the environment, but their motionsare often unnatural because they are difficult to control. We present a model-predictive controller that yields natural motions by guiding simulated humans toward real motion data. During simulation, the predictive component of the controller solves a quadratic program to compute the forces for a short window of time into the future. These forces are then applied by a low-gain proportional-derivative component, which makes minor adjustments until the next planning cycle. The controller is fast enough for interactive systems such as games and training simulations. It requires no precomputation and little manual tuning. The controller is resilient to mismatches between the character dynamics and the input motion, which allows it to track motion capture data even where the real dynamics are not known precisely. The same principled formulation can generate natural walks, runs, and jumps in a number of different physically simulated surroundings.",N/A,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,Computer Graphics; Three Dimensional Graphics and Realism; Animation,Simulation of Human Motion Data using Short-Horizon Model-Predictive Control
Hari Balakrishnan,"Eriksson, Jakob; Balakrishnan, Hari; Madden, Sam",Networks & Mobile Systems,2008-01-29T14:15:28Z,2008-01-29T14:15:28Z,2008-01-17,MIT-CSAIL-TR-2008-003,http://hdl.handle.net/1721.1/40094,"This paper describes the design, implementation, and evaluation of Cabernet, a system to deliver data to and from moving vehicles using open 802.11 (WiFi) access points encountered opportunistically during travel. Network connectivity in Cabernet is both fleeting (access points are typicallywithin range for a few seconds) and intermittent (because the access points don't provide continuous coverage), and suffers from high packet loss rates over the wireless channel. On the positive side, in the absence of losses, achievable data rates over WiFi can reach many megabits per second. Unfortunately, current protocols don't establish end-to-end connectivity fast enough, don't cope well with intermittent connectivity, and don't handle high packet loss rates well enough to achieve this potential throughput. Cabernet incorporates two new techniques to improve data delivery throughput: QuickWifi, a streamlined client-side process to establish end-to-end connectivity quickly, reducing the mean time to establish connectivity from 12.9 seconds to less than 366 ms and CTP, a transport protocol that distinguishes congestion on the wired portion of the path from losses over the wireless link to reliably and efficiently deliver data to nodes in cars. We have deployed the system on a fleet of 10 taxis, each running several hours per day in the Boston area. Our experiments show that CTP improves throughput by a factor of 2x over TCP and that QuickWifi increases the number of connectionsby a factor of 4x over unoptimized approaches. Thus, Cabernet is perhaps the first practical system capable of delivering data to moving vehicles over existing short-range WiFi radios, with a mean transfer capacity of approximately 38 megabytes/hour per car, or a mean rate of 87 kbit/s.",14 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,"wifi, IEEE 802.11, vehicular networking",Cabernet: A Content Delivery Network for Moving Vehicles
David Karger,"Karger, David; Nikolova, Evdokia",Theory of Computation,2008-01-29T14:15:12Z,2008-01-29T14:15:12Z,2008-01-28,MIT-CSAIL-TR-2008-004,http://hdl.handle.net/1721.1/40093,"The Canadian Traveller problem is a stochastic shortest paths problem in which one learns the cost of an edge only when arriving at one of its endpoints. The goal is to find an adaptive policy (adjusting as one learns more edge lengths) that minimizes the expected cost of travel. The problem is known to be #P hard. Since there has been no significant progress on approximation algorithms for several decades, we have chosen to seek out special cases for which exact solutions exist, in the hope of demonstrating techniques that could lead to further progress. Applying techniques from the theory of Markov Decision Processes, we give an exact solution for graphs of parallel (undirected) paths from source to destination with random two-valued edge costs. We also offer a partial generalization to traversing perfect binary trees.",14 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,"Canadian Traveller, stochastic shortest path, route planning under uncertainty, path planning",Exact Algorithms for the Canadian Traveller Problem on Paths and Trees
Sam Madden,"Newton, Ryan; Girod, Lewis; Craig, Michael; Madden, Sam; Morrisett, Greg",Computation Structures,2008-01-31T19:00:11Z,2008-01-31T19:00:11Z,2008-01-31,MIT-CSAIL-TR-2008-005; CBCL-270,http://hdl.handle.net/1721.1/40095,"Applications that combine live data streams with embedded, parallel,and distributed processing are becoming more commonplace. WaveScriptis a domain-specific language that brings high-level, type-safe,garbage-collected programming to these domains. This is made possibleby three primary implementation techniques. First, we employ a novelevaluation strategy that uses a combination of interpretation andreification to partially evaluate programs into stream dataflowgraphs. Second, we use profile-driven compilation to enable manyoptimizations that are normally only available in the synchronous(rather than asynchronous) dataflow domain. Finally, we incorporatean extensible system for rewrite rules to capture algebraic propertiesin specific domains (such as signal processing).We have used our language to build and deploy a sensor-network for theacoustic localization of wild animals, in particular, theYellow-Bellied marmot. We evaluate WaveScript's performance on thisapplication, showing that it yields good performance on both embeddedand desktop-class machines, including distributed execution andsubstantial parallel speedups. Our language allowed us to implementthe application rapidly, while outperforming a previous Cimplementation by over 35%, using fewer than half the lines of code.We evaluate the contribution of our optimizations to this success.",11 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,WaveScript: A Case-Study in Applying a Distributed Stream-Processing Language
Michael Ernst,"Artzi, Shay; Kiezun, Adam; Dolby, Julian; Tip, Frank; Dig, Danny; Paradkar, Amit; Ernst, Michael D.",Program Analysis,2008-02-06T14:15:11Z,2008-02-06T14:15:11Z,2008-02-06,MIT-CSAIL-TR-2008-006,http://hdl.handle.net/1721.1/40249,"Web script crashes and malformed dynamically-generated web pages are common errors, and they seriously impact usability of web applications. Currenttools for web-page validation cannot handle the dynamically-generatedpages that are ubiquitous on today's Internet.In this work, we apply a dynamic test generation technique, based oncombined concrete and symbolic execution, to the domain of dynamic webapplications. The technique generates tests automatically andminimizes the bug-inducing inputs to reduce duplication and to makethe bug reports small and easy to understand and fix.We implemented the technique in Apollo, an automated tool thatfound dozens of bugs in real PHP applications. Apollo generatestest inputs for the web application, monitors the application forcrashes, and validates that the output conforms to the HTMLspecification. This paper presents Apollo's algorithms andimplementation, and an experimental evaluation that revealed a totalof 214 bugs in 4 open-source PHP web applications.",12 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,html; syntax; validation; dynamic; bug,Finding Bugs In Dynamic Web Applications
David Karger,"Bernstein, Michael; Van Kleek, Max; Khushraj, Deepali; Nayak, Rajeev; Liu, Curtis; schraefel, mc; Karger, David R.",Undecided,2008-02-13T18:00:20Z,2008-02-13T18:00:20Z,2008-02-10,MIT-CSAIL-TR-2008-007,http://hdl.handle.net/1721.1/40281,"This paper is a case study of an artifact design and evaluation process; it is a reflection on how right thinking about design methods may at times result in sub-optimal results. Our goal has been to assess our decision making processthroughout the design and evaluation stages for a software prototype in order to consider where design methodology may need to be tuned to be more sensitive to the domain of practice, in this case software evaluation in personal information management. In particular, we reflect on design methods around (1) scale of prototype, (2) prototyping and design process, (3) study design, and (4) study population.",10 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,Case study; User-centered design; Personal information management,Wicked Problems and Gnarly Results: Reflecting on Design and Evaluation Methods for Idiosyncratic Personal Information Management Tasks
Karen Sollins,"Beverly, Robert; Sollins, Karen",Advanced Network Architecture,2008-02-19T13:45:28Z,2008-02-19T13:45:28Z,2008-02-15,MIT-CSAIL-TR-2008-008,http://hdl.handle.net/1721.1/40287,"In the arms race to secure electronic mail users and servers fromunsolicited messages (spam), the most successful solutions employtechniques that are difficult for spammers to circumvent. Thisresearch investigates the transport-layer characteristics ofemail in order to provide a new, novel and robust defense againstspam. We find that spam SMTP flows exhibit TCP behavior consistentwith traffic competing for link access, large round trip times andresource constrained hosts. Thus, SMTP flow characteristics providesufficient statistical power to differentiate between spam andlegitimate mail (ham). We build ""SpamFlow"" to learn and exploitthese differences. Using machine learning feature selection weidentify the most discriminatory flow properties and effect greaterthan 90% spam classification accuracy without content or reputationanalysis. SpamFlow correctly identifies 78% of the false negativesgenerated by a popular content filtering application -- demonstratingthe power in combining SpamFlow with existing techniques. Finally, weargue that SpamFlow is not easily subvertible due to economicand practical constraints inherent in sourcing spam.",12 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,Exploiting Transport-Level Characteristics of Spam
Trevor Darrell,"Christoudias, C. Mario; Urtasun, Raquel; Darrell, Trevor",Vision,2008-02-19T13:45:16Z,2008-02-19T13:45:16Z,2008-02-17,MIT-CSAIL-TR-2008-009,http://hdl.handle.net/1721.1/40286,"Object recognition accuracy can be improved when information frommultiple views is integrated, but information in each view can oftenbe highly redundant. We consider the problem of distributed objectrecognition or indexing from multiple cameras, where thecomputational power available at each camera sensor is limited andcommunication between sensors is prohibitively expensive. In thisscenario, it is desirable to avoid sending redundant visual featuresfrom multiple views, but traditional supervised feature selectionapproaches are inapplicable as the class label is unknown at thecamera. In this paper we propose an unsupervised multi-view featureselection algorithm based on a distributed compression approach.With our method, a Gaussian Process model of the joint viewstatistics is used at the receiver to obtain a joint encoding of theviews without directly sharing information across encoders. Wedemonstrate our approach on recognition and indexing tasks withmulti-view image databases and show that our method comparesfavorably to an independent encoding of the features from eachcamera.",10 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,Distributed Compression; Gaussian Processes; Multi-view Object Recognition,Unsupervised Distributed Feature Selection for Multi-view Object Recognition
