dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.relation.ispartofseries,dc.title,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject
"Birka, Adrian",2023-03-29T15:37:34Z,2023-03-29T15:37:34Z,2003-06,https://hdl.handle.net/1721.1/149993,"This thesis presents the design, implementation, and evaluation of an extension to the Java language, ConstJava, that is capable of expressing immutability constraints and verifying them at compile time. The specific constraint expressed in ConstJava is that the transitive state of the object to which a given reference refers cannot be modified using that reference. In addition to the ability to specify and enforce this basic constraint, ConstJava includes several other features, such as mutable fields, immutable classes, templates, and the const cast operator, that make ConstJava a more useful language. The thesis evaluates the utility of ConstJava via experiments involving writing ConstJava code and converting Java code to ConstJava code. The evaluation of ConstJava shows that the language provides tangible benefits in early detection and correction of bugs that would otherwise be difficult to catch. There are also costs associated with the use of ConstJava. These are minimized by ConstJava�s backward compatibility with Java, and by the high degree of inter-operability of the two languages, which allows for a less painful transition from Java to ConstJava. This technical report is a revision of the author�s Master�s thesis, which was advised by Prof. Michael D. Ernst.",MIT-LCS-TR-908,Computer-Enforced Immutability for the Java Language,,,,,
"Fitzpatrick, Paul",2004-10-20T20:31:57Z,2004-10-20T20:31:57Z,2003-06-01,http://hdl.handle.net/1721.1/7105,"This thesis presents a perceptual system for a  humanoid robot that integrates abilities such as object  localization and recognition with the deeper  developmental machinery required to forge those  competences out of raw physical experiences. It shows  that a robotic platform can build up and maintain a  system for object localization, segmentation, and  recognition, starting from very little. What the robot  starts with is a direct solution to achieving figure/ground  separation: it simply 'pokes around' in a region of visual  ambiguity and watches what happens. If the arm  passes through an area, that area is recognized as free  space. If the arm collides with an object, causing it to  move, the robot can use that motion to segment the  object from the background. Once the robot can  acquire reliable segmented views of objects, it learns  from them, and from then on recognizes and segments  those objects without further contact. Both low-level and  high-level visual features can also be learned in this  way, and examples are presented for both: orientation  detection and affordance recognition, respectively. The  motivation for this work is simple. Training on large  corpora of annotated real-world data has proven crucial  for creating robust solutions to perceptual problems  such as speech recognition and face detection. But the  powerful tools used during training of such systems are  typically stripped away at deployment. Ideally they  should remain, particularly for unstable tasks such as  object detection, where the set of objects needed in a  task tomorrow might be different from the set of objects  needed today. The key limiting factor is access to  training data, but as this thesis shows, that need not be  a problem on a robotic platform that can actively probe  its environment, and carry out experiments to resolve  ambiguity. This work is an instance of a general  approach to learning a new perceptual judgment:  find special situations in which the perceptual judgment  is easy and study these situations to find correlated  features that can be observed more generally.",AITR-2003-008,From First Contact to Close Encounters: A Developmentally Deep Perceptual System for a Humanoid Robot,AITR-2003-008,19935684 bytes; 7552671 bytes,application/postscript; application/pdf,en_US,
"Das, Sanmay",2004-10-01T14:00:08Z,2004-10-01T14:00:08Z,2003-06-01,http://hdl.handle.net/1721.1/5570,"This thesis describes and evaluates a market-making  algorithm for setting prices in financial markets with asymmetric  information, and analyzes the properties of artificial markets in which the  algorithm is used. The core of our algorithm is a technique for  maintaining an online probability density estimate of the underlying  value of a stock. Previous theoretical work on market-making has  led to price-setting equations for which solutions cannot be  achieved in practice, whereas empirical work on algorithms for  market-making has focused on sets of heuristics and rules that lack  theoretical justification. The algorithm presented in this thesis is  theoretically justified by results in finance, and at the same time  flexible enough to be easily extended by incorporating modules for  dealing with considerations like portfolio risk and competition from  other market-makers. We analyze the performance of our  algorithm experimentally in artificial markets with different  parameter settings and find that many reasonable real-world properties  emerge. For example, the spread increases in response to  uncertainty about the true value of a stock, average spreads tend to be higher  in more volatile markets, and market-makers with lower  average spreads perform better in environments with multiple competitive market-makers. In addition, the time series data generated by simple  markets populated with market-makers using our algorithm replicate  properties of real-world financial time series, such as volatility  clustering and the fat-tailed nature of return distributions, without the  need to specify explicit models for opinion propagation and  herd behavior in the trading crowd.",AITR-2003-005; CBCL-226,Intelligent Market-Making in Artificial Financial Markets,AITR-2003-005; CBCL-226,49 p.; 3910312 bytes; 827445 bytes,application/postscript; application/pdf,en_US,AI
"Gajos, Krzysztof; Shrobe, Howard",2004-10-08T20:39:03Z,2004-10-08T20:39:03Z,2003-06-01,http://hdl.handle.net/1721.1/6721,"The dream of pervasive computing is slowly becoming  a reality. A number of projects around the world are constantly contributing ideas and solutions  that are bound to change the way we interact with our environments and with one another. An  essential component of the future is a software infrastructure that is capable of supporting interactions  on scales ranging from a single physical space to intercontinental collaborations. Such  infrastructure must help applications adapt to very diverse environments and must protect people's  privacy and respect their personal preferences. In this paper we indicate a number of limitations present  in the software infrastructures proposed so far (including our previous work). We then describe the  framework for building an infrastructure that satisfies the abovementioned criteria. This  framework hinges on the concepts of delegation, arbitration and high-level service discovery.  Components of our own implementation of such an infrastructure are presented.",AIM-2003-016,"Delegation, Arbitration and High-Level Service Discovery as Key Elements of a Software Infrastructure for Pervasive Computing",AIM-2003-016,17 p.; 1039823 bytes; 325691 bytes,application/postscript; application/pdf,en_US,AI; pervasive computing
"Louie, Jennifer",2004-10-01T14:00:10Z,2004-10-01T14:00:10Z,2003-06-01,http://hdl.handle.net/1721.1/5571,"Previous biological models of object recognition in  cortex have been evaluated using idealized scenes  and have hard-coded features, such as the HMAX  model by Riesenhuber and Poggio [10]. Because  HMAX uses the same set of features for all object  classes, it does not perform well in the task of detecting  a target object in clutter. This thesis presents a new  model that integrates learning of object-specific  features with the HMAX. The new model performs  better than the standard HMAX and comparably to a  computer vision system on face detection. Results from  experimenting with unsupervised learning of features  and the use of a biologically-plausible classifier are  presented.",AITR-2003-009; CBCL-227,A Biological Model of Object Recognition with Feature Learning,AITR-2003-009; CBCL-227,4307593 bytes; 5073756 bytes,application/postscript; application/pdf,en_US,AI
"Rosen, Ezra",2004-10-01T14:00:11Z,2004-10-01T14:00:11Z,2003-06-05,http://hdl.handle.net/1721.1/5572,"The face inversion effect has been widely documented  as an effect of the uniqueness of face processing. Using a computational  model, we show that the face inversion effect is a byproduct of expertise  with respect to the face object class. In simulations using HMAX, a  hierarchical, shape based model, we show that the magnitude of the  inversion effect is a function of the specificity of the representation. Using  many, sharply tuned units, an ``expert'' has a large inversion effect. On the other hand, if fewer, broadly  tuned units are used, the expertise is lost, and this ``novice'' has a small inversion effect. As the size of the inversion effect  is a product of the representation, not the object class, given the right  training we can create experts and novices in any object class. Using the same representations as with  faces, we create experts and novices for cars. We also measure the  feasibility of a view-based model for recognition of rotated objects  using HMAX. Using faces, we show that transfer of learning to novel views is possible.  Given only one training view, the view-based model  can recognize a face at a new orientation via interpolation from the views to  which it had been tuned. Although the model can generalize well to upright faces, inverted  faces yield poor performance because the features change differently  under rotation.",AITR-2003-010; CBCL-228,Face Representation in Cortex: Studies Using a Simple and Not So Special Model,AITR-2003-010; CBCL-228,66 p.; 13121869 bytes; 3182779 bytes,application/postscript; application/pdf,en_US,AI; Face Recognition; Representation; Invariance; HMAX
"Koile, Kimberle; Tollmar, Konrad; Demirdjian, David; Shrobe, Howard; Darrell, Trevor",2004-10-08T20:39:02Z,2004-10-08T20:39:02Z,2003-06-10,http://hdl.handle.net/1721.1/6720,"Location is a primary cue in many context-aware  computing systems, and is often represented as  a global coordinate, room number, or Euclidean  distance various landmarks. A user?s concept of  location, however, is often defined in terms of regions in  which common activities occur. We show  how to partition a space into such regions based on  patterns of observed user location and  motion. These regions, which we call activity zones,  represent regions of similar user activity, and  can be used to trigger application actions, retrieve  information based on previous context, and  present information to users. We suggest that context-aware applications can benefit from a  location representation learned from observing users.  We describe an implementation of our  system and present two example applications whose  behavior is controlled by users? entry, exit,  and presence in the zones.",AIM-2003-015,Activity Zones for Context-Aware Computing,AIM-2003-015,12 p.; 17075202 bytes; 8771896 bytes,application/postscript; application/pdf,en_US,AI; context-aware; activity; intelligent environment; ubiquitous; 3d tracker
"Monteleoni, Claire",2004-10-20T20:32:01Z,2004-10-20T20:32:01Z,2003-06-12,http://hdl.handle.net/1721.1/7107,"We consider an online learning scenario in which the learner can make predictions on the basis of a fixed set of experts. The performance of each expert may change over time in a manner unknown to the learner. We formulate a class of universal learning algorithms for this problem by expressing them as simple Bayesian algorithms operating on models analogous to Hidden Markov Models (HMMs). We derive a new performance bound for such algorithms which is considerably simpler than existing bounds. The bound provides the basis for learning the rate at which the identity of the optimal expert switches over time. We find an analytic expression for the a priori resolution at which we need to learn the rate parameter. We extend our scalar switching-rate result to models of the switching-rate that are governed by a matrix of parameters, i.e. arbitrary homogeneous HMMs. We apply and examine our algorithm in the context of the problem of energy management in wireless networks. We analyze the new results in the framework of Information Theory.",AITR-2003-011,Online Learning of Non-stationary Sequences,AITR-2003-011,48 p.; 1815576 bytes; 911860 bytes,application/postscript; application/pdf,en_US,AI; online learning; relative loss bounds; switching dynamics; wireless; 802.11
"Marjanovic, Matthew J.",2004-10-20T20:32:04Z,2004-10-20T20:32:04Z,2003-06-20,http://hdl.handle.net/1721.1/7108,"As AI has begun to reach out beyond its symbolic, objectivist roots into the embodied, experientialist realm, many projects are exploring different aspects of creating machines which interact with and respond to the world as humans do. Techniques for visual processing, object recognition, emotional response, gesture production and recognition, etc., are necessary components of a complete humanoid robot. However, most projects invariably concentrate on developing a few of these individual components, neglecting the issue of how all of these pieces would eventually fit together.  The focus of the work in this dissertation is on creating a framework into which such specific competencies can be embedded, in a way that they can interact with each other and build layers of new functionality. To be of any practical value, such a framework must satisfy the real-world constraints of functioning in real-time with noisy sensors and actuators. The humanoid robot Cog provides an unapologetically adequate platform from which to take on such a challenge.  This work makes three contributions to embodied AI. First, it offers a general-purpose architecture for developing behavior-based systems distributed over networks of PC's. Second, it provides a motor-control system that simulates several biological features which impact the development of motor behavior. Third, it develops a framework for a system which enables a robot to learn new behaviors via interacting with itself and the outside world. A few basic functional modules are built into this framework, enough to demonstrate the robot learning some very simple behaviors taught by a human trainer.  A primary motivation for this project is the notion that it is practically impossible to build an ""intelligent"" machine unless it is designed partly to build itself. This work is a proof-of-concept of such an approach to integrating multiple perceptual and motor systems into a complete learning agent.",AITR-2003-013,Teaching an Old Robot New Tricks: Learning Novel Tasks via Interaction with People and Things,AITR-2003-013,181 p.; 13057317 bytes; 13082678 bytes,application/postscript; application/pdf,en_US,AI; cog humanoid robot embodied learning phd thesis metaphor pancake reaching vision
"Lee, Lily",2004-10-20T20:32:06Z,2004-10-20T20:32:06Z,2003-06-26,http://hdl.handle.net/1721.1/7109,"This thesis describes a representation of gait appearance for the purpose of person identification and classification. This gait representation is based on simple localized image features such as moments extracted from orthogonal view video silhouettes of human walking motion. A suite of time-integration methods, spanning a range of coarseness of time aggregation and modeling of feature distributions, are applied to these image features to create a suite of gait sequence representations. Despite their simplicity, the resulting feature vectors contain enough information to perform well on human identification and gender classification tasks. We demonstrate the accuracy of recognition on gait video sequences collected over different days and times and under varying lighting environments. Each of the integration methods are investigated for their advantages and disadvantages. An improved gait representation is built based on our experiences with the initial set of gait representations. In addition, we show gender classification results using our gait appearance features, the effect of our heuristic feature selection method, and the significance of individual features.",AITR-2003-014,Gait Analysis for Classification,AITR-2003-014,110 p.; 4040471 bytes; 994319 bytes,application/postscript; application/pdf,en_US,AI; gait recognition; gender classification
