dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.rights,dc.rights.uri,dc.subject,dc.title,dc.identifier.citation,dc.contributor.department,dc.description,dc.description.sponsorship,dc.relation.uri,dc.contributor,dc.relation.isreferencedby,dc.relation.replaces,dc.relation.requires,dc.relation.isreplacedby,dc.contributor.editor
Patrick Winston,"Hervas, Raquel; Finlayson, Mark Alan",Genesis,2010-05-12T15:30:09Z,2010-05-12T15:30:09Z,2010-05-12,http://hdl.handle.net/1721.1/54765,"This is the annotation guide given to the annotators who created the UCM/MIT Indications, Referring Expressions, and Coreference (UMIREC) Corpus version 1.0. The corpus comprises texts annotated for referring expressions, coreference relations between the referring expressions, and so-called ""indication structures"", which split referring expressions into constituents (nuclei and modifiers) and mark each constituent as either 'distinctive' or 'descriptive', which indicate whether or not the constituent contains information required for uniquely identifying the referent. The contents of this corpus, the annotation procedure, and the indication structures are described in more detail in a paper titled ""The Prevalence of Descriptive Referring Expressions in News and Narrative"" published in the proceedings of the 48th Annual Meeting of the Association for Computational Linguistics, held in July 2010 in Uppsala, Sweden (ACL-2010).",15 p.,MIT-CSAIL-TR-2010-025,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,"Annotation Guide for the UCM/MIT Indications, Referential Expressions, and Coreference Corpus (UMIREC Corpus)","Finlayson, M.A. & Hervás, R. (2010) Annotation Guide for the UCM/MIT Indications, Referring Expressions, and Co-Reference Corpus (UMIREC corpus). MIT CSAIL Technical Report No. 2010-025.",,,,,,,,http://hdl.handle.net/1721.1/57507,,
Patrick Winston,"Hervas, Raquel; Finlayson, Mark Alan",Genesis,2010-05-12T15:30:19Z,2010-05-12T15:30:19Z,2010-05-12,http://hdl.handle.net/1721.1/54766,"This version of the UMIREC corpus has been superseded by version 1.1, found at http://hdl.handle.net/1721.1/57507.  Please do not use version 1.0, as it contains corrupted coreference information.  The correct, uncorrupted data is found in version 1.1.",,,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,"UCM/MIT Indications, Referring Expressions, and Coreference Corpus (UMIREC corpus)","Finlayson, M.A. & Hervás, R. (2010) UCM/MIT Indications, Referring Expressions, and Co-Reference Corpus v1.0 (UMIREC corpus). MIT CSAIL Work Product.",,,,,,http://hdl.handle.net/1721.1/54765,,,http://hdl.handle.net/1721.1/57507,
Martin Rinard,"Misailovic, Sasa; Agarwal, Anant; Carbin, Michael; Sidiroglou, Stelios; Hoffmann, Henry; Rinard, Martin",Program Analysis,2010-05-14T22:00:04Z,2010-05-14T22:00:04Z,2010-05-14,http://hdl.handle.net/1721.1/54799,"We present PowerDial, a system for dynamically adapting application behavior to execute successfully in the face of load and power fluctuations. PowerDial transforms static configuration parameters into dynamic knobs that the PowerDial control system can manipulate to dynamically trade off the accuracy of the computation in return for reductions in the computational resources that the application requires to produce its results. These reductions translate into power savings. Our experimental results show that PowerDial can enable our benchmark applications to execute responsively in the face of power caps (imposed, for example, in response to cooling system failures) that would otherwise significantly impair the delivered performance. They also show that PowerDial can reduce the number of machines required to meet peak load, in our experiments enabling up to a 75% reduction in direct power and capital costs.",16 p.,MIT-CSAIL-TR-2010-027,Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,Autonomic Computing; Dynamic Analysis; Runtime control; Power Aware computing,Power-Aware Computing with Dynamic Knobs,,,,,,,,,,,
Dina Katabi,"Katabi, Dina; Gollakota, Shyamnath",Networks & Mobile Systems,2010-06-07T19:15:07Z,2010-06-07T19:15:07Z,2010-06-07,http://hdl.handle.net/1721.1/55650,"Wireless is inherently less secure than wired networks because of its broadcast nature. Attacks that simply snoop on the wireless medium successfully defeat the security of even 802.11 networks using the most recent security standards (WPA2-PSK). In this paper we ask the following question: Can we prevent this kind of eavesdropping from happening? If so, we can potentially defeat the entire class of attacks that rely on snooping. This paper presents iJam, a PHY-layer protocol for OFDM-based wireless systems. iJam ensures that an eavesdropper cannot successfully demodulate a wireless signal not intended for it. To achieve this iJam strategically introduces interference that prevents an eavesdropper from decoding the data, while allowing the intended receiver to decode it. iJam exploits the properties of 802.11â  s OFDM signals to ensure that an eavesdropper cannot even tell which parts of the signal are jammed. We implement iJam and evaluate it in a testbed of GNURadios with an 802.11-like physical layer. We show that iJam makes the data bits at the adversary look random, i.e., the BER becomes close to 50%, whereas the receiver can perfectly decode the data.",13 p.,MIT-CSAIL-TR-2010-028,,,Physical Layer Security,iJam: Jamming Oneself for Secure Wireless Communication,,,,,,,,,,,
Nancy Lynch,"Oshman, Rotem; Richa, Andrea; Newport, Calvin; Lynch, Nancy; Kuhn, Fabian",Theory of Computation,2010-06-08T16:00:03Z,2010-06-08T16:00:03Z,2010-06-08,http://hdl.handle.net/1721.1/55721,"Practitioners agree that unreliable links, which fluctuate between working and not working, are an important characteristic of wireless networks. In contrast, most theoretical models of radio networks fix a static set of links and assume that these links work reliably throughout an execution. This gap between theory and practice motivates us to investigate how unreliable links affect theoretical bounds on broadcast in radio networks. To that end we consider a model that includes two types of links: reliable links, which always deliver messages, and unreliable links, which sometimes deliver messages and sometimes do not. It is assumed that the graph induced by the reliable links is connected, and unreliable links are controlled by a worst-case adversary. In the new model we show an(n log n) lower bound on deterministic broadcast in undirected graphs, even when all processes are initially awake and have collision detection, and an (n) lower bound on randomized broadcast in undirected networks of constant diameter. This clearly separates the new model from the classical, reliable model. On the positive side, we give two algorithms that tolerate the inherent unreliability: an O(n3=2plog n)-time deterministic algorithm and a randomized algorithm which terminates in O(n log2 n) rounds with high probability.",25 p.,MIT-CSAIL-TR-2010-029,,,,Broadcasting in Unreliable Radio Networks,,,,,,,,,,,
Srini Devadas,"Khan, Omer; Lis, Mieszko; Devadas, Srini",Computation Structures,2010-06-18T19:00:10Z,2010-06-18T19:00:10Z,2010-06-12,http://hdl.handle.net/1721.1/55944,"We introduce the Execution Migration Machine (EM2), a novel, scalable shared-memory architecture for large-scale multicores constrained by off-chip memory bandwidth. EM2 reduces cache miss rates, and consequently off-chip memory usage, by permitting only one copy of data to be stored anywhere in the system: when a thread wishes to access an address not locally cached on the core it is executing on, it migrates to the appropriate core and continues execution. Using detailed simulations of a range of 256-core configurations on the SPLASH-2 benchmark suite, we show that EM2 improves application completion times by 18% on the average while remaining competitive with traditional architectures in silicon area.",22 p.,MIT-CSAIL-TR-2010-030,,,parallel processing; parallel architecture; distributed memory,EM2: A Scalable Shared-Memory Multicore Architecture,,,,,,,,,,,
Dina Katabi,"Wang, Jue; Katabi, Dina",Networks & Mobile Systems,2010-07-07T21:15:12Z,2010-07-07T21:15:12Z,2010-07-05,http://hdl.handle.net/1721.1/56252,"Video chat is increasingly popular among Internet users. Often, however, chatting sessions suffer from packet loss, which causes video outage and poor quality. Existing solutions however are unsatisfying. Retransmissions increase the delay and hence can interact negatively with the strict timing requirements of interactive video. FEC codes introduce extra overhead and hence reduce the bandwidth available for video data even in the absence of packet loss. This paper presents ChitChat, a new approach for reliable video chat that neither delays frames nor introduces bandwidth overhead. The key idea is to ensure that the information in each packet describes the whole frame. As a result, even when some packets are lost, the receiver can still use the received packets to decode a smooth version of the original frame. This reduces frame loss and the resulting video freezes and improves the perceived video quality. We have implemented ChitChat and evaluated it over multiple Internet paths. In comparison to Windows Live Messenger 2009, our method reduces the occurrences of video outage events by more than an order of magnitude.",12 p.,MIT-CSAIL-TR-2010-031,,,,ChitChat: Making Video Chat Robust to Packet Loss,,,,,,,,,,,
Whitman Richards,"Richards, Whitman; Macindoe, Owen",,2010-07-27T20:15:27Z,2010-07-27T20:15:27Z,2010-07-27,http://hdl.handle.net/1721.1/57462,"Two dozen networks are analyzed using three parameters that attempt to capture important properties of social networks: leadership L, member bonding B, and diversity of expertise D. The first two of these parameters have antecedents, the third is new. A key part of the analysis is to examine networks at multiple scales by dissecting the entire network into its n subgraphs of a given radius of two edge steps about each of the n nodes. This scale-based analysis reveals constraints on what we have dubbed ""cognitive"" networks, as contrasted with biological or physical networks. Specifically, ""cognitive"" networks appear to maximize bonding and diversity over a range of leadership dominance. Asymptotic relations between the bonding and diversity measures are also found when small, nearly complete subgraphs are aggregated to form larger networks. This aggregation probably underlies changes in a regularity among the LBD parameters; this regularity is a U-shaped function of networks size, n, which is minimal for networks around 80 or so nodes.",38 p.,MIT-CSAIL-TR-2010-033,,,constraints on social networks; network evolution; small group aggregation; multi-scale analysis,Characteristics of Small Social Networks,,,,,,,,,,,Belief Dynamics
Saman Amarasinghe,"Ansel, Jason; Wong, Yee Lok; Chan, Cy; Olszewski, Marek; Edelman, Alan; Amarasinghe, Saman",Computer Architecture,2010-07-27T20:15:11Z,2010-07-27T20:15:11Z,2010-07-27,http://hdl.handle.net/1721.1/57461,"Approximating ideal program outputs is a common technique for solving computationally difficult problems, for adhering to processing or timing constraints, and for performance optimization in situations where perfect precision is not necessary. To this end, programmers often use approximation algorithms, iterative methods, data resampling, and other heuristics. However, programming such variable accuracy algorithms presents difficult challenges since the optimal algorithms and parameters may change with different accuracy requirements and usage environments. This problem is further compounded when multiple variable accuracy algorithms are nested together due to the complex way that accuracy requirements can propagate across algorithms and because of the resulting size of the set of allowable compositions. As a result, programmers often deal with this issue in an ad-hoc manner that can sometimes violate sound programming practices such as maintaining library abstractions. In this paper, we propose language extensions that expose trade-offs between time and accuracy to the compiler. The compiler performs fully automatic compile-time and install-time autotuning and analyses in order to construct optimized algorithms to achieve any given target accuracy. We present novel compiler techniques and a structured genetic tuning algorithm to search the space of candidate algorithms and accuracies in the presence of recursion and sub-calls to other variable accuracy code. These techniques benefit both the library writer, by providing an easy way to describe and search the parameter and algorithmic choice space, and the library user, by allowing high level specification of accuracy requirements which are then met automatically without the need for the user to understand any algorithm-specific parameters. Additionally, we present a new suite of benchmarks, written in our language, to examine the efficacy of our techniques. Our experimental results show that by relaxing accuracy requirements, we can easily obtain performance improvements ranging from 1.1x to orders of magnitude of speedup.",18 p.,MIT-CSAIL-TR-2010-032,,,,Language and Compiler Support for Auto-Tuning Variable-Accuracy Algorithms,,,,,,,,,,,
Tomaso Poggio,"Meyers, Ethan; Embark, Hamdy; Freiwald, Winrich; Serre, Thomas; Kreiman, Gabriel; Poggio, Tomaso",Center for Biological and Computational Learning (CBCL),2010-07-29T18:45:19Z,2010-07-29T18:45:19Z,2010-07-29,http://hdl.handle.net/1721.1/57463,"Humans and other primates can rapidly categorize objects even when they are embedded in complex visual scenes (Thorpe et al., 1996; Fabre-Thorpe et al., 1998). Studies by Serre et al., 2007 have shown that the ability of humans to detect animals in brief presentations of natural images decreases as the size of the target animal decreases and the amount of clutter increases, and additionally, that a feedforward computational model of the ventral visual system, originally developed to account for physiological properties of neurons, shows a similar pattern of performance. Motivated by these studies, we recorded single- and multi-unit neural spiking activity from macaque superior temporal sulcus (STS) and anterior inferior temporal cortex (AIT), as a monkey passively viewed images of natural scenes. The stimuli consisted of 600 images of animals in natural scenes, and 600 images of natural scenes without animals in them, captured at four different viewing distances, and were the same images used by Serre et al. to allow for a direct comparison between human psychophysics, computational models, and neural data. To analyze the data, we applied population ""readout"" techniques (Hung et al., 2005; Meyers et al., 2008) to decode from the neural activity whether an image contained an animal or not. The decoding results showed a similar pattern of degraded decoding performance with increasing clutter as was seen in the human psychophysics and computational model results. However, overall the decoding accuracies from the neural data lower were than that seen in the computational model, and the latencies of information in IT were long (~125ms) relative to behavioral measures obtained from primates in other studies. Additional tests also showed that the responses of the model units were not capturing several properties of the neural responses, and that detecting animals in cluttered scenes using simple model units based on V1 cells worked almost as well as using more complex model units that were designed to model the responses of IT neurons. While these results suggest AIT might not be the primary brain region involved in this form of rapid categorization, additional studies are needed before drawing strong conclusions.",50 p.,MIT-CSAIL-TR-2010-034; CBCL-289,,,decoding; readout; rapid categorization; inferior temporal cortex; object recognition; scene understanding; neuroscience; visual clutter; electrophysiology,Examining high level neural representations of cluttered scenes,,,,,,,,,,,
