dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.subject,dc.title,dc.contributor.advisor,dc.contributor.other,dc.description,dc.identifier.citation
"Katti, Sachin; Rahul, Hariharan; Hu, Wenjun; Katabi, Dina; Crowcroft, Jon",2006-02-21T12:00:00Z,2006-02-21T12:00:00Z,2006-02-16,MIT-CSAIL-TR-2006-009,http://hdl.handle.net/1721.1/31212,"We propose a new architecture for wireless mesh networks. In addition to forwarding packets, routers mix (i.e., code) packets from different sources to increase the information content of each transmission. We show that intelligently mixing packets increases network throughput. Our design is rooted in the theory of network coding. In contrast to prior work on network coding, which is mainly theoretical and focuses on multicast traffic, ours is practical and solves the common case of unicast traffic.  We present the first implementation of network coding in a wireless network. Our system introduces a coding layer between the IP and MAC layers. It works with UDP and TCP traffic, and hence seamlessly integrates with existing applications. We evaluate our design on a 34-node wireless testbed and show that it delivers a 3-4x increase in the throughput ofwireless mesh networks.",14 p; 24604312 bytes; 1314870 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"Network Coding, wireless networks, forwarding architectures",Network Coding Made Practical,Dina Katabi,Networks & Mobile Systems,,
"Artzi, Shay; Kiezun, Adam; Newport, Calvin; Schultz, David",2006-02-23T20:36:51Z,2006-02-23T20:36:51Z,2006-02-23,MIT-CSAIL-TR-2006-010,http://hdl.handle.net/1721.1/31216,"Encrypted keyword search allows a server to perform a search over a set of encrypted documents on behalf of a client without learning the contents of the documents or the words being searched for. Designing a practical system is challenging because the privacy constraint thwarts standard indexing and ranking techniques. We present Mafdet, an encrypted keyword search system we have implemented. Our system makes the search practical even for large data sets. We evaluated Mafdet's performance on a set of queries and a large collection of documents. In these queries, Mafdet's accuracy is within 6% of Google Desktop, and the search time is on the order of seconds for document sets as large as 2.6 GB.",11 p.; 16238506 bytes; 625872 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Bloomfilters,Encrypted Keyword Search in a Distributed Storage System,Michael Ernst,Program Analysis,,
"Blackmore, Lars; Block, Steve",2006-02-28T19:47:07Z,2006-02-28T19:47:07Z,2006-02-28,MIT-CSAIL-TR-2006-011,http://hdl.handle.net/1721.1/31217,"The objective of this project is to achieve reliable transfer of an object from one robotic manipulator to another. This capability is useful for a number of applications, for instance robotic assembly, or robots with multiple manipulators, such as humanoid robots.Achieving reliable object transfer poses a number of challenges for both control and estimation. As with most manipulation problems, the inverse kinematics problem must be solved so that the desired endpoint location can be specified in Cartesian coordinates, rather than in the joint space of the manipulator. Anadditional challenge particular to the cooperative robotics problem is that more than one manipulator may have a grasp on the same object. Manipulators that are carrying out simple position control may encounter problems when grasping the same object. Minor errors in forward kinematics can lead to large controllerforces, or even unstable dynamics, as each controller tries to counteract the other to drive the perceived error to zero.On the estimation side, carrying out reliable transfer depends critically on determining the grasp state; in other words, does a particular robot have a grasp on the object, or do both have the object? The grasp state must be determined before the sequence of events in a transfer task can proceed. For example, the manipulator receiving the object cannot move away until it is certain that the manipulator passing the object has released. In many instances, having pressure sensors mounted in the hand is infeasible. For example, packaging reasons can mean that the necessary space is not available, as is the case with the JPL LEMUR hexapod. We therefore need to infer the grasp state from the available observations, which are usually supplied by position encoders at the joints.For this project we assume that each manipulator carries out estimation independently, without joint angle observations from the other robot, but with knowledge of its own joint angles and of the commands to be issued to both robots. This is typical of a multi-agent cooperative task, and the lack of observations makes the estimation task even more challenging.This report describes the approach we use to solve this problem, which is comprised of an impedance controller and a hybrid estimator.",19 p.; 21923202 bytes; 1004827 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Control and Estimation for Cooperative Manipulator Tasks,Brian Williams,Model-based Embedded and Robotic Systems,,
"Blackmore, Lars; Williams, Brian",2006-02-28T22:36:51Z,2006-02-28T22:36:51Z,2006-02-28,MIT-CSAIL-TR-2006-013,http://hdl.handle.net/1721.1/31219,"Multiple-Model fault detection is a powerful method for detecting changes, such as faults, in dynamic systems. In many cases, the ability of such a detection scheme to distinguish between possible models for the system dynamics depends critically on the control inputs applied to the system. Prior work has therefore aimed to design control inputs in order to improve fault detection. We previously developed a new method that uses constrained finite horizon control design to create control inputs that minimize an upper bound on the probability of model selection error. This method is limited, however, to the problem of selection between two models. In this paper we describe a new method that extends this approach to handle an arbitrary number of models. By optimizing subject to hard constraints, the new method can ensure that a defined task is fulfilled, while optimally discriminating between models. This means that the discrimination power of the designed control input can be much greater than that created by other approaches, which typically design Â‘auxiliaryÂ’ signals with limited power so that the effect on the system state is small. Furthermore, the optimization criterion, which is an upper bound on the probability of model selection error, has a more meaningful interpretation than alternative approaches that are based on information gain, for example.We demonstrate the method using an aircraft fault detectionscenario and show that the new method significantly reducesthe bound on the probability of error when compared to amanually generated identification sequence and a fuel-optimalsequence.",6 p.; 11551717 bytes; 591011 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Finite Horizon Control Design for Optimal Discrimination between Several Models,Brian Williams,Model-based Embedded and Robotic Systems,,
"Abe, Yeuhi; Popovic, Jovan",2006-02-28T20:43:06Z,2006-02-28T20:43:06Z,2006-02-28,MIT-CSAIL-TR-2006-012,http://hdl.handle.net/1721.1/31218,"Lifelike animation of manipulation must account for the dynamicinteraction between animated characters, objects, and their environment. Failing to do so would ignore the often significant effects objectshave on the motion of the character. For example, lifting a heavy objectwould appear identical to lifting a light one. Physical simulationhandles such interaction correctly, with a principled approach thatadapts easily to different circumstances, changing environments, andunexpected disturbances. Our work shows how to control lifelike animatedcharacters so that they accomplish manipulation tasks within aninteractive physical simulation. Our new multi-task control algorithmsimplifies descriptions of manipulation by supporting prioritized goalsin both the joint space of the character and the task-space of theobject. The end result is a versatile algorithm that incorporatesrealistic force limits and recorded motion postures to portray lifelikemanipulation automatically.",9  p.; 20884299 bytes; 844533 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"Motion Control,Physically Based Animation,Robotics",Interactive Animation of Dynamic Manipulation,Jovan Popovic,Computer Graphics,,
"Beal, Jacob; Bachrach, Jonathan",2006-06-01T16:24:45Z,2006-06-01T16:24:45Z,2006-03,MIT-CSAIL-TR-2006-042,http://hdl.handle.net/1721.1/32988,"The ability to control emergent phenomena depends on decomposingthem into aspects susceptible to independent engineering. Forspatial self-managing systems, the amorphous-medium abstraction lets youseparate the systemÂ’s specification from its implementation.",10 p.; 10529783 bytes; 1132453 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,amorphous computing distributed sensor networks space-time programming,Infrastructure for Engineered Emergence on Sensor/Actuator Networks,Gerald Sussman,Mathematics and Computation,,"IEEE Intelligent Systems, (Vol. 21, No. 2) pp. 10-19, March/April 2006."
"Beal, Jacob; Sussman, Gerald",2006-06-01T16:23:27Z,2006-06-01T16:23:27Z,2006-03,MIT-CSAIL-TR-2006-041,http://hdl.handle.net/1721.1/32987,"Current modularization techniques fail when applied to hard AI problems.But cognitive science shows that the mind has modules specialized for particular functions.Unlike current engineered modules, the modules of themind learn to communicate with each other as a child matures.Kirby's ideas on language evolution, combined with constraints derivedfrom neuroanatomy, yield a new mechanism for integrating modules intoa system: a communications bootstrapping system in which two agentsbuild a shared vocabulary capturing information common to their mutualexperience, including cross-module knowledge about the world.",2 p.; 4176387 bytes; 211150 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,artificial intelligence,"CogSci to AI: It's the Brainware, Stupid!",Gerald Sussman,Mathematics and Computation,,"AAAI 2006 Spring Symposium ""Between a Rock and a Hard Place: Cognitive Science Principles Meet AI-Hard Problems"", Stanford, March 2006."
"Torres-Jara, Eduardo; Vasilescu, Iuliu; Coral, Raul",2006-03-01T17:56:56Z,2006-03-01T17:56:56Z,2006-03-01,MIT-CSAIL-TR-2006-014,http://hdl.handle.net/1721.1/31220,"We present the design, analysis and construction of a biologicallyinspired tactile sensor. The sensor can measure normal and lateralforces, conform to the surfaces with which it comes in contact andincrease the friction of the surface for a good grasp.The sensor is built using a simple process and the applied forcesare read using standard electronics. These features make thesensors ideal for mass production.We are motivated to build tactile sensors that are useful forrobotic manipulation given that the current ones do not have thefeatures that we consider necessary. The sensors presented in thispaper have been designed to deal with these issues. They have beendesigned and implemented in the fingers of the humanoid robotObrero.",6 p.; 17555094 bytes; 2414073 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Humanoid Robotics Manipulation. Deformable Tactile Sensor.,A soft touch: Compliant Tactile Sensors for Sensitive Manipulation,Rodney Brooks,Humanoid Robotics,,
"Look, Gary; Peters, Stephen; Shrobe, Howard",2006-03-02T14:01:55Z,2006-03-02T14:01:55Z,2006-03-01,MIT-CSAIL-TR-2006-016,http://hdl.handle.net/1721.1/31222,"The goal of human-centered, pervasive computing should be to hide the details of the computing environment, allowing users to concentrate on their goals, rather than on the direct management of devices. This paper describes a system that operates at the level of goals and plans, rather than individual resources. It adaptively selects from its plan library that plan which is likely to best achieve the userÂ’s goal in view of his preferences and current resource availability. Once the plan and resources are selected, it monitors the execution of the plan, dispatching subtasks when they are ready to be executed.",14p.; 18134831 bytes; 577156 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Plan-Driven Pervasive Computing,Howard Shrobe,AIRE,,
"Peters, Stephen; Look, Gary; Quigley, Kevin; Shrobe, Howard; Gajos, Krzysztof",2006-03-02T14:01:58Z,2006-03-02T14:01:58Z,2006-03-01,MIT-CSAIL-TR-2006-017,http://hdl.handle.net/1721.1/31223,"We are building a new communication model and discoverysystem which will allow agent-based intelligent spacesto interact with one another. This new infrastructure layer,called Hyperglue, coordinates agent actions at a higher levelthan most agent communication does, providing an interfacefor communication at the level of ""real-world"" entities suchas people, places, organizations, and information sources.The resulting structure is one which allows these agent communitiesto interact, while preserving the privacy, privileges,and preferences of the entities they represent. In this paperwe describe the rationale for Hyperglue, and present theinitial design as an extension of the existing Metaglue agentframework developed at the MIT AI Lab.",6 p.; 12119609 bytes; 486781 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Hyperglue: Designing High-Level Agent Communication for Distributed Applications,Howard Shrobe,AIRE,,
