dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.relation.isreplacedby,dc.relation.uri,dc.subject,dc.description,dc.identifier.citation
Brian Williams,"Leaute, Thomas",Model-based Embedded and Robotic Systems,2006-04-28T18:22:21Z,2006-04-28T18:22:21Z,2006-04-28,MIT-CSAIL-TR-2006-029,http://hdl.handle.net/1721.1/32537,"Agile autonomous systems are emerging, such as unmanned aerial vehicles (UAVs), that must robustly perform tightly coordinated time-critical missions; for example, military surveillance or search-and-rescue scenarios. In the space domain, execution of temporally flexible plans has provided an enabler for achieving the desired coordination and robustness, in the context of space probes and planetary rovers, modeled as discrete systems. We address the challenge of extending plan execution to systems with continuous dynamics, such as air vehicles and robot manipulators, and that are controlled indirectly through the setting of continuous state variables.Systems with continuous dynamics are more challenging than discrete systems, because they require continuous, low-level control, and cannot be controlled by issuing simple sequences of discrete commands. Hence, manually controlling these systems (or plants) at a low level can become very costly, in terms of the number of human operators necessary to operate the plant. For example, in the case of a fleet of UAVs performing a search-and-rescue scenario, the traditional approach to controlling the UAVs involves providing series of close waypoints for each aircraft, which incurs a high workload for the human operators, when the fleet consists of a large number of vehicles.Our solution is a novel, model-based executive, called Sulu, that takes as input a qualitative state plan, specifying the desired evolution of the state of the system. This approach elevates the interaction between the human operator and the plant, to a more abstract level where the operator is able to Â“coachÂ” the plant by qualitatively specifying the tasks, or activities, the plant must perform. These activities are described in a qualitative manner, because they specify regions in the plantÂ’s state space in which the plant must be at a certain point in time. Time constraints are also described qualitatively, in the form of flexible temporal constraints between activities in the state plan. The design of low-level control inputs in order to meet this abstract goal specification is then delegated to the autonomous controller, hence decreasing the workload per human operator. This approach also provides robustness to the executive, by giving it room to adapt to disturbances and unforeseen events, while satisfying the qualitative constraints on the plant state, specified in the qualitative state plan.Sulu reasons on a model of the plant in order to dynamically generate near-optimal control sequences to fulfill the qualitative state plan. To achieve optimality and safety, Sulu plans into the future, framing the problem as a disjunctive linear programming problem. To achieve robustness to disturbances and maintain tractability, planning is folded within a receding horizon, continuous planning and execution framework. The key to performance is a problem reduction method based on constraint pruning. We benchmark performance using multi-UAV firefighting scenarios on a real-time, hardware-in-the-loop testbed.",155 p.; 41524644 bytes; 17696521 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Coordinating Agile Systems through the Model-based Execution of Temporal Plans,,,Model-based Programming; Qualitative Reasoning; Temporal Reasoning; Continuous Scheduling; Path Planning; Model Predictive Control,SM thesis,
Brian Williams,"Blackmore, Lars; Funiak, Stanislav; Williams, Brian",Model-based Embedded and Robotic Systems,2006-04-28T18:22:31Z,2006-04-28T18:22:31Z,2006-04-28,MIT-CSAIL-TR-2006-032,http://hdl.handle.net/1721.1/32539,"Robotic and embedded systems have become increasingly pervasive in applicationsranging from space probes and life support systems to robot assistants. In order to act robustly in the physical world, robotic systems must be able to detect changes in operational mode, such as faults, whose symptoms manifest themselves only in the continuous state. In such systems, the state is observed indirectly, and must therefore be estimated in a robust, memory-efficient manner from noisy observations.Probabilistic hybrid discrete/continuous models, such as Concurrent Probabilistic Hybrid Automata (CPHA) are convenient modeling tools for such systems. In CPHA, the hidden state is represented with discrete and continuous state variables that evolve probabilistically. In this paper, we present a novel method for estimating the hybrid state of CPHA that achieves robustness by balancing greedy and stochastic search. The key insight is that stochastic and greedy search methods, taken together, are often particularly effective in practice.To accomplish this, we first develop an efficient stochastic sampling approach for CPHA based on Rao-Blackwellised Particle Filtering. We then propose a strategy for mixing stochastic and greedy search. The resulting method is able to handle three particularly challenging aspects of real-world systems, namely that they 1) exhibit autonomous mode transitions, 2) consist of a large collection of concurrently operating components, and 3) are non-linear. Autonomous mode transitions, that is, discrete transitions that depend on thecontinuous state, are particularly challenging to address, since they couple the discrete and continuous state evolution tightly. In this paper we extend the class of autonomous mode transitions that can be handled to arbitrary piecewise polynomial transition distributions.We perform an empirical comparison of the greedy and stochastic approaches to hybrid estimation, and then demonstrate the robustness of the mixed method incorporated with our HME (Hybrid Mode Estimation) capability. We show that this robustness comes at only a small performance penalty.",50 p.; 5299899 bytes; 781961 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,A Combined Stochastic and Greedy Hybrid Estimation Capability for Concurrent Hybrid Models with Autonomous Mode Transitions,,,,,
Brian Williams,"Hofmann, Andreas",,2006-06-30T14:42:28Z,2006-06-30T14:42:28Z,2006-04-28,MIT-CSAIL-TR-2006-030,http://hdl.handle.net/1721.1/33229,"Effective use of robots in unstructured environments requires that they have sufficient autonomy and agility to execute task-level commands successfully.  A challenging example of such a robot is a bipedal walking machine.  Such a robot should be able to walk to a particular location within a particular time, while observing foot placement constraints, and avoiding a fall, if this is physically possible.  Although stable walking machines have been built, the problem of task-level control, where the tasks have stringent state-space and temporal requirements, and where significant disturbances may occur, has not been studied extensively.  This thesis addresses this problem through three objectives.  The first is to devise a plan specification where task requirements are expressed in a qualitative form that provides for execution flexibility.  The second is to develop a task-level executive that accepts such a plan, and outputs a sequence of control actions that result in successful plan execution.  The third is to provide this executive with disturbance handling ability.Development of such an executive is challenging because the biped is highly nonlinear and has limited actuation due to its limited base of support.  We address these challenges with three key innovations.  To address the nonlinearity, we develop a dynamic virtual model controller to linearize the biped, and thus, provide an abstracted biped that is easier to control.  The controller is model-based, but uses a sliding control technique to compensate for model inaccuracy.  To address the under-actuation, our system generates flow tubes, which define valid operating regions in the abstracted biped.  The flow tubes represent sets of state trajectories that take into account dynamic limitations due to under-actuation, and also satisfy plan requirements.  The executive keeps trajectories in the flow tubes by adjusting a small number of control parameters for key state variables in the abstracted biped, such as center of mass.  Additionally, our system uses a novel strategy that employs angular momentum to enhance translational controllability of the systemÂ’s center of mass.  We evaluate our approach using a high-fidelity biped simulation.  Tests include walking with foot-placement constraints, kicking a soccer ball, and disturbance recovery.",407 p.; 19361102 bytes; 7126131 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Robust Execution of Bipedal Walking Tasks From Biomechanical Principles,,,biomechanics; nonlinear control; temporally flexible plan execution,PhD thesis,
Brian Williams,"Blackmore, Lars",Model-based Embedded and Robotic Systems,2006-04-28T18:22:27Z,2006-04-28T18:22:27Z,2006-04-28,MIT-CSAIL-TR-2006-031,http://hdl.handle.net/1721.1/32538,"Autonomous vehicles need to be able to plan trajectories to a specified goal that avoid obstacles, and are robust to the inherent uncertainty in the problem. This uncertainty arises due to uncertain state estimation, disturbances and modeling errors. Previous solutions to the robust path planning problem solved this problem using a finite horizon optimal stochastic control approach. This approach finds the optimal path subject to chance constraints, which ensure that the probability of collision with obstacles is below a given threshold. This approach is limited to problems where all uncertain distributions are Gaussian, and typically result in highly conservative plans. In many cases, however, the Gaussian assumption is invalid; for example in the case of localization, the belief state about a vehicleÂ’s position can consist of highly non-Gaussian, even multimodal, distributions.In this paper we present a novel method for finite horizon stochastic control ofdynamic systems subject to chance constraints. The method approximates the distribution of the system state using a finite number of particles. By expressing these particles in terms of the control variables, we are able to approximate the original stochastic control problem as a deterministic one; furthermore the approximation becomes exact as the number of particles tends to infinity. For a general class of chance constrained problems with linear system dynamics, we show that the approximate problem can be solved using efficient Mixed-Integer Linear Programming techniques. We apply the new method to aircraft control in turbulence, and show simulation results that demonstrate the efficacy of the approach.",15 p.; 7896873 bytes; 673988 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"A Probabilistic Particle Control Approach to Optimal, Robust Predictive Control",,,,,
Hari Balakrishnan,"Walfish, Michael; Zamfirescu, J.D.; Balakrishnan, Hari; Karger, David; Shenker, Scott",Networks & Mobile Systems,2006-05-05T19:42:05Z,2006-05-05T19:42:05Z,2006-04-29,MIT-CSAIL-TR-2006-033,http://hdl.handle.net/1721.1/32542,"This report is a supplement to our paper ""Distributed Quota Enforcement forSpam Control"" (NSDI 2006). We assume here that the reader has readthe main paper. In this report, we first analyze the enforcer nodes'key-value maps and then analyze two of the experiments from the main paper.",6 p.; 611915 bytes; 214834 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"Supplement to ""Distributed Quota Enforcement for Spam Control""",,,,,
Saman Amarasinghe,"Thies, William; Urbanski, John Paul; Thorsen, Todd; Amarasinghe, Saman",Computer Architecture,2006-05-05T19:42:11Z,2006-05-05T19:42:11Z,2006-05-05,MIT-CSAIL-TR-2006-034,http://hdl.handle.net/1721.1/32543,"Microfluidic devices are emerging as an attractive technology for automatically orchestrating the reactions needed in a biological computer.  Thousands of microfluidic primitives have already been integrated on a single chip, and recent trends indicate that the hardware complexity is increasing at rates comparable to Moore's Law.  As in the case of silicon, it will be critical to develop abstraction layers--such as programming languages and Instruction Set Architectures (ISAs)--that decouple software development from changes in the underlying device technology.Towards this end, this paper presents BioStream, a portable language for describing biology protocols, and the Fluidic ISA, a stable interface for microfluidic chip designers.  A novel algorithm translates microfluidic mixing operations from the BioStream layer to the Fluidic ISA.  To demonstrate the benefits of these abstraction layers, we build two microfluidic chips that can both execute BioStream code despite significant differences at the device level.  We consider this to be an important step towards building scalable biocomputers.",14 p.; 6101702 bytes; 453129 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Abstraction Layers for Scalable Microfluidic Biocomputers (Extended Version),,,biological computing; DNA computing; microfluidics,,
Michael Ernst,"McCamant, Stephen",Program Analysis,2006-05-11T19:32:15Z,2006-05-11T19:32:15Z,2006-05-11,MIT-CSAIL-TR-2006-035,http://hdl.handle.net/1721.1/32546,"Executing untrusted code while preserving security requires that thecode be prevented from modifying memory or executing instructionsexcept as explicitly allowed.  Software-based fault isolation (SFI) or""sandboxing"" enforces such a policy by rewriting code at theinstruction level.  In previous work, we developed a new SFI techniquethat is applicable to CISC architectures such as the Intel IA-32,based on enforcing additional alignment constraints to avoiddifficulties with variable-length instructions.  This report describesa machine-checked proof we developed to increase our confidence in thesafety provided by the technique.  The proof, constructed for asimplified model of the technique using the ACL2 theorem provingenvironment, certifies that if the code rewriting has been checked tohave been performed correctly, the resulting program cannot perform adangerous operation when run.  We describe the high-level structure ofthe proof, then give the intermediate lemmas with interspersedcommentary, and finally evaluate the process of the proof'sconstruction.",33 p.; 499398 bytes; 1456845 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,A Machine-Checked Safety Proof for a CISC-Compatible SFI Technique,,,,,
Gerald Sussman,"Werfel, Justin",Mathematics and Computation,2006-08-14T12:49:01Z,2006-08-14T12:49:01Z,2006-05-12,MIT-CSAIL-TR-2006-052,http://hdl.handle.net/1721.1/33791,"Social insects build large, complex structures, which emerge through the collective actions of many simple agents acting with no centralized control or preplanning.  These natural systems motivate investigating the use of artificial swarms to automate construction or fabrication.  The goal is to be able to take an unspecified number of simple robots and a supply of building material, give the system a high-level specification for any arbitrary structure desired, and have a guarantee that it will produce that structure without further intervention.In this thesis I describe such a distributed system for automating construction, in which autonomous mobile robots collectively build user-specified structures from square building blocks.  The approach preserves many desirable features of the natural systems, such as considerable parallelism and robustness to factorslike robot loss and variable order or timing of actions.  Further, unlike insect colonies, it can build particular desired structures according to a high-level design provided by the user.Robots in this system act without explicit communication or cooperation, instead using the partially completed structure to coordinate their actions.  This mechanism is analogous to that of stigmergy used by social insects, in which insects take actions that affect the environment, and the environmental state influences further actions.  I introduce a framework of ""extended stigmergy"" in which building blocks are allowed to store, process or communicate information.  Increasing the capabilities of the building material (rather than of the robots) in this way increases the availability of nonlocal structure information.  Benefits include significant improvements in construction speed and in ability to take advantage of the parallelism of the swarm.This dissertation describes system design and control rules for decentralized teams of robots that provably build arbitrary solid structures in two dimensions.  I present a hardware prototype, and discuss extensions to more general structures, including those built with multiple block types and in three dimensions.",116 p.; 3106746 bytes; 130023424 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Anthills Built to Order: Automating Construction with Artificial Swarms,,,,PhD thesis,"Ph.D. thesis, Massachusetts Institute of Technology"
Tomaso Poggio,"Wolf, Lior",Vision,2006-05-16T22:16:59Z,2006-05-16T22:16:59Z,2006-05-16,MIT-CSAIL-TR-2006-036; CBCL-261,http://hdl.handle.net/1721.1/32978,"In Quantum Mechanics the transition from a deterministic descriptionto a probabilistic one is done using a simple rule termed the Bornrule. This rule states that the probability of an outcome ($a$)given a state ($\Psi$) is the square of their inner products($(a^\top\Psi)^2$).In this paper, we unravel a new probabilistic justification forpopular algebraic algorithms, based on the Born rule. Thesealgorithms include two-class and multiple-class spectral clustering,and algorithms based on Euclidean distances.",28 p.; 650559 bytes; 1572192 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Learning using the Born Rule,,,,,
Daniel Jackson,"Edwards, Jonathan",Software Design,2006-05-23T11:16:56Z,2006-05-23T11:16:56Z,2006-05-22,MIT-CSAIL-TR-2006-037,http://hdl.handle.net/1721.1/32980,"The Subtext project seeks to make programming fundamentally easier by altering the nature of programming languages and tools. This paper defines an operational semantics for an essential subset of the Subtext language. It also presents a fresh approach to the problems of mutable state, I/O, and concurrency.Inclusions reify copy & paste edits into persistent relationships that propagate changes from their source into their destination. Inclusions formulate a programming language in which there is no distinction between a programÂ’s representation and its execution. Like spreadsheets, programs are live executions within a persistent runtime, and programming is direct manipulation of these executions via a graphical user interface. There is no need to encode programs into source text.Mutation of state is effected by the computation of hypothetical recursive variants of the state, which can then be lifted into new versions of the state. Transactional concurrency is based upon queued single-threaded execution. Speculative execution of queued hypotheticals provides concurrency as a semantically transparent implementation optimization.",20 p.; 610092 bytes; 11137489 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,First Class Copy & Paste,,,prototypes; copy and paste; modularity; reactivity; transactions,,
