dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.subject,dc.title
"Harder, Michael",2023-03-29T15:35:43Z,2023-03-29T15:35:43Z,2002-06,,https://hdl.handle.net/1721.1/149950,,,,,MIT-LCS-TR-848,,Improving Test Suites via Generated Specifications
"Liskov, Barbara H.; Moh, Chuang-Hue; Richman, Steven; Shrira, Liuba; Chueng, Yin; Boyapati, Chandrasekhar",2023-03-29T15:35:50Z,2023-03-29T15:35:50Z,2002-06,,https://hdl.handle.net/1721.1/149953,,,,,MIT-LCS-TR-851,,Safe Lazy Software Upgrades in Object-Oriented Databases
"Boyapati, Chandrasekhar; Lee, Robert; Rinard, Martin",2023-03-29T15:35:55Z,2023-03-29T15:35:55Z,2002-06,,https://hdl.handle.net/1721.1/149955,,,,,MIT-LCS-TR-853,,Safe Runtime Downcasts With Ownership Types
"Gassend, Blaise; Clarke, Dwaine; van Dijk, Marten; Devadas, Srinivas",2023-03-29T15:35:57Z,2023-03-29T15:35:57Z,2002-06,,https://hdl.handle.net/1721.1/149956,,,,,MIT-LCS-TR-854,,Delay-Based Circuit Authentication With Application to Key Cards
"Gassend, Blaise; Clarke, Dwaine; van Dijk, Marten; Devadas, Srinivas",2023-03-29T15:35:36Z,2023-03-29T15:35:36Z,2002-06,,https://hdl.handle.net/1721.1/149947,,,,,MIT-LCS-TR-845,,Controlled Physical Unknown Functions: Applications to Secure Smartcards and Certified Execution
"Nimmer, Jeremy",2023-03-29T15:35:52Z,2023-03-29T15:35:52Z,2002-06,,https://hdl.handle.net/1721.1/149954,,,,,MIT-LCS-TR-852,,Automatic Generation and Checking of Program Specifications
"Huang, Andrew ""bunnie""",2004-10-20T20:29:51Z,2004-10-20T20:29:51Z,2002-06-01,AITR-2002-006,http://hdl.handle.net/1721.1/7096,"The furious pace of Moore's Law is driving  computer architecture into a realm where the the speed of light is the  dominant factor in system latencies. The number of clock cycles to span  a chip are increasing, while the number of bits that can be accessed  within a clock cycle is decreasing. Hence, it is becoming more  difficult to hide latency. One alternative solution is to reduce latency by  migrating threads and data, but the overhead of existing  implementations has previously made migration an unserviceable solution so  far.  I present an architecture, implementation, and  mechanisms that reduces the overhead of migration to the point where  migration is a viable supplement to other latency hiding  mechanisms, such as multithreading. The architecture is abstract,  and presents programmers with a simple, uniform fine-grained  multithreaded parallel programming model with implicit memory management. In  other words, the spatial nature and implementation details (such as  the number of processors) of a parallel machine are entirely hidden from  the programmer. Compiler writers are  encouraged to devise programming languages for the machine that guide a  programmer to express their ideas in terms of objects, since objects exhibit  an inherent physical locality of data and code. The machine  implementation can then leverage this locality to automatically distribute  data and threads across the physical machine by using a set of  high performance migration mechanisms.  An implementation of this architecture could  migrate a null thread in 66 cycles -- over a factor of 1000 improvement  over previous work. Performance also scales well; the time  required to move a typical thread is only 4 to 5 times that of a null  thread. Data migration performance is similar, and scales  linearly with data block size. Since the performance of the migration  mechanism is on par with that of an L2 cache, the implementation  simulated in my work has no data caches and relies instead on  multithreading and the migration mechanism to hide and reduce access  latencies.",299 p.; 13404896 bytes; 2307234 bytes,application/postscript; application/pdf,en_US,AITR-2002-006,AI; HPC parallel computer architecture queues fault tolerance programmability ADAM,ADAM: A Decentralized Parallel Computer Architecture Featuring Fast Thread and Data Migration and a Uniform Hardware Abstraction
"Brown, Jeremy Hanford",2004-10-20T20:06:13Z,2004-10-20T20:06:13Z,2002-06-01,AITR-2002-005,http://hdl.handle.net/1721.1/6910,"Conventional parallel computer architectures  do not provide support for non-uniformly distributed objects. In this  thesis, I introduce sparsely faceted arrays (SFAs), a new low-level mechanism for naming regions of memory, or facets, on different  processors in a distributed, shared memory parallel  processing system. Sparsely faceted arrays address the disconnect  between the global distributed arrays provided by conventional architectures  (e.g. the Cray T3 series), and the requirements of high-level  parallel programming methods that wish to use objects that are  distributed over only a subset of processing elements. A sparsely  faceted array names a virtual globally-distributed array, but actual  facets are lazily allocated. By providing simple semantics and  making efficient use of memory, SFAs enable efficient  implementation of a variety of non-uniformly distributed data structures and  related algorithms. I present example applications which use  SFAs, and describe and evaluate simple hardware mechanisms for  implementing SFAs.  Keeping track of which nodes have allocated  facets for a particular SFA is an important task that suggests the  need for automatic memory management, including garbage collection.  To address this need, I first argue that conventional tracing  techniques such as mark/sweep and copying GC are inherently unscalable in  parallel systems. I then present a parallel memory-management  strategy, based on reference-counting, that is capable of garbage  collecting sparsely faceted arrays. I also discuss opportunities  for hardware support of this garbage collection strategy.  I have implemented a high-level hardware/OS  simulator featuring hardware support for sparsely faceted arrays  and automatic garbage collection. I describe the simulator and  outline a few of the numerous details associated with a ""real""  implementation of SFAs and SFA-aware garbage collection. Simulation  results are used throughout this thesis in the evaluation of hardware  support mechanisms.",115 p.; 3145524 bytes; 677754 bytes,application/postscript; application/pdf,en_US,AITR-2002-005,AI; sparsely faceted arrays; shared memory; garbage collection; data structures,"Sparsely Faceted Arrays: A Mechanism Supporting Parallel Allocation, Communication, and Garbage Collection"
"Kim, Adlar J.; Shelton, Christian R.",2004-10-20T21:05:02Z,2004-10-20T21:05:02Z,2002-06-01,AIM-2002-009; CBCL-217,http://hdl.handle.net/1721.1/7271,"Stock markets employ specialized traders,  market-makers, designed to provide liquidity and volume to the market by  constantly supplying both supply and demand. In this paper, we  demonstrate a novel method for modeling the market as a dynamic system  and a reinforcement learning algorithm that learns profitable  market-making strategies when run on this model.  The sequence of buys and sells for a  particular stock, the order flow, we model as an Input-Output Hidden Markov  Model fit to historical data. When combined with the dynamics of  the order book, this creates a highly non-linear and difficult dynamic  system. Our reinforcement learning algorithm, based on likelihood ratios,  is run on this partially-observable environment. We  demonstrate learning results for two separate real stocks.",7 p.; 2119856 bytes; 1370177 bytes,application/postscript; application/pdf,en_US,AIM-2002-009; CBCL-217,AI; input/output HMM; market-making; reinforcement learning; stock order flow model,Modeling Stock Order Flows and Learning Market-Making from Data
"III, Teodoro Arvizo",2004-10-20T20:29:40Z,2004-10-20T20:29:40Z,2002-06-01,AITR-2002-004,http://hdl.handle.net/1721.1/7092,"In this thesis, I designed and implemented a  virtual machine (VM) for a monomorphic  variant of Athena, a type-omega denotational  proof language (DPL). This machine  attempts to maintain the minimum state required to evaluate Athena phrases. This  thesis also includes the design and  implementation of a compiler for  monomorphic Athena that compiles to the VM.  Finally, it includes details on my  implementation of a read-eval-print loop that  glues together the VM core and the compiler  to provide a full, user-accessible  interface to monomorphic Athena. The Athena  VM provides the same basis for DPLs that the  SECD machine does for pure, functional  programming and the Warren Abstract Machine does for Prolog.",106 p.; 2935187 bytes; 816842 bytes,application/postscript; application/pdf,en_US,AITR-2002-004,AI; virtual machine; SECD; SECD machine; denotational proof language; Athena,A Virtual Machine for a Type-omega Denotational Proof Language
