dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.subject
"McCamant, Stephen; Ernst, Michael D.",Program Analysis,2005-12-22T01:25:58Z,2005-12-22T01:25:58Z,2004-03-30,MIT-CSAIL-TR-2004-014; MIT-LCS-TR-941,http://hdl.handle.net/1721.1/30455,"This report presents a new, automatic technique to assess whether replacing a component of a softwaresystem by a purportedly compatible component may change the behavior of the system. The techniqueoperates before integrating the new component into the system or running system tests, permitting quickerand cheaper identification of problems. It takes into account the systemÂ’s use of the component, becausea particular component upgrade may be desirable in one context but undesirable in another. No formalspecifications are required, permitting detection of problems due either to errors in the component or toerrors in the system. Both external and internal behaviors can be compared, enabling detection of problemsthat are not immediately reflected in the output.The technique generates an operational abstraction for the old component in the context of the system,and one for the new component in the context of its test suite. An operational abstraction is a set of programproperties that generalizes over observed run-time behavior. Modeling a system as divided into modules,and taking into account the control and data flow between the modules, we formulate a logical conditionto guarantee that the systemÂ’s behavior is preserved across a component replacement. If automated logicalcomparison indicates that the new component does not make all the guarantees that the old one did, thenthe upgrade may affect system behavior and should not be performed without further scrutiny.We describe a practical implementation of the technique, incorporating enhancements to handle nonlocalstate, non-determinism, and missing test suites, and to distinguish old from new incompatibilities. Weevaluate the implementation in case studies using real-world systems, including the Linux C library and 48Unix programs. Our implementation identified real incompatibilities among versions of the C library thataffected some of the programs, and it approved the upgrades for other programs that were unaffected by thechanges.This report is a revision of the first authorÂ’s MasterÂ’s thesis, submitted January 2004.",51 p.; 58257912 bytes; 2025302 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Predicting Problems Caused by Component Upgrades,
"Kuncak, Viktor; Rinard, Martin",Computer Architecture,2005-12-22T01:26:10Z,2005-12-22T01:26:10Z,2004-04-06,MIT-CSAIL-TR-2004-016; MIT-LCS-TR-942,http://hdl.handle.net/1721.1/30457,"We have previously introduced role logic as a notation fordescribing properties of relational structures in shapeanalysis, databases and knowledge bases.  A natural fragmentof role logic corresponds to two-variable logic withcounting and is therefore decidable.We show how to use role logic to describe open and closedrecords, as well the dual of records, inverse records.  Weobserve that the spatial conjunction operation of separationlogic naturally models record concatenation.  Moreover, weshow how to eliminate the spatial conjunction of formulas ofquantifier depth one in first-order logic with counting.  Asa result, allowing spatial conjunction of formulas ofquantifier depth one preserves the decidability oftwo-variable logic with counting.  This result applies totwo-variable role logic fragment as well.The resulting logic smoothly integrates type system andpredicate calculus notation and can be viewed as a naturalgeneralization of the notation for constraints arising inrole analysis and similar shape analysis approaches.",30 p.; 29046951 bytes; 1214158 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,On Generalized Records and Spatial Conjunction in Role Logic,
"Georgiou, Chryssis; Musial, Peter M.; Shvartsman, Alexander A.",Theory of Computation,2005-12-22T01:26:16Z,2005-12-22T01:26:16Z,2004-04-12,MIT-CSAIL-TR-2004-017; MIT-LCS-TR-943,http://hdl.handle.net/1721.1/30458,"Shareable data services providing consistency guarantees, such as atomicity (linearizability), make building distributedsystems easier. However, combining linearizability with efficiency in practical algorithms is difficult. A reconfigurablelinearizable data service, called Rambo, was developed by Lynch and Shvartsman. This service guarantees consistencyunder dynamic conditions involving asynchrony, message loss, node crashes, and new node arrivals. The specificationof the original algorithm is given at an abstract level aimed at concise presentation and formal reasoning aboutcorrectness. The algorithm propagates information by means of gossip messages. If the service is in use for along time, the size and the number of gossip messages may grow without bound. This paper presents a consistentdata service for long-lived objects that improves on Rambo in two ways: it includes an incremental communicationprotocol and a leave service. The new protocol takes advantage of the local knowledge, and carefully manages thesize of messages by removing redundant information, while the leave service allows the nodes to leave the systemgracefully. The new algorithm is formally proved correct by forward simulation using levels of abstraction. Anexperimental implementation of the system was developed for networks-of-workstations. The paper also includesselected analytical and preliminary empirical results that illustrate the advantages of the new algorithm.",28 p.; 36030589 bytes; 1489589 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Long-Lived Rambo: Trading Knowledge for Communication,
"Wentzlaff, David; Agarwal, Anant",Computer Architecture,2005-12-22T01:26:26Z,2005-12-22T01:26:26Z,2004-04-13,MIT-CSAIL-TR-2004-018; MIT-LCS-TR-944,http://hdl.handle.net/1721.1/30459,"General purpose computing architectures are being called on to work on amore diverse application mix every day.  This has been fueled by the needfor reduced time to market and economies of scale that are the hallmarksof software on general purpose microprocessors.  As this application mixexpands, application domains such as bit-level computation, which hasprimarily been the domain of ASICs and FPGAs, will need to be effectivelyhandled by general purpose hardware.  Examples of bit-level applicationsinclude Ethernet framing, forward error correction encoding/decoding, andefficient state machine implementation.In this paper we compare how differing computational structures such asASICs, FPGAs, tiled architectures, and superscalar microprocessors areable to compete on bit-level communication applications.  A quantitativecomparison in terms of absolute performance and performance per area willbe presented.  These results show that although modest gains~(2-3x) inabsolute performance can be achieved when using FPGAs versus tunedmicroprocessor implementations, it is the significantly larger gains~(2-3orders of magnitude) that can be achieved in performance per area thatwill motivate work on supporting bit-level computation in a generalpurpose fashion in the future.",11 p.; 16819251 bytes; 664884 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"A Quantitative Comparison of Reconfigurable, Tiled, and Conventional Architectures on Bit-level Computation",
"Torralba, Antonio",,2004-10-08T20:43:12Z,2004-10-08T20:43:12Z,2004-04-14,AIM-2004-009,http://hdl.handle.net/1721.1/6737,"This article describes a model for including scene/context priors in attention guidance. In the proposed scheme, visual context information can be available early in the visual processing chain, in order to modulate the saliency of image regions and to provide an efficient short cut for object detection and recognition. The scene is represented by means of a low-dimensional global description obtained from low-level features. The global scene features are then used to predict the probability of presence of the target object in the scene, and its location and scale, before exploring the image. Scene information can then be used to modulate the saliency of image regions early during the visual processing in order to provide an efficient short cut for object detection and recognition.",12 p.; 2980182 bytes; 1698158 bytes,application/postscript; application/pdf,en_US,AIM-2004-009,Contextual Influences on Saliency,AI; Attention; context; saliency; scene recognition; object detection
"Katti, Sachin; Katabi, Dina; Kohler, Eddie; Strauss, Jacob",Networks and Mobile Systems,2005-12-22T01:27:11Z,2005-12-22T01:27:11Z,2004-04-14,MIT-CSAIL-TR-2004-022; MIT-LCS-TR-945,http://hdl.handle.net/1721.1/30462,"This paper presents M&M, a passive measurement toolkitsuitable for large-scale studies of Internet path characteristics.The multiQ tool uses equally-spaced mode gaps in TCP flowsÂ’packet interarrival time distributions to detect multiple bottleneckcapacities and their relative order. Unlike previous tools,multiQ can discover up to three bottlenecks fromthe tcpdumptrace of a single flow, and can work with acknowledgment aswell as data interarrivals.We also describe the mystery tool, asimple TCP loss event, packet loss, and RTT analyzer designedto work in concert with multiQ. The M&M toolkit can measuresimple path properties; correlate different types of measurementof the same path, producing new kinds of results; andbecause M&M is passive, it can use publicly-available traces totrack the value of a measurement over multiple years.We validate our tools in depth using the RON overlay network[4], which provides more than 400 heterogeneous Internetpaths and detailed information about their characteristics.We compare multiQ with Nettimer and Pathrate, two othercapacity measurement tools, in the first wide-area, real-worldvalidation of capacity measurement techniques. Each tool accuratelydiscovers minimum capacities (85% of measurementsare within 10%of the true value); multiQ additionally discoversmultiple bottlenecks and their orderings. We also use ourtoolkit to perform several measurement studies using a reservoirof 375 million traced packets spanning the last two years.Among the results of these studies are that bottleneck capacityon our traced links has gone up by around an order ofmagnitudefrom 2002 to 2004, and that differences in levels of statisticalmultiplexing on 10 Mb/s and 100 Mb/s bottleneck links resultin flows over those links having similar fair-share bandwidths.",13 p.; 25499604 bytes; 1134347 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"M&M: A Passive Toolkit for Measuring, Correlating, and Tracking Path Characteristics",
"Torralba, Antonio; Murphy, Kevin P.; Freeman, William T.",,2004-10-08T20:43:10Z,2004-10-08T20:43:10Z,2004-04-14,AIM-2004-008,http://hdl.handle.net/1721.1/6736,"We consider the problem of detecting a large number of different classes of objects in cluttered scenes. Traditional approaches require applying a battery of different classifiers to the image, at multiple locations and scales. This can be slow and can require a lot of training data, since each classifier requires the computation of many different image features. In particular, for independently trained detectors, the (run-time) computational complexity, and the (training-time) sample complexity, scales linearly with the number of classes to be detected. It seems unlikely that such an approach will scale up to allow recognition of hundreds or thousands of objects.  We present a multi-class boosting procedure (joint boosting) that reduces the computational and sample complexity, by finding common features that can be shared across the classes (and/or views). The detectors for each class are trained jointly, rather than independently. For a given performance level, the total number of features required, and therefore the computational cost, is observed to scale approximately logarithmically with the number of classes. The features selected jointly are closer to edges and generic features typical of many natural structures instead of finding specific object parts. Those generic features generalize better and reduce considerably the computational cost of an algorithm for multi-class object detection.",17 p.; 4223512 bytes; 1537371 bytes,application/postscript; application/pdf,en_US,AIM-2004-008,Sharing visual features for multiclass and multiview object detection,AI; Object detection; sharing features; feature selection; multiclass; Boosting
"Torralba, Antonio",,2005-12-22T01:26:54Z,2005-12-22T01:26:54Z,2004-04-14,MIT-CSAIL-TR-2004-020; AIM-2004-009,http://hdl.handle.net/1721.1/30460,"This article describes a model for including scene/context priors in attention guidance. In the proposed scheme, visual context information can be available early in the visual processing chain, in order to modulate the saliency of image regions and to provide an efficient short cut for object detection and recognition. The scene is represented by means of a low-dimensional global description obtained from low-level features. The global scene features are then used to predict the probability of presence of the target object in the scene, and its location and scale, before exploring the image. Scene information can then be used to modulate the saliency of image regions early during the visual processing in order to provide an efficient short cut for object detection and recognition.",12 p.; 18377938 bytes; 597436 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Contextual Influences on Saliency,AI; Attention; context; saliency; scene recognition; object detection
"Weinstein, Eugene; Steele, Kenneth; Agarwal, Anant; Glass, James",Computer Architecture,2005-12-22T01:27:05Z,2005-12-22T01:27:05Z,2004-04-14,MIT-CSAIL-TR-2004-021; MIT-LCS-TM-642,http://hdl.handle.net/1721.1/30461,"Ubiquitous computing environments are characterized by an unboundedamount of noise and crosstalk. In these environments, traditionalmethods of sound capture are insufficient, and array microphones areneeded in order to obtain a clean recording of desired speech. In thiswork, we have designed, implemented, and tested LOUD, a novel 1020-nodemicrophone array utilizing the Raw tile parallel processorarchitecture for computation. To the best of our knowledge,this is currently the largest microphone array in the world. We haveexplored the uses of the array within ubiquitous computing scenarios byimplementing an acoustic beamforming algorithm for sound sourceamplification in a noisy environment, and have obtained preliminaryresults demonstrating the efficacy of the array. From one to 1020microphones, we have shown a 13.7dB increase in peak SNR on arepresentative utterance, an 87.2% drop in word error rate withinterferer present, and an 89.6% drop in WER without an interferer.",18 p.; 26946578 bytes; 901671 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,A 1020-Node Modular Microphone Array and Beamformer for Intelligent Computing Spaces,
"Torralba, Antonio; Murphy, Kevin P.; Freeman, William T.",,2005-12-19T22:41:45Z,2005-12-19T22:41:45Z,2004-04-14,MIT-CSAIL-TR-2004-019; AIM-2004-008,http://hdl.handle.net/1721.1/30399,"We consider the problem of detecting a large number of different classes of objects in cluttered scenes. Traditional approaches require applying a battery of different classifiers to the image, at multiple locations and scales. This can be slow and can require a lot of training data, since each classifier requires the computation of many different image features. In particular, for independently trained detectors, the (run-time) computational complexity, and the (training-time) sample complexity, scales linearly with the number of classes to be detected. It seems unlikely that such an approach will scale up to allow recognition of hundreds or thousands of objects.We present a multi-class boosting procedure (joint boosting) that reduces the computational and sample complexity, by finding common features that can be shared across the classes (and/or views). The detectors for each class are trained jointly, rather than independently. For a given performance level, the total number of features required, and therefore the computational cost, is observed to scale approximately logarithmically with the number of classes. The features selected jointly are closer to edges and generic features typical of many natural structures instead of finding specific object parts. Those generic features generalize better and reduce considerably the computational cost of an algorithm for multi-class object detection.",17 p.; 24172096 bytes; 1434721 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Sharing visual features for multiclass and multiview object detection,AI; Object detection; sharing features; feature selection; multiclass; Boosting
