dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.subject,dc.title,dc.contributor.other
"Salcianu, Alexandru; Rinard, Martin",2005-12-22T01:31:05Z,2005-12-22T01:31:05Z,2004-05-17,MIT-CSAIL-TR-2004-030; MIT-LCS-TR-949,http://hdl.handle.net/1721.1/30470,"We present a new method purity analysis for Java programs.A method is pure if it does not mutate any location that exists in the program state right before method invocation.Our analysis is built on top of a combined pointer and escape analysis for Java programs and is capable of determining that methods are pure even when the methods do heap mutation, provided that the mutation affects only objects created after the beginning of the method. Because our analysis extracts a precise representation of the region of the heap that each method may access, it is able to provide useful information even for methods with externally visible side effects. In particular, it can recognize read-only parameters (a parameter is read-only if the method does not mutate any objects transitively reachable from the parameter) and safe parameters (a parameter is safe if it is read-only and the method does not create any new externally visible paths in the heap to objects transitively reachable from the parameter). The analysis can also generate regular expressions that characterize the externally visible heap locations that the method mutates.We have implemented our analysis and used it to analyze several data structure implementations. Our results show that our analysis effectively recognize a variety of pure methods, including pure methods that allocate and mutate complex auxiliary data structures. Even if the methods are not pure, our analysis can provide information which may enable developers to usefully bound the potential side effects of the method.",16 p.; 28889089 bytes; 1207932 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,A Combined Pointer and Purity Analysis for Java Programs,Computer Architecture
"Kennell, Jonathan",2004-10-20T20:32:23Z,2004-10-20T20:32:23Z,2004-05-18,AITR-2004-002,http://hdl.handle.net/1721.1/7113,"Autonomous vehicles are increasingly being used in mission-critical applications, and robust methods are needed for controlling these inherently unreliable and complex systems. This thesis advocates the use of model-based programming, which allows mission designers to program autonomous missions at the level of a coach or wing commander. To support such a system, this thesis presents the Spock generative planner. To generate plans, Spock must be able to piece together vehicle commands and team tactics that have a complex behavior represented by concurrent processes. This is in contrast to traditional planners, whose operators represent simple atomic or durative actions. Spock represents operators using the RMPL language, which describes behaviors using parallel and sequential compositions of state and activity episodes. RMPL is useful for controlling mobile autonomous missions because it allows mission designers to quickly encode expressive activity models using object-oriented design methods and an intuitive set of activity combinators. Spock also is significant in that it uniformly represents operators and plan-space processes in terms of Temporal Plan Networks, which support temporal flexibility for robust plan execution. Finally, Spock is implemented as a forward progression optimal planner that walks monotonically forward through plan processes, closing any open conditions and resolving any conflicts. This thesis describes the Spock algorithm in detail, along with example problems and test results.",90 p.; 15726143 bytes; 1269432 bytes,application/postscript; application/pdf,en_US,AITR-2004-002,"AI; planning ""temporal planning""",Generative Temporal Planning with Complex Processes,
"Stamatoiu, Oana L.",2004-10-20T20:32:25Z,2004-10-20T20:32:25Z,2004-05-18,AITR-2004-001,http://hdl.handle.net/1721.1/7114,"If we are to understand how we can build machines capable of broad purpose learning and reasoning, we must first aim to build systems that can represent, acquire, and reason about the kinds of commonsense knowledge that we humans have about the world. This endeavor suggests steps such as identifying the kinds of knowledge people commonly have about the world, constructing suitable knowledge representations, and exploring the mechanisms that people use to make judgments about the everyday world. In this work, I contribute to these goals by proposing an architecture for a system that can learn commonsense knowledge about the properties and behavior of objects in the world. The architecture described here augments previous machine learning systems in four ways: (1) it relies on a seven dimensional notion of context, built from information recently given to the system, to learn and reason about objects' properties; (2) it has multiple methods that it can use to reason about objects, so that when one method fails, it can fall back on others; (3) it illustrates the usefulness of reasoning about objects by thinking about their similarity to other, better known objects, and by inferring properties of objects from the categories that they belong to; and (4) it represents an attempt to build an autonomous learner and reasoner, that sets its own goals for learning about the world and deduces new facts by reflecting on its acquired knowledge. This thesis describes this architecture, as well as a first implementation, that can learn from sentences such as ``A blue bird flew to the tree'' and ``The small bird flew to the cage'' that birds can fly. One of the main contributions of this work lies in suggesting a further set of salient ideas about how we can build broader purpose commonsense artificial learners and reasoners.",96 p.; 6550712 bytes; 1993377 bytes,application/postscript; application/pdf,en_US,AITR-2004-001,AI; learning; context; categorization; similarity; Bridge; thread memory,Learning Commonsense Categorical Knowledge in a Thread Memory System,
"Kennell, Jonathan",2005-12-22T01:31:24Z,2005-12-22T01:31:24Z,2004-05-18,MIT-CSAIL-TR-2004-032; AITR-2004-002,http://hdl.handle.net/1721.1/30472,"Autonomous vehicles are increasingly being used in mission-critical applications, and robust methods are needed for controlling these inherently unreliable and complex systems.  This thesis advocates the use of model-based programming, which allows mission designers to program autonomous missions at the level of a coach or wing commander.  To support such a system, this thesis presents the Spock generative planner.  To generate plans, Spock must be able to piece together vehicle commands and team tactics that have a complex behavior represented by concurrent processes.  This is in contrast to traditional planners, whose operators represent simple atomic or durative actions.  Spock represents operators using the RMPL language, which describes behaviors using parallel and sequential compositions of state and activity episodes.  RMPL is useful for controlling mobile autonomous missions because it allows mission designers to quickly encode expressive activity models using object-oriented design methods and an intuitive set of activity combinators.  Spock also is significant in that it uniformly represents operators and plan-space processes in terms of Temporal Plan Networks, which support temporal flexibility for robust plan execution.  Finally, Spock is implemented as a forward progression optimal planner that walks monotonically forward through plan processes, closing any open conditions and resolving any conflicts.  This thesis describes the Spock algorithm in detail, along with example problems and test results.",90 p.; 56421512 bytes; 2495752 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"AI; planning ""temporal planning""",Generative Temporal Planning with Complex Processes,
"Jon, Doyle; Kohane, Isaac; Long, William; Szolovits, Peter",2005-12-19T23:26:14Z,2005-12-19T23:26:14Z,2004-05-18,MIT-CSAIL-TR-2004-034; MIT-LCS-TR-951,http://hdl.handle.net/1721.1/30413,"This report describes the aims, functions, and organization of the MAITAsystem for knowledge-based construction, adaptation, and control of networks of monitoringprocesses.",68 p.; 67174302 bytes; 2280148 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,"The Architecture of MAITA: A Tool for Monitoring, Analysis, and Interpretation",Clinical Decision Making
"Stamatoiu, Oana L.",2005-12-22T01:31:32Z,2005-12-22T01:31:32Z,2004-05-18,MIT-CSAIL-TR-2004-033; AITR-2004-001,http://hdl.handle.net/1721.1/30473,"If we are to understand how we can build machines capable of broadpurpose learning and reasoning, we must first aim to build systemsthat can represent, acquire, and reason about the kinds of commonsenseknowledge that we humans have about the world. This endeavor suggestssteps such as identifying the kinds of knowledge people commonly haveabout the world, constructing suitable knowledge representations, andexploring the mechanisms that people use to make judgments about theeveryday world. In this work, I contribute to these goals by proposingan architecture for a system that can learn commonsense knowledgeabout the properties and behavior of objects in the world. Thearchitecture described here augments previous machine learning systemsin four ways: (1) it relies on a seven dimensional notion of context,built from information recently given to the system, to learn andreason about objects' properties; (2) it has multiple methods that itcan use to reason about objects, so that when one method fails, it canfall back on others; (3) it illustrates the usefulness of reasoningabout objects by thinking about their similarity to other, betterknown objects, and by inferring properties of objects from thecategories that they belong to; and (4) it represents an attempt tobuild an autonomous learner and reasoner, that sets its own goals forlearning about the world and deduces new facts by reflecting on itsacquired knowledge. This thesis describes this architecture, as wellas a first implementation, that can learn from sentences such as ``Ablue bird flew to the tree'' and ``The small bird flew to the cage''that birds can fly. One of the main contributions of thiswork lies in suggesting a further set of salient ideas about how wecan build broader purpose commonsense artificial learners andreasoners.",96 p.; 68735708 bytes; 2432875 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; learning; context; categorization; similarity; Bridge; thread memory,Learning Commonsense Categorical Knowledge in a Thread Memory System,
"Demsky, Brian; Rinard, Martin",2005-12-22T01:31:40Z,2005-12-22T01:31:40Z,2004-05-18,MIT-CSAIL-TR-2004-035; MIT-LCS-TR-950,http://hdl.handle.net/1721.1/30474,"Model-based data structure repair is a promising techniquefor enabling programs to continue to execute successfullyin the face of otherwise fatal data structure corruption errors.Previous research in this  eld relied on the developerto write a speci cation to explicitly translate model repairsinto concrete data structure repairs, raising the possibilityof 1) incorrect translations causing the supposedly repairedconcrete data structures to be inconsistent, and 2) repairedmodels with no corresponding concrete data structure representation.We present a new repair algorithm that uses goal-directedreasoning to automatically translate model repairs into concretedata structure repairs. This new repair algorithm eliminatesthe possibility of incorrect translations and repairedmodels with no corresponding representation as concretedata structures. Unlike our old algorithm, our new algorithmcan also repair linked data structures such as a list ora tree.",20 p.; 34348723 bytes; 1265029 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Data Structure Repair Using Goal-Directed Reasoning,Computer Architecture
"Goler, Jonathan A.",2004-10-20T20:32:27Z,2004-10-20T20:32:27Z,2004-05-28,AITR-2004-003,http://hdl.handle.net/1721.1/7115,"The next generations of both biological engineering and computer engineering demand that control be  exerted at the molecular level. Creating, characterizing and controlling synthetic biological systems  may provide us with the ability to build cells that are capable of a plethora of activities, from  computation to synthesizing nanostructures. To develop these systems, we must have a set of tools not  only for synthesizing systems, but also designing and simulating them. The BioJADE project provides a  comprehensive, extensible design and simulation platform for synthetic biology. BioJADE is a graphical  design tool built in Java, utilizing a database back end, and supports a range of simulations using an  XML communication protocol. BioJADE currently supports a library of over 100 parts with which it can  compile designs into actual DNA, and then generate synthesis instructions to build the physical parts.  The BioJADE project contributes several tools to Synthetic Biology. BioJADE in itself is a powerful tool for  synthetic biology designers. Additionally, we developed and now make use of a centralized BioBricks  repository, which enables the sharing of BioBrick components between researchers, and vastly reduces  the barriers to entry for aspiring Synthetic Biologists.",54 p.; 5905018 bytes; 1459615 bytes,application/postscript; application/pdf,en_US,AITR-2004-003,AI; BioJADE; Synthetic Biology; DNA,BioJADE: A Design and Simulation Tool for Synthetic Biological Systems,
"Goler, Jonathan A.",2005-12-22T01:31:51Z,2005-12-22T01:31:51Z,2004-05-28,MIT-CSAIL-TR-2004-036; AITR-2004-003,http://hdl.handle.net/1721.1/30475,"The next generations of both biological engineering and computer engineering demand that control be exerted at the molecular level. Creating, characterizing and controlling synthetic biological systems may provide us with the ability to build cells that are capable of a plethora of activities, from computation to synthesizing nanostructures. To develop these systems, we must have a set of tools not only for synthesizing systems, but also designing and simulating them. The BioJADE project provides a comprehensive, extensible design and simulation platform for synthetic biology. BioJADE is a graphical design tool built in Java, utilizing a database back end, and supports a range of simulations using an XML communication protocol. BioJADE currently supports a library of over 100 parts with which it can compile designs into actual DNA, and then generate synthesis instructions to build the physical parts. The BioJADE project contributes several tools to Synthetic Biology. BioJADE in itself is a powerful tool for synthetic biology designers. Additionally, we developed and now make use of a centralized BioBricks repository, which enables the sharing of BioBrick components between researchers, and vastly reduces the barriers to entry for aspiring Synthetic Biologists.",54 p.; 53265402 bytes; 4755231 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; BioJADE; Synthetic Biology; DNA,BioJADE: A Design and Simulation Tool for Synthetic Biological Systems,
"Taylor, Michael Bedford",2005-12-22T01:31:55Z,2005-12-22T01:31:55Z,2004-06-07,MIT-CSAIL-TR-2004-037; MIT-LCS-TM-644,http://hdl.handle.net/1721.1/30476,"In this paper, we introduce the concept of a deionizer. A deionizeris a special type of partial evaluator whose purpose is to create a newversion of a program that can run without accessing a partial set of I/O resources.Although a deionizer can be used for application embedding, this short paper addresses the use of dionization for improving benchmark accuracy.The paper briefly discusses the key ideas and then explains the implementation and useof the MIT deionizer. This deionizer was used to produce the results for a recent conference paper that compares theRaw processor to a Pentium III.",3 p.; 3974101 bytes; 235085 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Deionizer: A Tool for Capturing and Embedding I/O Cells,Computer Architecture
