dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.subject,dc.title,dc.contributor.other
"Liskov, Moses",2005-12-22T12:00:00Z,2005-12-22T12:00:00Z,2003-10-14,MIT-CSAIL-TR-2003-022; MIT-LCS-TM-639,http://hdl.handle.net/1721.1/30427,"Electronic cash schemes in which the bank authenticates many coins at once suffer from the problem that coins that are authenticated together can be linked to one another. Unfortunately, unless a user spends coins in a closely prescribed manner, different batches of coins (""wallets"") will be linked together in these schemes. This is illustrated by the problem of what a customer does with the ""spare change"" - an unusable small amount of money left in a wallet. We propose a new protocol to be used in e-cash schemes: blind deposits. In a blind deposit, a customer returns a coin to the bank without revealing the coin. We present a secure and efficient e-cash scheme with this added feature based on that of Liskov-Micali [LM01].",13 p.; 12754502 bytes; 526739 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Electronic Cash with Blind Deposits: How to Have No Spare Change,Theory of Computation
"Strumpen, Volker; Hoffmann, Henry; Agarwal, Anant",2005-12-22T01:09:48Z,2005-12-22T01:09:48Z,2003-10-22,MIT-CSAIL-TR-2003-024; MIT-LCS-TM-641,http://hdl.handle.net/1721.1/30429,"We present a stream algorithm for the Singular-Value Decomposition (SVD) of anM X N matrix A. Our algorithm trades speed of numerical convergence for parallelism,and derives from a one-sided, cyclic-by-rows Hestenes SVD. Experimental results showthat we can create O(M) parallelism, at the expense of increasing the computationalwork by less than a factor of about 2. Our algorithm qualifes as a stream algorithmin that it requires no more than a small, bounded amount of local storage per processor and its compute efficiency approaches an optimal 100% asymptotically for largenumbers of processors and appropriate problem sizes.",31 p.; 30567456 bytes; 1124918 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,A Stream Algorithm for the SVD,Computer Architecture
"Kuncak, Viktor; Rinard, Martin",2005-12-22T01:12:11Z,2005-12-22T01:12:11Z,2003-10-24,MIT-CSAIL-TR-2003-025; MIT-LCS-TR-925,http://hdl.handle.net/1721.1/30430,"We present role logic, a notation for describing propertiesof relational structures in shape analysis, databases, andknowledge bases.  We construct role logic using the ideas ofde Bruijn's notation for lambda calculus, an encoding offirst-order logic in lambda calculus, and a simple rule forimplicit arguments of unary and binary predicates.The unrestricted version of role logic has the expressivepower of first-order logic with transitive closure.  Using asyntactic restriction on role logic formulas, we identify anatural fragment RL^2 of role logic.  We show that the RL^2fragment has the same expressive power as two-variable logicwith counting C^2 and is therefore decidable.We present a translation of an imperative language into thedecidable fragment RL^2, which allows compositionalverification of programs that manipulate relationalstructures.  In addition, we show how RL^2 encodes booleanshape analysis constraints and an expressive descriptionlogic.",20 p.; 26284070 bytes; 1140595 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,On Role Logic,Computer Architecture
"Eisenstein, Jacob",2005-12-22T01:12:20Z,2005-12-22T01:12:20Z,2003-10-28,MIT-CSAIL-TR-2003-026; AIM-2003-023,http://hdl.handle.net/1721.1/30431,"In this paper, I describe the application of genetic programming to evolve a controller for a robotic tank in a simulated environment.The purpose is to explore how genetic techniques can best be applied to produce controllers based on subsumption and behavior oriented languages such as REX.  As part of my implementation, I developed TableRex, a modification of REX that can be expressed on a fixed-lengthgenome.  Using a fixed subsumption architecture of TableRex modules, I evolved robots that beat some of the most competitive hand-coded adversaries.",24 p.; 21707085 bytes; 716288 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; genetic programming; robotics,Evolving Robocode Tank Fighters,
"Eisenstein, Jacob",2004-10-08T20:43:03Z,2004-10-08T20:43:03Z,2003-10-28,AIM-2003-023,http://hdl.handle.net/1721.1/6731,"In this paper, I describe the application of genetic programming  to evolve a controller for a robotic tank in a simulated environment. The purpose is to explore how genetic techniques can best be applied  to produce controllers based on subsumption and behavior oriented  languages such as REX. As part of my implementation, I developed  TableRex, a modification of REX that can be expressed on a fixed-length genome. Using a fixed subsumption architecture of TableRex modules,  I evolved robots that beat some of the most competitive hand-coded  adversaries.",24 p.; 963754 bytes; 653698 bytes,application/postscript; application/pdf,en_US,AIM-2003-023,AI; genetic programming; robotics,Evolving Robocode Tank Fighters,
"Ford, Bryan",2005-12-22T01:14:34Z,2005-12-22T01:14:34Z,2003-10-31,MIT-CSAIL-TR-2003-027; MIT-LCS-TR-926,http://hdl.handle.net/1721.1/30432,"Unmanaged Internet Protocol (UIP) is a fully selforganizingnetwork-layer protocol that implements scalableidentity-based routing. In contrast with addressbasedrouting protocols, which depend for scalability oncentralized hierarchical address management, UIP nodesuse a flat namespace of cryptographic node identifiers.Node identities can be created locally on demand andremain stable across network changes. Unlike locationindependentname services, the UIP routing protocol canstitch together many conventional address-based networkswith disjoint or discontinuous address domains, providingconnectivity between any pair of participating nodes evenwhen no underlying network provides direct connectivity.The UIP routing protocol works on networks with arbitrarytopologies and global traffic patterns, and requiresonlyO(log N) storage per node for routing state, enablingeven small, ubiquitous edge devices to act as ad-hoc selfconfiguringrouters. The protocol rapidly recovers fromnetwork partitions, bringing every node up-to-date in amulticast-based chain reaction of O(log N) depth. Simulationresults indicate that UIP finds routes that are onaverage within 2X  the length of the best possible route.",15 p.; 25392418 bytes; 1209916 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Scalable Internet Routing on Topology-Independent Node Identities,
"Demsky, Brian; Cadar, Cristian; Roy, Daniel; Rinard, Martin",2005-12-22T01:14:41Z,2005-12-22T01:14:41Z,2003-11-13,MIT-CSAIL-TR-2003-028; MIT-LCS-TR-927,http://hdl.handle.net/1721.1/30433,"We present a new error localization tool, Archie, that accepts aspecification of key data structure consistency constraints, then generatesan algorithm that checks if the data structures satisfy theconstraints. We also present a set of specification analyses and optimizationsthat (for our benchmark software system) improve theperformance of the generated checking algorithm by over a factorof 3,900 as compared with the initial interpreted implementation,enabling Archie to efficiently support interactive debugging.We evaluate ArchieÂ’s effectiveness by observing the actions oftwo developer populations (one using Archie, the other using standarderror localization techniques) as they attempted to localize andcorrect three errors in a benchmark software system. With Archie,the developers were able to localize each error in less than 10 minutesand correct each error in (usually much) less than 20 minutes.Without Archie, the developers were, with one exception, unableto locate each error after more than an hour of effort. These resultsillustrate ArchieÂ’s potential to substantially improve current errorlocalization and correction techniques.",10 p.; 19768606 bytes; 820085 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Efficient Specification-Assisted Error Localization and Correction,Computer Architecture
"Hajiaghayi, MohammadTaghi; Sorkin, Gregory B.",2005-12-22T01:14:48Z,2005-12-22T01:14:48Z,2003-11-20,MIT-CSAIL-TR-2003-029; MIT-LCS-TR-929,http://hdl.handle.net/1721.1/30434,We prove that a random 3-SAT instance with clause-to-variable densityless than 3.52 is satisfiable with high probability.The proof comes through an algorithm which selects (and sets) a variabledepending on its degree and that of its complement.,8 p.; 6904092 bytes; 339435 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,The Satisfiability Threshold of Random 3-SAT Is at Least 3.52,Theory of Computation
"Liben-Nowell, David; Vee, Erik; Zhu, An",2005-12-22T01:15:02Z,2005-12-22T01:15:02Z,2003-11-26,MIT-CSAIL-TR-2003-030; MIT-LCS-TR-931,http://hdl.handle.net/1721.1/30435,"In this paper, we present algorithms and lower bounds for the Longest Increasing Subsequence(LIS) and Longest Common Subsequence (LCS) problems in the data streaming model.",15 p.; 19636061 bytes; 807700 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Finding Longest Increasing and Common Subsequences in Streaming Data,
"Morgenstern, Christian; Heisele, Bernd",2004-10-20T21:05:16Z,2004-10-20T21:05:16Z,2003-11-28,AIM-2003-024; CBCL-232,http://hdl.handle.net/1721.1/7279,We present a component-based approach for recognizing objects under large pose changes. From a set of training images of a given object we extract a large number of components which are clustered based on the similarity of their image features and their locations within the object image. The cluster centers build an initial set of component templates from which we select a subset for the final recognizer. In experiments we evaluate different sizes and types of components and three standard techniques for component selection. The component classifiers are finally compared to global classifiers on a database of four objects.,12 p.; 3572823 bytes; 962401 bytes,application/postscript; application/pdf,en_US,AIM-2003-024; CBCL-232,AI; computer vision; object recognition; component object recognition,Component based recognition of objects in an office environment,
