dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.title,dc.date.updated,dc.subject,dc.rights,dc.rights.uri,dspace.orderedauthors,dc.contributor
Michael Stonebraker,"Battle, Leilani; Chang, Remco; Stonebraker, Michael",Database,2015-10-19T20:15:05Z,2015-10-19T20:15:05Z,2015-10-19,http://hdl.handle.net/1721.1/99361,"In this paper, we present ForeCache, a general-purpose tool for exploratory browsing of large datasets. ForeCache utilizes a client-server architecture, where the user interacts with a lightweight client-side interface to browse datasets, and the data to be browsed is retrieved from a DBMS running on a back-end server. We assume a detail-on-demand browsing paradigm, and optimize the back-end support for this paradigm by inserting a separate middleware layer in front of the DBMS. To improve response times, the middleware layer fetches data ahead of the user as she explores a dataset. We consider two different mechanisms for prefetching: (a) learning what to fetch from the user's recent movements, and (b) using data characteristics (e.g., histograms) to find data similar to what the user has viewed in the past. We incorporate these mechanisms into a single prediction engine that adjusts its prediction strategies over time, based on changes in the user's behavior. We evaluated our prediction engine with a user study, and found that our dynamic prefetching strategy provides: (1) significant improvements in overall latency when compared with non-prefetching systems (430% improvement); and (2) substantial improvements in both prediction accuracy (25% improvement) and latency (88% improvement) relative to existing prefetching techniques.",13 p.,MIT-CSAIL-TR-2015-031,Dynamic Prefetching of Data Tiles for Interactive Visualization,2015-10-19T20:15:05Z,visualization; interactive exploration; databases,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
Leslie Kaelbling,"Zewdie, Dawit H.; Konidaris, George",Learning and Intelligent Systems,2015-11-30T19:30:04Z,2015-11-30T19:30:04Z,2015-11-24,http://hdl.handle.net/1721.1/100053,"Recent years have seen increased interest in non-parametric reinforcement learning. There are now practical kernel-based algorithms for approximating value functions; however, kernel regression requires that the underlying function being approximated be smooth on its domain. Few problems of interest satisfy this requirement in their natural representation. In this paper we define Value-Consistent Pseudometric (VCPM), the distance function corresponding to a transformation of the domain into a space where the target function is maximally smooth and thus well-approximated by kernel regression. We then present DKBRL, an iterative batch RL algorithm interleaving steps of Kernel-Based Reinforcement Learning and distance metric adjustment. We evaluate its performance on Acrobot and PinBall, continuous-space reinforcement learning domains with discontinuous value functions.",16 p.,MIT-CSAIL-TR-2015-032,Representation Discovery for Kernel-Based Reinforcement Learning,2015-11-30T19:30:04Z,Metric learning,Creative Commons Attribution-ShareAlike 4.0 International,http://creativecommons.org/licenses/by-sa/4.0/,,
Patrick Winston,"Finlayson, Mark Alan",Genesis,2015-12-03T16:30:05Z,2015-12-03T16:30:05Z,2015-12-02,http://hdl.handle.net/1721.1/100054,"This archive contains the supplementary material for the journal article ""ProppLearner: Deeply Annotating a Corpus of Russian Folktales to Enable the Machine Learning of a Russian Formalist Theory"", published in the Journal of Digital Scholarship in the Humanities (DSH), ca. 2016.The archive contains several different types of files. First, it contains the annotation guides that were used to train the annotators. The guides are numbered to match the team numbers in Table 6. Included here are not only detailed guides for some layers, as produced by the original developers of the specification, but also our synopsis guides for each layer, which were used as a reference and further training material for the annotators. Also of interest are the general annotator and adjudicator training guides, which outline the general procedures followed by the teams when conducting annotation. Those who are organizing their own annotation projects may find this material useful.Second, the archive contains a comprehensive manifest, in Excel spreadsheet format, listing the word counts, sources, types, and titles (in both Russian and English) of all the texts that are part of the corpus. Finally, the archive contains the actual corpus data files, in Story Workbench format, an XML-encoded stand-off annotation scheme. The scheme is described in the file format specification file, also included in the archive. These files can be parsed with the aid of any normal XML reading software, or can be loaded and edited easily with the Story Workbench annotation tool, also freely available.",8341 KiB,,"Supplementary materials for ""ProppLearner: Deeply Annotating a Corpus of Russian Folktales to Enable the Machine Learning of a Russian Formalist Theory""",2015-12-03T16:30:05Z,,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,Patrick Winston; Genesis
Daniel Sanchez,"Beckmann, Nathan; Tsai, Po-An; Sanchez, Daniel",Computer Architecture,2015-12-21T19:00:18Z,2015-12-21T19:00:18Z,2015-12-19,http://hdl.handle.net/1721.1/100466,"Conventional memory systems are organized as a rigid hierarchy, with multiple levels of progressively larger and slower memories. Hierarchy allows a simple, fixed design to benefit a wide range of applications, because working sets settle at the smallest (and fastest) level they fit in. However, rigid hierarchies also cause significant overheads, because each level adds latency and energy even when it does not capture the working set. In emerging systems with heterogeneous memory technologies such as stacked DRAM, these overheads often limit performance and efficiency. We propose Jenga, a reconfigurable cache hierarchy that avoids these pathologies and approaches the performance of a hierarchy optimized for each application. Jenga monitors application behavior and dynamically builds virtual cache hierarchies out of heterogeneous, distributed cache banks. Jenga uses simple hardware support and a novel software runtime to configure virtual cache hierarchies. On a 36-core CMP with a 1 GB stacked-DRAM cache, Jenga outperforms a combination of state-of-the-art techniques by 10% on average and by up to 36%, and does so while saving energy, improving system-wide energy-delay product by 29% on average and by up to 96%.",12 p.,MIT-CSAIL-TR-2015-035,Jenga: Harnessing Heterogeneous Memories through Reconfigurable Cache Hierarchies,2015-12-21T19:00:18Z,,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,
Daniel Sanchez,"Beckmann, Nathan; Sanchez, Daniel",Computer Architecture,2015-12-21T19:00:09Z,2015-12-21T19:00:09Z,2015-12-19,http://hdl.handle.net/1721.1/100464,"Caches are critical to performance, yet their behavior is hard to understand and model. In particular, prior work does not provide closed-form solutions of cache performance, i.e. simple expressions for the miss rate of a specific access pattern. Existing cache models instead use numerical methods that, unlike closed-form solutions, are computationally expensive and yield limited insight. We present cache calculus, a technique that models cache behavior as a system of ordinary differential equations, letting standard calculus techniques find simple and accurate solutions of cache performance for common access patterns.",4 p.,MIT-CSAIL-TR-2015-033,Cache Calculus: Modeling Caches through Differential Equations,2015-12-21T19:00:10Z,,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,
Daniel Sanchez,"Beckmann, Nathan; Sanchez, Daniel",Computer Architecture,2015-12-21T19:00:15Z,2015-12-21T19:00:15Z,2015-12-19,http://hdl.handle.net/1721.1/100465,"Much prior work has studied processor cache replacement policies, but a large gap remains between theory and practice. The optimal policy (MIN) requires unobtainable knowledge of the future, and prior theoretically-grounded policies use reference models that do not match real programs. Meanwhile, practical policies are designed empirically. Lacking a strong theoretical foundation, they do not make the best use of the information available to them. This paper bridges theory and practice. We propose that practical policies should replace lines based on their economic value added (EVA), the difference of their expected hits from the average. We use Markov decision processes to show that EVA is optimal under some reasonable simplifications. We present an inexpensive, practical implementation of EVA and evaluate it exhaustively over many cache sizes. EVA outperforms prior practical policies and saves area at iso-performance. These results show that formalizing cache replacement yields practical benefits.",14 p.,MIT-CSAIL-TR-2015-034,Bridging Theory and Practice in Cache Replacement,2015-12-21T19:00:15Z,,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,
Martin Rinard,"Shen, Jiasi; Rinard, Martin",Program Analysis and Compilation,2015-12-28T22:15:05Z,2015-12-28T22:15:05Z,2015-12-27,http://hdl.handle.net/1721.1/100542,"We present a new language construct, filtered iterators, for safe and robust input processing. Filtered iterators are designed to eliminate many common input-processing errors while enabling robust continued execution. The design is inspired by (a) observed common input-processing errors and (b) continued execution strategies that are implemented by developers fixing input validation errors. Filtered iterators decompose inputs into input units, atomically and automatically discarding units that trigger errors. Statistically significant results from a developer study highlight the difficulties that developers encounter when developing input-processing code using standard language constructs. These results also demonstrate the effectiveness of filtered iterators in eliminating many of these difficulties and enabling developers to produce safe and robust input-processing code.",111 p.,MIT-CSAIL-TR-2015-036,Filtered Iterators For Safe and Robust Programs in RIFL,2015-12-28T22:15:05Z,,,,,
Daniel Jackson,"McCutchen, Richard Matthew; Itzhaky, Shachar; Jackson, Daniel",Software Design,2016-01-12T21:15:03Z,2016-01-12T21:15:03Z,2016-01-12,http://hdl.handle.net/1721.1/100803,"There is a growing demand for data-driven web applications that help automate organizational and business processes of low to medium complexity by letting users view and update structured data in controlled ways. We present Object Spreadsheets, an end-user development tool that combines a spreadsheet interface with a rich data model to help the process administrators build the logic for such applications themselves. Its all-in-one interface with immediate feedback has the potential to bring more complex tasks within reach of end-user developers, compared to existing approaches. Our data model is based on the structure of entity-relationship models and directly supports nested variable-size collections and object references, which are common in web applications but poorly accommodated by traditional spreadsheets. Object Spreadsheets has a formula language suited to the data model and supports stored procedures to specify the forms of updates that application users may make. Formulas can be used to assemble data in the exact structure in which it is to be shown in the application UI, simplifying the task of UI building; we intend for Object Spreadsheets to be integrated with a UI builder to provide a complete solution for application development. We describe our prototype implementation and several example applications we built to demonstrate the applicability of the tool.",27 p.,MIT-CSAIL-TR-2016-001,Initial report on Object Spreadsheets,2016-01-12T21:15:03Z,,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,
Adam Chlipala,"Pit-Claudel, Clément; Mariet, Zelda; Harding, Rachael; Madden, Sam",Programming Languages and Verification,2016-02-10T18:45:06Z,2016-02-10T18:45:06Z,2016-02-08,http://hdl.handle.net/1721.1/101150,"Rapidly developing areas of information technology are generating massive amounts of data. Human errors, sensor failures, and other unforeseen circumstances unfortunately tend to undermine the quality and consistency of these datasets by introducing outliers -- data points that exhibit surprising behavior when compared to the rest of the data. Characterizing, locating, and in some cases eliminating these outliers offers interesting insight about the data under scrutiny and reinforces the confidence that one may have in conclusions drawn from otherwise noisy datasets. In this paper, we describe a tuple expansion procedure which reconstructs rich information from semantically poor SQL data types such as strings, integers, and floating point numbers. We then use this procedure as the foundation of a new user-guided outlier detection framework, dBoost, which relies on inference and statistical modeling of heterogeneous data to flag suspicious fields in database tuples. We show that this novel approach achieves good classification performance, both in traditional numerical datasets and in highly non-numerical contexts such as mostly textual datasets. Our implementation is publicly available, under version 3 of the GNU General Public License.",12 p.,MIT-CSAIL-TR-2016-002,Outlier Detection in Heterogeneous Datasets using Automatic Tuple Expansion,2016-02-10T18:45:07Z,,,,,
Martin Rinard,"Long, Fan; Rinard, Martin",Program Analysis and Compilation,2016-02-18T20:45:03Z,2016-02-18T20:45:03Z,2016-02-18,http://hdl.handle.net/1721.1/101211,"We present the first systematic analysis of the characteristics of patch search spaces for automatic patch generation systems. We analyze the search spaces of two current state-of- the-art systems, SPR and Prophet, with 16 different search space configurations. Our results are derived from an analysis of 1104 different search spaces and 768 patch generation executions. Together these experiments consumed over 9000 hours of CPU time on Amazon EC2.The analysis shows that 1) correct patches are sparse in the search spaces (typically at most one correct patch per search space per defect), 2) incorrect patches that nevertheless pass all of the test cases in the validation test suite are typically orders of magnitude more abundant, and 3) leveraging information other than the test suite is therefore critical for enabling the system to successfully isolate correct patches.We also characterize a key tradeoff in the structure of the search spaces. Larger and richer search spaces that contain correct patches for more defects can actually cause systems to find fewer, not more, correct patches. We identify two reasons for this phenomenon: 1) increased validation times because of the presence of more candidate patches and 2) more incorrect patches that pass the test suite and block the discovery of correct patches. These fundamental properties, which are all characterized for the first time in this paper, help explain why past systems often fail to generate correct patches and help identify challenges, opportunities, and productive future directions for the field.",45 p.,MIT-CSAIL-TR-2016-003,An Analysis of the Search Spaces for Generate and Validate Patch Generation Systems,2016-02-18T20:45:03Z,Program repair,,,,
