dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.date.updated,dc.rights,dc.rights.uri,dc.relation.haspart,dc.description.sponsorship,dc.language.iso,dc.publisher,dc.type,dc.identifier.citation,dc.description
Karen Sollins,"Alawaji, Ahmed; Sollins, Karen",Advanced Network Architecture,2018-01-24T20:15:10Z,2018-01-24T20:15:10Z,2018-01-24,http://hdl.handle.net/1721.1/113292,"A review of national health records (NEHR) systems shows that privacy and security risks have a profound impact on the success of such projects. Countries have different approaches when dealing with privacy and security considerations. The aims of this study were to explore how governments can design secure national health records systems. To do that systematically, we developed a framework to analyze NEHR systems. We then applied the framework to investigate the privacy and security risks in these systems. The studied systems demonstrate that getting privacy and security right have a considerable impact on the success of NEHR projects. Also, our study reveals that the healthcare system structure has a substantial impact on the adoption and usage rates of the system. The studied cases uncover many opportunities for improving privacy and security measures in future projects. The framework demonstrates the utility of applying it to the three cases.",104 p.,MIT-CSAIL-TR-2018-001,Privacy; Security; Healthcare,Privacy and Security Risks for National Health Records Systems,2018-01-24T20:15:10Z,,,,,,,,,SM thesis
Brian Williams,"Bhargava, Nikhil; Muise, Christian; Vaquero, Tiago; Williams, Brian",Model-based Embedded and Robotic Systems,2018-01-29T23:15:05Z,2018-01-29T23:15:05Z,2018-01-29,http://hdl.handle.net/1721.1/113340,"Simple Temporal Networks with Uncertainty provide a useful framework for modeling temporal constraints and, importantly, for modeling actions with uncertain durations. To determine whether we can construct a schedule for a given network, we typically consider one of two types of controllability: dynamic or strong. These controllability checks have strict conditions on how uncertainty is resolved; uncertain outcomes are either recognized immediately or not at all. In this paper, we introduce delay controllability, a novel generalization of both strong and dynamic controllability that additionally exposes a large range of controllability classes in between. To do so, we use a delay function to parameterize our controllability checking. This delay function represents the difference between when an event happens and the time that it is observed. We also provide a single unified algorithm for checking delay controllability that runs in O(n^3) time, matching the best known runtime for dynamic controllability, which we use to motivate the decision to generalize dynamic and strong controllability. We conclude by providing an empirical evaluation of delay controllability, demonstrating its superior accuracy and practical efficiency as compared to other existing approximations.",34 p.,MIT-CSAIL-TR-2018-002,Temporal Controllability; Scheduling; Temporal Uncertainty,Delay Controllability: Multi-Agent Coordination under Communication Delay,2018-01-29T23:15:05Z,,,,,,,,,"New version posted April 19, 2019 with slight tweaks to the algorithm and added clarity based on reviewer feedback."
Boris Katz,"Katz, Boris; Borchardt, Gary; Felshin, Sue; Mora, Federico",Infolab,2018-03-02T16:47:20Z,2018-03-02T16:47:20Z,2018-03-01,http://hdl.handle.net/1721.1/113912,"Creating a robust, automated capability to respond to natural language requests has been a longstanding goal in the development of intelligent systems. This article describes the StartMobile system, originally developed in 2005-2007, which has served as an important precursor to Apple's Siri system and other commercial natural language interfaces to mobile devices and computational resources. The article begins with a discussion of goals in creating natural language interfaces, continues with a description of the general-purpose START information access system, describes the StartMobile system and its capabilities, and concludes with a discussion of current commercial systems and future directions.",21 p.,MIT-CSAIL-TR-2018-013,,A Natural Language Interface for Mobile Devices,2018-03-02T16:47:21Z,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,http://creativecommons.org/licenses/by-nc-nd/4.0/,,,,,,,
Leslie Kaelbling,"Kawaguchi, Kenji; Kaelbling, Leslie Pack; Bengio, Yoshua",Learning and Intelligent Systems,2018-05-09T19:55:51Z,2018-05-09T19:55:51Z,2018-05-01,http://hdl.handle.net/1721.1/115274,"With a direct analysis of neural networks, this paper presents a mathematically tight generalization theory to partially address an open problem regarding the generalization of deep learning. Unlike previous bound-based theory, our main theory is quantitatively as tight as possible for every dataset individually, while producing qualitative insights competitively. Our results give insight into why and how deep learning can generalize well, despite its large capacity, complexity, possible algorithmic instability, nonrobustness, and sharp minima, answering to an open question in the literature. We also discuss limitations of our results and propose additional open problems.",31 pages,MIT-CSAIL-TR-2018-014,neural network; learning theory,Generalization in Deep Learning,2018-05-09T19:55:51Z,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,,,,,,
Julie A Shah,"Unhelkar, Vaibhav V.; Shah, Julie A.",Interactive Robotics Group,2018-05-17T19:19:11Z,2018-05-17T19:19:11Z,2018-05-17,http://hdl.handle.net/1721.1/115482,"Learning models of decision-making behavior during sequential tasks is useful across a variety of applications, including human-machine interaction. In this paper, we present an approach to learning such models within Markovian domains based on observing and querying a decision-making agent. In contrast to classical approaches to behavior learning, we do not assume complete knowledge of the state features that impact an agent's decisions. Using tools from Bayesian nonparametric inference and time series of agents  decisions, we first provide an inference algorithm to identify the presence of any unmodeled state features that impact decision making, as well as likely candidate models. In order to identify the best model among these candidates, we next provide an active querying approach that resolves model ambiguity by querying the decision maker. Results from our evaluations demonstrate that, using the proposed algorithms, an observer can identify the presence of latent state features, recover their dynamics, and estimate their impact on decisions during sequential tasks.",11 p.,MIT-CSAIL-TR-2018-015,"Decision Making, Graphical Models, Human-AI Collaboration",Learning Models of Sequential Decision-Making without Complete State Specification using Bayesian Nonparametric Inference and Active Querying,2018-05-17T19:19:11Z,,,,,,,,,
Brian Williams,"Timmons, Eric; Williams, Brian C.",Model-based Embedded and Robotic Systems,2018-05-24T21:15:06Z,2018-05-24T21:15:06Z,2018-05-24,http://hdl.handle.net/1721.1/115882,"With the rise of autonomous systems, there is a need for them to have high levels of robustness and safety. This robustness can be achieved through systems that are self-repairing. Underlying this is the ability to diagnose subtle failures. Likewise, online planners can generate novel responses to exceptional situations. These planners require an accurate estimate of state. Estimation methods based on hybrid discrete/continuous state models have emerged as a method of computing precise state estimates, which can be employed for either diagnosis or planning in hybrid domains. However, existing methods have difficulty scaling to systems with more than a handful of components. Discrete state estimation capabilities can scale to this level by combining best-first enumeration and conflict-directed search. Best-first methods have been developed for hybrid estimation, but the creation of conflict-directed methods has previously been elusive. While conflicts are used to learn from constraint violation, probabilistic hybrid estimation is relatively unconstrained. In this paper we present an approach to hybrid estimation that unifies best-first enumeration and conflict-directed search through the concept of ""bounding"" conflicts, an extension of conflicts that represent tighter bounds on the cost of regions of the search space. This paper presents a general best-first search and enumeration algorithm based on bounding conflicts (A*BC) and a hybrid estimation method based on this enumeration algorithm. Experiments show that an A*BC powered state estimator produces estimates faster than the current state of the art, particularly on large systems.",27 p.,MIT-CSAIL-TR-2018-016,belief revision and update; diagnosis; heuristics; search,"Best-first Enumeration Based on Bounding Conflicts, and its Application to Large-scale Hybrid Estimation",2018-05-24T21:15:06Z,,,,,,,,,
Patrick Winston,"Labiba, Jahan,; Geeticka, Chauhan,; A., Finlayson, Mark",Genesis,2018-06-07T18:30:15Z,2018-06-07T18:30:15Z,2018-06-07,http://hdl.handle.net/1721.1/116172,"This archive contains the code and data for the workshop article ""A New Approach to Animacy Detection,"" published in 2018 in the the 27th International Conference on Computational Linguistics (COLING 2018), in Santa Fe, NM. The root of the archive contains a readme file which explains the archive contents. Furthermore, the archive can be imported directly into the Eclipse IDE as a project encapsulating the executable code and data required to reproduce the results of the paper; the code compiles with Java 1.8. The archive also contains a copy of the near-final version of the paper for reference.",373820733 bytes,,referring expressions; coreference chains,"Data and Code for ""A New Approach to Animacy Detection""",2018-06-07T18:30:15Z,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,,,,,,
,"Shen, Jiasi; Rinard, Martin",,2018-08-28T17:22:15Z,2018-08-28T17:22:15Z,2018-08-28,http://hdl.handle.net/1721.1/117593,"We present a new technique that uses active learning to infer models of 
applications that manipulate relational databases. This technique 
comprises a domain-specific language for modeling applications that 
access databases (each model is a program in this language) and an 
associated inference algorithm that infers models of applications whose 
behavior can be expressed in this language. The inference algorithm 
generates test inputs and database configurations, runs the application, 
then observes the resulting database traffic and outputs to 
progressively refine its current model hypothesis.  The end result is a 
model that completely captures the behavior of the application.  Because 
the technique works only with the externally observable inputs, outputs, 
and databases, it can infer the behavior of applications written in 
arbitrary languages using arbitrary coding styles (as long as the 
behavior of the application is expressible in the domain-specific language).

We also present a technique for automatically regenerating an 
implementation from the inferred model. The regenerator can produce a 
translated implementation in a different language and systematically 
include relevant security and error checks.",,,,Using Active Learning to Synthesize Models of Applications That  Access Databases,,,,,,,,Article,,
,"Shen, Jiasi; Rinard, MArtin",,2018-09-27T13:22:38Z,2018-09-27T13:22:38Z,2018-09-27,http://hdl.handle.net/1721.1/118184,"We previously developed Konure, a tool that uses active learning to 
infer the functionality of database applications. An alternative 
approach is to observe the inputs, outputs, and database traffic from a 
running system in normal use and then synthesize a model of the 
application from this information.  To evaluate these two approaches, we 
present Etch, which uses information from typical usage scenarios to 
synthesize a model of the functionality of database applications whose 
computation can be expressed in the Konure DSL.",,,,Using Dynamic Monitoring to Synthesize Models of Applications That  Access Databases,,,,,,en_US,,Article,,
,"Kawaguchi, Kenji; Benigo, Yoshua; Verma, Vikas; Kaelbling, Leslie Pack",,2018-10-01T15:44:44Z,2018-10-01T15:44:44Z,2018-10-01,http://hdl.handle.net/1721.1/118307,"This paper introduces a novel measure-theoretic theory for machine learning
that does not require statistical assumptions. Based on this theory, a new
regularization method in deep learning is derived and shown to outperform
previous methods in CIFAR-10, CIFAR-100, and SVHN. Moreover, the proposed
theory provides a theoretical basis for a family of practically successful
regularization methods in deep learning. We discuss several consequences of
our results on one-shot learning, representation learning, deep learning,
and curriculum learning. Unlike statistical learning theory, the proposed
learning theory analyzes each problem instance individually via measure
theory, rather than a set of problem instances via statistics. As a result,
it provides different types of results and insights when compared to
statistical learning theory.",,;MIT-CSAIL-TR-2018-019,Machine Learning; Measure Theory; Regularization method; Neural Network,Towards Understanding Generalization via Analytical Learning Theory,,,,,,en_US,,Article,,
