dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.subject,dc.title,dc.contributor.other
"Livadas, Carolos; Lynch, Nancy A.",2005-12-19T23:14:28Z,2005-12-19T23:14:28Z,2003-08-11,MIT-CSAIL-TR-2003-010; MIT-LCS-TR-915,http://hdl.handle.net/1721.1/30410,"In this short technical report, we present a simple yet effective reliable broadcast protocol for sensor networks. This protocol disseminates packets throughout the sensor network by flooding and recovers from losses resulting from collisions by having hosts retransmit packets whenever they notice that their neighbors have fallen behind. Such retransmissions serve to flood the appropriate packets throughout the regions of the sensor network that did not receive the given packets as a result of prior flooding attempts.",5 p.; 6233240 bytes; 285081 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,A Reliable Broadcast Scheme for Sensor Networks,Theory of Computation
"Beal, Jacob",2005-12-19T22:49:01Z,2005-12-19T22:49:01Z,2003-08-11,MIT-CSAIL-TR-2003-009; AIM-2003-017,http://hdl.handle.net/1721.1/30404,"Small failures should only disrupt a small part of a network.  One wayto do this is by marking the surrounding area as untrustworthy ---circumscribing the failure. This can be done with a distributedalgorithm using hierarchical clustering and neighbor relations, andthe resulting circumscription is near-optimal for convex failures.",9 p.; 13236751 bytes; 840133 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; amorphous distributed ad-hoc computing self-organizing stopping failure,Near-Optimal Distributed Failure Circumscription,
"Beal, Jacob",2004-10-08T20:39:04Z,2004-10-08T20:39:04Z,2003-08-11,AIM-2003-017,http://hdl.handle.net/1721.1/6722,"Small failures should only disrupt a small part of a network. One way to do this is by marking the surrounding area as untrustworthy --- circumscribing the failure. This can be done with a distributed algorithm using hierarchical clustering and neighbor relations, and the resulting circumscription is near-optimal for convex failures.",9 p.; 2144454 bytes; 705176 bytes,application/postscript; application/pdf,en_US,AIM-2003-017,AI; amorphous distributed ad-hoc computing self-organizing stopping failure,Near-Optimal Distributed Failure Circumscription,
"Balas, Benjamin J.; Sinha, Pawan",2004-10-20T21:05:11Z,2004-10-20T21:05:11Z,2003-08-13,AIM-2003-018; CBCL-229,http://hdl.handle.net/1721.1/7276,"A fundamental question in visual neuroscience is how to represent image structure. The most common representational schemes rely on differential operators that compare adjacent image regions. While well-suited to encoding local relationships, such operators have significant drawbacks. Specifically, each filter's span is confounded with the size of its sub-fields, making it difficult to compare small regions across large distances. We find that such long-distance comparisons are more tolerant to common image transformations than purely local ones, suggesting they may provide a useful vocabulary for image encoding. . We introduce the ""Dissociated Dipole,"" or ""Sticks"" operator, for encoding non-local image relationships. This operator de-couples filter span from sub-field size, enabling parametric movement between edge and region-based representation modes. We report on the perceptual plausibility of the operator, and the computational advantages of non-local encoding. Our results suggest that non-local encoding may be an effective scheme for representing image structure.",15 p.; 691165 bytes; 974071 bytes,application/postscript; application/pdf,en_US,AIM-2003-018; CBCL-229,AI; image representation; recognition; non-local filtering,Dissociated Dipoles: Image representation via non-local comparisons,
"Balas, Benjamin J.; Sinha, Pawan",2005-12-19T22:36:12Z,2005-12-19T22:36:12Z,2003-08-13,MIT-CSAIL-TR-2003-011; AIM-2003-018; CBCL-229,http://hdl.handle.net/1721.1/30398,"A fundamental question in visual neuroscience is how to represent image structure. The most common representational schemes rely on differential operators that compare adjacent image regions. While well-suited to encoding local relationships, such operators have significant drawbacks. Specifically, each filterÂ’s span is confounded with the size of its sub-fields, making it difficult to compare small regions across large distances. We find that such long-distance comparisons are more tolerant to common image transformations than purely local ones, suggesting they may provide a useful vocabulary for image encoding. .We introduce the Â“Dissociated Dipole,Â” or Â“SticksÂ” operator, for encoding non-local image relationships. This operator de-couples filter span from sub-field size, enabling parametric movement between edge and region-based representation modes. We report on the perceptual plausibility of the operator, and the computational advantages of non-local encoding. Our results suggest that non-local encoding may be an effective scheme for representing image structure.",15 p.; 18211324 bytes; 682491 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; image representation; recognition; non-local filtering,Dissociated Dipoles: Image representation via non-local comparisons,
"Kuncak, Viktor; Rinard, Martin",2005-12-19T23:09:23Z,2005-12-19T23:09:23Z,2003-08-22,MIT-CSAIL-TR-2003-012; MIT-LCS-TR-916,http://hdl.handle.net/1721.1/30409,"Shape analysis is a promising technique for statically verifyingand extracting properties of programs that manipulatecomplex data structures. We introduce a new characterizationof constraints that arise in parametric shapeanalysis based on manipulation of three-valued structuresas dataflow facts.We identify an interesting syntactic class of first-orderlogic formulas that captures the meaning of three-valuedstructures under concretization. This class is broader thanpreviously introduced classes, allowing for a greater flexibilityin the formulation of shape analysis constraints inprogram annotations and internal analysis representations.Three-valued structures can be viewed as one possible normalform of the formulas in our class.Moreover, we characterize the meaning of three-valuedstructures under Â“tight concretizationÂ”. We show that theseemingly minor change from concretization to tight concretizationincreases the expressive power of three-valuedstructures in such a way that the resulting constraints areclosed under all boolean operations. We call the resultingconstraints boolean shape analysis constraints.The main technical contribution of this paper is a naturalsyntactic characterization of boolean shape analysis constraintsas arbitrary boolean combinations of first-order sentencesof certain form, and an algorithm for transformingsuch boolean combinations into the normal form that correspondsdirectly to three-valued structures.Our result holds in the presence of arbitrary shape analysisinstrumentation predicates. The result enables the reduction(without any approximation) of the entailment andthe equivalence of shape analysis constraints to the satisfiabilityof shape analysis constraints. When the satisfiabilityof the constraints is decidable, our result implies that theentailment and the equivalence of the constraints are alsodecidable, which enables the use of constraints in a compositionalshape analysis with a predictable behavior.",18 p.; 30231553 bytes; 1304355 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,On The Boolean Algebra of Shape Analysis Constraints,Computer Architecture
"Shimizu, Hiroaki; Poggio, Tomaso",2005-12-19T22:32:54Z,2005-12-19T22:32:54Z,2003-08-27,MIT-CSAIL-TR-2003-013; AIM-2003-020; CBCL-230,http://hdl.handle.net/1721.1/30397,"The capability of estimating the walking direction of people would be useful in many applications such as those involving autonomous cars and robots.We introduce an approach for estimating the walking direction of people from images, based on learning the correct classification of a still image by using SVMs. We find that the performance of the system can be improved by classifying each image of a walking sequence and combining the outputs of the classifier.Experiments were performed to evaluate our system and estimate the trade-off between number of images in walking sequences and performance.",11 p.; 12026063 bytes; 489901 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; pedestrian; walking direction; classification; SVM; recognition; human motion,Direction Estimation of Pedestrian from Images,
"Kaynar, Dilsun K.; Lynch, Nancy; Segala, Roberto; Vaandrager, Frits",2005-12-19T22:48:27Z,2005-12-19T22:48:27Z,2003-08-27,MIT-CSAIL-TR-2003-014; MIT-LCS-TR-917,http://hdl.handle.net/1721.1/30403,"Revised version -- November 23, 2004.This paper presents the Timed Input/Output Automaton (TIOA) modeling framework, a basic mathematical framework to support description and analysis of timed systems.",130 p.; 112222505 bytes; 4311471 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,The Theory of Timed I/O Automata,Theory of Computation
"Shimizu, Hiroaki; Poggio, Tomaso",2004-10-20T21:05:12Z,2004-10-20T21:05:12Z,2003-08-27,AIM-2003-020; CBCL-230,http://hdl.handle.net/1721.1/7277,"The capability of estimating the walking direction of people would be useful in many applications such as those involving autonomous cars and robots.  We introduce an approach for estimating the walking direction of people from images, based on learning the correct classification of a still image by using SVMs. We find that the performance of the system can be improved by classifying each image of a walking sequence and combining the outputs of the classifier.  Experiments were performed to evaluate our system and estimate the trade-off between number of images in walking sequences and performance.",11 p.; 784806 bytes; 664353 bytes,application/postscript; application/pdf,en_US,AIM-2003-020; CBCL-230,AI; pedestrian; walking direction; classification; SVM; recognition; human motion,Direction Estimation of Pedestrian from Images,
"Mukherjee, Sayan; Golland, Polina; Panchenko, Dmitry",2005-12-19T23:02:49Z,2005-12-19T23:02:49Z,2003-08-28,MIT-CSAIL-TR-2003-016; AIM-2003-019,http://hdl.handle.net/1721.1/30408,"We introduce and explore an approach to estimating statisticalsignificance of classification accuracy, which is particularly usefulin scientific applications of machine learning where highdimensionality of the data and the small number of training examplesrender most standard convergence bounds too loose to yield ameaningful guarantee of the generalization ability of theclassifier. Instead, we estimate statistical significance of theobserved classification accuracy, or the likelihood of observing suchaccuracy by chance due to spurious correlations of thehigh-dimensional data patterns with the class labels in the giventraining set. We adopt permutation testing, a non-parametric techniquepreviously developed in classical statistics for hypothesis testing inthe generative setting (i.e., comparing two probabilitydistributions). We demonstrate the method on real examples fromneuroimaging studies and DNA microarray analysis and suggest atheoretical analysis of the procedure that relates the asymptoticbehavior of the test to the existing convergence bounds.",22 p.; 22876548 bytes; 882217 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; Classification; Permutation testing; Statistical significance.,Permutation Tests for Classification,
