dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation,dc.relation.ispartofseries,dc.relation.uri,dc.subject,dc.title,dc.relation.isreferencedby,dc.rights,dc.rights.uri,dc.identifier.citation,dc.relation.isreplacedby,dc.description,dc.description.degree,dc.description.sponsorship
Dina Katabi,"Perli, Samuel David; Gollakota, Shyamnath; Katabi, Dina",Networks & Mobile Systems,2009-02-19T19:15:22Z,2009-02-19T19:15:22Z,2009-02-18,http://hdl.handle.net/1721.1/44616,"Today, the number of concurrent packets in a MIMO LAN is limited by the number of antennas on the AP. This paper shows how to overcome this limit. It presents a new design where multiple client-AP pairs can communicate concurrently, on the same 802.11 channel. We demonstrate both analytically and experimentally that our design almost doubles the throughput of a MIMO LAN.  The key idea underlying our approach is Interference Alignment and Cancellation (IAC), a novel technique for decoding concurrent sender-receiver pairs in MIMO LANs. It exploits two basic properties of MIMO LANs. First, MIMO transmitters can control the alignment of their signals at a receiver. Second, APs are typically connected to a backend Ethernet, which they can use for coordination. Hence, in IAC, transmitters align their signals such that the first AP can decode at least one of the concurrent packets. Once a packet is decoded, it is sent over the Ethernet to the second AP, which subtracts it from its received signal to decode a second packet, which it sends to the third AP to decode the next packet, and so on. We implement our technique in 2x2 MIMO GNU Radios, and demonstrate via wireless experiments that IAC increases the average throughput of a MIMO LAN by 1.5x on the downlink and 2x on the uplink.",15 p.,,MIT-CSAIL-TR-2009-007,,Interference alignment; Interference cancellation; Wireless networks,Overcoming the Antennas-Per-Node Throughput Limit in MIMO LANs,,,,,,,,
Nancy Lynch,"Newport, Calvin; Lynch, Nancy; Kuhn, Fabian",Theory of Computation,2009-02-23T16:30:04Z,2009-02-23T16:30:04Z,2009-02-21,http://hdl.handle.net/1721.1/44620,"A diversity of possible communication assumptions complicates the study of algorithms and lower bounds for radio networks. We address this problem by defining an Abstract MAC Layer. This service provides reliable local broadcast communication, with timing guarantees stated in terms of a collection of abstract delay functions applied to the relevant contention. Algorithm designers can analyze their algorithms in terms of these functions, independently of specific channel behavior. Concrete implementations of the Abstract MAC Layer over basic radio network models generate concrete definitions for these delay functions, automatically adapting bounds proven for the abstract service to bounds for the specific radio network under consideration. To illustrate this approach, we use the Abstract MAC Layer to study the new problem of Multi-Message Broadcast, a generalization of standard single-message broadcast, in which any number of messages arrive at any processes at any times.We present and analyze two algorithms for Multi-Message Broadcast in static networks: a simple greedy algorithm and one that uses regional leaders. We indicate how these results can be extended to mobile networks.",26 p.,,MIT-CSAIL-TR-2009-009,http://hdl.handle.net/1721.1/45515,,The Abstract MAC Layer,,,,,MIT-CSAIL-TR-2009-021,,,
Michael Ernst,"Tip, Frank; Ernst, Michael D.; Dig, Danny; Dolby, Julian; Kiezun, Adam; Artzi, Shay; Paradkar, Amit",Program Analysis,2009-03-27T16:00:07Z,2009-03-27T16:00:07Z,2009-03-26,http://hdl.handle.net/1721.1/44956,"Web script crashes and malformed dynamically-generated web pages are common errors, and they seriously impact the usability of web applications. Current tools for web-page validation cannot handle the dynamically generated pages that are ubiquitous on today's Internet. We present a dynamic test generation technique for the domain of dynamic web applications. The technique utilizes both combined concrete and symbolic execution and explicit-state model checking. The technique generates tests automatically, runs the tests capturing logical constraints on inputs, and minimizes the conditions on the inputs to failing tests, so that the resulting bug reports are small and useful in finding and fixing the underlying faults. Our tool Apollo implements the technique for the PHP programming language. Apollo generates test inputs for a web application, monitors the application for crashes, and validates that the output conforms to the HTML specification. This paper presents Apollo's algorithms and implementation, and an experimental evaluation that revealed 302 faults in 6 PHP web applications.",17 p.,,MIT-CSAIL-TR-2009-010,,Software Testing; PHP; Dynamic Analysis,Finding Bugs in Web Applications Using Dynamic Test Generation and Explicit State Model Checking,,,,,,,,
Srinivas Devadas,"Kinsy, Michel; Wen, Tina; Shim, Keun Sup; Lis, Mieszko; Cho, Myong Hyon; Devadas, Srinivas",Computation Structures,2009-03-30T18:00:06Z,2009-03-30T18:00:06Z,2009-03-27,http://hdl.handle.net/1721.1/44958,"Oblivious routing can be implemented on simple router hardware, but network performance suffers when routes become congested. Adaptive routing attempts to avoid hot spots by re-routing flows, but requires more complex hardware to determine and configure new routing paths. We propose on-chip bandwidth-adaptive networks to mitigate the performance problems of oblivious routing and the complexity issues of adaptive routing.In a bandwidth-adaptive network, the bisection bandwidth of a network can adapt to changing network conditions.  We describe one implementation of a bandwidth-adaptive network in the form of a two-dimensional mesh with adaptive bidirectional links, where the bandwidth of the link in one direction can be increased at the expense of the other direction. Efficient local intelligence is used to reconfigure each link, and this reconfiguration can be done very rapidly in response to changing traffic demands.  We compare the hardware designs of a unidirectional and bidirectional link and evaluate the performance gains provided by a bandwidth-adaptive network in comparison to a conventional network under uniform and bursty traffic when oblivious routing is used.",10 p.,,MIT-CSAIL-TR-2009-011,,bidirectional link; network router; reconfigurable network; adaptive link,Oblivious Routing in On-Chip Bandwidth-Adaptive Networks,,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,,,,
Whitman Richards,"Wormald, Nicholas; Richards, Whitman",Belief Dynamics,2009-03-30T18:00:14Z,2009-03-30T18:00:14Z,2009-03-30,http://hdl.handle.net/1721.1/44959,"Understanding the dynamics of network evolution rests in part on the representation chosen to characterize the evolutionary process. We offer a simple, three-parameter representation based on subgraphs that capture three important properties of social networks: leadership, team alignment or bonding among members, and diversity of expertise. When plotted on this representation, the evolution of a typical small group such as start-ups or street gangs has a spiral trajectory, moving toward a tentative fixed point as membership increases to two dozen or so. We show that a simple probabilistic model for recruitment and bonding can not explain these observations, and suggest that strategic moves among group members may come into play.",15 p.,,MIT-CSAIL-TR-2009-012,,simplex representation; network evolution,Representing Small Group Evolution,,,,,,,,
William Freeman,"Freeman, William; Durand, Fredo; Weiss, Yair; Levin, Anat",Vision,2009-03-31T18:00:05Z,2009-03-31T18:00:05Z,2009-03-31,http://hdl.handle.net/1721.1/44964,"Blind deconvolution is the recovery of a sharp version of a blurred image when the blur kernel is unknown. Recent algorithms have afforded dramatic progress, yet many aspects of the problem remain challenging and hard to understand.The goal of this paper is to analyze and evaluate recent blind deconvolution algorithms both theoretically and experimentally. We explain the previously reported failure of the naive MAP approach by demonstrating that it mostly favors no-blur explanations. On the other hand we show that since the kernel size is often smaller than the image size a MAP estimation of the kernel alone can be well constrained and accurately recover the true blur. The plethora of recent deconvolution techniques makes an experimental evaluation on ground-truth data important. We have collected blur data with ground truth and compared recent algorithms under equal settings. Additionally, our data demonstrates that the shift-invariant blur assumption made by most algorithms is often violated.",44 p.,,MIT-CSAIL-TR-2009-014,,deconvolution,Understanding and evaluating blind deconvolution algorithms,,,,,,,,
Joshua Tenenbaum,"O'Donnell, Timothy J.; Tenenbaum, Joshua B.; Goodman, Noah D.",Computational Cognitive Science,2009-03-31T05:00:03Z,2009-03-31T05:00:03Z,2009-03-31,http://hdl.handle.net/1721.1/44963,"Language relies on a division of labor between stored units and structure building operations which combine the stored units into larger structures. This division of labor leads to a tradeoff: more structure-building means less need to store while more storage means less need to compute structure. We develop a hierarchical Bayesian model called fragment grammar to explore the optimum balance between structure-building and reuse. The model is developed in the context of stochastic functional programming (SFP) and in particular using a probabilistic variant of Lisp known as the Church programming language (Goodman, Mansinghka, Roy, Bonawitz, & Tenenbaum, 2008). We show how to formalize several probabilistic models of language structure using Church, and how fragment grammar generalizes one of them---adaptor grammars (Johnson, Griffiths, & Goldwater, 2007). We conclude with experimental data with adults and preliminary evaluations of the model on natural language corpus data.",63 p.,,MIT-CSAIL-TR-2009-013,,Language; Stochastic Functional Programming; Stochastic Memoization; Reuse; Lexicon; Hierarchical Bayes,Fragment Grammars: Exploring Computation and Reuse in Language,,,,"O'DONNELL, T., GOODMAN, N., and TENENBAUM, J. 2009. Fragment Grammars: Exploring Computation and Reuse in Language. MIT Computer Science and Artificial Intelligence Laboratory Technical Report Series, MIT-CSAIL-TR-2009-013.",,,,
Barbara Liskov,"Zhou, You",Programming Methodology,2009-04-23T17:15:06Z,2009-04-23T17:15:06Z,2009-04-16,http://hdl.handle.net/1721.1/45141,"Network coordinate systems allow for efficient construction of large-scale distributed systems on the Internet. Coordinates provide locality information in a compact way, without requiring each node to contact every potential neighbor; distances between two nodes' coordinates represent estimates of the network latency between them. Past work on network coordinates has assumed that all nodes in the system behave correctly. The techniques in these systems do not behave well when nodes are Byzantine. These Byzantine failures, wherein a faulty node can behave arbitrarily, can make the coordinate-based distance estimates meaningless. For example, a Byzantine node can delay responding to some other node, thus distorting that node's computation of its own location. We present a network coordinate system based on landmarks, reference nodes that are used for measurements, some of which may be Byzantine faulty. It scales linearly in the number of clients computing their coordinates and does not require excessive network traffic to allow clients to do so. Our results show that our system is able to compute accurate coordinates even when some landmarks are exhibiting Byzantine faults.",60 p.,,MIT-CSAIL-TR-2009-015,,,Computing Network Coordinates in the Presence of Byzantine Faults,,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,,MEng thesis,M.Eng.,
Brian Williams,"Williams, Brian C.; Ono, Masahiro",Model-based Embedded and Robotic Systems,2009-04-23T17:15:13Z,2009-04-23T17:15:13Z,2009-04-22,http://hdl.handle.net/1721.1/45142,"This paper proposes a new market-based distributed planning algorithm for multi-agent systems under uncertainty, called MIRA (Market-based Iterative Risk Allocation). In large coordination problems, from power grid management to multi-vehicle missions, multiple agents act collectively in order to optimize the performance of the system, while satisfying mission constraints. These optimal plans are particularly susceptible to risk when uncertainty is introduced. We present a distributed planning algorithm that minimizes the system cost while ensuring that the probability of violating mission constraints is below a user-specified level. We build upon the paradigm of risk allocation (Ono and Williams, AAAI-08), in which the planner optimizes not only the sequence of actions, but also its allocation of risk among each constraint at each time step. We extend the concept of risk allocation to multi-agent systems by highlighting risk as a good that is traded in a computational market. The equilibrium price of risk that balances the supply and demand is found by an iterative price adjustment process called tatonnement (also known as Walrasian auction). The simulation results demonstrate the efficiency and optimality of the proposed distributed planner.",18 p.,,MIT-CSAIL-TR-2009-016,,Robust MPC; Chance constraint; RMPC; Brent's method; Grouping,Risk Allocation for Multi-agent Systems using Tatonnement,,,,,,,,This research is funded by The Boeing Company grant MIT-BA-GTA-1.
Anant Agarwal,"Wentzlaff, David; Agarwal, Anant; Hoffmann, Henry",Computer Architecture,2009-05-06T15:30:08Z,2009-05-06T15:30:08Z,2009-05-05,http://hdl.handle.net/1721.1/45509,"This paper presents remote store programming (RSP). This paradigm combines usability and efficiency through the exploitation of a simple hardware mechanism, the remote store, which can easily be added to existing multicores.Remote store programs are marked by fine-grained and one-sided communication which results in a stream of data flowing from the registers of a sending process to the cache of a destination process. The RSP model and its hardware implementation trade a relatively high store latency for a low load latency because loads are more common than stores, and it is easier to tolerate store latency than load latency. This paper demonstrates the performance advantages of remote store programming by comparing it to both cache-coherent shared memory and direct memory access (DMA) based approaches using the TILEPro64 processor. The paper studies two applications: a two-dimensional Fast Fourier Transform (2D FFT) and an H.264 encoder for high-definition video. For a 2D FFT using 56 cores, RSP is 1.64x faster than DMA and 4.4x faster than shared memory. For an H.264 encoder using 40 cores, RSP achieves the same performance as DMA and 4.8x the performance of shared memory. Along with these performance advantages, RSP requires the least hardware support of the three. RSP's features, performance, and hardware simplicity make it well suited to the embedded processing domain.",11 p.,,MIT-CSAIL-TR-2009-017,,Programming models; Multicore architecture,Remote Store Programming: Mechanisms and Performance,,,,,,,,
