dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.title,dc.rights,dc.rights.uri,dc.subject,dc.relation.replaces,dc.description,dc.format.mimetype,dc.identifier.citation,dc.relation.isreplacedby,dc.relation.uri,dc.description.sponsorship,dc.contributor.editor
Tomaso Poggio,"Baldassarre, Luca; Rosasco, Lorenzo; Barla, Annalisa; Verri, Alessandro",Center for Biological and Computational Learning (CBCL),2011-02-01T20:00:05Z,2011-02-01T20:00:05Z,2011-01-24,http://hdl.handle.net/1721.1/60875,"In this paper we study a class of regularized kernel methods for vector-valued learning which are based on filtering the spectrum of the kernel matrix. The considered methods include Tikhonov regularization as a special case, as well as interesting alternatives such as vector-valued extensions of L2 boosting. Computational properties are discussed for various examples of kernels for vector-valued functions and the benefits of iterative techniques are illustrated. Generalizing previous results for the scalar case, we show finite sample bounds for the excess risk of the obtained estimator and, in turn, these results allow to prove consistency both for regression and multi-category classification. Finally, we present some promising results of the proposed algorithms on artificial and real data.",37 p.,MIT-CSAIL-TR-2011-004; CBCL-296,Multi-Output Learning via Spectral Filtering,,,"Computational Learning, Multi-Output Learning, Spectral Methods",,,,,,,,
Nickolai Zeldovich,"Popa, Raluca Ada; Zeldovich, Nickolai; Balakrishnan, Hari",Parallel and Distributed Operating Systems,2011-02-01T20:15:04Z,2011-02-01T20:15:04Z,2011-01-26,http://hdl.handle.net/1721.1/60876,"CryptDB is a DBMS that provides provable and practical privacy in the face of a compromised database server or curious database administrators. CryptDB works by executing SQL queries over encrypted data. At its core are three novel ideas: an SQL-aware encryption strategy that maps SQL operations to encryption schemes, adjustable query-based encryption which allows CryptDB to adjust the encryption level of each data item based on user queries, and onion encryption to efficiently change data encryption levels. CryptDB only empowers the server to execute queries that the users requested, and achieves maximum privacy given the mix of queries issued by the users. The database server fully evaluates queries on encrypted data and sends the result back to the client for final decryption; client machines do not perform any query processing and client-side applications run unchanged. Our evaluation shows that CryptDB has modest overhead: on the TPC-C benchmark on Postgres, CryptDB reduces throughput by 27% compared to regular Postgres. Importantly, CryptDB does not change the innards of existing DBMSs: we realized the implementation of CryptDB using client-side query rewriting/encrypting, user-defined functions, and server-side tables for public key information. As such, CryptDB is portable; porting CryptDB to MySQL required changing 86 lines of code, mostly at the connectivity layer.",13 p.,MIT-CSAIL-TR-2011-005,CryptDB: A Practical Encrypted Relational DBMS,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,confidentiality; privacy; cloud computing; outsourced databases; queries over encrypted data,,,,,,,,
Nick Roy,"Kollar, Thomas; Dickerson, Steven; Tellex, Stefanie; Banerjee, Ashis Gopal; Walter, Matthew R.; Teller, Seth; Roy, Nicholas","Robotics, Vision & Sensor Networks",2011-02-02T22:45:06Z,2011-02-02T22:45:06Z,2011-02-01,http://hdl.handle.net/1721.1/60883,We describe a new model for understanding hierarchical natural language commands for robot navigation and manipulation. The model has three components: a semantic structure that captures the hierarchical structure of language; a cost function that maps the command's semantic structure to the robot's sensorimotor capabilities; and an efficient search method for finding the lowest-cost plan. We present a proof-of-concept system that carries out navigation commands in a simulated setting.,2 p.,MIT-CSAIL-TR-2011-007,Towards Understanding Hierarchical Natural Language Commands for Robotic Navigation and Manipulation,,,graphical models; SDC; ESDC; grounding,,,,,,,,
Martin Rinard,"Ganesh, Vijay; Minnes, Mia; Solar-Lezama, Armando; Rinard, Martin",Computer Architecture,2011-02-01T20:15:11Z,2011-02-01T20:15:11Z,2011-02-01,http://hdl.handle.net/1721.1/60877,"We prove several decidability and undecidability results for the satisfiability/validity problem of formulas over a language of finite-length strings and integers (interpreted as lengths of strings). The atomic formulas over this language are equality over string terms (word equations), linear inequality over length function (length constraints), and membership predicate over regularexpressions (r.e.). These decidability questions are important in logic, program analysis and formal verification. Logicians have been attempting to resolve some of these questions for many decades, while practical satisfiability procedures for these formulas are increasingly important in the analysis of string-manipulating programs such as web applications and scripts. We prove three main theorems. First, we consider Boolean combination of quantifier-free formulas constructed out of word equations and length constraints. We show that if word equations can be converted to a solved form, a form relevant in practice, then the satisfiability problem for Boolean combination of word equations and length constraints is decidable. Second, we show that the satisfiability problem for word equations in solved form that areregular, length constraints and r.e. membership predicate is also decidable. Third, we show that the validity problem for the set of sentences written as a forall-exists quantifier alternation applied to positive word equations is undecidable. A corollary of this undecidability result is that this set is undecidable even with sentences with at most two occurrences of a string variable.",16 p.,MIT-CSAIL-TR-2011-006,What is Decidable about Strings?,,,Theories of strings; decidability; undecidability; word equations; regular expressions; JavaScript; Formal methods; Program Analysis,,,,,,,,
Dina Katabi,"Jakubczak, Szymon; Katabi, Dina",Networks & Mobile Systems,2011-02-22T21:30:19Z,2011-02-22T21:30:19Z,2011-02-15,http://hdl.handle.net/1721.1/61009,"Video broadcast and mobile video challenge the conventional wireless design. In broadcast and mobile scenarios the bit rate supported by the channel differs across receivers and varies quickly over time. The conventional design however forces the source to pick a single bit rate and degrades sharply when the channel cannot not support the chosen bit rate. This paper presents SoftCast, a clean-slate design for wireless video where the source transmits one video stream that each receiver decodes to a video quality commensurate with its specific instantaneous channel quality. To do so, SoftCast ensures the samples of the digital video signal transmitted on the channel are linearly related to the pixels' luminance. Thus, when channel noise perturbs the transmitted signal samples, the perturbation naturally translates into approximation in the original video pixels. Hence, a receiver with a good channel (low noise) obtains a high fidelity video, and a receiver with a bad channel (high noise) obtains a low fidelity video. We implement SoftCast using the GNURadio software and the USRP platform. Results from a 20-node testbed show that SoftCast improves the average video quality (i.e., PSNR) across broadcast receivers in our testbed by up to 5.5dB. Even for a single receiver, it eliminates video glitches caused by mobility and increases robustness to packet loss by an order of magnitude.",14 p.,MIT-CSAIL-TR-2011-008,SoftCast: Clean-slate Scalable Wireless Video,,,,,,,,,,,
Silvio Micali,"Chiesa, Alessandro; Micali, Silvio; Zhu, Zeyuan Allen",Theory of Computation,2011-02-22T21:30:08Z,2011-02-22T21:30:08Z,2011-02-16,http://hdl.handle.net/1721.1/61008,"We investigate mechanism design when the players do not exactly know their types, but have instead only partial information about them.",18 p.,MIT-CSAIL-TR-2011-009,Mechanism Design With Approximate Player Types,,,Type uncertainty; Mechanism Design; Auctions; Social Welfare,,,,,MIT-CSAIL-TR-2011-024,http://hdl.handle.net/1721.1/62296,,
Silvio Micali,"Chiesa, Alessandro; Micali, Silvio; Zhu, Zeyuan Allen",Theory of Computation,2011-04-21T18:15:33Z,2011-04-21T18:15:33Z,2011-02-16,http://hdl.handle.net/1721.1/62296,"In mechanism design, we replace the strong assumption that each player knows his own payoff type EXACTLY with the more realistic assumption that he knows it only APPROXIMATELY. Specifically, we study the classical problem of maximizing social welfare in single-good auctions when players know their true valuations only within a constant multiplicative factor d in (0,1). Our approach is deliberately non-Bayesian and very conservative: each player i only knows that his true valuation is one among finitely many values in a d-APPROXIMATE SET, Ki, and his true valuation is ADVERSARIALLY and SECRETLY chosen in Ki at the beginning of the auction. We prove tight upper and lower bounds for the fraction of the maximum social welfare achievable in our model, in either dominant or undominated strategies, both via deterministic and probabilistic mechanisms. The landscape emerging is quite unusual and intriguing.",30 p.,MIT-CSAIL-TR-2011-024,Mechanism Design with Approximate Valuations,,,,MIT-CSAIL-TR-2011-009,,,,,http://hdl.handle.net/1721.1/61008,,
Nancy Lynch,"Khabbazian, Majid; Kowalski, Dariusz; Kuhn, Fabian; Lynch, Nancy",Theory of Computation,2011-03-03T20:15:08Z,2011-03-03T20:15:08Z,2011-02-23,http://hdl.handle.net/1721.1/61391,"In much of the theoretical literature on global broadcast algorithms for wireless networks, issues of message dissemination are considered together with issues of contention management. This combination leads to complicated algorithms and analysis, and makes it difficult to extend the work to more difficult communication problems. In this paper, we present results aimed at simplifying such algorithms and analysis by decomposing the treatment into two levels, using abstract ""MAC layer"" specifications to encapsulate contention management. We use two different abstract MAC layers: the basic layer of Kuhn, Lynch, and Newport, and a new probabilistic layer. We first present a typical randomized contention-management algorithm for a standard graph-based radio network model and show that it implements both abstract MAC layers. Then we combine this algorithm with greedy algorithms for single-message and multi-message global broadcast and analyze the combinations, using both abstract MAC layers as intermediate layers. Using the basic MAC layer, we prove a bound of O(D log(n / epsilon) log(Delta)) for the time to deliver a single message everywhere with probability 1 - epsilon, where D is the network diameter, n is the number of nodes, and Delta is the maximum node degree. Using the probabilistic layer, we prove a bound of O((D + log(n/epsilon)) log(Delta)), which matches the best previously-known bound for single-message broadcast over the physical network model. For multi-message broadcast, we obtain bounds of O((D + k Delta) log(n/epsilon) log(Delta)) using the basic layer and O((D + k Delta log(n/epsilon)) log(Delta)) using the probabilistic layer, for the time to deliver a message everywhere in the presence of at most k concurrent messages.",39 p.,MIT-CSAIL-TR-2011-010,Decomposing Broadcast Algorithms Using Abstract MAC Layers,,,broadcast protocol; contention management; wireless network algorithms; multi-message broadcast; global broadcast,,,,,,,"Author Lynch's research is supported by AFOSR contract FA9550-08-1-0159 and NSF grants CCF-0726514, CNS-0715397, CCF-0937274, and NSF-PURDUE-STC Award 0939370-CCF.  Author Kowalski's research is supported by the Engineering and Physical Sciences Research Council [grant numbers EP/G023018/1,
EP/H018816/1].",
,"Poggio, Tomaso",Center for Biological and Computational Learning (CBCL),2011-03-04T21:30:04Z,2011-03-04T21:30:04Z,2011-03-04,http://hdl.handle.net/1721.1/61424,"Excerpts from a talk given by Tomaso Poggio in Tübingen on the opening ofthe Werner Reichardt Centrun für Integrative Neurowissenschaften, December 8, 2008.",16 p.,MIT-CSAIL-TR-2011-011; CBCL-297,Werner Reichardt: the man and his scientific legacy,,,vision; fly vision; theory; figure-ground discrimination; motion detection,,,,,,,,"Geiger, Gadi"
Anant Agarwal,"Wentzlaff, David; Gruenwald, Charles, III; Beckmann, Nathan; Belay, Adam; Kasture, Harshad; Modzelewski, Kevin; Youseff, Lamia; Miller, Jason E.; Agarwal, Anant",Computer Architecture,2011-03-09T18:45:21Z,2011-03-09T18:45:21Z,2011-03-09,http://hdl.handle.net/1721.1/61640,"Current monolithic operating systems are designed for uniprocessor systems, and their architecture reflects this. The rise of multicore and cloud computing is drastically changing the tradeoffs in operating system design. The culture of scarce computational resources is being replaced with one of abundant cores, where spatial layout of processes supplants time multiplexing as the primary scheduling concern. Efforts to parallelize monolithic kernels have been difficult and only marginally successful, and new approaches are needed. This paper presents fleets, a novel way of constructing scalable OS services. With fleets, traditional OS services are factored out of the kernel and moved into user space, where they are further parallelized into a distributed set of concurrent, message-passing servers. We evaluate fleets within fos, a new factored operating system designed from the ground up with scalability as the first-order design constraint. This paper details the main design principles of fleets, and how the system architecture of fos enables their construction. We describe the design and implementation of three critical fleets (network stack, page allocation, and file system) and compare with Linux. These comparisons show that fos achieves superior performance and has better scalability than Linux for large multicores; at 32 cores, fos's page allocator performs 4.5 times better than Linux, and fos's network stack performs 2.5 times better. Additionally, we demonstrate how fleets can adapt to changing resource demand, and the importance of spatial scheduling for good performance in multicores.",13 p.,MIT-CSAIL-TR-2011-012,Fleets: Scalable Services in a Factored Operating System,,,multicore; scalable operating system,,,,,,,,
