dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.subject,dc.title
"Larsen, Samuel; Witchel, Emmett; Amarasinghe, Saman",2023-03-29T14:42:27Z,2023-03-29T14:42:27Z,2001-11,,https://hdl.handle.net/1721.1/149310,"Memory alignment is an important property in memory system performance. Extraction of alignment information at compile-time enables the possibility for new classes of program optimization. In this paper, we present methods for increasing and detecting the alignment of memory references in a program. Our transformations and analyses do not require interprocedural analysis and introduce almost no overhead. As a result, they can be incorporated into real compilation systems. On average, our techniques are able to achieve a five-fold increase in the number of dynamically aligned memory references. We are then able to detect 94% of these operations. This success is invaluable in providing performance gains in a range of different areas. When alignment information is incorporated into a vectorizing compiler, we can increase the performance of a G4 AltiVec processor by more than a factor of two. Using the same methods, we are able to reduce energy consumption in a data cache by as much as 35%.",,,,MIT-LCS-TM-621,,Techniques for Increasing and Detecting Memory Alignment
"Ostrovsky, Yuri; Cavanagh, Patrick; Sinha, Pawan",2004-10-20T21:03:57Z,2004-10-20T21:03:57Z,2001-11-05,AIM-2001-029; CBCL-209,http://hdl.handle.net/1721.1/7243,"The human visual system is adept at detecting and encoding statistical regularities in its spatio-temporal environment. Here we report an unexpected failure of this ability in the context of perceiving inconsistencies in illumination distributions across a scene. Contrary to predictions from previous studies [Enns and Rensink, 1990; Sun and Perona, 1996a, 1996b, 1997], we find that the visual system displays a remarkable lack of sensitivity to illumination inconsistencies, both in experimental stimuli and in images of real scenes. Our results allow us to draw inferences regarding how the visual system encodes illumination distributions across scenes. Specifically, they suggest that the visual system does not verify the global consistency of locally derived estimates of illumination direction.",13 p.; 3418249 bytes; 947913 bytes,application/postscript; application/pdf,en_US,AIM-2001-029; CBCL-209,AI; Illumination; natural scene perception; lighting direction; pop-out,Perceiving Illumination Inconsistencies in Scenes
"Torralba, Antonio; Sinha, Pawan",2004-10-20T21:03:55Z,2004-10-20T21:03:55Z,2001-11-05,AIM-2001-028; CBCL-208,http://hdl.handle.net/1721.1/7242,"The ability to detect faces in images is of critical ecological significance. It is a pre-requisite for other important face perception tasks such as person identification, gender classification and affect analysis. Here we address the question of how the visual system classifies images into face and non-face patterns. We focus on face detection in impoverished images, which allow us to explore information thresholds required for different levels of performance. Our experimental results provide lower bounds on image resolution needed for reliable discrimination between face and non-face patterns and help characterize the nature of facial representations used by the visual system under degraded viewing conditions. Specifically, they enable an evaluation of the contribution of luminance contrast, image orientation and local context on face-detection performance.",14 p.; 20987363 bytes; 1810477 bytes,application/postscript; application/pdf,en_US,AIM-2001-028; CBCL-208,AI; Face detection; image resolution; contrast negation; vertical inversion,Detecting Faces in Impoverished Images
"Corduneanu, Adrian; Jaakkola, Tommi",2004-10-08T20:37:18Z,2004-10-08T20:37:18Z,2001-11-08,AIM-2001-030,http://hdl.handle.net/1721.1/6679,"An increasing number of parameter estimation tasks involve the use of at least two information sources, one complete but limited, the other abundant but incomplete. Standard algorithms such as EM (or em) used in this context are unfortunately not stable in the sense that they can lead to a dramatic loss of accuracy with the inclusion of incomplete observations. We provide a more controlled solution to this problem through differential equations that govern the evolution of locally optimal solutions (fixed points) as a function of the source weighting. This approach permits us to explicitly identify any critical (bifurcation) points leading to choices unsupported by the available complete data. The approach readily applies to any graphical model in O(n^3) time where n is the number of parameters. We use the naive Bayes model to illustrate these ideas and demonstrate the effectiveness of our approach in the context of text classification problems.",9 p.; 1207127 bytes; 733599 bytes,application/postscript; application/pdf,en_US,AIM-2001-030,AI; semi-supervised learning; incomplete data; EM; stable estimation,Stable Mixing of Complete and Incomplete Information
"Arkoudas, Konstantine",2004-10-08T20:37:19Z,2004-10-08T20:37:19Z,2001-11-13,AIM-2001-031,http://hdl.handle.net/1721.1/6680,"This paper presents an algorithm for simplifying NDL deductions. An array of simplifying transformations are rigorously defined. They are shown to be terminating, and to respect the formal semantis of the language. We also show that the transformations never increase the size or complexity of a deduction---in the worst case, they produce deductions of the same size and complexity as the original. We present several examples of proofs containing various types of ""detours"", and explain how our procedure eliminates them, resulting in smaller and cleaner deductions. All of the given transformations are fully implemented in SML-NJ. The complete code listing is presented, along with explanatory comments. Finally, although the transformations given here are defined for NDL, we point out that they can be applied to any type-alpha DPL that satisfies a few simple conditions.",45 p.; 2306816 bytes; 532283 bytes,application/postscript; application/pdf,en_US,AIM-2001-031,AI; deduction; proofs; simplifiation; proof optimization; deduction complexity,Simplifying transformations for type-alpha certificates
"Wang, Karen",2023-03-29T15:34:42Z,2023-03-29T15:34:42Z,2001-12,,https://hdl.handle.net/1721.1/149932,This thesis proposes a new Active Queue Management (AQM) scheme called 2RegionRED.  It is superior to the classic Random Early Detection (RED) algorithm in that there is an intuitive way to set its parameters and it is self-tuning.  Its design is motivated by an original principle to sustain the smallest queue possible while still allowing for maximum link utilization.  2RegionRED uses the number of competing TCPs as its measure of load.  However it does not keep an explicit count.  The result is a novel algorithm that adjusts the drop rate according to two regions of operation: that requiring less than and greater than one drop per round-trip time (RTT).  This thesis also analyzes methods for measuring the persistent queue and proposes the ABSMIN method.  Simulations of 2RegionRED using ABSMIN reveal some difficulties and insights.  Basic comparisons to the Adaptive RED and Flow Proportional Queuing (FPQ) adaptive algorithms are also demonstrated through simulation,,,,MIT-LCS-TR-829,,2RegionRED: a Congestion Control Mechanism for the High Speed Internet
"Katabi, Dina; Blake, Charles",2023-03-29T15:34:40Z,2023-03-29T15:34:40Z,2001-12,,https://hdl.handle.net/1721.1/149931,,,,,MIT-LCS-TR-828,,Inferring Congestion Sharing and Path Characteristics from Packet Interarrival Times
"Torralba, Antonio; Oliva, Aude",2004-10-20T21:04:45Z,2004-10-20T21:04:45Z,2001-12-01,AIM-2001-036; CBCL-213,http://hdl.handle.net/1721.1/7267,"In the absence of cues for absolute depth measurements as binocular disparity, motion, or defocus, the absolute distance between the observer and a scene cannot be measured. The interpretation of shading, edges and junctions may provide a 3D model of the scene but it will not inform about the actual ""size"" of the space. One possible source of information for absolute depth estimation is the image size of known objects. However, this is computationally complex due to the difficulty of the object recognition process. Here we propose a source of information for absolute depth estimation that does not rely on specific objects: we introduce a procedure for absolute depth estimation based on the recognition of the whole scene. The shape of the space of the scene and the structures present in the scene are strongly related to the scale of observation. We demonstrate that, by recognizing the properties of the structures present in the image, we can infer the scale of the scene, and therefore its absolute mean depth. We illustrate the interest in computing the mean depth of the scene with application to scene recognition and object detection.",22 p.; 40226611 bytes; 7425856 bytes,application/postscript; application/pdf,en_US,AIM-2001-036; CBCL-213,AI; depth; monocular; scale selection; natural images; scene recognition,Global Depth Perception from Familiar Scene Structure
"Riesenhuber, Maximilian",2004-10-20T21:04:38Z,2004-10-20T21:04:38Z,2001-12-10,AIM-2001-034; CBCL-211,http://hdl.handle.net/1721.1/7265,"Baylis & Driver (Nature Neuroscience, 2001) have recently presented data on the response of neurons in macaque inferotemporal cortex (IT) to various stimulus transformations. They report that neurons can generalize over contrast and mirror reversal, but not over figure-ground reversal. This finding is taken to demonstrate that ``the selectivity of IT neurons is not determined simply by the distinctive contours in a display, contrary to simple edge-based models of shape recognition'', citing our recently presented model of object recognition in cortex (Riesenhuber & Poggio, Nature Neuroscience, 1999). In this memo, I show that the main effects of the experiment can be obtained by performing the appropriate simulations in our simple feedforward model. This suggests for IT cell tuning that the possible contributions of explicit edge assignment processes postulated in (Baylis & Driver, 2001) might be smaller than expected.",3 p.; 798352 bytes; 91696 bytes,application/postscript; application/pdf,en_US,AIM-2001-034; CBCL-211,AI; AI; computational neuroscience; object recognition; macaque; IT; invariance,"Generalization over contrast and mirror reversal, but not figure-ground reversal, in an ""edge-based"
"Yip, Andrew; Sinha, Pawan",2004-10-20T21:04:40Z,2004-10-20T21:04:40Z,2001-12-13,AIM-2001-035; CBCL-212,http://hdl.handle.net/1721.1/7266,"One of the key challenges in face perception lies in determining the contribution of different cues to face identification. In this study, we focus on the role of color cues. Although color appears to be a salient attribute of faces, past research has suggested that it confers little recognition advantage for identifying people. Here we report experimental results suggesting that color cues do play a role in face recognition and their contribution becomes evident when shape cues are degraded. Under such conditions, recognition performance with color images is significantly better than that with grayscale images. Our experimental results also indicate that the contribution of color may lie not so much in providing diagnostic cues to identity as in aiding low-level image-analysis processes such as segmentation.",12 p.; 1469164 bytes; 237772 bytes,application/postscript; application/pdf,en_US,AIM-2001-035; CBCL-212,AI; Face recognition; color; low-resolution; grayscale,Role of color in face recognition
