dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.contributor.advisor,dc.subject,dc.identifier.citation,dc.contributor,dc.relation.isreplacedby,dc.relation.uri
"Bhattacharyya, Arnab",Complexity Theory,2005-12-22T02:33:55Z,2005-12-22T02:33:55Z,2005-08-08,MIT-CSAIL-TR-2005-051; MIT-LCS-TR-998,http://hdl.handle.net/1721.1/30562,"Abstract: In this paper, we describe a proof-of-concept implementation of the probabilistically checkable proof of proximity (PCPP) system described by Ben-Sasson and Sudan in \\cite{bs05}.  In particular, we implement a PCPP prover and verifier for Reed-Solomon codes; the prover converts an evaluation of a polynomial on a linear set into a valid PCPP, while the verifier queries the evaluation and the PCPP to check that the evaluation is close to a Reed-Solomon codeword.  We prove tight bounds on the various parameters associated with the prover and verifier and describe some interesting programmatic issues that arise during their implementation.",16 p.; 13280259 bytes; 636640 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Implementing Probabilistically Checkable Proofs of Proximity,,,,,,
"Dolev, Shlomi; Lahiani, Limor; Lynch, Nancy; Nolte, Tina",Theory of Distributed Systems,2005-12-22T02:36:07Z,2005-12-22T02:36:07Z,2005-08-11,MIT-CSAIL-TR-2005-052; MIT-LCS-TR-999,http://hdl.handle.net/1721.1/30563,"We present simple algorithms for achieving self-stabilizing locationmanagement and routing in mobile ad-hoc networks. While mobile clients maybe susceptible to corruption and stopping failures, mobile networks areoften deployed with a reliable GPS oracle, supplying frequent updates ofaccurate real time and location information to mobile nodes. Informationfrom a GPS oracle provides an external, shared source of consistency formobile nodes, allowing them to label and timestamp messages, and henceaiding in identification of, and eventual recovery from, corruption andfailures. Our algorithms use a GPS oracle.Our algorithms also take advantage of the Virtual Stationary Automataprogramming abstraction, consisting of mobile clients, virtual timedmachines called virtual stationary automata (VSAs), and a local broadcastservice connecting VSAs and mobile clients. VSAs are distributed at knownlocations over the plane, and emulated in a self-stabilizing manner by themobile nodes in the system. They serve as fault-tolerant building blocksthat can interact with mobile clients and each other, and can simplifyimplementations of services in mobile networks.We implement three self-stabilizing, fault-tolerant services, each builton the prior services: (1) VSA-to-VSA geographic routing, (2) mobileclient location management, and (3) mobile client end-to-end routing. Weuse a greedy version of the classical depth-first search algorithm toroute messages between VSAs in different regions. The mobile clientlocation management service is based on home locations: Each clientidentifier hashes to a set of home locations, regions whose VSAs areperiodically updated with the client\'s location. VSAs maintain thisinformation and answer queries for client locations. Finally, theVSA-to-VSA routing and location management services are used to implementmobile client end-to-end routing.",20 p.; 27793653 bytes; 1205701 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Self-Stabilizing Mobile Node Location Management and Message,,,,,,
"Katti, Sachin; Katabi, Dina; Puchala, Katarzyna",Networks and Mobile Systems,2005-12-22T02:36:13Z,2005-12-22T02:36:13Z,2005-08-15,MIT-CSAIL-TR-2005-053; MIT-LCS-TR-1000,http://hdl.handle.net/1721.1/30564,"Recent years have witnessed many proposals for anonymous routing in overlay peer-to-peer networks. The proposed protocols either expose the receiver and the message content, or require the overlay nodes to have public-private key pairs with the public keys known to everyone. In practice, however, key distribution and management are well-known difficultproblems and have crippled any widespread deployment of anonymous routing. This paper uses a combination of information slicing and source routing to provide anonymous communication in a way similar to Onion Routing but without a public key infrastructure (PKI).",7 p.; 13490568 bytes; 735059 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Slicing the Onion: Anonymous Routing Without PKI,,,,,,
"Richards, Whitman",,2005-12-22T02:36:19Z,2005-12-22T02:36:19Z,2005-08-16,MIT-CSAIL-TR-2005-054; AIM-2005-024,http://hdl.handle.net/1721.1/30565,"When groups of individuals make choices among several alternatives, the most compelling social outcome is the Condorcet winner, namely the alternative beating all others in a pair-wise contest. Obviously the Condorcet winner cannot be overturned if one sub-group proposes another alternative it happens to favor.  However, in some cases, and especially with haphazard voting, there will be no clear unique winner, with the outcome consisting of a triple of pair-wise winners that each beat different subsets of the alternatives (i.e. a Â“top-cycleÂ”.)  We explore the sensitivity of Condorcet winners to various perturbations in the voting process that lead to top-cycles. Surprisingly, variations in the number of votes for each alternative is much less important than consistency in a voterÂ’s view of how alternatives are related. As more and more voterÂ’s preference orderings on alternatives depart from a shared model of the domain, then unique Condorcet outcomes become increasingly unlikely.",18 p.; 17793797 bytes; 614937 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Collective Choice with Uncertain Domain Moldels,,AI; collective choice; uncertainty; voting; top-cycles,,,,
"Canetti, Ran; Cheung, Ling; Kaynar, Dilsun; Liskov, Moses; Lynch, Nancy; Olivier; Segala, Roberto",Theory of Distributed Systems,2005-12-22T02:36:36Z,2005-12-22T02:36:36Z,2005-08-19,MIT-CSAIL-TR-2005-055; MIT-LCS-TR-1001,http://hdl.handle.net/1721.1/30566,"We demonstrate how to carry out cryptographic security analysis ofdistributed protocols within the Probabilistic I/O Automata frameworkof Lynch, Segala, and Vaandrager.This framework provides tools for arguing rigorously about theconcurrency and scheduling aspects of protocols, and about protocolspresented at different levels of abstraction.Consequently, it can help in making cryptographic analysis moreprecise and less susceptible to errors.We concentrate on a relatively simple two-party Oblivious Transferprotocol, in the presence of a semi-honest adversary (essentially, aneavesdropper).For the underlying cryptographic notion of security, we use a versionof Canetti's Universally Composable security.In spite of the relative simplicity of the example, the exercise isquite nontrivial.It requires taking many fundamental issues into account,including nondeterministic behavior, scheduling, resource-boundedcomputation, and computational hardness assumptions for cryptographicprimitives.",123 p.; 130601890 bytes; 5801647 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Using Probabilistic I/O Automata to Analyze an Oblivious Transfer Protocol,,,,,http://hdl.handle.net/1721.1/33154,http://hdl.handle.net/1721.1/33154
"Russell, Bryan C.; Torralba, Antonio; Murphy, Kevin P.; Freeman, William T.",,2005-12-22T02:36:40Z,2005-12-22T02:36:40Z,2005-09-08,MIT-CSAIL-TR-2005-056; AIM-2005-025,http://hdl.handle.net/1721.1/30567,"Research in object detection and recognition in cluttered scenes requires large image collections with ground truth labels.  The labels should provide information about the object classes present in each image, as well as their shape and locations, and possibly other attributes such as pose.  Such data is useful for testing, as well as for supervised learning.  This project provides a web-based annotation tool that makes it easy to annotate images, and to instantly sharesuch annotations with the community.  This tool, plus an initial set of 10,000 images (3000 of which have been labeled), can be found at http://www.csail.mit.edu/$\sim$brussell/research/LabelMe/intro.html",11 p.; 12518984 bytes; 559659 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,LabelMe: a database and web-based tool for image annotation,,AI; object recognition detection database annotation tool,,,,
"Stauffer, Chris",,2005-12-22T02:36:45Z,2005-12-22T02:36:45Z,2005-09-20,MIT-CSAIL-TR-2005-057; AIM-2005-026,http://hdl.handle.net/1721.1/30568,"Current computer vision techniques can effectively monitor gross activities in sparse environments.  Unfortunately, visual stimulus is often not sufficient for reliably discriminating between many types of activity.  In many cases where the visual information required for a particular task is extremely subtle or non-existent, there is often audio stimulus that is extremely salient for a particular classification or anomaly detection task.  Unfortunately unlike visual events, independent sounds are often very ambiguous and not sufficient to define useful events themselves.  Without an effective method of learning causally-linked temporal sequences of sound events that are coupled to the visual events, these sound events are generally only useful for independent anomalous sounds detection, e.g., detecting a gunshot or breaking glass.  This paper outlines a method for automatically detecting a set of audio events and visual events in a particular environment, for determining statistical anomalies, for automatically clustering these detected events into meaningful clusters, and for learning salient temporal relationships between the audio and visual events.  This results in a compact description of the different types of compound audio-visual events in an environment.",9 p.; 32903979 bytes; 1153580 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Automated Audio-visual Activity Analysis,,AI; Unsupervised; activity analysis; scene modeling; tracking; event detection,,,,
"Theocharous, Georgios; Mahadevan, Sridhar; Kaelbling, Leslie Pack",,2005-12-22T02:36:53Z,2005-12-22T02:36:53Z,2005-09-27,MIT-CSAIL-TR-2005-058; AIM-2005-027,http://hdl.handle.net/1721.1/30569,"Partially observable Markov decision processes (POMDPs) are a well studied paradigm for programming autonomous robots, where the robot sequentially chooses actions to achieve long term goals efficiently.  Unfortunately, for real world robots and other similar domains, the uncertain outcomes of the actions and the fact that the true world state may not be completely observable make learning of models of the world extremely difficult, and using them algorithmically infeasible.  In this paper we show that learning POMDP models and planning with them can become significantly easier when we incorporate into our algorithms the notions of spatial and tempral abstraction.  We demonstrate the superiority of our algorithms by comparing them with previous flat approaches for large scale robot navigation.",72 p.; 73465696 bytes; 2744720 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Spatial and Temporal Abstractions in POMDPs Applied to Robot Navigation,,AI,,,,
"Arkoudas, Konstantine",Program Analysis,2005-12-22T02:37:00Z,2005-12-22T02:37:00Z,2005-10-06,MIT-CSAIL-TR-2005-059; MIT-LCS-TR-1002,http://hdl.handle.net/1721.1/30570,"We introduce a domain-independent framework for heterogeneous natural deduction that combines diagrammatic and sentential reasoning. The framework is presented in the form of a family of denotational proof languages (DPLs). Diagrams are represented as possibly partial descriptions of finite system states. This allows us to dealwith incomplete information, which we formalize by admitting sets as attribute values. We introduce a notion of attribute interpretations that enables us to interpret  first-order signatures into such system states, and develop a formal semantic framework based on Kleene\'s strong three-valued logic. We extend the assumption-base semantics of DPLs to accodomodate diagrammatic reasoning by introducing general inference mechanisms  for the valid extraction of information from diagrams and for the incorporation of sentential information into diagrams. A rigorous big-step operational semantics is given, on the basis of which we prove that our framework is sound. In addition, we specify detailed algorithms for implementing proof checkers for the resulting languages, and discuss associated efficiency issues.",58 p.; 48633844 bytes; 2003976 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Combining diagrammatic and symbolic reasoning,,,,,,
"Ajmani, Sameer",Programming Methodology,2005-12-19T23:30:00Z,2005-12-19T23:30:00Z,2005-10-06,MIT-CSAIL-TR-2005-061; MIT-LCS-TR-1004,http://hdl.handle.net/1721.1/30418,"Upgrading the software of long-lived, highly-available distributedsystems is difficult.  It is not possible to upgrade all the nodes in asystem at once, since some nodes may be unavailable and halting thesystem for an upgrade is unacceptable.  Instead, upgrades may happengradually, and there may be long periods of time when different nodesare running different software versions and need to communicate usingincompatible protocols.  We present a methodology and infrastructurethat address these challenges and make it possible to upgradedistributed systems automatically while limiting service disruption.Our methodology defines how to enable nodes to interoperate acrossversions, how to preserve the state of a system across upgrades, and howto schedule an upgrade so as to limit service disruption.  The approachis modular: defining an upgrade requires understanding only the newsoftware and the version it replaces.The upgrade infrastructure is a generic platform for distributing andinstalling software while enabling nodes to interoperate acrossversions.  The infrastructure requires no access to the system sourcecode and is transparent: node software is unaware that differentversions even exist.  We have implemented a prototype of theinfrastructure called Upstart that intercepts socket communication usinga dynamically-linked C++ library.  Experiments show that Upstart has lowoverhead and works well for both local-area and Internet systems.",164 p.; 135378118 bytes; 5540633 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Automatic Software Upgrades for Distributed Systems (PhD thesis),,,,,,
