dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.subject,dc.contributor.advisor
"Lepinski, Matthew; Micali, Silvio",Cryptography and Information Security,2005-12-22T02:40:29Z,2005-12-22T02:40:29Z,2005-11-02,MIT-CSAIL-TR-2005-071; MIT-LCS-TM-653,http://hdl.handle.net/1721.1/30581,"In their paper, ""Rational Secure Computation and Ideal Mechanism Design,"" Izmalkov, Lepinski and Micali show that any one-shot mediated game can be simulated by the players themselves, without the help of a trusted mediator, using physical envelopes and a ballot-box. We show that communication between the players is not essential to the ILM protocol. That is, we provide a protocol for rational secure function evaluation (Rational SFE) where the players just send a set of envelopes to a referee who simply performs a sequence of publicly verifiable actions. That is, the players can ""subcontract"" all of the computation to an untrusted referee. In addition to providing a communication structure that more closely matches the ideal game, our protocol also enables us to better simulate mediated games in which abort is not a dominated action.",6 p.; 8137326 bytes; 296971 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Subcontracted Rational SFE,,
"Wies, Thomas; Kuncak, Viktor; Lam, Patrick; Podelski, Andreas; Rinard, Martin",Computer Architecture,2005-12-22T02:40:34Z,2005-12-22T02:40:34Z,2005-11-03,MIT-CSAIL-TR-2005-072; MIT-LCS-TR-1010,http://hdl.handle.net/1721.1/30582,"We introduce field constraint analysis, a new  technique for verifying data structure invariants.  A  field constraint for a field is a formula specifying a set of objects  to which the field can point.  Field constraints enable  the application of decidable logics to data structures  which were originally beyond the scope of these logics, by verifying the  backbone of the data structure and then verifying  constraints on fields that cross-cut the backbone in  arbitrary ways.  Previously, such cross-cutting fields  could only be verified when they were uniquely determined by  the backbone, which significantly limited the range of  analyzable data structures.  Our field constraint analysis permits \\emph{non-deterministic} field  constraints on cross-cutting fields, which allows to verify  invariants of data structures such as skip lists.  Non-deterministic  field constraints also enable the verification of invariants between  data structures, yielding an expressive generalization of static  type declarations.  The generality of our field constraints requires new  techniques, which are orthogonal to the traditional use of  structure simulation.  We present one such technique and  prove its soundness.  We have implemented this technique  as part of a symbolic shape analysis deployed in  the context of the Hob system for verifying data structure  consistency.  Using this implementation we were able to  verify data structures that were previously beyond the  reach of similar techniques.",23 p.; 22680509 bytes; 928319 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,On Field Constraint Analysis,,
"Andoni, Alexandr; Indyk, Piotr",,2005-12-22T02:40:39Z,2005-12-22T02:40:39Z,2005-11-04,MIT-CSAIL-TR-2005-073; AIM-2005-031,http://hdl.handle.net/1721.1/30583,"We present an algorithm for c-approximate nearest neighbor problem in a d-dimensional Euclidean space,  achieving query time ofO(dn^{1/c^2+o(1)}) and space O(dn + n^{1+1/c^2+o(1)}).",12 p.; 11656417 bytes; 559939 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,New LSH-based Algorithm for Approximate Nearest Neighbor,AI; locality sensitive hashing; nearest neighbor; high dimensions,
"Hajiaghayi, MohammadTaghi; Kortsarz, Guy; Salavatipour, Mohammad R.",Theory of Computation,2006-01-05T20:37:59Z,2006-01-05T20:37:59Z,2005-11-15,MIT-CSAIL-TR-2006-001,http://hdl.handle.net/1721.1/30601,"In the buy-at-bulk $k$-Steiner tree (or rent-or-buy$k$-Steiner tree) problem we are given a graph $G(V,E)$ with a setof terminals $T\subseteq V$ including a particular vertex $s$ calledthe root, and an integer $k\leq |T|$. There are two cost functionson the edges of $G$, a buy cost $b:E\longrightarrow \RR^+$ and a rentcost $r:E\longrightarrow \RR^+$. The goal is to find a subtree $H$ of$G$ rooted at $s$ with at least $k$ terminals so that the cost$\sum_{e\in H} b(e)+\sum_{t\in T-s} dist(t,s)$ is minimize, where$dist(t,s)$ is the distance from $t$ to $s$ in $H$ with respect tothe $r$ cost. Our main result is  an $O(\log^5 n)$-approximation forthe buy-at-bulk $k$-Steiner tree problem.To achieve this we also design an approximation algorithm forbicriteria $k$-Steiner tree. In the bicriteria $k$-Steiner tree problem weare given a graph $G$ with edge costs $b(e)$ and distance costs$r(e)$ over the edges, and an integer $k$. Our goal is to find aminimum cost (under $b$-cost) $k$-Steiner tree such that thediameter under $r$-cost is at most some given bound $D$. An$(\alpha,\beta)$-approximation finds a subgraph of diameter at most$\alpha\cdot {D}$ (with respect to $r$) and cost with respect to$b$ of at most $\beta\cdot opt$ where $opt$ is the minimum cost ofany solution with diameter at most $D$. Marathe et al \cite{ravi}gave an $(O(\log n),O(\log n))$-approximation algorithm for thebicriteria Steiner tree problem. Their algorithm does not extend tothe bicriteria $k$-Steiner tree problem.Our algorithm for the buy-at-bulk $k$-Steiner tree problem relies on an$(O(\log^2 n),O(\log^4 n))$-approximation algorithm we develop for the(shallow-light) bicriteria  $k$-Steiner tree problem, which is ofindependent interest. Indeed, this is also one of the main tools we use to obtainthe first polylogarithmic approximation algorithm for non-uniformmulticommodity buy-at-bulk~\cite{HKS}.",14 p.; 18505768 bytes; 766175 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Approximating Buy-at-Bulk k-Steiner trees,,Erik Demaine
"Monteleoni, Claire; Jaakkola, Tommi",,2005-12-22T02:40:44Z,2005-12-22T02:40:44Z,2005-11-17,MIT-CSAIL-TR-2005-074; AIM-2005-032,http://hdl.handle.net/1721.1/30584,We consider an online learning scenario in which the learner can make predictions on the basis of a fixed set of experts.  We derive upper and lower relative loss bounds for a class of universal learning algorithms involving a switching dynamics over the choice of the experts.  On the basis of the performance bounds we provide the optimal a priori discretization of the switching-rate parameter that governs the switching dynamics. We demonstrate the algorithm in the context of wireless networks.,8 p.; 10189026 bytes; 760649 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Online Learning of Non-stationary Sequences,AI; online learning; regret bounds; non-stationarity; HMM; wireless networks,
"Dasgupta, Sanjoy; Kalai, Adam Tauman; Monteleoni, Claire",,2005-12-22T02:40:49Z,2005-12-22T02:40:49Z,2005-11-17,MIT-CSAIL-TR-2005-075; AIM-2005-033,http://hdl.handle.net/1721.1/30585,"We start by showing that in an active learning setting, the Perceptron algorithm needs $\Omega(\frac{1}{\epsilon^2})$ labels to learn linear separators within generalization error $\epsilon$.  We then present a simple selective sampling algorithm for this problem, which combines a modification of the perceptron update with an adaptive filtering rule for deciding which points to query. For data distributed uniformly over the unit sphere, we show that our algorithm reaches generalization error $\epsilon$ after asking for just $\tilde{O}(d \log \frac{1}{\epsilon})$ labels. This exponential improvement over the usual sample complexity of supervised learning has previously been demonstrated only for the computationally more complex query-by-committee algorithm.",15 p.; 11491832 bytes; 599624 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Analysis of Perceptron-Based Active Learning,AI; active learning; perceptron; label-complexity; mistake bound; selective sampling,
"Uzuner, Ozlem",,2005-12-22T02:41:36Z,2005-12-22T02:41:36Z,2005-11-18,MIT-CSAIL-TR-2005-077; AITR-2005-004,http://hdl.handle.net/1721.1/30587,"This thesis presents a technology to complement taxation-based policy proposals aimed at addressing the digital copyright problem.  Theapproach presented facilitates identification of intellectual propertyusing expression fingerprints. Copyright law protects expression of content.  Recognizing literaryworks for copyright protection requires identification of theexpression of their content.  The expression fingerprints described inthis thesis use a novel set of linguistic features that capture boththe content presented in documents and the manner of expression usedin conveying this content.  These fingerprints consist of bothsyntactic and semantic elements of language.  Examples of thesyntactic elements of expression include structures of embedding andembedded verb phrases.  The semantic elements of expression consist ofhigh-level, broad semantic categories.  Syntactic and semantic elements of expression enable generation ofmodels that correctly identify books and their paraphrases 82% of thetime, providing a significant (approximately 18%) improvement over modelsthat use tfidf-weighted keywords.  The performance of models builtwith these features is also better than models created with standardfeatures used in stylometry (e.g., function words), which yield anaccuracy of 62%.In the non-digital world, copyright holders collect revenues bycontrolling distribution of their works.  Current approaches to thedigital copyright problem attempt to provide copyright holders withthe same kind of control over distribution by employing Digital RightsManagement (DRM) systems.  However, DRM systems also enable copyrightholders to control and limit fair use, to inhibit others' speech, andto collect private information about individual users of digitalworks.Digital tracking technologies enable alternate solutions to thedigital copyright problem; some of these solutions can protectcreative incentives of copyright holders in the absence of controlover distribution of works.  Expression fingerprints facilitatedigital tracking even when literary works are DRM- and watermark-free,and even when they are paraphrased.  As such, they enable meteringpopularity of works and make practicable solutions that encouragelarge-scale dissemination and unrestricted use of digital works andthat protect the revenues of copyright holders, for example throughtaxation-based revenue collection and distribution systems, withoutimposing limits on distribution.",216 p.; 179019584 bytes; 5410679 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Identifying Expression Fingerprints using Linguistic Information,AI; natural language processing; syntactic information; content; expression,
"Zeng, Gang; Paris, Sylvain; Quan, Long; Sillion, Francois",Computer Graphics,2005-12-22T02:41:10Z,2005-12-22T02:41:10Z,2005-11-18,MIT-CSAIL-TR-2005-076; MIT-LCS-TR-1011,http://hdl.handle.net/1721.1/30586,"We introduce a new surface representation, the patchwork, to extend the problem of surface reconstruction from multiple images. A patchwork is the combination of several patches that are built one by one. This design potentially allows the reconstruction of an object of arbitrarily large dimensions while preserving a fine level of detail. We formally demonstrate that this strategy leads to a spatial complexity independent of the dimensions of the reconstructed object, and to a time complexity linear with respect to the object area. The former property ensures that we never run out of storage (memory) and the latter means that reconstructing an object can be done in a reasonable amount of time. In addition, we show that the patchwork representation handles equivalently open and closed surfaces whereas most of the existing approaches are limited to a specific scenario (open or closed surface but not both).Most of the existing optimization techniques can be cast into this framework. To illustrate the possibilities offered by this approach, we propose two applications that expose how it dramatically extends a recent accurate graph-cut technique. We first revisit the popular carving techniques. This results in a well-posed reconstruction problem that still enjoys the tractability of voxel space. We also show how we can advantageously combine several image-driven criteria to achieve a finely detailed geometry by surface propagation. The above properties of the patchwork representation and reconstruction are extensively demonstrated on real image sequences.",35 p.; 126753884 bytes; 4493080 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Accurate and Scalable Surface Representation and Reconstruction from Images,,
"Hajiaghayi, MohammadTaghi; Kortsarz, Guy; Salavatipour, Mohammad R.",Theory of Computation,2006-01-05T20:42:38Z,2006-01-05T20:42:38Z,2005-11-26,MIT-CSAIL-TR-2006-002,http://hdl.handle.net/1721.1/30602,"We consider the non-uniform multicommodity buy-at-bulknetworkdesign problem. In this problem we are given a graph $G(V,E)$withtwo cost functions on the edges, a buy cost $b:E\longrightarrow \RR^+$and a rent cost$r:E\longrightarrow\RR^+$, and a set of source-sink pairs$s_i,t_i\in V$ ($1\leq i\leq \alpha$)with each pair $i$ having a positivedemand $\delta_i$. Our goal is to designa minimum cost network $G(V,E')$such that for every $1\leq i\leq\alpha$,  $s_i$ and $t_i$ are in thesameconnected component in $G(V,E')$. Thetotal cost of $G(V,E')$ is the sum ofbuy costs of the edges in $E'$plus sum of total demand going through everyedge in $E'$ times therent cost of that edge. Since the costs of differentedges can bedifferent, we say that the problem is non-uniform. Thefirstnon-trivial approximation algorithm for this problem is due toCharikarand Karagiozova (STOC' 05) whose algorithm has anapproximation guarantee of$\exp(O(\sqrt{\log n\log\log n}))$,when all $\delta_i=1$ and$\exp(O(\sqrt{\log N\log\log N}))$ for the generaldemand case where $N$ isthe sum of all demands. We improve upon this result, bypresenting the firstpolylogarithmic (specifically, $O(\log^4 n)$ for unit demandsand $O(\log^4N)$ for the general demands)approximation for this problem. The algorithmrelies on a recent result\cite{HKS1} for the buy-at-bulk $k$-Steiner treeproblem.",16 p.; 19386222 bytes; 818306 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Polylogarithmic Approximation Algorithm for Non-Uniform Multicommodity Buy-at-Bulk,,Erik Demaine
"Ajmani, Sameer",Programming Methodology,2005-12-22T02:42:02Z,2005-12-22T02:42:02Z,2005-11-30,MIT-CSAIL-TR-2005-078; MIT-LCS-TR-1012,http://hdl.handle.net/1721.1/30589,"Upgrading the software of long-lived, highly-available distributed systems is difficult. It is not possible to upgrade all the nodes in a system at once, since some nodes may be unavailable and halting the system for an upgrade is unacceptable. Instead, upgrades may happen gradually, and there may be long periods of time when different nodes are running different software versions and need to communicate using incompatible protocols. We present a methodology and infrastructure that address these challenges and make it possible to upgrade distributed systems automatically while limiting service disruption.Our methodology defines how to enable nodes to interoperate across versions, how to preserve the state of a system across upgrades, and how to schedule an upgrade so as to limit service disruption. The approach is modular: defining an upgrade requires understanding only the new software and the version it replaces.The upgrade infrastructure is a generic platform for distributing and installing software while enabling nodes to interoperate across versions. The infrastructure requires no access to the system source code and is transparent: node software is unaware that different versions even exist. We have implemented a prototype of the infrastructure called Upstart that intercepts socket communication using a dynamically-linked C++ library. Experiments show that Upstart has low overhead and works well for both local-area and Internet systems.",164 p.; 135376801 bytes; 5539474 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Automatic Software Upgrades for Distributed Systems,,
