dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.title,dc.description,dc.subject,dc.identifier.citation,dc.contributor,dc.rights,dc.rights.uri,dc.date.updated,dc.relation
Hal Abelson,"Ehrmann, Stephen C.; Gilbert, Steven W.; McMartin, Flora",iCampus,2007-08-23T14:41:46Z,2007-08-23T14:41:46Z,2007-08-20,,http://hdl.handle.net/1721.1/38482,"Initiated in 1999, iCampus is a research collaboration between Microsoft Research and MIT whose goal is to create and demonstrate technologies with the potential for revolutionary change throughout the university curriculum.” The program was made possible by a $25 million research grant from Microsoft to MIT, and involves extensive collaboration between MIT and Microsoft staff.<p />This assessment study by the TLT Group addresses the question: The TLT Group has been asked, “In light of the experience of iCampus, especially those projects selected by MIT and Microsoft for close study, what can be learned about priorities for educational technology initiatives in the future and about how the spread of such innovations can be more effectively supported?”<p />The major conclusions are that the five projects studied improved important elements of an MIT education by making learning more authentic, active, collaborative, and feedback-rich.  Nevertheless, wider adoption beyond MIT was extremely difficult to achieve, largely due to structure issues in universities that make it difficult for educational technology to spread beyond the initial innovators, even to other departments within the same institution.  The report includes recommendations for universities, external sponsors, and for MIT in particular, about steps to take to achieve more effective dissemination.",149 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Factors Affecting the Adoption of Faculty-Developed Academic Software: A Study of Five iCampus Projects,,educational technology; educational assessment,,,,,,
Gerald Sussman,"Beal, Jacob",Mathematics and Computation,2007-08-27T14:21:47Z,2007-08-27T14:21:47Z,2007-08-23,MIT-CSAIL-TR-2007-042,http://hdl.handle.net/1721.1/38483,"Human intelligence is a product of cooperation among many different specialists.  Much of this cooperation must be learned, but we do not yet have a mechanism that explains how this might happen for the ""high-level"" agile cooperation that permeates our daily lives.I propose that the various specialists learn to cooperate by learning to communicate, basing this proposal on the phenomenon of ""communication bootstrapping,"" in which shared experiences form a basis for agreement on a system of signals.  In this dissertation, I lay out a roadmap for investigating this hypothesis, identifying problems that must be overcome in order to understand the capabilities of communication bootstrapping and in order to test whether it is exploited by human intelligence.I then demonstrate progress along the course of investigation laid out in my roadmap:* I establish a measure of ""developmental cost"" that allows me to eliminate many possible designs* I develop a method of engineering devices for use in models of intelligence, including characterizing their behavior under a wide variety of conditions and compensating for their misbehavior using ""failure simplification.""* I develop mechanisms that reliably produce communication bootstrapping such that it can be used to connect specialists in an engineered system.* I construct a demonstration system including a simulated world and pair of observers that learn world dynamics via communication bootstrapping.",218 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Learning by Learning To Communicate,PhD thesis,artificial intelligence; cognitive science,,,,,,
Brian Williams,"Dong, Shuonan",Model-based Embedded and Robotic Systems,2018-01-30T23:47:22Z,2018-01-30T23:47:22Z,2007-08-23,,http://hdl.handle.net/1721.1/113368,"This thesis desires to enable a new kind of interaction between humans and computational agents, such as robots or computers, by allowing the agent to anticipate and adapt to human intent. In the future, more robots may be deployed in situations that require collaboration with humans, such as scientific exploration, search and rescue, hospital assistance, and even domestic care. These situations require robots to work together with humans, as part of a team, rather than as a stand-alone tool. The intent recognition capability is necessary for computational agents to play a more collaborative role in human-robot interactions, moving beyond the standard master-slave relationship of humans and computers today. We provide an innovative capability for recognizing human intent, through statistical plan learning and online recognition. We approach the plan learning problem by employing unsupervised learning to automatically determine the activities in a plan based on training data. The plan activities are described by a mixture of multivariate probability densities. The number of distributions in the mixture used to describe the data is assumed to be given. The training data trajectories are fed again through the activities' density distributions to determine each possible sequence of activities that make up a plan. These activity sequences are then summarized with temporal information in a temporal plan network, which consists of a network of all possible plans. Our approach to plan recognition begins with formulating the temporal plan network as a hidden Markov model. Next, we determine the most likely path using the Viterbi algorithm. Finally, we refer back to the temporal plan network to obtainpredicted future activities. Our research presents several innovations: First, we introduce a modified representation of temporal plan networks that incorporates probabilistic information into the state space and temporal representations. Second, we learn plans from actual data, such that the notion of an activity is not arbitrarily or manually defined, but is determined by the characteristics of the data. Third, we develop a recognition algorithm that can perform recognition continuously by making probabilistic updates. Finally, our recognizer not only identifies previously executed activities, but also predicts future activities based on the plan network. We demonstrate the capabilities of our algorithms on motion capture data. Our results show that the plan learning algorithm is able to generate reasonable temporal plan networks, depending on the dimensions of the training data and the recognition resolution used. The plan recognition algorithm is also successful in recognizing the correct activity sequences in the temporal plan network corresponding to the observed test data.",129 p.,MIT-CSAIL-TR-2018-008,Unsupervised Learning and Recognition of Physical Activity Plans,SM thesis,,,,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,http://creativecommons.org/licenses/by-nc-nd/4.0/,2018-01-30T23:47:22Z,
Gerald Sussman,"Beal, Jacob; Bachrach, Jonathan; Tobenkin, Mark",Mathematics and Computation,2007-08-27T14:23:35Z,2007-08-27T14:23:35Z,2007-08-24,MIT-CSAIL-TR-2007-044,http://hdl.handle.net/1721.1/38484,"Long-lived sensor network applications must be able to self-repair and adapt to changing demands. We introduce a new approach for doing so: Constraint and Restoring Force. CRF is a physics-inspired framework for computing scalar fields across a sensor network with occasional changes. We illustrate CRF’s usefulness by applying it to gradients, a common building block for sensor network systems. The resulting algorithm, CRF-Gradient, determines locally when to self-repair and when to stop and save energy. CRF-Gradient is self-stabilizing, converges in O(diameter) time, and has been verified experimentally in simulation and on a network of Mica2 motes. Finally we show how CRF can be applied to other algorithms as well, such as the calculation of probability fields.",12 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Constraint and Restoring Force,,amorphous computing; spatial computing; Proto,,,,,,
Robert Morris,"Brodsky, Micah Z. (Micah Zev); Krohn, Maxwell; Morris, Robert; Walfish, Michael; Yip, Alexander",Parallel and Distributed Operating Systems,2007-08-27T14:25:21Z,2007-08-27T14:25:21Z,2007-08-24,MIT-CSAIL-TR-2007-043,http://hdl.handle.net/1721.1/38485,"Today's Web is built upon a particular symbiotic relationship betweensites and users: the sites invest capital to create and market a setof features, and users gain access to the sites often in exchange fortheir data (e.g., photos, personal information, creative musings,etc.).  This paper imagines a very different Web ecosystem, in whichusers retain control of their data and developers can justify theirexistence without hoarding user data.",6 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,World Wide Web Without Walls,,secure web services; web platforms; coderank; code integrity; difc; distributed information flow control,,,,,,
Dina Katabi,"Katti, Sachin; Katabi, Dina",Networks & Mobile Systems,2007-09-06T15:41:48Z,2007-09-06T15:41:48Z,2007-09-04,MIT-CSAIL-TR-2007-046,http://hdl.handle.net/1721.1/38871,"The traditional contract between the network and the lower layers states that the network does routing and the lower layers deliver correct packets. In a wireless network, however, different nodes may hear most bits in a transmission, yet none of them receives the whole packet uncorrupted. The current approach imposes fatesharing on the bits, dropping a whole packet because of a few incorrect bits. In contrast, this paper proposes MIXIT, a new architecture that performs opportunistic routing on groups of correctly received symbols.  We show using simulations driven with Software Radios measurements that MIXIT provides $4$x throughput improvement over state-of-the-art opportunistic routing.",6 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,MIXIT: The Network Meets the Wireless Channel,,Network Coding; Opportunistic Routing; Co-operative Diversity,,,,,,
Michael Ernst,"Papi, Matthew M.; Ali, Mahmood; Correa Jr., Telmo Luis; Perkins, Jeff H.; Ernst, Michael D.",Program Analysis,2007-09-20T19:21:48Z,2007-09-20T19:21:48Z,2007-09-17,MIT-CSAIL-TR-2007-047,http://hdl.handle.net/1721.1/38878,"We have created a framework for adding custom type qualifiers to the Javalanguage in a backward-compatible way.  The type system designer definesthe qualifiers and creates a compiler plug-in that enforces theirsemantics.  Programmers can write the type qualifiers in their programs andbe informed of errors or assured that the program is free of those errors.The system builds on existing Java tools and APIs.In order to evaluate our framework, we have written four type-checkersusing the framework:  for a non-null type system that can detect andprevent null pointer errors; for an interned type system that can detectand prevent equality-checking errors; for a reference immutability typesystem, Javari, that can detect and prevent mutation errors; and for areference and object immutability type system, IGJ, that can detect andprevent even more mutation errors.  We have conducted case studies usingeach checker to find real errors in existing software.  These case studiesdemonstrate that the checkers and the framework are practical and useful.",10 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Pluggable type-checking for custom type qualifiers in Java,,,,,,,,
Hal Abelson,"Ehrmann, Stephen C.; Gilbert, Steven W.; McMartin, Flora; Abelson, Harold; Long, Philip D.",iCampus,2007-08-27T19:01:47Z,2007-08-27T19:01:47Z,2007-10-20,MIT-CSAIL-TR-2007-045,http://hdl.handle.net/1721.1/38487,"Instruction in higher education must adapt more rapidly to: changes in workforce needs, global issues, advances in disciplines, and resource constraints.  The pace of such improvement depends on the speed with which new ideas and materials are adopted across institutions. In 1999 Microsoft pledged $25 million and staff support for iCampus, a seven-year MIT project to develop pioneering uses of educational technology. The TLT Group studied five iCampus projects in order to identify factors affecting institutionalization and widespread dissemination. Among the factors impeding adoption: lack of rewards and support for faculty to adopt innovations; faculty isolation; and a lack of attention to adoption issues among projects selected for funding. The study made recommendations for universities, foundations, government agencies and corporations: 1) continue making education more authentic, active, collaborative, and feedback-rich; 2) create demand to adopt ideas and materials from other sources by encouraging all faculty members to improve and document learning in their programs, year after year; 3) nurture coalitions for instructional improvement, across and within institutions; 4) create more effective higher education – corporate alliances; and 5) improve institutional services to support faculty in educational design, software development, assessment methods, formative evaluation, and/or in sharing ideas with others who teach comparable courses.",6 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Factors Affecting the Adoption of Faculty-Developed Academic Software: A Study of Five iCampus Projects,,educational technology; educational innovation,37th ASEE/IEEE Frontiers in Education Conference,,,,,
Boris Katz,"Radul, Alexey",Infolab,2007-12-19T19:15:14Z,2007-12-19T19:15:14Z,2007-10-22,MIT-CSAIL-TR-2007-059,http://hdl.handle.net/1721.1/39831,"Reasoning with probabilistic models is a widespread andsuccessful technique in areas ranging from computer vision, to naturallanguage processing, to bioinformatics. Currently, these reasoningsystems are either coded from scratch in general-purpose languages oruse formalisms such as Bayesian networks that have limited expressivepower. In both cases, the resulting systems are difficult to modify,maintain, compose, and interoperate with. This work presents ProbabilisticScheme, an embedding of probabilistic computation into Scheme. Thisgives programmers an expressive language for implementing modularprobabilistic models that integrate naturally with the rest of Scheme.",9 p.,,Report on the Probabilistic Language Scheme,,probability,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; 
Martin Rinard,"Lam, Patrick; Zee, Karen; Kuncak, Viktor; Rinard, Martin",Computer Architecture,2007-11-02T18:45:31Z,2007-11-02T18:45:31Z,2007-10-31,MIT-CSAIL-TR-2007-049,http://hdl.handle.net/1721.1/39419,"Typestate systems allow the type of an object to change during its lifetime in the computation. Unlike standard type systems, they can enforce safety properties that depend on changing object states. We present a new, generalized formulation of typestate that models the typestate of an object through membership in abstract sets. This abstract set formulation enables developers to reason about cardinalities of sets, and in particular to state and verify the condition that certain sets are empty. We support hierarchical typestate classifications by specifying subset and disjointness properties over the typestate sets.We present our formulation of typestate in the context of the Hob program specification and verification framework. The Hob framework allows the combination of typestate analysis with powerful independently developed analyses such as shape analyses or theorem proving techniques. We implemented our analysis and annotated several programs (75-2500 lines of code) with set specifications. Our implementation includes several optimizations that improve the scalability of the analysis and a novel loop invariant inferencealgorithm that eliminates the need to specify loop invariants. We present experimental data demonstrating the effectiveness of our techniques.",30 p.,,Set Interfaces for Generalized Typestate and Data Structure Consistency Verification,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; 
