dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation,dc.title,dc.description,dc.relation.ispartofseries,dc.subject,dc.relation.replaces,dc.relation.uri,dc.identifier.citation
Gerald Sussman,"Beal, Jacob",Mathematics and Computation,2007-04-12T20:21:45Z,2007-04-12T20:21:45Z,2007-04-12,,http://hdl.handle.net/1721.1/37152,"Principles for Engineered EmergenceIt is difficult to establish engineering control over the behavior ofaggregates of unreliable devices with complicated interactionpatterns.  I take a linguistic view of this problem, searching formechanisms that simplify the composition and abstraction ofcomplicated behaviors.  From my work on various problems of aggregatecontrol in cognitive architectures and spatial computing, I havenoticed common themes in mechanisms that solve them.  From these, Iextract four principles which seem to help in engineering robustaggregate behavior---self-scaling, sparseness, gradual degradation,and failure simplification---and give examples of how they can beexploited.",28 p.,,Principles for Engineered Emergence (slides),,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,artificial intelligence; amorphous computing,,,
William Freeman,"Torralba, Antonio; Fergus, Rob; Freeman, William T.",Vision,2007-04-24T14:01:48Z,2007-04-24T14:01:48Z,2007-04-23,MIT-CSAIL-TR-2007-024,http://hdl.handle.net/1721.1/37291,"The human visual system is remarkably tolerant to degradations in image resolution: in a scene recognition task, human performance is similar whether $32 \times 32$ color images or multi-mega pixel images are used. With small images, even object recognition and segmentation is performed robustly by the visual system, despite the object being unrecognizable in isolation. Motivated by these observations, we explore the space of 32x32 images using a database of 10^8 32x32 color images gathered from the Internet using image search engines. Each image is loosely labeled with one of the 70,399 non-abstract nouns in English, as  listed in the Wordnet lexical database. Hence the image database represents a dense sampling of all object categories and scenes. With this dataset, we use nearest neighbor methods to perform objectrecognition across the 10^8 images.",9 p.,,Tiny images,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Recognition; Nearest neighbors methods; Image databases,,,
Tomaso Poggio,"Rifkin, Ryan M.; Lippert, Ross A.",Center for Biological and Computational Learning (CBCL),2007-05-01T16:01:50Z,2007-05-01T16:01:50Z,2007-05-01,MIT-CSAIL-TR-2007-025; CBCL-268,http://hdl.handle.net/1721.1/37318,"This is a collection of information about regularized least squares (RLS). The facts here are not “new results”, but we have not seen them usefully collected together before. A key goal of this work is to demonstrate that with RLS, we get certain things “for free”: if we can solve a single supervised RLS problem, we can search for a good regularization parameter lambda at essentially no additional cost.The discussion in this paper applies to “dense” regularized least squares, where we work with matrix factorizations of the data or kernel matrix. It is also possible to work with iterative methods such as conjugate gradient, and this is frequently the method of choice for large data sets in high dimensions with very few nonzero dimensions per point, such as text classifciation tasks. The results discussed here do not apply to iterative methods, which have different design tradeoffs.We present the results in greater detail than strictly necessary, erring on the side of showing our work. We hope that this will be useful to people trying to learn more about linear algebra manipulations in the machine learning context.",8 p.,,Notes on Regularized Least Squares,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"machine learning, linear algebra",,,
Gerald Sussman,"Beal, Jacob",Mathematics and Computation,2007-05-15T17:41:55Z,2007-05-15T17:41:55Z,2007-05-15,MIT-CSAIL-TR-2007-026,http://hdl.handle.net/1721.1/37336,"We can evaluate models of natural intelligence, as well as theirindividual components, by using a model of hardware and developmentcosts, ignoring almost all the details of biology.  The basic argumentis that neither the gross anatomy of the brain nor the behavior ofindividual cells nor the behavior of the whole poses sufficientconstraint on the algorithms that might run within the brain, but thatthe process of engineering an intelligence under this cost model posessimilar challenges to those faced by a human growing from a singlecell to an adult.  This will allow us to explore architectural ideasfreely, yet retain confidence that when a system works, the principlesallowing it to work are likely to be similar to those that allow humanintelligence to work.",4 p.,,Developmental Cost for Models of Intelligence,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,cognitive architectures; artificial intelligence,,,AAAI 2007 Workshop on Evaluating Architectures for Intelligence
Hal Abelson,"Abelson, Hal",Mathematics and Computation,2007-05-21T12:41:49Z,2007-05-21T12:41:49Z,2007-05-19,,http://hdl.handle.net/1721.1/37585,"This paper traces the genesis of the MIT OpenCourseWare project from its initial strategic precursors in 1999 and 2000, through its launch in 2001 and its subsequent evolution.  The story told here illuminates the interplay among institutional leadership, and strategic planning, and with university culture in launching major educational technology enterprises.  It also shows how initiatives can evolve in unexpected ways, and can even surpass their initial goals.  The paper concludes with an overview of challenges facing OpenCourseWare in moving from the end of its production ramp-up and towards sustainability.",16 p.,,The Creation of OpenCourseWare at MIT,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"educational technology, open educational resources",,,J. Science Education and Technology
Dina Katabi,"Woo, Grace Rusi; Kheradpour, Pouya; Katabi, Dina",Networks & Mobile Systems,2007-05-29T18:21:50Z,2007-05-29T18:21:50Z,2007-05-29,MIT-CSAIL-TR-2007-027,http://hdl.handle.net/1721.1/37587,"Wireless networks can suffer from high packet loss rates.  This paper shows that the loss rate can be significantly reduced by exposing information readily available at the physical layer. We make the physical layer convey an estimate of its confidence that a particular bit is ``0'' or ``1'' to the higher layers.  When used with cooperative design, this information dramatically improves the throughput of the wireless network. Access points that hear the same transmission combine their information to correct bits in a packet with minimal overhead. Similarly, a receiver may combine multiple erroneous transmissions to recover a correct packet.  We analytically prove that our approach minimizes the errors in packet recovery.  We also experimentally demonstrate its benefits using a testbed of GNU software radios. The results show that our approach can reduce loss rate by up to 10x in comparison with the current approach, and significantly outperforms prior cooperation proposals.",12 p.,,Beyond the Bits: Cooperative Packet Recovery Using Physical Layer Information,PhD thesis,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,,,
Howard Shrobe,"Shrobe, Howard; Knight, Thomas; Hon, Andre de",AIRE,2007-05-30T18:01:22Z,2007-05-30T18:01:22Z,2007-05-30,MIT-CSAIL-TR-2007-028,http://hdl.handle.net/1721.1/37589,"The last 20 years have led to unprecedented improvements in chipdensity and system performance fueled mainly by Moore's Law.  Duringthe same time, system and application software have bloated, leadingto unmanageable complexity, vulnerability to attack, rigidity and lackof robustness and accountability. These problems arise from the factthat all key elements of the computational environment, from hardwarethrough system software and middleware to application code regard theworld as consisting of unconstrained ``raw seething bits''.  No elementof the entire stack is responsible for enforcing over-archingconventions of memory structuring or access control.  Outsiders mayeasily penetrate the system by exploiting vulnerabilities (e.g. bufferoverflows) arising from this lack of basic constraints. Attacks arenot easily contained, whether they originate from the clever outsiderwho penetrates the defenses or from the insider who exploits existingprivileges.  Finally, because there are no facilities for tracing theprovenance of data, even when an attack is detected, it is difficultif not impossible to tell which data are traceable to the attack andwhat data may still be trusted. We have abundant computational resources allowing us to fix thesecritical problems using a combination of hardware, system software,and programming language technology: In this report, we describe theTIARAproject, which is using these resources to design a newcomputer system thatis less vulnerable, more tolerant of intrusions, capable of recoveryfrom attacks, and accountable for their actions.  TIARA provides thesecapabilities without significant impact on overall system performance.  Itachieves these goals through the judicious use of a modest amountof extra, but reasonably generable purpose, hardware that is dedicatedto tracking the provenance of data at a very fine grained level, toenforcing access control policies, and to constructing a coherentobject-oriented model of memory.  This hardware runs in parallel withthe main data-paths of the system and operates on a set of extra bitstagging each word with data-type, bounds, access control andprovenance information. Operations that violate the intendedinvariants are trapped, while normal results are tagged withinformation derived from the tags of the input operands.This hardware level provides fine-grained support for a series ofsoftware layers that enable a variety of comprehensive access controlpolicies, self-adaptive computing, and fine-grained recoveryprocessing.  The first of these software layers establishes aconsistent object-oriented level of computing while higher layersestablish wrappers that may not be bypassed, access controls, dataprovenance tracking.  At the highest level we create the ``planlevel'' of computing in which code is executed in parallel with anabstract model (or executable specification) of the system that checkswhether the code behaves as intended.",18 p.,,"TIARA:  Trust Management, Intrusion-tolerance, Accountability, and Reconstitution Architecture",,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Security; Intrusion Tolerance; Tagged Architecture,,,
David Clark,"Lee, George J.",Advanced Network Architecture,2007-06-05T14:21:56Z,2007-06-05T14:21:56Z,2007-06-04,MIT-CSAIL-TR-2007-031,http://hdl.handle.net/1721.1/37595,"This thesis presents a new approach to root cause localization and fault diagnosis in the Internet based on a Common Architecture for Probabilistic Reasoning in the Internet (CAPRI) in which distributed, heterogeneous diagnostic agents efficiently conduct diagnostic tests and communicate observations, beliefs, and knowledge to probabilistically infer the cause of network failures.  Unlike previous systems that can only diagnose a limited set of network component failures using a limited set of diagnostic tests, CAPRI provides a common, extensible architecture for distributed diagnosis that allows experts to improve the system by adding new diagnostic tests and new dependency knowledge.To support distributed diagnosis using new tests and knowledge, CAPRI must overcome several challenges including the extensible representation and communication of diagnostic information, the description of diagnostic agent capabilities, and efficient distributed inference.  Furthermore, the architecture must scale to support diagnosis of a large number of failures using many diagnostic agents.  To address these challenges, this thesis presents a probabilistic approach to diagnosis based on an extensible, distributed component ontology to support the definition of new classes of components and diagnostic tests; a service description language for describing new diagnostic capabilities in terms of their inputs and outputs; and a message processing procedure for dynamically incorporating new information from other agents, selecting diagnostic actions, and inferring a diagnosis using Bayesian inference and belief propagation.To demonstrate the ability of CAPRI to support distributed diagnosis of real-world failures, I implemented and deployed a prototype network of agents on Planetlab for diagnosing HTTP connection failures.  Approximately 10,000 user agents and 40 distributed regional and specialist agents on Planetlab collect information from over 10,000 users and diagnose over 140,000 failures using a wide range of active and passive tests, including DNS lookup tests, connectivity probes, Rockettrace measurements, and user connection histories.  I show how to improve accuracy and cost by learning new dependency knowledge and introducing new diagnostic agents.  I also show that agents can manage the cost of diagnosing many similar failures by aggregating related requests and caching observations and beliefs.",222 p.,,CAPRI: A Common Architecture for Distributed Probabilistic Internet Fault Diagnosis,PhD thesis,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,,,
Una-May O'Reilly,"Salameh, Lynne Rafik",Humanoid Robotics,2007-06-06T12:21:53Z,2007-06-06T12:21:53Z,2007-06-05,MIT-CSAIL-TR-2007-032,http://hdl.handle.net/1721.1/37597,"Analog designers are interested in optimization tools which automate the process of circuit sizing. Geometric programming, which uses posynomial models of MOSFET parameters, represents one such tool. Genetic algorithms have been used to evolve posynomial models for geometric programs, with a reasonable mean error when modeling MOSFET parameters. By visualizing MOSFET data using two dimensional plots, this thesis investigates the behavior of various MOSFET small and large signal parameters and consequently proposes a lower bound on the maximum error, which a posynomial cannot improve upon. It then investigates various error metrics which can be used to balance the mean and maximum errors generated by posynomial MOSFET models. Finally, the thesis uses empirical data to verify the existence of the lower bound, and compares the maximum error from various parameters modeled by the genetic algorithm and by monomial fitting. It concludes that posynomial MOSFET models suffer from inherent inaccuracies. Additionally, although genetic algorithms improve on the maximum model error, the improvement, in general, does not vastly surpass results obtained through monomial fitting, which is a less computationally intensive method. Genetic algorithms are hence best used when modeling partially convex MOSFET parameters, such as r0 .",90 p,,An Analysis of Posynomial MOSFET Models Using Genetic Algorithms and Visualization,MEng thesis,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,limiations; convex optimization,,,
Peter Szolovits,"Perry, John C.",Clinical Decision-Making,2007-06-13T11:01:54Z,2007-06-13T11:01:54Z,2007-06-12,MIT-CSAIL-TR-2007-033,http://hdl.handle.net/1721.1/37599,"A longstanding controversy in philosophy is whether decision-making isgoverned by reason or emotion.  I study the role of physiologicalresponses in the decision-making process within the realm of financialmarkets, where both the environment and decisions---trades---aremeasurable.In an experiment performed on a regional stock exchange, mycollaborators and I record six different types of physiologicalsignals---skin conductance/galvanic skin response (SCR/GSR), bloodvolume pulse (BVP), electrocardiogram (ECG),electroencephalogram (EEG), electromyogram (EMG), andtemperature (Temp)---of monetarily motivated professionals making highpressure decisions.  From these signals I estimate underlyingphysiological features, such as heart rate,changes in body temperature, and amplitude of SCR, which are proxy foraffect.  Simultaneously, we record real-time market information whichthe specialists process and which serves as the basis for theirdecisions, as well as recording their decisions and outcomes.In a sample of eight market-makers, I find statistically significantdifferences in mean skin conductance response and cardiovascularvariables during transient market events relative to no-market-eventcontrol intervals.  In addition, I find a strong relationship betweentrading decisions and physiological responses.  Using regression, Idemonstrate that heart rate variability can statisticallysignificantly improve predictions of trading decisions, although notby much.",215 p.,,The Psychophysiology of Risk Processing and Decision Making at a Regional Stock Exchange,PhD thesis,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,,,
