dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.language.rfc3066,dspace.orderedauthors,dc.rights,dc.rights.uri,dc.description,dc.description.degree,dc.contributor,dc.description.sponsorship,dc.identifier.citation,dc.publisher
Martin Rinard,"Long, Fan; Ganesh, Vijay; Carbin, Micheal; Sidiroglou, Stelios; Rinard, Martin",Computer Architecture,2011-10-03T21:00:06Z,2011-10-03T21:00:06Z,2011-10-03,http://hdl.handle.net/1721.1/66170,"We present a novel technique, automatic input rectification, and a prototype implementation called SOAP. SOAP learns a set of constraints characterizing typical inputs that an application is highly likely to process correctly. When given an atypical input that does not satisfy these constraints, SOAP automatically rectifies the input (i.e., changes the input so that is satisfies the learned constraints). The goal is to automatically convert potentially dangerous inputs into typical inputs that the program is highly likely to process correctly. Our experimental results show that, for a set of benchmark applications (namely, Google Picasa, ImageMagick, VLC, Swfdec, and Dillo), this approach effectively converts malicious inputs (which successfully exploit vulnerabilities in the application) into benign inputs that the application processes correctly. Moreover, a manual code analysis shows that, if an input does satisfy the learned constraints, it is incapable of exploiting these vulnerabilities. We also present the results of a user study designed to evaluate the subjective perceptual quality of outputs from benign but atypical inputs that have been automatically rectified by SOAP to conform to the learned constraints. Specifically, we obtained benign inputs that violate learned constraints, used our input rectifier to obtain rectified inputs, then paid Amazon Mechanical Turk users to provide their subjective qualitative perception of the difference between the outputs from the original and rectified inputs. The results indicate that rectification can often preserve much, and in many cases all, of the desirable data in the original input.",13 p.,MIT-CSAIL-TR-2011-044,,Automatic Input Rectification,,,,,,,,,,MIT CSAIL
Nancy Lynch,"Ghaffari, Mohsen; Lynch, Nancy; Sastry, Srikanth",Theory of Computation,2011-10-12T18:30:07Z,2011-10-12T18:30:07Z,2011-10-12,http://hdl.handle.net/1721.1/66224,"We consider the problem of leader election (LE) in single-hop radio networks with synchronized time slots for transmitting and receiving messages. We assume that the actual number n of processes is unknown, while the size u of the ID space is known, but is possibly much larger. We consider two types of collision detection: strong (SCD), whereby all processes detect collisions, and weak (WCD), whereby only non-transmitting processes detect collisions. We introduce loneliness detection (LD) as a key subproblem for solving LE in WCD systems. LD informs all processes whether the system contains exactly one process or more than one. We show that LD captures the difference in power between SCD and WCD, by providing an implementation of SCD over WCD and LD. We present two algorithms that solve deterministic and probabilistic LD in WCD systems with time costs of O(log(u/n)) and O(min(log(u/n), (log(1/epsilon)/n)), respectively, where epsilon is the error probability. We also provide matching lower bounds. We present two algorithms that solve deterministic and probabilistic LE in SCD systems with time costs of O(log u) and O(min(log u, loglog n + log(1/epsilon))), respectively, where epsilon is the error probability. We provide matching lower bounds.",37 p.,MIT-CSAIL-TR-2011-045,wireless networks,Leader Election Using Loneliness Detection,,,,,,,,"This work partially supported by the NSF under award numbers CCF-0937274, and CCF-0726514, and by AFOSR under award number FA9550-08-1-0159. This work is also partially supported by the Center for Science of Information (CSoI), an NSF Science and Technology Center, under grant agreement CCF-0939370.",,
Anant Agarwal,"Hoffmann, Henry; Maggio, Martina; Santambrogio, Marco D.; Leva, Alberto; Agarwal, Anant",Computer Architecture,2011-11-14T21:30:26Z,2011-11-14T21:30:26Z,2011-11-07,http://hdl.handle.net/1721.1/67020,"Modern systems require applications to balance competing goals, e.g. achieving high performance and low power. Achieving this balance places an unrealistic burden on application programmers who must understand the power and performance implications of a variety of application and system actions (e.g. changing algorithms or allocating cores). To address this problem, we propose the Self-aware Computing framework, or SEEC. SEEC automatically and dynamically schedules actions to meet application specified goals. While other self-aware implementations have been proposed, SEEC is uniquely distinguished by its decoupled approach, which allows application and systems programmers to separately specify observations and actions, according to their expertise. SEEC s runtime decision engine observes the system and schedules actions automatically, reducing programmer burden. This general and extensible decision engine employs both control theory and machine learning to reason about previously unseen applications and actions while automatically adapting to changes in both application and system models. This paper describes the SEEC framework and evaluates it in several case studies. SEEC is used to build an adaptive system that optimizes performance per Watt for the PARSEC benchmarks on multiple machines, achieving results as least 1.65x better than a classical control system. Additional studies show how SEEC can learn optimal resource allocation online and respond to fluctuations in the underlying hardware while managing multiple applications.",12 p.,MIT-CSAIL-TR-2011-046,Adaptive computing; Self-optimizing systems; Self-adaptive computing; Autonomic Computing; Resource Allocation,SEEC: A General and Extensible Framework for Self-Aware Computing,en-US,,,,,,,,,
Martin Rinard,"Carbin, Michael; Kim, Deokhwan; Misailovic, Sasa; Rinard, Martin C.",Computer Architecture,2011-11-15T18:15:04Z,2011-11-15T18:15:04Z,2011-11-15,http://hdl.handle.net/1721.1/67031,"A number of approximate program transformations have recently emerged that enable transformed programs to trade accuracy of their results for increased performance by dynamically and nondeterministically modifying variables that control program execution. We call such transformed programs relaxed programs -- they have been extended with additional nondeterminism to relax their semantics and offer greater execution flexibility. We present programming language constructs for developing relaxed programs and proof rules for reasoning about properties of relaxed programs. Our proof rules enable programmers to directly specify and verify acceptability properties that characterize the desired correctness relationships between the values of variables in a program's original semantics (before transformation) and its relaxed semantics. Our proof rules also support the verification of safety properties (which characterize desirable properties involving values in individual executions). The rules are designed to support a reasoning approach in which the majority of the reasoning effort uses the original semantics. This effort is then reused to establish the desired properties of the program under the relaxed semantics. We have formalized the dynamic semantics of our target programming language and the proof rules in Coq, and verified that the proof rules are sound with respect to the dynamic semantics. Our Coq implementation enables developers to obtain fully machine checked verifications of their relaxed programs.",11 p.,MIT-CSAIL-TR-2011-050,,Reasoning about Relaxed Programs,,,,,,,,,,
Frédo Durand,"Aubry, Mathieu; Paris, Sylvain; Hasinoff, Samuel W.; Kautz, Jan; Durand, Frédo",Computer Graphics,2011-11-15T16:30:09Z,2011-11-15T16:30:09Z,2011-11-15,http://hdl.handle.net/1721.1/67030,"Multi-scale manipulations are central to image editing but they are also prone to halos. Achieving artifact-free results requires sophisticated edgeaware techniques and careful parameter tuning. These shortcomings were recently addressed by the local Laplacian filters, which can achieve a broad range of effects using standard Laplacian pyramids. However, these filters are slow to evaluate and their relationship to other approaches is unclear. In this paper, we show that they are closely related to anisotropic diffusion and to bilateral filtering. Our study also leads to a variant of the bilateral filter that produces cleaner edges while retaining its speed. Building upon this result, we describe an acceleration scheme for local Laplacian filters that yields speed-ups on the order of 50x. Finally, we demonstrate how to use local Laplacian filters to alter the distribution of gradients in an image. We illustrate this property with a robust algorithm for photographic style transfer.",11 p.,MIT-CSAIL-TR-2011-049,"Computational photography, photoediting, image processing, Laplacian pyramid, bilateral filter, photographic style transfer",Fast and Robust Pyramid-based Image Processing,en-US,"Aubry, Mathieu; Paris, Sylvain; Hasinoff, Samuel W.; Kautz, Jan; Durand, Frédo",,,,,,,,
Nickolai Zeldovich,"Metreveli, Zviad; Zeldovich, Nickolai; Kaashoek, M. Frans",Parallel and Distributed Operating Systems,2011-11-28T18:30:04Z,2011-11-28T18:30:04Z,2011-11-26,http://hdl.handle.net/1721.1/67296,"CPHash is a concurrent hash table for multicore processors. CPHash partitions its table across the caches of cores and uses message passing to transfer lookups/inserts to a partition. CPHash's message passing avoids the need for locks, pipelines batches of asynchronous messages, and packs multiple messages into a single cache line transfer. Experiments on a 80-core machine with 2 hardware threads per core show that CPHash has ~1.6x higher throughput than a hash table implemented using fine-grained locks. An analysis shows that CPHash wins because it experiences fewer cache misses and its cache misses are less expensive, because of less contention for the on-chip interconnect and DRAM. CPServer, a key/value cache server using CPHash, achieves ~5% higher throughput than a key/value cache server that uses a hash table with fine-grained locks, but both achieve better throughput and scalability than memcached. Finally, the throughput of CPHash and CPServer scales near-linearly with the number of cores.",10 p.,MIT-CSAIL-TR-2011-051,,CPHash: A Cache-Partitioned Hash Table,en-US,,,,,,,This work was partially supported by Quanta Computer and by NSF award 915164.,,
,"Durand, Frédo",Computer Graphics,2011-12-14T19:45:12Z,2011-12-14T19:45:12Z,2011-12-14,http://hdl.handle.net/1721.1/67677,"The numerical calculation of integrals is central to many computer graphics algorithms such as Monte-Carlo Ray Tracing. We show that such methods can be studied using Fourier analysis. Numerical error is shown to correspond to aliasing and the link between properties of the sampling pattern and the integrand is studied. The approach also permits the unified study of image aliasing and numerical integration, by considering a multidimensional domain where some dimensions are integrated while others are sampled.",6 p.,MIT-CSAIL-TR-2011-052,Numerical Analysis; Integration; Fourier; Monte-Carlo; Aliasing; Rendering; Ray Tracing,A Frequency Analysis of Monte-Carlo and other Numerical Integration Schemes,en-US,,,,,,,,,
Nancy Lynch,"Censor-Hillel, Keren; Gilbert, Seth; Kuhn, Fabian; Lynch, Nancy; Newport, Calvin",Theory of Computation,2011-12-27T20:30:09Z,2011-12-27T20:30:09Z,2011-12-22,http://hdl.handle.net/1721.1/67885,"In this paper we study the problem of building a connected dominating set with constant degree (CCDS) in the dual graph radio network model.  This model includes two types of links:  reliable links, which
always deliver messages, and unreliable links, which sometimes fail to deliver messages.  Real networks compensate for this differing quality by deploying low-layer detection protocols to filter unreliable from reliable links.  With this in mind, we begin by presenting an algorithm that solves the CCDS problem in the dual graph model under the assumption that every process u is provided with a local ""link detector set"" consisting of every neighbor connected to u by a reliable link.  The algorithm solves the CCDS problem in O((Delta log2(n)/b) + log3(n)) rounds, with high probability, where Delta is the maximum degree in the reliable link graph, n is the network size, and b is an upper bound in bits on the message size.  The algorithm works by first building a Maximal Independent Set (MIS) in log3(n) time, and then leveraging the local topology knowledge to efficiently connect nearby MIS processes.  A natural follow up question is whether the link detector must be perfectly reliable to solve the CCDS problem.  To answer this question, we first describe an algorithm that builds a CCDS in O(Delta polylog(n)) time under the assumption of O(1) unreliable links included in each link detector set.  We then prove this algorithm to be (almost) tight by showing that the possible inclusion of only a single unreliable link in each process's local link detector set is sufficient to require Omega(Delta) rounds to solve the CCDS problem, regardless of message size.  We conclude by discussing how to apply our algorithm in the setting where the topology of reliable and unreliable links can change over time.",21 p.,MIT-CSAIL-TR-2011-053,,Structuring Unreliable Radio Networks,en-US,,,,,,,,,
Tomaso Poggio,"Tan, Cheston; Leibo, Joel Z; Poggio, Tomaso",Center for Biological and Computational Learning (CBCL),2012-06-21T19:45:06Z,2012-06-21T19:45:06Z,2012,http://hdl.handle.net/1721.1/71199,"In recent years, scientific and technological advances have produced artificial systems that have matched or surpassed human capabilities in narrow domains such as face detection and optical character recognition. However, the problem of producing truly intelligent machines still remains far from being solved. In this chapter, we first describe some of these recent advances, and then review one approach to moving beyond these limited successes---the neuromorphic approach of studying and reverse-engineering the networks of neurons in the human brain (specifically, the visual system). Finally, we discuss several possible future directions in the quest for visual intelligence.",15 p.,MIT-CSAIL-TR-2012-016; CBCL-309,Vision; Artificial intelligence,Throwing Down the Visual Intelligence Gauntlet,en-US,,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,,"This research was sponsored by grants from DARPA (IPTO and DSO), National Science Foundation (NSF-0640097, NSF-0827427), AFSOR-THRL (FA8650-05-C-7262). Additional support was provided by: Adobe, Honda Research Institute USA, King Abdullah University Science and Technology grant to B. DeVore, NEC, Sony and especially by the Eugene McDermott Foundation.","Machine Learning for Computer Vision (2012); eds: Cipolla R, Battiato S, Giovanni Maria F. Springer: Studies in Computational Intelligence Vol. 411.",
Frédo Durand,"Judd, Tilke; Durand, Frédo; Torralba, Antonio",Computer Graphics,2012-01-13T22:30:12Z,2012-01-13T22:30:12Z,2012-01-13,http://hdl.handle.net/1721.1/68590,"Many computational models of visual attention have been created from a wide variety of different approaches to predict where people look in images. Each model is usually introduced by demonstrating performances on new images, and it is hard to make immediate comparisons between models. To alleviate this problem, we propose a benchmark data set containing 300 natural images with eye tracking data from 39 observers to compare model performances. We calculate the performance of 10 models at predicting ground truth fixations using three different metrics. We provide a way for people to submit new models for evaluation online. We find that the Judd et al. and Graph-based visual saliency models perform best. In general, models with blurrier maps and models that include a center bias perform well. We add and optimize a blur and center bias for each model and show improvements. We compare performances to baseline models of chance, center and human performance. We show that human performance increases with the number of humans to a limit. We analyze the similarity of different models using multidimensional scaling and explore the relationship between model performance and fixation consistency. Finally, we offer observations about how to improve saliency models in the future.",22 p.,MIT-CSAIL-TR-2012-001,"fixation maps, saliency maps, vision",A Benchmark of Computational Models of Saliency to Predict Human Fixations,en-US,,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,,,,,
