dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.description.sponsorship,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.type,dc.description,dc.rights,dc.rights.uri,dc.subject,dc.publisher,dc.contributor.advisor,dc.contributor.other,dc.format.extent,dc.identifier.citation,dc.date.updated
"Sun, Jennifer J; Tjandrasuwita, Megan; Sehgal, Atharva; Solar-Lezama, Armando; Chaudhuri, Swarat; Yue, Yisong; Costilla Reyes, Omar",2022-10-12T01:58:33Z,2022-10-12T01:58:33Z,2022-10-12,https://hdl.handle.net/1721.1/145783,"Neurosymbolic Programming (NP) techniques have the potential to accelerate scientific discovery across fields. These models combine neural and symbolic components to learn complex patterns and representations from data, using high-level concepts or known constraints. As a result, NP techniques can interface with symbolic domain knowledge from scientists, such as prior knowledge and experimental context, to produce interpretable outputs. Here, we identify opportunities and challenges between current NP models and scientific workflows, with real-world examples from behavior analysis in science. We define concrete next steps to move the NP for science field forward, to enable its use broadly for workflows across the natural and social sciences.","This project was supported by the the National Science Foundation under Grant No. 1918839 ""Understanding the World Through Code"" http://www.neurosymbolic.org",en_US,,Neurosymbolic Programming for Science,Article,,,,programming languages; deep learning; science; domain knowledge,,,,,,
"Rivest, Ronald; Schiefelbein, M. Curran; Zissman, Marc A.; Bay, Jason; Bugnion, Edouard; Finnerty, Jill; Liccardi, Ilaria; Nelson, Brad; Norige, Adam S.; Shen, Emily H.; Wanger, Jenny; Yahalom, Raphael; Alekseyev, Jesslyn D.; Brubaker, Chad; Ferretti, Luca; Ishikawa, Charlie; Raykova, Mariana; Schlaman, Brendan; Schwartz, Robert X.; Sudduth, Emma; Tessaro, Stefano",2023-02-22T17:36:33Z,2023-02-22T17:36:33Z,2023-02-22,https://hdl.handle.net/1721.1/148149,"Private Automated Contact Tracing (PACT) was a collaborative team and effort formed during the beginning of the Coronavirus Disease 2019 (COVID-19) pandemic. PACT’s mission was to enhance contact tracing in pandemic response by designing exposure-detection functions in personal digital communication devices that have maximal public health utility while preserving privacy. PACT had four major lines of effort: proximity detection efficacy, privacy, public health integration, and public health efficacy. In support of these lines of effort, PACT executed several cross-layer activities that helped demonstrate public health efficacy. These included prototype development and  demonstrations; system analysis; data collection and experimentation; and large-scale deployment support. PACT convened two scientific workshops relating to privacy-preserving AEN: one virtual workshop in April 2020 and a second hybrid workshop in October 2021. This report is an outcome of the second workshop and serves as PACT’s final report. It seeks to explain and discuss the use of automated exposure notification during the COVID-19 pandemic and to provide some recommendations for those who may try to design and deploy similar technologies in future pandemics.","IBM Research, the U.S. Defense Advanced Research Projects Agency (DARPA), and the U.S. Centers for Disease Control and Prevention (CDC).",en_US,Lincoln Laboratory Technical Report;TR-1288,Automated Exposure Notification for COVID-19,Technical Report,The authors were among the 70+ in-person and virtual participants in the October 2021 ImPACT 2021 workshop. This final report has been heavily influenced by the discussion at that workshop.,,,COVID-19; exposure notification; contact tracing; digital health; public health; GAEN; privacy; secure multiparty computation; differential privacy; Bluetooth; BLE; SARS-CoV-2; pandemic; governance; adoption; trust; PACT; proximity; TCFTL; smartphone; AEN; impact,,,,,,
"Canas, Juan Sebastian; Gomez, Francisco; Costilla Reyes, Omar",2023-06-15T01:48:43Z,2023-06-15T01:48:43Z,2023-06-15,https://hdl.handle.net/1721.1/150908,"Clinical practice in psychiatry is burdened with the increased demand for healthcare services and the scarce resources available. New paradigms of health data powered with machine learning techniques could open the possibility to improve clinical workflow in critical stages of clinical assessment and treatment in psychiatry. 
In this work, we propose a machine learning system capable of predicting, detecting, and explaining individual changes in symptoms of patients with Schizophrenia by using behavioral digital phenotyping data. We forecast symptoms of patients with an error rate below 10%. 
The system detects decreases in symptoms using changepoint algorithms and uses counterfactual explanations as a recourse in a simulated continuous monitoring scenario in healthcare.  Overall, this study offers valuable insights into the performance and potential of counterfactual explanations, predictive models, and change-point detection within a simulated clinical workflow. These findings lay the foundation for further research to explore additional facets of the workflow, aiming to enhance its effectiveness and applicability in real-world healthcare settings. By leveraging these components, the goal is to develop an actionable, interpretable, and trustworthy integrative decision support system that combines real-time clinical assessments with sensor-based inputs.",National Science Foundation (NSF) under Grant No. 1918839,en_US,,Counterfactual Explanations and Predictive Models to Enhance Clinical Decision-Making in Schizophrenia using Digital Phenotyping,Article,,,,conterfactual; machine learning; digital phenotyping; interpretability; mental health,,,,,,
"Makatura, Liane; Foshey, Michael; Wang, Bohan; Hähnlein, Felix; Ma, Pingchuan; Deng, Bolei; Tjandrasuwita, Megan; Spielberg, Andrew; Owens, Crystal Elaine; Chen, Peter Yichen; Zhao, Allan; Zhu, Amy; Norton, Wil J; Gu, Edward; Jacob, Joshua; Li, Yifei; Schulz, Adriana; Matusik, Wojciech",2023-07-27T17:28:58Z,2023-07-27T17:28:58Z,2023-07-27,https://hdl.handle.net/1721.1/151174,,,en_US,,How Can Large Language Models Help Humans in Design And Manufacturing?,Article,,Attribution-NonCommercial-ShareAlike 3.0 United States,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,"Large Language Models, GPT-4, computational design, computational fabrication, CAD, CAM, design for manufacturing, simulation, inverse design",,,,,,
"Merrill, Kelsey; Newman, Zachary; Torres-Arias, Santiago; Sollins, Karen",2023-09-19T19:03:28Z,2023-09-19T19:03:28Z,2023-09-19,https://hdl.handle.net/1721.1/152179,"Software repositories, used for wide-scale open software distribu- tion, are a significant vector for security attacks. Software signing provides authenticity, mitigating many such attacks. Developer- managed signing keys pose usability challenges, but certificate- based systems introduce privacy problems. This work, Speranza, uses certificates to verify software authenticity but still provides anonymity to signers using zero-knowledge identity co-commitments.
In Speranza, a signer uses an automated certificate authority (CA) to create a private identity-bound signature and proof of authoriza- tion. Verifiers check that a signer was authorized to publish a pack- age without learning the signer’s identity. The package repository privately records each package’s authorized signers, but publishes only commitments to identities in a public map. Then, when issuing certificates, the CA issues the certificate to a distinct commitment to the same identity. The signer then creates a zero-knowledge proof that these are identity co-commitments.
We implemented a proof-of-concept for Speranza. We find that costs to maintainers (signing) and end users (verifying) are small (sub-millisecond), even for a repository with millions of packages. Techniques inspired by recent key transparency systems reduce the bandwidth for serving authorization policies to 2 KiB. Server costs in this system are negligible. Our evaluation finds that Speranza is practical on the scale of the largest software repositories.
We also emphasize practicality and deployability in this project. By building on existing technology and employing relatively sim- ple and well-established cryptographic techniques, Speranza can be deployed for wide-scale use with only a few hundred lines of code and minimal changes to existing infrastructure. Speranza is a practical way to bring privacy and authenticity together for more trustworthy open-source software.",,en_US,,"Speranza: Usable, privacy-friendly software signing",Article,"This is an extended version of the shorter paper by the same name, published in ACM CCS 2023.",Attribution 3.0 United States,http://creativecommons.org/licenses/by/3.0/us/,"Key management, digital signature, pseudonymity, anonymity, untraceability, usability",,,,,,
"Atkinson, Eric",2023-11-27T17:01:50Z,2023-11-27T17:01:50Z,2023-11-27,https://hdl.handle.net/1721.1/153053,,,,,Belief Programming Implementation,Software,,,,,,,,,,
"Gil, Stephanie; Kumar, Swarun; Mazumder, Mark; Katabi, Dina; Rus, Daniela",2015-06-16T22:00:03Z,2015-06-16T22:00:03Z,July 2015,http://hdl.handle.net/1721.1/97442,"Multi-robot networks use wireless communication to provide wide-ranging services such as aerial surveillance and unmanned delivery. However, effective coordination between multiple robots requires trust, making them particularly vulnerable to cyber-attacks. Specifically, such networks can be gravely disrupted by the Sybil attack, where even a single malicious robot can spoof a large number of fake clients. This paper proposes a new solution to defend against the Sybil attack, without requiring expensive cryptographic key-distribution. Our core contribution is a novel algorithm implemented on commercial Wi-Fi radios that can ""sense"" spoofers using the physics of wireless signals. We derive theoretical guarantees on how this algorithm bounds the impact of the Sybil Attack on a broad class of robotic coverage problems. We experimentally validate our claims using a team of AscTec quadrotor servers and iRobot Create ground clients, and demonstrate spoofer detection rates over 96%.",,,MIT-CSAIL-TR-2015-024,Guaranteeing Spoof-Resilient Multi-Robot Networks,,,Creative Commons Attribution-Non Commercial-No Derivative Works 4.0 International,http://creativecommons.org/licenses/by-nc-nd/4.0/,cyber-physcial systems; cybersecurity,,Daniela Rus,Robotics (Rus),13 p.,Robotics Science and Systems,2015-06-16T22:00:03Z
"Agarwal, Anant",2023-03-29T14:36:53Z,2023-03-29T14:36:53Z,,https://hdl.handle.net/1721.1/149209,"This paper presents a simple, yet accurate, model for multiprogrammed caches and validates it against trace-driven simulation. The model takes into account nonstationary behavior of processes and process sharing. By making judicious approximations, the paper shows that a very simple expression of the form u^2(p - 1)/tS accurately models the multiprogramming component of the miss rate of large direct-mapped caches. In the above expression, t is the context-switching interval, S is the cache size in blocks, p is the number of processes, and u is the number of unique blocks accesses by a process during the interval t.",,,MIT-LCS-TM-488,Modeling Multiprogrammed Caches,,,,,,,,,,,
"Benczúr, András A.",2023-03-29T15:23:41Z,2023-03-29T15:23:41Z,,https://hdl.handle.net/1721.1/149784,,,,MIT-LCS-TR-639,The Structure of Near-minimum Edge Cuts,,,,,,,,,,,
"Lynch, Nancy A.; Segala, Roberto; Vaandrager, Frits",2023-03-29T15:37:31Z,2023-03-29T15:37:31Z,,https://hdl.handle.net/1721.1/149992,"We establish that on the dfomain of probabilistic automata, the trace distribution preorder coincides with the simulation preorder.",,,MIT-LCS-TR-907,Compositionality for Probabilistic Automata,,,,,,,,,,,
