dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.relation.ispartofseries,dc.title,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.advisor
"Hull, Bret; Jamieson, Kyle; Balakrishnan, Hari",2023-03-29T15:37:36Z,2023-03-29T15:37:36Z,2003-04,https://hdl.handle.net/1721.1/149994,"Wireless sensor networks are often used in monitoring and control applications, where software running on generalpurpose computers �pull� information from remote sensors and �push� actuations into the network. The sensors themselves form a multihop wireless network communicatingwith one or more sensor access points (SAPs) that interface between application software and the sensor network. This paper addresses the problem of managing wireless network bandwidth and improving network capacity in a sensor network deployed as a shared infrastructure, concurrently used by different applications. Our bandwidth management architecture incorporates three ideas: first, we develop a simple rule system that allows applications and the network administrator to specify how traffic generated by sensors should be treated by the sensor network. Each rule is a function that maps a sensor data type and generated value to a transmission rate and a traffic class. Second, we show how using multiple SAPs and SAP selection method that considers packet loss probabilities, path load, and path lengths improves the capacity of the network and the performance of individual sensor streams. Third, we show that hopby- hop flow control, rather than end-to-end congestion control, is a better way to cope with the nature of sensor network traffic and avoids unnecessary packet losses that waste valuable wireless network bandwidth. Our experimental results from a 40-node indoor wireless sensor testbed show that these three techniques are simple to implement and allow scarce network bandwidth to be used efficiently.",MIT-LCS-TR-909,Bandwidth Management in Wireless Sensor Networks,,,,,,
"Alvarado, Christine; Teevan, Jaime; Ackerman, Mark S.; Karger, David",2004-10-08T20:38:49Z,2004-10-08T20:38:49Z,2003-04-15,http://hdl.handle.net/1721.1/6713,"We report on a study of how people look for information within email, files, and the Web. When locating a document or searching for a specific answer, people relied on their contextual knowledge of their information target to help them find it, often associating the target with a specific document. They appeared to prefer to use this contextual information as a guide in navigating locally in small steps to the desired document rather than directly jumping to their target. We found this behavior was especially true for people with unstructured information organization. We discuss the implications of our findings for the design of personal information management tools.",AIM-2003-006,Surviving the Information Explosion: How People Find Their Electronic Information,AIM-2003-006,9 p.; 980296 bytes; 422112 bytes,application/postscript; application/pdf,en_US,AI; information seeking; search; orienteering; context; Semantic Web,
"Beal, Jacob",2004-10-08T20:38:47Z,2004-10-08T20:38:47Z,2003-04-15,http://hdl.handle.net/1721.1/6712,"A Persistent Node is a redundant distributed mechanism for storing a key/value pair reliably in a geographically local network. In this paper, I develop a method of establishing Persistent Nodes in an amorphous matrix. I address issues of construction, usage, atomicity guarantees and reliability in the face of stopping failures. Applications include routing, congestion control, and data storage in gigascale networks.",AIM-2003-011,Persistent Nodes for Reliable Memory in Geographically Local Networks,AIM-2003-011,19 p.; 5503051 bytes; 1849500 bytes,application/postscript; application/pdf,en_US,AI; robust atomic distributed amorphous,
"Grauman, Kristen; Shakhnarovich, Gregory; Darrell, Trevor",2004-10-08T20:38:51Z,2004-10-08T20:38:51Z,2003-04-17,http://hdl.handle.net/1721.1/6714,"We present an image-based approach to infer 3D  structure parameters using a probabilistic ""shape+structure''  model. The 3D shape of a class of objects may be represented by sets  of contours from silhouette views simultaneously observed from  multiple calibrated cameras. Bayesian reconstructions of new shapes can  then be estimated using a prior density constructed with a mixture model  and probabilistic principal components analysis. We  augment the shape model to incorporate structural features of interest;  novel examples with missing structure parameters may then be  reconstructed to obtain estimates of these parameters. Model matching and  parameter inference are done entirely in the image domain and require no  explicit 3D construction. Our shape model enables accurate  estimation of structure despite segmentation errors or missing views  in the input silhouettes, and works even with only a single input  view. Using a dataset of thousands of pedestrian images generated  from a synthetic model, we can perform accurate inference of the 3D  locations of 19 joints on the body based on observed silhouette  contours from real images.",AIM-2003-008,Inferring 3D Structure with a Statistical Image-Based Shape Model,AIM-2003-008,17 p.; 6362014 bytes; 9371703 bytes,application/postscript; application/pdf,en_US,AI; 3D structure; statistical shape model; multi-view imagery; pose estimation,
"Christoudias, Chris Mario; Morency, Louis-Philippe; Darrell, Trevor",2004-10-08T20:38:54Z,2004-10-08T20:38:54Z,2003-04-18,http://hdl.handle.net/1721.1/6716,"Statistical shape and texture appearance models are  powerful image representations, but previously had  been restricted to 2D or simple 3D shapes. In this paper  we present a novel 3D morphable model based on  image-based rendering techniques, which can  represent complex lighting conditions, structures, and  surfaces. We describe how to construct a manifold of  the multi-view appearance of an object class using light  fields and show how to match a 2D image of an object  to a point on this manifold. In turn we use the  reconstructed light field to render novel views of the  object. Our technique overcomes the limitations of  polygon based appearance models and uses light  fields that are acquired in real-time.",AIM-2003-010,Light Field Morphable Models,AIM-2003-010,1375810 bytes; 716555 bytes,application/postscript; application/pdf,en_US,AI,
"Shakhnarovich, Gregory; Viola, Paul; Darrell, Trevor",2004-10-08T20:38:53Z,2004-10-08T20:38:53Z,2003-04-18,http://hdl.handle.net/1721.1/6715,"Example-based methods are effective for parameter  estimation problems when the underlying system is simple or the  dimensionality of the input is low. For complex and high-dimensional  problems such as pose estimation, the number of required examples and the  computational complexity rapidly becme prohibitively high. We  introduce a new algorithm that learns a set of hashing functions that  efficiently index examples relevant to a particular estimation task.  Our algorithm extends a recently developed method for  locality-sensitive hashing, which finds approximate neighbors in time  sublinear in the number of examples. This method depends critically  on the choice of hash functions; we show how to find the set of hash  functions that are optimally relevant to a particular estimation problem.  Experiments demonstrate that the resulting algorithm, which we call Parameter-Sensitive Hashing, can rapidly and  accurately estimate the articulated pose of human figures from a large  database of example images.",AIM-2003-009,Fast Pose Estimation with Parameter Sensitive Hashing,AIM-2003-009,12 p.; 5030222 bytes; 6836715 bytes,application/postscript; application/pdf,en_US,AI; parameter estimation; nearest neighbor; locally weighted learning,
"Jamieson, Kyle; Balakrishnan, Hari; Tay, Y.C.",2023-03-29T15:37:15Z,2023-03-29T15:37:15Z,2003-05,https://hdl.handle.net/1721.1/149985,"Nodes in sensor networks often encounter spatially-correlated contention, where multiple nodes in the same neighborhood all sense an event they need to transmit information about. Furthermore, in many sensor network applications, it is sufficient if a subset of the nodes that observe the same event report it. We show that traditional carrier-sense multiple access (CSMA) protocols like 802.11 do not handle the first constraint adequately, and do not take advantage of the second property, leading to degraded latency and throughput as the network scales in size.   We present Sift, a medium access protocol for wireless sensor networks designed with the above observations in mind. Sift is a randomized CSMA protocol, but unlike previous protocols, does not use a time-varying contention window from which a node randomly picks a transmission slot. Rather, to reduce the latency for the delivery of event reports, Sift uses a fixed-size contention window and a carefully-chosen, non-uniform probability distribution of transmitting in each slot within the window. We show using simulations that Sift can offer up to a 7-fold latency reduction compared to 802.11 as the size of the sensor network scales up to 500 nodes. We then analytically prove bounds on the best latency achievable by a decentralized CSMA-based MAC protocol for sensor networks where one report of each event is enough, and show that Sift comes close to meeting this bound.",MIT-LCS-TR-894,Sift: A MAC Protocol for Event-Driven Wireless Sensor Networks,,,,,,
"Li, Ji",2023-03-29T15:37:17Z,2023-03-29T15:37:17Z,2003-05,https://hdl.handle.net/1721.1/149986,"The underlying premise of the Region Project is that the concept of a region should be a new architecture capability in networking. A region is an entity that encapsulates and implements scoping, grouping, subdividing, and crossing boundaries of sets of entities. It is a powerful tool for managing the increasingly complex demands on the Internet and its successors, and thus should be made into an explicit, first-class component of the network architecture. Autonomous Systems and peer-to-peer networks can be viewed as two simple forms of existing regions. In this work, we explore the utility of informing members in one region of the membership of those same entities in different regions. Specifically, we improve peer-to-peer networks with information derived from Autonomous Systems. This thesis makes three notable contributions. Firstly, we provide a general peer-to-peer simulation framework for different optimization schemes. Secondly, we achieve performance improvements in the lookup, caching and replication of peer-to-peer system. Finally, we enhance our overall understanding of regions through the simulation, as well as their utilities to improve system performance.",MIT-LCS-TR-897,Improving Application-level Network Services with Regions,,,,,,"Sollins, Karen R."
"Clarke, Dwaine; Devadas, Srinivas; van Dijk, Marten; Gassend, Blaise; Suh, G. Edward",2023-03-29T15:37:19Z,2023-03-29T15:37:19Z,2003-05,https://hdl.handle.net/1721.1/149987,"We introduce a new cryptographic tool: multiset hash functions. Unlike standard hash functions which take strings as input, multiset hash functions operate on multisets (or sets). They map multisets of arbitrary finite size to strings (hashes) of fixed length. They are incremental in that, when new members are added to the multiset, the hash can be updated in time proportional to the change. The functions may be multiset-collision resistant in that it is di�cult to find two multisets which produce the same hash, or just set-collision resistant in that it is di�cult to find a set and a multiset which produce the same hash. In particular, we introduce four multiset hash functions, each with its own advantages. MSet-XOR-Hash uses the XOR operation and is very e�cient; however, it uses a secret key and is only set-collision resistant. MSet-Add-Hash uses addition modulo a large integer and, thus, is slightly less e�cient than MSet-XOR-Hash; MSet-Add-Hash also uses a secret key but it is multiset-collision resistant. MSet-Mu-Hash uses finite field arithmetic and is not as e�cient as the other two hash functions; however, MSet-Mu-Hash is multiset-collision resistant, and unlike the other two hash functions, does not require a secret key. MSet-VAdd-Hash is more e�cient than MSet-Mu-Hash; it is also multiset-collision resistant, and does not use a secret key, but the hashes it produces are significantly longer than the hashes of the other functions. The proven security of MSet-XOR-Hash and MSet-Add-Hash is quantitative. We reduce the hardness of finding collisions to the hardness of breaking the underlying pseudorandom functions. The proven security of MSet-Mu-Hash is in the random oracle model and is based on the hardness of the discrete logarithm problem. The proven security of MSet-VAdd-Hash is also in the random oracle model and is based on the hardness of the worst-case shortest vector problem. We demonstrate how set-collision resistant multiset hash functions make an existing o�ine memory integrity checker secure against active adversaries. We improve on this checker such that it can use smaller time stamps without increasing the frequency of checks. The improved checker uses multiset-collision resistant hash functions",MIT-LCS-TR-899,Incremental Multiset Hash Functions and their Application to Memory Integrity Checking,,,,,,
"Demaine, Erik D.; Hajiaghayi, Mohammad Taghi",2023-03-29T15:37:24Z,2023-03-29T15:37:24Z,2003-05,https://hdl.handle.net/1721.1/149989,"We solve an open problem posed by Eppstein in 1995 and re-enforced by Grohe concerning locally bounded treewidth in minor-closed families of graphs. A graph has bounded local treewidth if the subgraph induced by vertices within distance r of any vertex has treewidth bounded by a function of r (not n). Eppstein characterized minor-closed families of graphs with bounded local treewidth as precisely minor-closed families that minor-exclude an apex graph, where an apex graph has one vertex whose removal leaves a planar graph. In particular, Eppstein showed that all apex-minor-free graphs have bounded local treewidth, but his bound is doubly exponential in r, leaving open whether a tighter bound could be obtained.  We improve this doubly exponential bound to a linear bound, which is optimal. In particular, any minor-closed graph family with bounded local treewidth has linear local treewidth. Our bound generalizes previously known linear bounds for special classes of graphs proved by several authors.  As a consequence of our result, we obtain substantially faster polynomial-time approximation schemes for a broad class of problems in apex-minor-free graphs, improving the running time from 2^(2^(2^O(1/epsilon))) n^O(1) to 2^O(1/epsilon) n^O(1).",MIT-LCS-TR-903,Equivalence of Local Treewidth and Linear Local Treewidth and its Algorithmic Applications,,,,,,
