dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.rights,dc.rights.uri,dc.language.rfc3066,dc.description,dc.date.updated,dc.identifier.citation,dc.contributor,dc.relation.isreplacedby
Brian Williams,"Levine, Steven J.",Model-based Embedded and Robotic Systems,2012-10-09T16:45:14Z,2012-10-09T16:45:14Z,2012-10-04,http://hdl.handle.net/1721.1/73686,"To achieve robustness in dynamic and uncertain environments, robotic systems must monitor the progress of their plans during execution. This thesis develops a plan executive called Pike that is capable of executing and monitoring plans. The execution monitor at its core quickly and efficiently detects relevant disturbances that threaten future actions in the plan. We present a set of novel offline algorithms that extract sets of candidate causal links from temporally-flexible plans. A second set of algorithms uses these causal links to monitor the execution online and detect problems with low latency. We additionally introduce the TBurton executive, a system capable of robustly meeting a user s high-level goals through the combined use of Pike and a temporal generative planner. An innovative voice-commanded robot is demonstrated in hardware and simulation that robustly meets high level goals and verbalizes any causes of failure using the execution monitor",125 p.,MIT-CSAIL-TR-2012-033,temporal plan; execution monitoring; causal link; disturbance; executive,Monitoring the Execution of Temporal Plans for Robotic Systems,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,MEng thesis,,,,
Fredo Durand,"Levin, Anat; Nadler, Boaz; Durand, Fredo; Freeman, William T.",Computer Graphics,2012-07-31T17:45:08Z,2012-07-31T17:45:08Z,2012-10-07,http://hdl.handle.net/1721.1/71919,"Image restoration tasks are ill-posed problems, typically solved withpriors. Since the optimal prior is the exact unknown density of natural images,actual priors are only approximate and typically restricted to small patches. Thisraises several questions: How much may we hope to improve current restorationresults with future sophisticated algorithms? And more fundamentally, even withperfect knowledge of natural image statistics, what is the inherent ambiguity ofthe problem? In addition, since most current methods are limited to finite supportpatches or kernels, what is the relation between the patch complexity of naturalimages, patch size, and restoration errors? Focusing on image denoising, we makeseveral contributions. First, in light of computational constraints, we study the relation between denoising gain and sample size requirements in a non parametricapproach. We present a law of diminishing return, namely that with increasingpatch size, rare patches not only require a much larger dataset, but also gain littlefrom it. This result suggests novel adaptive variable-sized patch schemes for denoising. Second, we study absolute denoising limits, regardless of the algorithmused, and the converge rate to them as a function of patch size. Scale invarianceof natural images plays a key role here and implies both a strictly positive lowerbound on denoising and a power law convergence. Extrapolating this parametriclaw gives a ballpark estimate of the best achievable denoising, suggesting thatsome improvement, although modest, is still possible.",23 p.,MIT-CSAIL-TR-2012-022,,"Patch complexity, finite pixel correlations and optimal denoising",Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,,supplemental material for conference paper at ECCV 2012 (European Conf. on Computer Vision),,
Fredo Durand,"Belcour, Laurent; Soler, Cyril; Subr, Kartic; Holzschuch, Nicolas; Durand, Fredo",Computer Graphics,2012-11-16T18:00:09Z,2012-11-16T18:00:09Z,2012-11-16,http://hdl.handle.net/1721.1/74662,"The rendering of effects such as motion blur and depth-of-field requires costly 5D integrals. We dramatically accelerate their computation through adaptive sampling and reconstruction based on the prediction of the anisotropy and bandwidth of the integrand. For this, we develop a new frequency analysis of the 5D temporal light-field, and show that first-order motion can be handled through simple changes of coordinates in 5D. We further introduce a compact representation of the spectrum using the co- variance matrix and Gaussian approximations. We derive update equations for the 5 × 5 covariance matrices for each atomic light transport event, such as transport, occlusion, BRDF, texture, lens, and motion. The focus on atomic operations makes our work general, and removes the need for special-case formulas. We present a new rendering algorithm that computes 5D covariance matrices on the image plane by tracing paths through the scene, focusing on the single-bounce case. This allows us to reduce sampling rates when appropriate and perform reconstruction of images with complex depth-of-field and motion blur effects.",19 p.,MIT-CSAIL-TR-2012-034,Rendering; Computer Graphics; Fourier,5D Covariance Tracing for Efficient Defocus and Motion Blur,,,,,,,Fredo Durand,
Tomaso Poggio,"Poggio, Tomaso; Mutch, Jim; Leibo, Joel; Rosasco, Lorenzo; Tacchetti, Andrea",Center for Biological and Computational Learning (CBCL),2013-01-10T21:15:06Z,2013-01-10T21:15:06Z,2012-12-29,http://hdl.handle.net/1721.1/76248,"This paper explores the theoretical consequences of a simple assumption: the computational goal of the feedforward path in the ventral stream -- from V1, V2, V4 and to IT -- is to discount image transformations, after learning them during development.",120 p.,MIT-CSAIL-TR-2012-035,visual cortex; ventral stream; symmetries principles in sensory perception; visual recognition; invariances of sensory perception; learning to learn invariants in the visual world,The computational magic of the ventral stream: sketch of a theory (and why some deep architectures work).,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,,,,
Dina Katabi,"Wang, Jue; Hassanieh, Haitham; Katabi, Dina; Kohno, Tadayoshi",Networks & Mobile Systems,2013-01-14T17:00:03Z,2013-01-14T17:00:03Z,2013-01-12,http://hdl.handle.net/1721.1/76260,"RFID cards are widely used today in sensitive applications such as access control, payment systems, and asset tracking. Past work shows that an eavesdropper snooping on the communication between a card and its legitimate reader can break their cryptographic protocol and obtain their secret keys. One solution for this problem is to install stronger cryptographic protocols on the cards. However, RFIDs' size, power, and cost limitations do not allow for conventional cryptographic protocols. Further, installing new protocols requires revoking billions of cards in consumers  hands and facilities worldwide, which is costly and impractical. In this paper, we ask whether one can secure RFIDs from such attacks without revoking or changing the insecure cards. We propose LocRF, a solution that changes the signal used to read the RFID cards but does not require any changes to the cards themselves. LocRF introduces a new approach that randomizes the modulation of the RFID signal as well as the wireless channel. This design protects RFIDs from eavesdroppers even if they use multi-antenna MIMO receivers. We built a prototype of LocRF on software-defined radios and used it to secure the communication of off-the-shelf cards. Both our analysis and empirical evaluation demonstrate theeffectiveness of LocRF.",15 p.,MIT-CSAIL-TR-2013-001,,Securing Deployed RFIDs by Randomizing the Modulation and the Channel,,,,,,,,
Brian Williams,"Yu, Peng",Model-based Embedded and Robotic Systems,2018-01-31T00:01:21Z,2018-01-31T00:01:21Z,2013-01-25,http://hdl.handle.net/1721.1/113372,"When humans fail to understand the capabilities of an autonomous system or its environmental limitations, they can jeopardize their objectives and the system by asking for unrealistic goals. The objective of this thesis is to enable consensus between human and autonomous system, by giving autonomous systems the ability to communicate to the user the reasons for goal failure and the relaxations to goals that archive feasibility. We represent our problem in the context of over-constrained temporal plans. They are commonly encountered while operating autonomous and decision support systems, when user objectives are in conflict with the environment. Over constrained plans are addressed by relaxing goals and or constraints, such as delaying the arrival time of a trip, with some candidate relaxations being preferable to others. In this thesis we present Uhura, a temporal plan diagnosis and relaxation algorithm that is designed to take over-constrained input plans with temporal flexibility and contingencies, and generate temporal relaxations that make the input plan executable. We introduce two innovative approaches within Uhura: collaborative plan diagnosis and continuous relaxation. Uhura focuses on novel ways of satisfying three goals to make the plan relaxation process more convenient for the users: small perturbation, quick response and simple interaction. We have incorporated Uhura within an autonomous executive that collaborates with human operators to resolve over-constrained temporal plans. Its effectiveness has been demonstrated both in simulation and in hardware on a Personal Transportation System concept. We believe that Uhura's collaborative temporal plan diagnosis capability can benefit a wide range of applications, both within industrial applications and in our daily lives.",168 p.,MIT-CSAIL-TR-2018-012,Over-constrained temporal plan; Plan diagnosis; Mixed initiative planning,continuous Relaxation to Over-constrained Temporal Plans,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,http://creativecommons.org/licenses/by-nc-nd/4.0/,,SM thesis,2018-01-31T00:01:21Z,,,
Nancy Lynch,"Cornejo, Alejandro; Lynch, Nancy; Sastry, Srikanth",Theory of Computation,2013-02-01T20:00:04Z,2013-02-01T20:00:04Z,2013-01-30,http://hdl.handle.net/1721.1/76716,"Failure detectors -- oracles that provide information about process crashes -- are an important abstraction for crash tolerance in distributed systems. The generality of failure-detector theory, while providing great expressiveness, poses significant challenges in developing a robust hierarchy of failure detectors. We address some of these challenges by proposing (1) a variant of failure detectors called asynchronous failure detectors and (2) an associated modeling framework. Unlike the traditional failure-detector framework, our framework eschews real-time completely. We show that asynchronous failure detectors are sufficiently expressive to include several popular failure detectors including, but not limited to, the canonical Chandra-Toueg failure detectors, Sigma and other quorum failure detectors, Omega, anti-Omega, Omega^k, and Psi_k. Additionally, asynchronous failure detectors satisfy many desirable properties: they are self-implementable, guarantee that stronger asynchronous failure-detectors solve harder problems, and ensure that their outputs encode no information other than the set of crashed processes. We introduce the notion of a failure detector being representative for a problem to capture the idea that some problems encode the same information about process crashes as their weakest failure detectors do. We show that a large class of problems, called bounded problems, do not have representative failure detectors. Finally, we use the asynchronous failure-detector framework to show how sufficiently strong AFDs circumvent the impossibility of consensus in asynchronous systems.",46 p.,MIT-CSAIL-TR-2013-002,"Asynchronous System, Fault-Tolerance, I/O Automata",Asynchronous Failure Detectors,,,,This report is superseded by MIT-CSAIL-TR-2013-025.,,,,http://hdl.handle.net/1721.1/81371
Brian Williams,"Wang, Andrew J.",Model-based Embedded and Robotic Systems,2018-01-31T00:01:19Z,2018-01-31T00:01:19Z,2013-01-31,http://hdl.handle.net/1721.1/113371,"Temporal uncertainty arises when performing any activity in the natural world. When activities are composed into temporal plans, then, there is a risk of not meeting the plan requirements. Currently, we do not have quantitatively precise methods for assessing temporal risk of a plan. Existing methods that deal with temporal uncertainty either forgo probabilistic models or try to optimize a single objective, rather than satisfy multiple objectives. This thesis offers a method for evaluating whether a schedule exists that meets a set of temporal constraints, with acceptable risk of failure. Our key insight is to assume a form of risk allocation to each source of temporal uncertainty in our plan, such that we may reformulate the probabilistic plan into an STNU parameterized on the risk allocation. We show that the problem becomes a deterministic one of finding a risk allocation which implies a schedulable STNU within acceptable risk. By leveraging the principles behind STNU analysis, we derive conditions which encode this problem as a convex feasibility program over risk allocations. Furthermore, these conditions may be learned incrementally as temporal conflicts. Thus, to boost computational efficiency, we employ a generate-and-test approach to determine whether a schedule may be found.",64 p.,MIT-CSAIL-TR-2018-011,,Risk Allocation for Temporal Risk Assessment,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,http://creativecommons.org/licenses/by-nc-nd/4.0/,,MEng thesis,2018-01-31T00:01:19Z,,,
Hari Balakrishnan,"LaCurts, Katrina; Deng, Shuo; Balakrishnan, Hari",Networks & Mobile Systems,2013-02-28T17:15:10Z,2013-02-28T17:15:10Z,2013-02-12,http://hdl.handle.net/1721.1/77238,"A significant and growing number of applications deployed on cloud infrastructures are network-intensive. These applications are frequently bottlenecked by the speed of network connections between the machines on which they are deployed. Due to the complexity and size of cloud networks, such applications often run slowly or have unpredictable completion times and/or throughput, both of which can result in increased cost to the customer. In this paper, we argue that cloud customers should be able to express the demands and objectives of their applications. We outline an architecture that allows for this type of expression, and distributes applications within the cloud network such that the application's objectives are met. We discuss some of the key questions that need to be addressed to implement the architecture, as well as the interactions between optimizations done by clients and by cloud providers. We also present preliminary results that indicate that these types of systems are feasible and improve performance.",7 p.,MIT-CSAIL-TR-2013-003,,A Plan for Optimizing Network-Intensive Cloud Applications,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,,,,
Tomaso Poggio,"Tan, Cheston; Poggio, Tomaso",Center for Biological and Computational Learning (CBCL),2013-03-18T22:45:05Z,2013-03-18T22:45:05Z,2013-03-18,http://hdl.handle.net/1721.1/77936,"Visual recognition is an important ability that is central to many everyday tasks such as reading, navigation and social interaction, and is therefore actively studied in neuroscience, cognitive psychology and artificial intelligence. There exist thousands of object categories, all of which pose similar challenges to biological and artificial visual systems: accurate recognition under varying location, scale, view angle, illumination and clutter. In many areas of science, important discoveries have been made using ""model organisms"" such as fruit flies, mice and macaques. For the thousands of object categories, the important and well-studied category of faces could potentially serve as a ""model category"" upon which efforts are focused, and from which fundamental insights are drawn. However, it has been hotly debated whether faces are processed by the brain in a manner fundamentally different from other categories. Here we show that ""neural tuning size"" -- a single parameter in a computational model of object processing -- is able to account for important face-specific phenomena. Thus, surprisingly, ""face-like"" processing is explainable by physiological mechanisms that differ only quantitatively from ""object-like"" processing. Our computational proof-of-principle provides specific neural tuning properties that correspond to the so-far qualitative and controversial notion of ""holistic"" face processing. Overall, faces may be a viable model category. Since faces are highly amenable to complementary experimental techniques like functional MRI, electrophysiology, electroencephalography and transcranial magnetic stimulation, this further raises the odds that the algorithms and neural circuits underlying visual recognition may first be solved for faces. With faces serving as a model category, the great scientific challenge of understanding and reverse-engineering general visual recognition can be greatly accelerated.",19 p.,MIT-CSAIL-TR-2013-004; CBCL-311,face recognition; object recognition; holistic processing; composite effect; inversion effect,"Faces as a ""Model Category"" for Visual Object Recognition",,,,,,,,
