dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.subject,dc.contributor.advisor,dc.description,dc.identifier.citation
"Liang, Percy; Srebro, Nathan",,2005-12-22T02:19:52Z,2005-12-22T02:19:52Z,2004-12-30,MIT-CSAIL-TR-2004-081; AIM-2004-030,http://hdl.handle.net/1721.1/30511,"Markov trees generalize naturally to bounded tree-width Markov networks, onwhich exact computations can still be done efficiently.  However, learning themaximum likelihood Markov network with tree-width greater than 1 is NP-hard, sowe discuss a few algorithms for approximating the optimal Markov network.  Wepresent a set of methods for training a density estimator.  Each method isspecified by three arguments: tree-width, model scoring metric (maximumlikelihood or minimum description length), and model representation (using onejoint distribution or several class-conditional distributions).  On thesemethods, we give empirical results on density estimation and classificationtasks and explore the implications of these arguments.",10 p.; 10714507 bytes; 473643 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Methods and Experiments With Bounded Tree-width Markov Networks,AI; tree-width; hypertrees; Markov Networks; maximum likelihood; MDL,,,
"Kouh, Minjoon; Poggio, Tomaso",,2005-12-22T02:19:58Z,2005-12-22T02:19:58Z,2004-12-31,MIT-CSAIL-TR-2004-082; AIM-2004-031; CBCL-245,http://hdl.handle.net/1721.1/30512,Tuning to an optimal stimulus is a widespread property of neurons in cortex. We propose that such tuning is a consequence of normalization or gain control circuits. We also present a biologically plausible neural circuitry of tuning.,9 p.; 11464000 bytes; 738607 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,A general mechanism for tuning: Gain control circuits and synapses underlie tuning of cortical neurons,AI; tuning; gain control; normalization; Gaussian; neuron; cortex; biophysics,,,
"Richards, Whitman; Seung, H. Sebastian",,2005-12-22T02:20:05Z,2005-12-22T02:20:05Z,2004-12-31,MIT-CSAIL-TR-2004-083; AIM-2004-029,http://hdl.handle.net/1721.1/30513,"Â“Winner-take-allÂ” networks typically pick as winners that alternative with the largest excitatory input. This choice is far from optimal when there is uncertainty in the strength of the inputs, and when information is available about how alternatives may be related. In the Social Choice community, many other procedures will yield more robust winners. The Borda Count and the pair-wise Condorcet tally are among the most favored. Their implementations are simple modifications of classical recurrent networks.",12 p.; 13714512 bytes; 523751 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Neural Voting Machines,AI; WTA; Borda machine; Condorcet procedure; neural network,,,
"Radul, Alexey",Mathematics and Computation,2006-04-14T15:26:55Z,2006-04-14T15:26:55Z,2005,MIT-CSAIL-TR-2006-024,http://hdl.handle.net/1721.1/32531,"I devised and implemented a method for constructing regular andsemiregular geometric objects in n-dimensional Euclidean space.Given a finite reflection group (a Coxeter group) G, there is a standard way to give G a group action on n-space.Reflecting a point through this group action yieldsan object that exhibits the symmetries specified by G.  If the pointis chosen well, the object is guaranteed to be regular or semiregular,and many interesting regular and semiregular objectsarise this way.  By starting with the symmetry group, I can use thegroup structure both to simplify the actual graphics involved withdisplaying the object, and to illustrate various aspects of itsstructure.  For example, subgroups of the symmetry group (and theircosets) correspond to substructures of the object.  Conversely, bydisplaying such symmetric objects and their various substructures, Ifind that I can elucidate the structure of the symmetry group thatgives rise to them.I have written The Symmetriad, the computer system whose name thisdocument has inherited, and used it to explore 3- and 4-dimensionalsymmetric objects and their symmetry groups.  The 3-dimensionalobjects are already well understood, but they serve to illustrate thetechniques used on the 4-dimensional objects and make them morecomprehensible.  Four dimensions offers a treasure trove of intriguingstructures, many of which have no ready 3D analogue.  These are what Iwill show you here.",111 p.; 1054739 bytes; 8185809 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,The Symmetriad: A Journey of Discovery Through the Land of the Polychora,,Gerald Sussman,MEng thesis,"Radul, Alexey.    The Symmetriad : a journey of discovery through the land of the polychora / by Alexey Radul.    c2005.Institute Archives - Noncirculating Collection 3 |  THESIS Thesis E.E. 2005 M.Eng"
"Izmalkov, Sergei; Lepinski, Matt; Micali, Silvio",Theory of Computation,2007-07-30T16:01:48Z,2007-07-30T16:01:48Z,2005,MIT-CSAIL-TR-2007-040,http://hdl.handle.net/1721.1/38208,"Privacy and trust affect our strategic thinking, yet they have not been precisely modeled in mechanism design. In settings of incomplete information,  traditional implementations of a normal-form mechanism ---by disregarding the players' privacy, or assuming trust in a mediator--- may not be realistic and fail to reach the mechanism's objectives. We thus investigate implementations of a new type.We put forward the notion of a  perfect implementation of a normal-form mechanism M: in essence, an extensive-form mechanism exactly preserving all strategic properties of M, without relying on a trusted  party or violating the privacy of the players.We prove that ANY normal-form mechanism  can be perfectly implemented via envelopes and an envelope-randomizing device (i.e., the same tools used for running fair lotteries or tallying secret votes).",51 p.,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Perfect Implementation of Normal-Form Mechanisms,Mechanism Design; Privacy; Privacy Equivalence; Strategic Equivalence; Perfect Implementation,Silvio Micali,,Ealier Version in 46th Foundation of Computer Science Conference
"Liang, Percy; Srebro, Nati",Algorithms,2005-12-22T02:20:16Z,2005-12-22T02:20:16Z,2005-01-03,MIT-CSAIL-TR-2005-001; MIT-LCS-TR-977,http://hdl.handle.net/1721.1/30514,"We present a dynamic data structure that keeps track of an acyclic hypergraph (equivalently, a triangulated graph) and enables verifying that adding a candidate hyperedge (clique) will not break the acyclicity of the augmented hypergraph. This is a generalization of the use of Tarjan's Union-Find data structure for maintaining acyclicity when augmenting forests, and the amortized time per operation has a similar almost-constant dependence on the size of the hypergraph. Such a data structure is useful when augmenting acyclic hypergraphs, e.g.\~in order to greedily construct a high-weight acyclic hypergraph. In designing this data structure, we introduce a hierarchical decomposition of acyclic hypergraphs that aid in understanding {\em hyper-connectivity}, and introduce a novel concept of a {\em hypercycle} which is excluded from acyclic hypergraphs.",12 p.; 17306554 bytes; 656257 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,A Dynamic Data Structure for Checking Hyperacyclicity,,,,
"Liang, Percy; Srebro, Nati",Algorithms,2005-12-22T02:20:23Z,2005-12-22T02:20:23Z,2005-01-03,MIT-CSAIL-TR-2005-002; MIT-LCS-TR-978,http://hdl.handle.net/1721.1/30515,"Current approximation algorithms for maximum weight {\em hypertrees} find heavy {\em windmill farms}, and are based on the fact that a constant ratio (for constant width $k$) of the weight of a $k$-hypertree can be captured by a $k$-windmill farm. However, the exact worst case ratio is not known and is only bounded to be between $1/(k+1)!$ and $1/(k+1)$. We investigate this worst case ratio by searching for weighted hypertrees that minimize the ratio of their weight that can be captured with a windmill farm. To do so, we use a novel approach in which a linear program is used to find ``bad'' inputs to a dynamic program.",12 p.; 13845223 bytes; 531507 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,How Much of a Hypertree can be Captured by Windmills?,,,,
"Beal, Jacob; Sussman, Gerald",,2005-12-22T02:20:32Z,2005-12-22T02:20:32Z,2005-01-18,MIT-CSAIL-TR-2005-003; AIM-2005-001,http://hdl.handle.net/1721.1/30516,"Inspired by the robustness and flexibility of biological systems, we are developing linguistic and programming tools to allow us to program spatial systems populated by vast numbers of unreliable components interconnected in unknown, irregular, and time-varying ways. We organize our computations around geometry, making the fact that our system is made up of discrete individuals implicit. Geometry allows us to specify requirements in terms of the behavior of the space occupied by the aggregate rather than the behavior of individuals, thereby decreasing complexity. So we describe the behavior of space explicitly, abstracting away the discrete nature of the components. As an example, we present the Amorphous Medium Language, which describes behavior in terms of homeostatic maintenance of constraints on nested regions of space.",17 p.; 42144634 bytes; 6024067 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Biologically-Inspired Robust Spatial Programming,AI; amorphous robust biological spatial sensor networks language programming medium,,,
"Dolev, Shlomi; Gilbert, Seth; Lahiani, Limor; Lynch, Nancy; Nolte, Tina",Theory of Computation,2005-12-22T02:20:41Z,2005-12-22T02:20:41Z,2005-01-21,MIT-CSAIL-TR-2005-004; MIT-LCS-TR-979,http://hdl.handle.net/1721.1/30517,"We define a programming abstraction formobile networks called the Virtual Stationary Automataprogramming layer, consisting of real mobile clients, virtualtimed I/O automata called virtual stationary automata(VSAs), and a communication service connecting VSAs andclient nodes. The VSAs are located at prespecified regionsthat tile the plane, defining a static virtual infrastructure.We present a self-stabilizing algorithm to emulate a VSAusing the real mobile nodes that are currently residingin the VSAÂ’s region. We also describe several examplesof applications whose implementations benefit from thesimplicity obtained through use of the VSA abstraction.",16 p.; 24963489 bytes; 1042588 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Virtual Stationary Automata for Mobile Networks,,,,
"Kondacs, Attila",,2005-12-22T02:20:51Z,2005-12-22T02:20:51Z,2005-01-28,MIT-CSAIL-TR-2005-005; AITR-2005-001,http://hdl.handle.net/1721.1/30518,"In this thesis I will be concerned with linking the observed speechsignal to the configuration of articulators.Due to the potentially rapid motion of the articulators, the speechsignal can be highly non-stationary. The typical linear analysistechniques that assume quasi-stationarity may not have sufficienttime-frequency resolution to determine the place of articulation.I argue that the traditional low and high-level primitives of speechprocessing, frequency and phonemes, are inadequate and should bereplaced by a representation with three layers: 1. short pitch periodresonances and other spatio-temporal patterns 2. articulatorconfiguration trajectories 3. syllables. The patterns indicatearticulator configuration trajectories (how the tongue, jaws, etc. aremoving), which are interpreted as syllables and words.My patterns are an alternative to frequency. I use shorttime-domain features of the sound waveform, which can be extractedfrom each vowel pitch period pattern, to identify the positions of thearticulators with high reliability. These features are importantbecause by capitalizing on detailed measurements within a single pitchperiod, the rapid articulator movements can be tracked. No linearsignal processing approach can achieve the combination of sensitivityto short term changes and measurement accuracy resulting from thesenonlinear techniques.The measurements I use are neurophysiologically plausible: theauditory system could be using similar methods.I have demonstrated this approach by constructing a robust techniquefor categorizing the English voiced stops as the consonants B, D, or Gbased on the vocalic portions of their releases. The classificationrecognizes 93.5%, 81.8% and 86.1% of the b, d and gto ae transitions with false positive rates 2.9%, 8.7% and2.6% respectively.",96 p.; 85678480 bytes; 3087600 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Determining articulator configuration in voiced stop consonants by matching time-domain patterns in pitch periods,AI; speech processing; stop consonants; pitch period; spatio-temporal patterns,,,
