dc.contributor.advisor,dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.description.abstract,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri,dc.description,dc.identifier.citation,dc.contributor,dc.relation.isversionof,dc.description.degree,dc.relation.isreplacedby,dc.relation.uri,dc.relation.replaces,dc.relation,dc.date.updated,dc.identifier,dc.relation.isreferencedby,dc.contributor.department,dc.type,dspace.orderedauthors,dc.date.submitted,dc.contributor.editor,dc.coverage.spatial,dc.coverage.temporal,eprint.grantNumber,dc.relation.requires,dc.language.rfc3066,dc.publisher,dc.relation.haspart,dc.identifier.oclc
,"Riesenhuber, Maximilian; Poggio, Tomaso",2004-10-20T20:50:13Z,2004-10-20T20:50:13Z,2000-05-01,http://hdl.handle.net/1721.1/7222,AIM-1682; CBCL-185,"The Individual is Nothing, the Class Everything: Psychophysics and Modeling of Recognition in Obect Classes","Most psychophysical studies of object recognition have focussed on the recognition and representation of individual objects subjects had previously explicitely been trained on. Correspondingly, modeling studies have often employed a 'grandmother'-type representation where the objects to be recognized were represented by individual units. However, objects in the natural world are commonly members of a class containing a number of visually similar objects, such as faces, for which physiology studies have provided support for a representation based on a sparse population code, which permits generalization from the learned exemplars to novel objects of that class. In this paper, we present results from psychophysical and modeling studies intended to investigate object recognition in natural ('continuous') object classes. In two experiments, subjects were trained to perform subordinate level discrimination in a continuous object class - images of computer-rendered cars - created using a 3D morphing system. By comparing the recognition performance of trained and untrained subjects we could estimate the effects of viewpoint-specific training and infer properties of the object class-specific representation learned as a result of training. We then compared the experimental findings to simulations, building on our recently presented HMAX model of object recognition in cortex, to investigate the computational properties of a population-based object class representation as outlined above. We find experimental evidence, supported by modeling results, that training builds a viewpoint- and class-specific representation that supplements a pre-existing repre-sentation with lower shape discriminability but possibly greater viewpoint invariance.",AIM-1682; CBCL-185,4110034 bytes; 1392514 bytes,application/postscript; application/pdf,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Papageorgiou, Constantine P.",2004-10-01T13:59:58Z,2004-10-01T13:59:58Z,2000-05-01,http://hdl.handle.net/1721.1/5566,AITR-1685; CBCL-186,A Trainable System for Object Detection in Images and Video Sequences,"This thesis presents a general, trainable  system for object detection in static images  and video sequences. The core system finds  a certain class of objects in static images of  completely unconstrained, cluttered scenes  without using motion, tracking, or handcrafted  models and without making any assumptions  on the scene structure or the number of  objects in the scene. The system uses a set  of training data of positive and negative  example images as input, transforms the  pixel images to a Haar wavelet  representation, and uses a support vector  machine classifier to learn the difference  between in-class and out-of-class patterns.  To detect objects in out-of-sample images,  we do a brute force search over all the  subwindows in the image. This system is  applied to face, people, and car detection with  excellent results. For our extensions to video  sequences, we augment the core static  detection system in several ways -- 1)  extending the representation to five frames, 2)  implementing an approximation to a Kalman  filter, and 3) modeling detections in an image  as a density and propagating this density  through time according to measured features.  In addition, we present a real-time version of  the system that is currently running in a  DaimlerChrysler experimental vehicle. As part  of this thesis, we also present a system that,  instead of detecting full patterns, uses a  component-based approach. We find it to be  more robust to occlusions, rotations in depth,  and severe lighting conditions for people  detection than the full body version. We also  experiment with various other representations  including pixels and principal components  and show results that quantify how the  number of features, color, and gray-level affect  performance.",AITR-1685; CBCL-186,128 p.; 72537763 bytes; 15910731 bytes,application/postscript; application/pdf,en_US,AI; MIT; Artificial Intelligence; object detection; pattern recognition; people detection; face detection; car detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Heisele, Bernd; Poggio, Tomaso; Pontil, Massimiliano",2004-10-20T21:03:29Z,2004-10-20T21:03:29Z,2000-05-01,http://hdl.handle.net/1721.1/7229,AIM-1687; CBCL-187,Face Detection in Still Gray Images,"We present a trainable system for detecting frontal and near-frontal views of faces in still gray images using Support Vector Machines (SVMs). We first consider the problem of detecting the whole face pattern by a single SVM classifer. In this context we compare different types of image features, present and evaluate a new method for reducing the number of features and discuss practical issues concerning the parameterization of SVMs and the selection of training data. The second part of the paper describes a component-based method for face detection consisting of a two-level hierarchy of SVM classifers. On the first level, component classifers independently detect components of a face, such as the eyes, the nose, and the mouth. On the second level, a single classifer checks if the geometrical configuration of the detected components in the image matches a geometrical model of a face.",AIM-1687; CBCL-187,6267853 bytes; 482304 bytes,application/postscript; application/pdf,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Evgeniou, Theodoros; Pontil, Massimiliano",2004-10-20T20:48:37Z,2004-10-20T20:48:37Z,2000-05-01,http://hdl.handle.net/1721.1/7169,AIM-1681; CBCL-184,A Note on the Generalization Performance of Kernel Classifiers with Margin,We present distribution independent bounds on the generalization misclassification performance of a family of kernel classifiers with margin. Support Vector Machine classifiers (SVM) stem out of this class of machines. The bounds are derived through computations of the $V_gamma$ dimension of a family of loss functions where the SVM one belongs to. Bounds that use functions of margin distributions (i.e. functions of the slack variables of SVM) are derived.,AIM-1681; CBCL-184,9 p.; 1149066 bytes; 253797 bytes,application/postscript; application/pdf,en_US,AI; MIT; Artificial Intelligence; missing data; mixture models; statistical learning; EM algorithm; neural networks; kernel classifiers; Support Vector Machine; regularization networks; statistical learning theory; V-gamma dimension.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nakajima, Chikahito; Pontil, Massimiliano; Heisele, Bernd; Poggio, Tomaso",2004-10-20T21:03:31Z,2004-10-20T21:03:31Z,2000-06-01,http://hdl.handle.net/1721.1/7230,AIM-1688; CBCL-188,People Recognition in Image Sequences by Supervised Learning,We describe a system that learns from examples to recognize people in images taken indoors. Images of people are represented by color-based and shape-based features. Recognition is carried out through combinations of Support Vector Machine classifiers (SVMs). Different types of multiclass strategies based on SVMs are explored and compared to k-Nearest Neighbors classifiers (kNNs). The system works in real time and shows high performance rates for people recognition throughout one day.,AIM-1688; CBCL-188,4611797 bytes; 373760 bytes,application/postscript; application/pdf,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Shrestha, Govinda",2023-03-29T15:32:24Z,2023-03-29T15:32:24Z,2000-07,https://hdl.handle.net/1721.1/149903,MIT-LCS-TR-793,Information Technology Use in Developing Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Micali, Silvio; Reyzin, Leonid",2023-03-29T14:41:58Z,2023-03-29T14:41:58Z,2000-08,https://hdl.handle.net/1721.1/149299,MIT-LCS-TM-609,Concurrent/Resettable Zero-Knowledge Protocols for NP in the Public Key Model,"We propose a four-round protocol for concurrent and resettable zero-knowledge arguments for any langauge in NP, assuming the verifier has a pre-registered public-key. We also propose a three-round protocol with an additional timing assumption.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kohler, Eddie; Chen, Benjie; Kaashoek, M. Frans; Morris, Robert T.; Poletto, Massimiliano",2023-03-29T15:33:47Z,2023-03-29T15:33:47Z,2000-08,https://hdl.handle.net/1721.1/149915,MIT-LCS-TR-812,Programming Language Techniques for Modular Router Configurations,"This paper applies programming language techniques to a high-level system description, both to optimize the system and to prove useful properties about it. The system in question is Click, a modular software router framework. Click routers are built from components called elements. Elements are written in C++, but the user creates a configuration using a simple, declarative data flow language. This language is amenable to data flow analysis and other conventional programming language techniques. Applied to a router configuration, these techniques have high-level results---for example, optimizing the router or verifying its high-level properties. This paper describes several programming language techniques that have been useful in practice, including optimization tools that remove virtual function calls from router definitions and remove redundant parts of adjacent routers. We also present performance results for an extensively optimized standards-compliant IP router. On conventional PC hardware, this router can forward up to 456,000 64-byte packets per second.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Riesenhuber, Maximilian; Poggio, Tomaso",2004-10-20T21:03:32Z,2004-10-20T21:03:32Z,2000-08-07,http://hdl.handle.net/1721.1/7231,AIM-1695; CBCL-190,Computational Models of Object Recognition in Cortex: A Review,"Understanding how biological visual systems perform object recognition is one of the ultimate goals in computational neuroscience. Among the biological models of recognition the main distinctions are between feedforward and feedback and between object-centered and view-centered. From a computational viewpoint the different recognition tasks - for instance categorization and identification - are very similar, representing different trade-offs between specificity and invariance. Thus the different tasks do not strictly require different classes of models. The focus of the review is on feedforward, view-based models that are supported by psychophysical and physiological data.",AIM-1695; CBCL-190,683319 bytes; 124521 bytes,application/postscript; application/pdf,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liskov, Barbara H.; Morris, Robert T.","Ajmani, Sameer",2023-03-29T15:35:38Z,2023-03-29T15:35:38Z,2000-09,https://hdl.handle.net/1721.1/149948,MIT-LCS-TR-846,A Trusted Execution Platform for Multiparty Computation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kumar, Vinay; Poggio, Tomaso",2004-10-20T21:04:37Z,2004-10-20T21:04:37Z,2000-09-01,http://hdl.handle.net/1721.1/7264,AIM-1696; CBCL-191,Learning-Based Approach to Estimation of Morphable Model Parameters,"We describe the key role played by partial  evaluation in the Supercomputing Toolkit, a  parallel computing system for scientific  applications that effectively exploits the vast  amount of parallelism exposed by partial  evaluation. The Supercomputing Toolkit  parallel processor and its associated partial  evaluation-based compiler have been used  extensively by scientists at MIT, and have  made possible recent results in astrophysics  showing that the motion of the planets in our  solar system is chaotically unstable.",AIM-1696; CBCL-191,1037544 bytes; 218112 bytes,application/postscript; application/pdf,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Serre, Thomas; Heisele, Bernd; Mukherjee, Sayan; Poggio, Tomaso",2004-10-20T21:03:34Z,2004-10-20T21:03:34Z,2000-09-01,http://hdl.handle.net/1721.1/7232,AIM-1697; CBCL-192,Feature Selection for Face Detection,We present a new method to select features for a face detection system using Support Vector Machines (SVMs). In the first step we reduce the dimensionality of the input space by projecting the data into a subset of eigenvectors. The dimension of the subset is determined by a classification criterion based on minimizing a bound on the expected error probability of an SVM. In the second step we select features from the SVM feature space by removing those that have low contributions to the decision function of the SVM.,AIM-1697; CBCL-192,7211022 bytes; 1034240 bytes,application/postscript; application/pdf,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Snoeren, Alex C.; Andersen, David G.; Balakrishnan, Hari",2023-03-29T15:33:50Z,2023-03-29T15:33:50Z,2000-11,https://hdl.handle.net/1721.1/149916,MIT-LCS-TR-813,Fine-Grained Failover Using Connection Migration,"This paper presents a set of techniques for providing fine-grained failover of long-running connections across a distributed collection of replica servers, and is especially useful for fault-tolerant and load-balanced delivery of streaming media and telephony sessions. Our system achieves connection-level failover across both local- and wide-area server replication, without requiring a front-end transport- or application-layer switch. Our approach is enabled by the recently-developed end-to-end ``connection migration'' mechanism for transport protocols such as TCP, combined with a soft-state session synchronization protocol between replica servers.   The end result is a robust, fast, and fine-grained server failover mechanism that is transparent to both the client and server applications. We describe the details of our design and Linux implementation, as well as experiments with our implementation that show that this approach to failover is an attractive way to engineer robust systems for distributing long-running streams; connections suffer relatively low performance degradation even when server redirection occurs every few seconds, and overhead is negligible when compared to standard techniques. In particular, we observe the performance impact of migrating TCP connections depends on the length of time between migration and the most recent loss-recovery event.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ingols, Kyle; Keidar, Idit",2023-03-29T14:42:03Z,2023-03-29T14:42:03Z,2000-11,https://hdl.handle.net/1721.1/149301,MIT-LCS-TM-611,Availability Study of Dynamic Voting Algorithms,"Fault tolerant distributed systems often select a primary component to allow a subset of the processes to function when failures occur. The dynamic voting paradigm defines rules for selecting the primary component adaptively: when a partition occurs, if a majority of the previous primary component is connected, a new and possibly smaller primary is chosen. Several studies have shown that dynamic voting leads to more available solutions than other paradigms for maintaining a primary component. However, these studies have assumed that every attempt made by the algorithm to form a new primary component terminates successfully. Unfortunately, in real systems, this is not always the case: a change in connectivity can interrupt the algorithm whiel it is still attempting to form a new primary component; in such cases, algorithms typically block until processes can resolve the outcome of the interrupted attempt. This paper uses simulations to evaluate the effect of interruptions on the availability of dynamic voting algorithms. We study four dynamic voting algorithms, and identify two important characteristics that impact an algorithm's availability in runs with frequent connectivity changes. First, we show that the number of communication rounds exchanged in an algorithm plays a significant role in the availability achieved, especially in the degradation of availability as connectivity changes become more frequent. Second, we show that the number of processes that need to be present in order to resolve past attempts impacts the availability, especially during long runs with numerous connectivity changes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fekete, Alan; Keidar, Idit",2023-03-29T14:42:00Z,2023-03-29T14:42:00Z,2000-11,https://hdl.handle.net/1721.1/149300,MIT-LCS-TM-610,A General Framework for Highly Available Services based on Group Communication,"We present a general framework for building highly available services. The framework uses group communication to coordinate a collection of servers. Our framework is configurable, in that one can adjust parameters such as the number of servers and the extent to which they are synchronized. We analyze the scenarios that can lead to the service availability being temporarily comprised, and we discuss the tradeoffs that govern the choice of parameters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thies, William F.; Viven, Frederic; Sheldon, Jeffery W.; Amarasinghe, Saman",2023-03-29T14:42:05Z,2023-03-29T14:42:05Z,2000-11,https://hdl.handle.net/1721.1/149302,MIT-LCS-TM-613,A Unified Framework for Schedule and Storage Optimization,"We present a unified mathematical framework for analyzing the tradeoffs between parallelism and storage allocation within a parallelizing compiler. Using this framework, we show how to find the best storage mapping for a given schedule, the best schedule for a given storage mapping, and the best storage mapping that is valid for all legal schedules. Our techniques combines affine scheduling techniques with occupancy vector analysis, and incorporates general affine dependencies across statements and loop nests. We formulate the constraints imposed by the data dependencies and the storage mapping as a set of linear inequalities, and apply numerical programming techniques to efficiently solve for the best occupancy vector. We consider out method to be a first step towards automating a procedure that finds the optimal tradeoff between parallelism and storage space.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Shrestha, Govinda; Amarasinghe, Saman",2023-03-29T15:33:59Z,2023-03-29T15:33:59Z,2000-11,https://hdl.handle.net/1721.1/149918,MIT-LCS-TR-815,Perspectives on the Use of the Internet in Sri Lanka,"The survey examines the use of computers and the Internet in Sri Lanka from the perspective of the Internet Service Provider (ISP) members. It attempts to describe the general nature of IT use in terms of the availability, access, familiarity and general conditions associated with using computers and the Internet in the country.  The survey was conducted in July 1999. Questionnaires were e-mailed to 9448 ISP members in Sri Lanka, using e-mail addresses available to us at that time. Altogether, 560 members completed and returned questionnaires via e-mail to MIT's Laboratory for Computer Science.  Descriptive analysis of both quantitative and qualitative data was then conducted.    Major quantitative findings include:  *Over 60% of the respondents were members of their respective ISPs for two or less years, and over half had first used a computer sometime during the 1990-99 period. *Sixty-two percent of the respondents had sent 10 or more e-mails per week over the past six (or less) months, and 52% had received 15 or more e-mails per week during the same period. *Nearly half of the respondents used a computer at home, and 48% indicated 33.6K as the baud rate to connect their ISPs. *Seventy-eight percent of the respondents spent 1-9 hours per week sending and receiving e-mails, and a large majority (68%) spent 1-9 hours surfing the Web. *A majority of the respondents were positive about conditions in the workplace, such as the number and quality of opportunities for training and skill development, the quality of telecommunications facilities, and the quality and reliability of Internet connections. *An overwhelming majority of the respondents indicated that ISP subscriber fees, computer hardware and software costs, and telecommunications charges were generally high. *Most respondents were generally positive about 1) the quality of access to the Internet, 2) the quality of access to e-mails, Web pages and other Internet-based features, and 3) various benefits of Internet access. *Seventy-one percent of the respondents were male; nearly half were younger than 35, and a large majority were educated (with at least a high school diploma.)  Private company employees and people in business comprised over half of the respondents.  Major qualitative findings include: * It is crucially important to have faster access to information, increased communication at low costs, online-education and training, and increased efficiency in business, professional and organizational activities. * Matters of considerable concern include the low bandwidth, the high telecommunications charges, the low quality of Internet services, and the lack of organized information and databases. * Greatly needed is a raising of awareness, a change in the current regulatory environment, an open government, and a set of local information resources to support commerce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Antone, Matthew E.; Teller, Seth",2023-03-29T15:33:52Z,2023-03-29T15:33:52Z,2000-12,https://hdl.handle.net/1721.1/149917,MIT-LCS-TR-814,Automatic Recovery of Camera Positions in Urban Scenes,"Accurate camera calibration is crucial to the reconstruction of three-dimensional geometry and the recovery of photometric scene properties. Calibration involves the determination of intrinsic parameters (e.g. focal length, principal point, and radial lens distortion) and extrinsic parameters (orientation and position).  In urban scenes and other environments containing sufficient geometric structure, it is possible to decouple extrinsic calibration into rotational and translational components that can be treated separately, simplifying the registration problem. Here we present such a decoupled formulation and describe methods for automatically recovering the positions of a large set of cameras given intrinsic calibration, relative rotations, and approximate positions.  Our algorithm first estimates the directions of translation (up to an unknown scale factor) between adjacent camera pairs using point features but without requiring explicit correspondence between them. This technique combines the robustness and simplicity of a Hough transform with the accuracy of Monte Carlo expectation maximization. We then find a set of distances between the pairs that produces globally-consistent camera positions. Novel uncertainty formulations and match plausibility criteria improve reliability and accuracy.  We assess our system's performance using both synthetic data and a large set of real panoramic imagery. The system produces camera positions accurate to within 5 centimeters in image networks extending over hundreds of meters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liskov, Barbara H.","Ahmed, Sarah",2023-03-29T15:35:45Z,2023-03-29T15:35:45Z,2001-01,https://hdl.handle.net/1721.1/149951,MIT-LCS-TR-849,A Scalable Byzantine Fault Tolerant Secure Domain Name Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rinard, Martin; Kuncak, Viktor",2023-03-29T15:34:01Z,2023-03-29T15:34:01Z,2001-01,https://hdl.handle.net/1721.1/149919,MIT-LCS-TR-816,"Object Models, Heaps and Interpretations",This paper explores the use of object models for specifying verifiable heap invariants.  We define a simple language based on sets and relations and illustrate its use through examples.  We give formal semantics of the laguage by translation into predicate calculus and interpretation of predicates in terms of objects and references in the program heap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Castro, Miguel",2023-03-29T15:34:03Z,2023-03-29T15:34:03Z,2001-01,https://hdl.handle.net/1721.1/149920,MIT-LCS-TR-817,Practical Byzantine Fault Tolerance,"Our growing reliance on online services accessible on the Internet demands highly-available systemsthat provide correct service without interruptions. Byzantine faults such as software bugs, operatormistakes, and malicious attacks are the major cause of service interruptions. This thesis describesa new replication algorithm, BFT, that can be used to build highly-available systems that tolerateByzantine faults. It shows, for the first time, how to build Byzantine-fault-tolerant systems that canbe used in practice to implement real services because they do not rely on unrealistic assumptionsand they perform well. BFT works in asynchronous environments like the Internet, it incorporatesmechanisms to defend against Byzantine-faulty clients, and it recovers replicas proactively. Therecovery mechanism allows the algorithm to tolerate any number of faults over the lifetime of thesystem provided fewer than 1=3 of the replicas become faulty within a small windowof vulnerability.The window may increase under a denial-of-service attack but the algorithm can detect and respondto such attacks and it can also detect when the state of a replica is corrupted by an attacker.BFT has been implemented as a generic program library with a simple interface. The BFTlibrary provides a complete solution to the problem of building real services that tolerate Byzantinefaults. We used the library to implement the first Byzantine-fault-tolerant NFS file system, BFS. TheBFT library and BFS perform well because the library incorporates several important optimizations.The most important optimization is the use of symmetric cryptography to authenticate messages.Public-key cryptography, which was the major bottleneck in previous systems, is used only toexchange the symmetric keys. The performance results show that BFS performs 2% faster to 24%slower than production implementations of the NFS protocol that are not replicated. Therefore, webelieve that the BFT library can be used to build practical systems that tolerate Byzantine faults.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
