dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.language.iso,dc.relation.replaces,dc.relation.uri,dc.description,dc.rights,dc.rights.uri,dc.description.degree,dc.contributor.department
Srini Devadas,"Devadas, Srinivas; Agarwal, Anant; Hoffmann, Henry",Computer Architecture,2009-06-16T17:15:03Z,2009-06-16T17:15:03Z,2009-06-16,http://hdl.handle.net/1721.1/45567,"This work presents four partitioning strategies, or patterns, useful for decomposing a serial application into multiple concurrently executing parts. These partitioning strategies augment the commonly used task and data parallel design patterns by recognizing that applications are spatiotemporal in nature. Therefore, data and instruction decomposition are further distinguished by whether the partitioning is done in the spatial or in temporal dimension. Thus, this work describes four decomposition strategies: spatial data partitioning (SDP), temporal data partitioning (TDP), spatial instruction partitioning (SIP), and temporal instruction partitioning (TIP), while cataloging the benefits and drawbacks of each. In addition, the practical use of these strategies is demonstrated through a case study in which they are applied to implement several different parallelizations of a multicore H.264 encoder for HD video. This case study illustrates both the application of the patterns and their effects on the performance of the encoder.",16 p.,MIT-CSAIL-TR-2009-026,,Partitioning Strategies for Concurrent Programming,,,,,,,,
Nancy Lynch,"Lynch, Nancy; Ley-Wild, Ruy; Kuhn, Fabian; Cornejo, Alejandro",Theory of Computation,2009-06-17T21:15:03Z,2009-06-17T21:15:03Z,2009-06-17,http://hdl.handle.net/1721.1/45568,"Designing robust algorithms for mobile agents with reliable communication is difficult due to the distributed nature of computation, in mobile ad hoc networks (MANETs) the matter is exacerbated by the need to ensure connectivity. Existing distributed algorithms provide coordination but typically assume connectivity is ensured by other means. We present a connectivity service that encapsulates an arbitrary motion planner and can refine any plan to preserve connectivity (the graph of agents remains connected) and ensure progress (the agents advance towards their goal). The service is realized by a distributed algorithm that is modular in that it makes no assumptions of the motion-planning mechanism except the ability for an agent to query its position and intended goal position, local in that it uses 1-hop broadcast to communicate with nearby agents but doesn't need any network routing infrastructure, and \emph{oblivious} in that it does not depend on previous computations. We prove the progress of the algorithm in one round is at least Omega(min(d,r)), where d is the minimum distance between an agent and its target and r is the communication radius. We characterize the worst case configuration and show that when d >= r this bound is tight and the algorithm is optimal, since no algorithm can guarantee greater progress. Finally we show all agents get epsilon-close to their targets within O(D_0/r+n^2/epsilon) rounds where n is the number of agents and D_0 is the initial distance to the targets.",21 p.,MIT-CSAIL-TR-2009-027,,Keeping Mobile Robots Connected,,,,,,,,
John Leonard,"Benjamin, Michael R.; Leonard, John J.; Schmidt, Henrik; Newman, Paul M.","Robotics, Vision & Sensor Networks",2009-06-18T17:45:13Z,2009-06-18T17:45:13Z,2009-06-18,http://hdl.handle.net/1721.1/45569,"This document describes the IvP Helm - an Open Source behavior-based autonomy application for unmanned vehicles. IvP is short for interval programming - a technique for representing and solving multi-objective optimizations problems. Behaviors in the IvP Helm are reconciled using multi-objective optimization when in competition with each other for influence of the vehicle. The IvP Helm is written as a MOOS application where MOOS is a set of Open Source publish-subscribe autonomy middleware tools. This document describes the configuration and use of the IvP Helm, provides examples of simple missions and information on how to download and build the software from the MOOS-IvP server at www.moosivp.org.",168 p.,MIT-CSAIL-TR-2009-028,UUV; AUV; Behavior Based Architecture; Unmanned Surface Vehicles; Behavior Based Control; Unmanned Marine Vehicles; Action Selection; Collision Avoidance; Multi-Objective Optimization; Unmanned Vehicles; MOOS; USV; Autonomous Decision Making; Autonomous Marine Vehicles; Autonomous Helm; Arbitration; Autonomous Vehicles; Underwater Vehicles; AI; MOOSDB; Behaviors,An Overview of MOOS-IvP and a Brief Users Guide to the IvP Helm Autonomy Software,,,,,,,,
Tomaso Poggio,"Poggio, Tomaso; Serre, Thomas; Tan, Cheston; Chikkerur, Sharat",Center for Biological and Computational Learning (CBCL),2009-06-22T17:15:20Z,2009-06-22T17:15:20Z,2009-06-20,http://hdl.handle.net/1721.1/45598,"Apart from helping shed some light on human perceptual mechanisms, modeling visual attention has important applications in computer vision. It has been shown to be useful in priming object detection, pruning interest points, quantifying visual clutter as well as predicting human eye movements. Prior work has either relied on purely bottom-up approaches or top-down schemes using simple low-level features. In this paper, we outline a top-down visual attention model based on shape-based features. The same shape-based representation is used to represent both the objects and the scenes that contain them. The spatial priors imposed by the scene and the feature priors imposed by the target object are combined in a Bayesian framework to generate a task-dependent saliency map. We show that our approach can predict the location of objects as well as match eye movements (92% overlap with human observers). We also show that the proposed approach performs better than existing bottom-up and top-down computational models.",10 p.,CBCL-278; MIT-CSAIL-TR-2009-029,attention; bayesian network,An integrated model of visual attention using shape-based features,,,,,,,,
Fredo Durand,"Scull, Craig; Johnson, Steve; Aliaga, Frederick; Paris, Sylvain; Su, Sara L.; Durand, Fredo",Computer Graphics,2009-06-24T23:00:06Z,2009-06-24T23:00:06Z,2009-06-24,http://hdl.handle.net/1721.1/45600,"Presentation and graphics software enables users to experiment with variations of illustrations. They can revisit recent editing operations using the ubiquitous undo command, but they are limited to sequential exploration. We propose a new interaction metaphor and visualization for operation history. While editing, a user can access a history mode in which actions are denoted by graphical depictions appearing on top of the document. Our work is inspired by the visual language of film storyboards and assembly instructions. Our storyboard provides an interactive visual history, summarizing the editing of a document or a selected object. Each view is composed of action depictions representing the userâ  s editing actions and enables the user to consider the operation history in context rather than in a disconnected list view. This metaphor provides instant access to any past action and we demonstrate that this is an intuitive interface to a selective undo mechanism.",12 p.,MIT-CSAIL-TR-2009-031,interaction techniques; vector graphics; visualization; undo; storyboard; operation history,Interactive Visual Histories for Vector Graphics,,,,,,,,
Fredo Durand,"Su, Sara L.",Computer Graphics,2009-06-24T21:45:39Z,2009-06-24T21:45:39Z,2009-06-24,http://hdl.handle.net/1721.1/45599,"Graphical editors have introduced great flexibility to the designer's workflow, providing powerful digital tools and enabling the creation of complex and compelling designs. This thesis presents methods for improving these interactions by leveraging operation history. Much instrumentation and activity logging in software has been for the purpose of debugging, that is, for the benefit of the programmer or analyst. Our work addresses the mining of operation history for the benefit of the end user. We present three main contributions in this area. First, we introduce selection expansion, a method for facilitating the reuse of complex multiple-item selections by identifying items that are likely to be edited together. We then discuss an extension of this work, soft grouping, which gives users more control than standard selection and more flexibility than standard grouping. Finally, we present an interactive visualization of operation history, interactive storyboards, which enables in-context browsing and manipulation of operation history. We demonstrate these approaches in the context of vector graphics editing and present the results of pilot studies using our software implementation. While this thesis focuses on the usage patterns of graphic designers, many of the strategies could be generalized to other domains.",123 p.,MIT-CSAIL-TR-2009-030,operation history; storyboard; human computer interaction; selection; grouping; computer graphics; 2D drawing; interactive techniques; vector graphics,Enhanced Visual Authoring Using Operation History,,,,PhD thesis,,,Ph.D.,Electrical Engineering and Computer Science
Daniel Jackson,"Jackson, Daniel; Estler, H.-Christian; Rayside, Derek",Software Design,2009-07-03T19:15:04Z,2009-07-03T19:15:04Z,2009-07-03,http://hdl.handle.net/1721.1/46322,"This paper presents a new general-purpose algorithm for exact solving of combinatorial many-objective optimization problems. We call this new algorithm the guided improvement algorithm. The algorithm is implemented on top of the non-optimizing relational constraint solver Kodkod. We compare the performance of this new algorithm against two algorithms from the literature [Gavanelli 2002, Lukasiewycz et alia 2007, Laumanns et alia 2006]) on three micro-benchmark problems (n-Queens, n-Rooks, and knapsack) and on two aerospace case studies. Results indicate that the new algorithm is better for the kinds of many-objective problems that our aerospace collaborators are interested in solving. The new algorithm returns Pareto-optimal solutions as it computes.",20 p.,MIT-CSAIL-TR-2009-033,,"The Guided Improvement Algorithm for Exact, General-Purpose, Many-Objective Combinatorial Optimization",,,,,Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,,
Ted Adelson,"Pfister, Hanspeter; Freeman, William T.; Avidan, Shai; Dale, Kevin; Johnson, Micah K.; Matusik, Wojciech",Vision,2009-07-21T21:30:34Z,2009-07-21T21:30:34Z,2009-07-15,http://hdl.handle.net/1721.1/46335,"Computer Graphics (CG) has achieved a high level of realism, producing strikingly vivid images. This realism, however, comes at the cost of long and often expensive manual modeling, and most often humans can still distinguish between CG images and real images. We present a novel method to make CG images look more realistic that is simple and accessible to novice users. Our system uses a large collection of photographs gathered from online repositories. Given a CG image, we retrieve a small number of real images with similar global structure. We identify corresponding regions between the CG and real images using a novel mean-shift cosegmentation algorithm. The user can then automatically transfer color, tone, and texture from matching regions to the CG image. Our system only uses image processing operations and does not require a 3D model of the scene, making it fast and easy to integrate into digital content creation workflows. Results of a user study show that our improved CG images appear more realistic than the originals.",10 p.,MIT-CSAIL-TR-2009-034,image databases; image synthesis; computer graphics,CG2Real: Improving the Realism of Computer Generated Images using a Large Collection of Photographs,,,,,,,,
Anant Agarwal,"Miller, Jason; Agarwal, Anant; Santambrogio, Marco; Eastep, Jonathan; Hoffmann, Henry",Computer Architecture,2009-08-07T17:45:05Z,2009-08-07T17:45:05Z,2009-08-07,http://hdl.handle.net/1721.1/46351,"Adaptive, or self-aware, computing has been proposed as one method to help application programmers confront the growing complexity of multicore software development. However, existing approaches to adaptive systems are largely ad hoc and often do not manage to incorporate the true performance goals of the applications they are designed to support. This paper presents an enabling technology for adaptive computing systems: Application Heartbeats. The Application Heartbeats framework provides a simple, standard programming interface that applications can use to indicate their performance and system software (and hardware) can use to query an applicationâ  s performance. Several experiments demonstrate the simplicity and efficacy of the Application Heartbeat approach. First the PARSEC benchmark suite is instrumented with Application Heartbeats to show the broad applicability of the interface. Then, an adaptive H.264 encoder is developed to show how applications might use Application Heartbeats internally. Next, an external resource scheduler is developed which assigns cores to an application based on its performance as specified with Application Heartbeats. Finally, the adaptive H.264 encoder is used to illustrate how Application Heartbeats can aid fault tolerance.",10 p.,MIT-CSAIL-TR-2009-035,,Application Heartbeats for Software Performance and Health,,,,,,,,
Srini Devadas,"Devadas, Srinivas; Cho, Myong Hyon; Shim, Keun Sup; Lis, Mieszko",Computation Structures,2009-08-18T22:30:03Z,2009-08-18T22:30:03Z,2009-08-18,http://hdl.handle.net/1721.1/46353,"In-order packet delivery, a critical abstraction for many higher-level protocols, can severely limit the performance potential in low-latency networks (common, for example, in network-on-chip designs with many cores). While basic variants of dimension-order routing guarantee in-order delivery, improving performance by adding multiple dynamically allocated virtual channels or using other routing schemes compromises this guarantee. Although this can be addressed by reordering out-of-order packets at the destination core, such schemes incur significant overheads, and, in the worst case, raise the specter of deadlock or require expensive retransmission. We present Exclusive Dynamic VCA, an oblivious virtual channel allocation scheme which combines the performance advantages of dynamic virtual allocation with in-network, deadlock-free in-order delivery. At the same time, our scheme reduces head-of-line blocking, often significantly improving throughput compared to equivalent baseline (out-of-order) dimension-order routing when multiple virtual channels are used, and so may be desirable even when in-order delivery is not required. Implementation requires only minor, inexpensive changes to traditional oblivious dimension-order router architectures, more than offset by the removal of packet reorder buffers and logic.",10 p.,MIT-CSAIL-TR-2009-036,,Guaranteed in-order packet delivery using Exclusive Dynamic Virtual Channel Allocation,,,,,,,,
