dc.contributor.advisor,dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.description.abstract,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri,dc.description,dc.identifier.citation,dc.contributor,dc.relation.isversionof,dc.description.degree,dc.relation.isreplacedby,dc.relation.uri,dc.relation.replaces,dc.relation,dc.date.updated,dc.identifier,dc.relation.isreferencedby,dc.contributor.department,dc.type,dspace.orderedauthors,dc.date.submitted,dc.contributor.editor,dc.coverage.spatial,dc.coverage.temporal,eprint.grantNumber,dc.relation.requires,dc.language.rfc3066,dc.publisher,dc.relation.haspart,dc.identifier.oclc,year,research_paper_id
,"Katabi, Dina; Bazzi, Issam; Yang, Xiaowei",2023-03-29T14:41:46Z,2023-03-29T14:41:46Z,2000-03,https://hdl.handle.net/1721.1/149295,MIT-LCS-TM-604,An Information Theoretic Approach for Shared Bottleneck Inference Based on End-to-end Measurements,"Recent years have marked a growing interest in studying Internet path characteristics. However, most of the currently available tools to an end system to perform such measurements are slow inaccurate and generate an excessive amount of probing traffic. This paper introduces entropy as a novel and efficient metric for discovering Internet path characteristics based on data collected by an end system. In particular, the paper presents an entropy-based technique that enables an end system to cluster flows it receives according to their shared bottleneck. Our mechanism relies solely on information extracted from the packets' inter-arrivals at the receiver. It does not generate any probing traffic and can use data extracted from both TCP and UDP flows. Moreover, it requires only a small number of packets from each flow, which makes it useful for short-lived flows. We report the result of running the algorithm on simulated data and Internet traffic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,5
,"Bar-Joseph, Ziv; Keidar, Idit; Anker, Tal; Lynch, Nancy A.",2023-03-29T15:32:34Z,2023-03-29T15:32:34Z,2000-01,https://hdl.handle.net/1721.1/149906,MIT-LCS-TR-796,QoS Preserving Totally Ordered Multicast,This paper studies the Quality of Service (QoS) guarantees of totally ordered multicast algorithms. The paper shows that totally ordered multicast can coexist with guaranteed predictable delays in certain network models. The paper considers two reservatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,3
,"Ingols, Kyle; Keidar, Idit",2023-03-29T14:42:03Z,2023-03-29T14:42:03Z,2000-11,https://hdl.handle.net/1721.1/149301,MIT-LCS-TM-611,Availability Study of Dynamic Voting Algorithms,"Fault tolerant distributed systems often select a primary component to allow a subset of the processes to function when failures occur. The dynamic voting paradigm defines rules for selecting the primary component adaptively: when a partition occurs, if a majority of the previous primary component is connected, a new and possibly smaller primary is chosen. Several studies have shown that dynamic voting leads to more available solutions than other paradigms for maintaining a primary component. However, these studies have assumed that every attempt made by the algorithm to form a new primary component terminates successfully. Unfortunately, in real systems, this is not always the case: a change in connectivity can interrupt the algorithm whiel it is still attempting to form a new primary component; in such cases, algorithms typically block until processes can resolve the outcome of the interrupted attempt. This paper uses simulations to evaluate the effect of interruptions on the availability of dynamic voting algorithms. We study four dynamic voting algorithms, and identify two important characteristics that impact an algorithm's availability in runs with frequent connectivity changes. First, we show that the number of communication rounds exchanged in an algorithm plays a significant role in the availability achieved, especially in the degradation of availability as connectivity changes become more frequent. Second, we show that the number of processes that need to be present in order to resolve past attempts impacts the availability, especially during long runs with numerous connectivity changes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,25
,"Taylor, Michael Bedford; Lee, Walter; Frank, Matthew; Amarasinghe, Saman; Agarwal, Anant",2023-03-29T14:42:44Z,2023-03-29T14:42:44Z,2000-04,https://hdl.handle.net/1721.1/149317,MIT-LCS-TM-628,How to Build Scalable On-Chip ILP Networks for a Decentralized Architecture,"The era of billion transistors-on-a-chip is creating a completely different set of design constraints, forcing radically new microprocessor archiecture designs. This paper examines a few of the possible microarchitectures that are capable of obtaining scalable ILP performance. First, we observe that the network that interconnects the processing elements is the critical design point in the microarchitecture. Next, we characterize four fundamental properties that have to be satisfied by the interconnection network. Next, we provide case studies of two different networks that satisfy these properties. Finally, a detailed evaluation of these networks is presented to highlight the scalability and performance of these microarchitectures. We show that by using compile time information, we can build simpler networks and use them efficiently.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,7
,"Micali, Silvio; Reyzin, Leonid",2023-03-29T14:41:58Z,2023-03-29T14:41:58Z,2000-08,https://hdl.handle.net/1721.1/149299,MIT-LCS-TM-609,Concurrent/Resettable Zero-Knowledge Protocols for NP in the Public Key Model,"We propose a four-round protocol for concurrent and resettable zero-knowledge arguments for any langauge in NP, assuming the verifier has a pre-registered public-key. We also propose a three-round protocol with an additional timing assumption.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,18
,"Heisele, Bernd; Poggio, Tomaso; Pontil, Massimiliano",2004-10-20T21:03:29Z,2004-10-20T21:03:29Z,2000-05-01,http://hdl.handle.net/1721.1/7229,AIM-1687; CBCL-187,Face Detection in Still Gray Images,"We present a trainable system for detecting frontal and near-frontal views of faces in still gray images using Support Vector Machines (SVMs). We first consider the problem of detecting the whole face pattern by a single SVM classifer. In this context we compare different types of image features, present and evaluate a new method for reducing the number of features and discuss practical issues concerning the parameterization of SVMs and the selection of training data. The second part of the paper describes a component-based method for face detection consisting of a two-level hierarchy of SVM classifers. On the first level, component classifers independently detect components of a face, such as the eyes, the nose, and the mouth. On the second level, a single classifer checks if the geometrical configuration of the detected components in the image matches a geometrical model of a face.",AIM-1687; CBCL-187,6267853 bytes; 482304 bytes,application/postscript; application/pdf,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,14
,"Bansal, Deepak; Balakrishnan, Hari",2023-03-29T15:33:06Z,2023-03-29T15:33:06Z,2000-05,https://hdl.handle.net/1721.1/149910,MIT-LCS-TR-806,TCP-friendly Congestion Control for Real-time Streaming Applications,"This paper introduces and analyzes a class of nonlinear congestion control algorithms called binomial algorithms, motivated in part by the needs of streaming audio and video applications for which a drastic reduction in transmission rate upon congestion i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,8
,"Thies, William F.; Viven, Frederic; Sheldon, Jeffery W.; Amarasinghe, Saman",2023-03-29T14:42:05Z,2023-03-29T14:42:05Z,2000-11,https://hdl.handle.net/1721.1/149302,MIT-LCS-TM-613,A Unified Framework for Schedule and Storage Optimization,"We present a unified mathematical framework for analyzing the tradeoffs between parallelism and storage allocation within a parallelizing compiler. Using this framework, we show how to find the best storage mapping for a given schedule, the best schedule for a given storage mapping, and the best storage mapping that is valid for all legal schedules. Our techniques combines affine scheduling techniques with occupancy vector analysis, and incorporates general affine dependencies across statements and loop nests. We formulate the constraints imposed by the data dependencies and the storage mapping as a set of linear inequalities, and apply numerical programming techniques to efficiently solve for the best occupancy vector. We consider out method to be a first step towards automating a procedure that finds the optimal tradeoff between parallelism and storage space.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,27
,"Micali, Silvio",2023-03-29T14:40:47Z,2023-03-29T14:40:47Z,2000,https://hdl.handle.net/1721.1/149277,MIT-LCS-TM-577,Copmutationally Sound Proofs,"This paper puts forward a new notion of a proof based on computational complexity and explores its implications for computation at large. Computationally sound proofs provide, in a novel and meaningful framework, answer to old and new questions in complexity theory. In particular, given a random oracle or a new complexity assumption, they enable us to 1. prove that verifying is easier than deciding for all theorems; 2. provides a quite effective way to prove membership in computationally hard languages (such as C-NP-complete ones); and 3. show that every computation possesses a short certificate vouching its correctness. FInally, if a special type of computationally sound proof exists, we show that Blum's notion of program checking can be meaningfully broadened so as to prove that NP-complete languages are checkable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2
,"Shrestha, Govinda",2023-03-29T15:32:24Z,2023-03-29T15:32:24Z,2000-07,https://hdl.handle.net/1721.1/149903,MIT-LCS-TR-793,Information Technology Use in Developing Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,17
"Szolovits, Peter","Tsien, Christine L.",2023-03-29T15:33:14Z,2023-03-29T15:33:14Z,2000,https://hdl.handle.net/1721.1/149913,MIT-LCS-TR-809,TrendFinder: Automated Detection of Alarmable Trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1
,"Nakajima, Chikahito; Pontil, Massimiliano; Heisele, Bernd; Poggio, Tomaso",2004-10-20T21:03:31Z,2004-10-20T21:03:31Z,2000-06-01,http://hdl.handle.net/1721.1/7230,AIM-1688; CBCL-188,People Recognition in Image Sequences by Supervised Learning,We describe a system that learns from examples to recognize people in images taken indoors. Images of people are represented by color-based and shape-based features. Recognition is carried out through combinations of Support Vector Machine classifiers (SVMs). Different types of multiclass strategies based on SVMs are explored and compared to k-Nearest Neighbors classifiers (kNNs). The system works in real time and shows high performance rates for people recognition throughout one day.,AIM-1688; CBCL-188,4611797 bytes; 373760 bytes,application/postscript; application/pdf,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,16
,"Antone, Matthew E.; Teller, Seth",2023-03-29T15:33:52Z,2023-03-29T15:33:52Z,2000-12,https://hdl.handle.net/1721.1/149917,MIT-LCS-TR-814,Automatic Recovery of Camera Positions in Urban Scenes,"Accurate camera calibration is crucial to the reconstruction of three-dimensional geometry and the recovery of photometric scene properties. Calibration involves the determination of intrinsic parameters (e.g. focal length, principal point, and radial lens distortion) and extrinsic parameters (orientation and position).  In urban scenes and other environments containing sufficient geometric structure, it is possible to decouple extrinsic calibration into rotational and translational components that can be treated separately, simplifying the registration problem. Here we present such a decoupled formulation and describe methods for automatically recovering the positions of a large set of cameras given intrinsic calibration, relative rotations, and approximate positions.  Our algorithm first estimates the directions of translation (up to an unknown scale factor) between adjacent camera pairs using point features but without requiring explicit correspondence between them. This technique combines the robustness and simplicity of a Hough transform with the accuracy of Monte Carlo expectation maximization. We then find a set of distances between the pairs that produces globally-consistent camera positions. Novel uncertainty formulations and match plausibility criteria improve reliability and accuracy.  We assess our system's performance using both synthetic data and a large set of real panoramic imagery. The system produces camera positions accurate to within 5 centimeters in image networks extending over hundreds of meters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,29
,"Shrestha, Govinda; Amarasinghe, Saman",2023-03-29T15:33:59Z,2023-03-29T15:33:59Z,2000-11,https://hdl.handle.net/1721.1/149918,MIT-LCS-TR-815,Perspectives on the Use of the Internet in Sri Lanka,"The survey examines the use of computers and the Internet in Sri Lanka from the perspective of the Internet Service Provider (ISP) members. It attempts to describe the general nature of IT use in terms of the availability, access, familiarity and general conditions associated with using computers and the Internet in the country.  The survey was conducted in July 1999. Questionnaires were e-mailed to 9448 ISP members in Sri Lanka, using e-mail addresses available to us at that time. Altogether, 560 members completed and returned questionnaires via e-mail to MIT's Laboratory for Computer Science.  Descriptive analysis of both quantitative and qualitative data was then conducted.    Major quantitative findings include:  *Over 60% of the respondents were members of their respective ISPs for two or less years, and over half had first used a computer sometime during the 1990-99 period. *Sixty-two percent of the respondents had sent 10 or more e-mails per week over the past six (or less) months, and 52% had received 15 or more e-mails per week during the same period. *Nearly half of the respondents used a computer at home, and 48% indicated 33.6K as the baud rate to connect their ISPs. *Seventy-eight percent of the respondents spent 1-9 hours per week sending and receiving e-mails, and a large majority (68%) spent 1-9 hours surfing the Web. *A majority of the respondents were positive about conditions in the workplace, such as the number and quality of opportunities for training and skill development, the quality of telecommunications facilities, and the quality and reliability of Internet connections. *An overwhelming majority of the respondents indicated that ISP subscriber fees, computer hardware and software costs, and telecommunications charges were generally high. *Most respondents were generally positive about 1) the quality of access to the Internet, 2) the quality of access to e-mails, Web pages and other Internet-based features, and 3) various benefits of Internet access. *Seventy-one percent of the respondents were male; nearly half were younger than 35, and a large majority were educated (with at least a high school diploma.)  Private company employees and people in business comprised over half of the respondents.  Major qualitative findings include: * It is crucially important to have faster access to information, increased communication at low costs, online-education and training, and increased efficiency in business, professional and organizational activities. * Matters of considerable concern include the low bandwidth, the high telecommunications charges, the low quality of Internet services, and the lack of organized information and databases. * Greatly needed is a raising of awareness, a change in the current regulatory environment, an open government, and a set of local information resources to support commerce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,28
,"Heinz, Ernst",2023-03-29T14:41:55Z,2023-03-29T14:41:55Z,2000-05,https://hdl.handle.net/1721.1/149298,MIT-LCS-TM-608,A New Self-Play Experiment in Computer Chess,"This paper presents the results of a new self-play experiment in computer chess. It is the _x000C_rst such experiment ever to feature search depths beyond 9 plies and thousands of games for every single match. Overall, we executed 17,150 self-play games (1,050{3,000 per match) in one \\calibration"" match and seven \\depth X+1 , X"" handicap matches at _x000C_xed iteration depths ranging from 5{12 plies. For the experiment to be realistic and independently repeatable, we relied on a state-of-the-art commercial contestant: Fritz 6 , one of the strongest modern chess pro- grams available. The main result of our new experimentis thatit shows the existence of diminishing returns for additional search in computer chess self-play by Fritz 6 with 95% statistical con_x000C_dence. The dimin- ishing returns manifest themselves by declining rates of won games and reversely increasing rates of drawn games for the deeper searching pro- gram versions. The rate of lost games, however, remains quite steady for the whole depth range of 5{12 plies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,10
,"Arkoudas, Konstantine",2004-10-08T20:37:19Z,2004-10-08T20:37:19Z,2001-11-13,http://hdl.handle.net/1721.1/6680,AIM-2001-031,Simplifying transformations for type-alpha certificates,"This paper presents an algorithm for simplifying NDL deductions. An array of simplifying transformations are rigorously defined. They are shown to be terminating, and to respect the formal semantis of the language. We also show that the transformations never increase the size or complexity of a deduction---in the worst case, they produce deductions of the same size and complexity as the original. We present several examples of proofs containing various types of ""detours"", and explain how our procedure eliminates them, resulting in smaller and cleaner deductions. All of the given transformations are fully implemented in SML-NJ. The complete code listing is presented, along with explanatory comments. Finally, although the transformations given here are defined for NDL, we point out that they can be applied to any type-alpha DPL that satisfies a few simple conditions.",AIM-2001-031,45 p.; 2306816 bytes; 532283 bytes,application/postscript; application/pdf,en_US,AI; deduction; proofs; simplifiation; proof optimization; deduction complexity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,95
,"Banks, Jessica",2004-10-20T20:28:07Z,2004-10-20T20:28:07Z,2001-05-01,http://hdl.handle.net/1721.1/7070,AITR-2001-005,Design and Control of an Anthropomorphic Robotic Finger with Multi-point Tactile Sensation,"The goal of this research is to develop the prototype of a tactile sensing platform for anthropomorphic manipulation research. We investigate this problem through the fabrication and simple control of a planar 2-DOF robotic finger inspired by anatomic consistency, self-containment, and adaptability. The robot is equipped with a tactile sensor array based on optical transducer technology whereby localized changes in light intensity within an illuminated foam substrate correspond to the distribution and magnitude of forces applied to the sensor surface plane.   The integration of tactile perception is a key component in realizing robotic systems which organically interact with the world. Such natural behavior is characterized by compliant performance that can initiate internal, and respond to external, force application in a dynamic environment. However, most of the current manipulators that support some form of haptic feedback either solely derive proprioceptive sensation or only limit tactile sensors to the mechanical fingertips. These constraints are due to the technological challenges involved in high resolution, multi-point tactile perception.  In this work, however, we take the opposite approach, emphasizing the role of full-finger tactile feedback in the refinement of manual capabilities. To this end, we propose and implement a control framework for sensorimotor coordination analogous to infant-level grasping and fixturing reflexes. This thesis details the mechanisms used to achieve these sensory, actuation, and control objectives, along with the design philosophies and biological influences behind them. The results of behavioral experiments with a simple tactilely-modulated control scheme are also described. The hope is to integrate the modular finger into an %engineered analog of the human hand with a complete haptic system.",AITR-2001-005,88 p.; 17699541 bytes; 1837341 bytes,application/postscript; application/pdf,en_US,AI; tactile sensation; finger; robot; anthropomorphic; skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,56
,"Katabi, Dina; Blake, Charles",2023-03-29T15:34:40Z,2023-03-29T15:34:40Z,2001-12,https://hdl.handle.net/1721.1/149931,MIT-LCS-TR-828,Inferring Congestion Sharing and Path Characteristics from Packet Interarrival Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,97
,"Yu, Angela J.; Giese, Martin A.; Poggio, Tomaso A.",2004-10-20T21:03:51Z,2004-10-20T21:03:51Z,2001-09-01,http://hdl.handle.net/1721.1/7240,AIM-2001-022; CBCL-207,Biologically Plausible Neural Circuits for Realization of Maximum Operations,"Object recognition in the visual cortex is based on a hierarchical architecture, in which specialized brain regions along the ventral pathway extract object features of increasing levels of complexity, accompanied by greater invariance in stimulus size, position, and orientation. Recent theoretical studies postulate a non-linear pooling function, such as the maximum (MAX) operation could be fundamental in achieving such invariance. In this paper, we are concerned with neurally plausible mechanisms that may be involved in realizing the MAX operation. Four canonical circuits are proposed, each based on neural mechanisms that have been previously discussed in the context of cortical processing. Through simulations and mathematical analysis, we examine the relative performance and robustness of these mechanisms. We derive experimentally verifiable predictions for each circuit and discuss their respective physiological considerations.",AIM-2001-022; CBCL-207,28 p.; 2197042 bytes; 930880 bytes,application/postscript; application/pdf,en_US,AI; maximum operation; invariance; recurrent inhibition; shunting inhibition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,84
,"Ucko, Aaron Mark",2004-10-20T20:28:09Z,2004-10-20T20:28:09Z,2001-05-01,http://hdl.handle.net/1721.1/7071,AITR-2001-006,Predicate Dispatching in the Common Lisp Object System,"I have added support for predicate dispatching, a powerful generalization of other dispatching mechanisms, to the Common Lisp Object System (CLOS). To demonstrate its utility, I used predicate dispatching to enhance Weyl, a computer algebra system which doubles as a CLOS library. My result is Dispatching-Enhanced Weyl (DEW), a computer algebra system that I have demonstrated to be well suited for both users and programmers.",AITR-2001-006,74 p.; 2463955 bytes; 977046 bytes,application/postscript; application/pdf,en_US,AI; predicate dispatching; Common Lisp; CLOS; Weyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,57
,"Larsen, Samuel; Witchel, Emmett; Amarasinghe, Saman",2023-03-29T14:42:27Z,2023-03-29T14:42:27Z,2001-11,https://hdl.handle.net/1721.1/149310,MIT-LCS-TM-621,Techniques for Increasing and Detecting Memory Alignment,"Memory alignment is an important property in memory system performance. Extraction of alignment information at compile-time enables the possibility for new classes of program optimization. In this paper, we present methods for increasing and detecting the alignment of memory references in a program. Our transformations and analyses do not require interprocedural analysis and introduce almost no overhead. As a result, they can be incorporated into real compilation systems. On average, our techniques are able to achieve a five-fold increase in the number of dynamically aligned memory references. We are then able to detect 94% of these operations. This success is invaluable in providing performance gains in a range of different areas. When alignment information is incorporated into a vectorizing compiler, we can increase the performance of a G4 AltiVec processor by more than a factor of two. Using the same methods, we are able to reduce energy consumption in a data cache by as much as 35%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,91
,"Bryson, Joanna J.",2004-10-20T20:29:10Z,2004-10-20T20:29:10Z,2001-09-01,http://hdl.handle.net/1721.1/7080,AITR-2002-003,Intelligence by Design: Principles of Modularity and Coordination for Engineerin,"All intelligence relies on search --- for  example, the search for an intelligent agent's  next action. Search is only likely to succeed in resource-bounded agents if they have already  been biased towards finding the right answer.  In artificial agents, the primary source of bias is engineering.   This dissertation describes an approach,  Behavior-Oriented Design (BOD) for  engineering complex agents. A complex agent  is one that must arbitrate between potentially  conflicting goals or behaviors.  Behavior-oriented design builds on work in  behavior-based and hybrid architectures for agents, and the object  oriented approach to software engineering.   The primary contributions of this dissertation  are:     1.The BOD architecture: a modular  architecture with each module providing  specialized representations to facilitate  learning.    This includes one pre-specified module  and representation for action selection or  behavior arbitration. The specialized    representation underlying BOD action  selection is Parallel-rooted, Ordered,  Slip-stack Hierarchical (POSH) reactive plans.     2.The BOD development process: an  iterative process that alternately scales the  agent's capabilities then optimizes the agent  for    simplicity, exploiting tradeoffs between the  component representations. This ongoing  process for controlling complexity not only    provides bias for the behaving agent, but  also facilitates its maintenance and  extendibility.   The secondary contributions of this  dissertation include two implementations of  POSH action selection, a procedure for  identifying useful idioms in agent architectures and  using them to distribute knowledge across  agent paradigms, several examples of  applying BOD idioms to established architectures, an  analysis and comparison of the attributes and  design trends of a large number of agent architectures, a comparison of biological  (particularly mammalian) intelligence to  artificial agent architectures, a novel model of primate transitive inference, and many other  examples of BOD agents and BOD  development.",AITR-2002-003,232 p.; 4544378 bytes; 1027952 bytes,application/postscript; application/pdf,en_US,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,79
